ID,ADDITIONAL_DESCRIPTION
5015735,"<p>S-Track electric actuators are designed for better control and quieter operation in general duty applications including medical, industrial, turf & garden and recreational vehicles. This S1 model has a gear ratio of 11: 1, 24 VDC standard motor, and a load capacity of 175 lb (778 N). The S-Track series has stroke lengths ranging from 4 to 12 in (100 to 300 mm), with this specific unit having a 6 in (150 mm) stroke length. This unit allows for keypad adjusted control, with the main benefit being able to change the end limit stop locations and two additional stops if needed. </p><table class=""description-table""><tr><th>UPC</th><td>889208426030</td></tr><tr><th>Altra Master No. </th><td>20058511</td></tr><tr><th>Family Name</th><td>S-Track</td></tr><tr><th>Model No. </th><td>S1</td></tr><tr><th>Motor Voltage</th><td>24</td></tr><tr><th>Load Capacity</th><td>175</td></tr><tr><th>Load Capacity</th><td>778</td></tr><tr><th>Stroke Length</th><td>6. 00</td></tr><tr><th>Stroke Length</th><td>150</td></tr><tr><th>Limit Switch</th><td>Key Pad Control</td></tr><tr><th>Clevis Ends (diameter)</th><td>0. 375</td></tr><tr><th>Clevis Ends (diameter)</th><td>9. 5</td></tr><tr><th>Duty Cycle</th><td>0. 25</td></tr><tr><th>Operation Temperature Range</th><td>-20°F to +150°F (-40°F to +185°F available)</td></tr><tr><th>Operation Temperature Range</th><td>-29°C to +65°C (-40°C to +80°C available)</td></tr><tr><th>Static Load Capacity</th><td>700</td></tr><tr><th>Static Load Capacity</th><td>315</td></tr><tr><th>Speed at Full Load</th><td>0. 75</td></tr><tr><th>Speed at Full Load</th><td>18</td></tr><tr><th>A Dimension(English)</th><td>11. 32</td></tr><tr><th>A Dimension</th><td>287. 52</td></tr><tr><th>Gear Ratio</th><td>11 / 1</td></tr><tr><th>Motor Type</th><td>Standard</td></tr><tr><th>Nut Type</th><td>Standard</td></tr><tr><th>Base Fitting Alignment</th><td>Standard</td></tr><tr><th>IP-Rating</th><td>IP50 Standard</td></tr></table>"
5015175,"<p>S-Track electric actuators are designed for better control and quieter operation in general duty applications including medical, industrial, turf & garden and recreational vehicles. This S1 model has a gear ratio of 17: 1, 12 VDC standard motor, and a load capacity of 225 lb (1001 N). The S-Track series has stroke lengths ranging from 4 to 12 in (100 to 300 mm), with this specific unit having a 4 in (100 mm) stroke length. This unit allows for basic control, which turns power off to the motor automatically when the internal end limits are reached. </p><table class=""description-table""><tr><th>UPC</th><td>883680989427</td></tr><tr><th>Altra Master No. </th><td>20053013</td></tr><tr><th>Family Name</th><td>S-Track</td></tr><tr><th>Model No. </th><td>S1</td></tr><tr><th>Motor Voltage</th><td>12</td></tr><tr><th>Load Capacity</th><td>225</td></tr><tr><th>Load Capacity</th><td>1, 001</td></tr><tr><th>Stroke Length</th><td>4. 00</td></tr><tr><th>Stroke Length</th><td>100</td></tr><tr><th>Limit Switch</th><td>Basic Control, No Outputs</td></tr><tr><th>Potentiometer</th><td>No Potentiometer</td></tr><tr><th>Clevis Ends (diameter)</th><td>0. 375</td></tr><tr><th>Clevis Ends (diameter)</th><td>9. 5</td></tr><tr><th>Duty Cycle</th><td>0. 25</td></tr><tr><th>Operation Temperature Range</th><td>-20°F to +150°F (-40°F to +185°F available)</td></tr><tr><th>Operation Temperature Range</th><td>-29°C to +65°C (-40°C to +80°C available)</td></tr><tr><th>Static Load Capacity</th><td>700</td></tr><tr><th>Static Load Capacity</th><td>315</td></tr><tr><th>Speed at Full Load</th><td>0. 50</td></tr><tr><th>Speed at Full Load</th><td>12</td></tr><tr><th>A Dimension(English)</th><td>9. 32</td></tr><tr><th>A Dimension</th><td>236. 72</td></tr><tr><th>Gear Ratio</th><td>17 / 1</td></tr><tr><th>Motor Type</th><td>Standard</td></tr><tr><th>Nut Type</th><td>Standard</td></tr><tr><th>Base Fitting Alignment</th><td>Standard</td></tr><tr><th>IP-Rating</th><td>IP50 Standard</td></tr></table>"
5015756,"<p>S-Track electric actuators are designed for better control and quieter operation in general duty applications including medical, industrial, turf & garden and recreational vehicles. This S1 model has a gear ratio of 35: 1, 24 VDC standard motor, and a load capacity of 400 lb (1779 N). The S-Track series has stroke lengths ranging from 4 to 12 in (100 to 300 mm), with this specific unit having a 10 in (250 mm) stroke length. This unit allows for basic control, which turns power off to the motor automatically when the internal end limits are reached. </p><table class=""description-table""><tr><th>UPC</th><td>889208475274</td></tr><tr><th>Altra Master No. </th><td>20058984</td></tr><tr><th>Family Name</th><td>S-Track</td></tr><tr><th>Model No. </th><td>S1</td></tr><tr><th>Motor Voltage</th><td>24</td></tr><tr><th>Load Capacity</th><td>400</td></tr><tr><th>Load Capacity</th><td>1, 779</td></tr><tr><th>Stroke Length</th><td>10. 00</td></tr><tr><th>Stroke Length</th><td>250</td></tr><tr><th>Limit Switch</th><td>Basic Control, No Outputs</td></tr><tr><th>Potentiometer</th><td>No Potentiometer</td></tr><tr><th>Clevis Ends (diameter)</th><td>0. 375</td></tr><tr><th>Clevis Ends (diameter)</th><td>9. 5</td></tr><tr><th>Duty Cycle</th><td>0. 25</td></tr><tr><th>Operation Temperature Range</th><td>-20°F to +150°F (-40°F to +185°F available)</td></tr><tr><th>Operation Temperature Range</th><td>-29°C to +65°C (-40°C to +80°C available)</td></tr><tr><th>Static Load Capacity</th><td>700</td></tr><tr><th>Static Load Capacity</th><td>315</td></tr><tr><th>Speed at Full Load</th><td>0. 25</td></tr><tr><th>Speed at Full Load</th><td>6</td></tr><tr><th>A Dimension(English)</th><td>15. 32</td></tr><tr><th>A Dimension</th><td>389. 12</td></tr><tr><th>Gear Ratio</th><td>35 / 1</td></tr><tr><th>Motor Type</th><td>Standard</td></tr><tr><th>Nut Type</th><td>Standard</td></tr><tr><th>Base Fitting Alignment</th><td>90° Fitting</td></tr><tr><th>IP-Rating</th><td>IP65 Dynamic, IP69K Static Configurable</td></tr></table>"
5015433,"<p>S-Track electric actuators are designed for better control and quieter operation in general duty applications including medical, industrial, turf & garden and recreational vehicles. This S1 model has a gear ratio of 7: 1, 12 VDC standard motor, and a load capacity of 125 lb (556 N). The S-Track series has stroke lengths ranging from 4 to 12 in (100 to 300 mm), with this specific unit having a 4 in (100 mm) stroke length. This unit allows for S-Track Basic Control, Potentiometer Output and Limit Switches, with the main benefit being able to change the end limit stop locations and two additional stops if needed. </p><table class=""description-table""><tr><th>UPC</th><td>889208004122</td></tr><tr><th>Altra Master No. </th><td>20053421</td></tr><tr><th>Family Name</th><td>S-Track</td></tr><tr><th>Model No. </th><td>S1</td></tr><tr><th>Motor Voltage</th><td>12</td></tr><tr><th>Load Capacity</th><td>125</td></tr><tr><th>Load Capacity</th><td>556</td></tr><tr><th>Stroke Length</th><td>4. 00</td></tr><tr><th>Stroke Length</th><td>100</td></tr><tr><th>Limit Switch</th><td>S-Track Basic Control, POT Output and Limit Switches</td></tr><tr><th>Potentiometer</th><td>Optional Potentiometer Available</td></tr><tr><th>Clevis Ends (diameter)</th><td>0. 375</td></tr><tr><th>Clevis Ends (diameter)</th><td>9. 5</td></tr><tr><th>Duty Cycle</th><td>0. 25</td></tr><tr><th>Operation Temperature Range</th><td>-20°F to +150°F (-40°F to +185°F available)</td></tr><tr><th>Operation Temperature Range</th><td>-29°C to +65°C (-40°C to +80°C available)</td></tr><tr><th>Static Load Capacity</th><td>700</td></tr><tr><th>Static Load Capacity</th><td>315</td></tr><tr><th>Speed at Full Load</th><td>1. 00</td></tr><tr><th>Speed at Full Load</th><td>25</td></tr><tr><th>A Dimension(English)</th><td>9. 32</td></tr><tr><th>A Dimension</th><td>236. 72</td></tr><tr><th>Gear Ratio</th><td>7 / 1</td></tr><tr><th>Motor Type</th><td>Standard</td></tr><tr><th>Nut Type</th><td>Standard</td></tr><tr><th>Base Fitting Alignment</th><td>Standard</td></tr><tr><th>IP-Rating</th><td>IP65 Dynamic, IP69K Static Configurable</td></tr></table>"
5015374,"<p>The K2 incorporates a patented in-line load transfer design which provides high load capability for rugged-duty use, efficient power use, compact package size, excellent corrosion and washdown protection, and high performance synthetic lubrication for life. This model has a gear ratio of 5: 1, 115 DC motor voltage, and stroke length of 12 in. (300 mm). It is outfitted with a Bronze Nut and rolled Hybrid Acme screw, yielding high impact capability and long life. </p><table class=""description-table""><tr><th>UPC</th><td>884107340678</td></tr><tr><th>Altra Master No. </th><td>20039663</td></tr><tr><th>Family Name</th><td>B-Track K2</td></tr><tr><th>Model No. </th><td>K2</td></tr><tr><th>Motor Voltage</th><td>115</td></tr><tr><th>Load Capacity</th><td>300</td></tr><tr><th>Load Capacity</th><td>1, 335</td></tr><tr><th>Screw Type</th><td>Hybrid Acme</td></tr><tr><th>Stroke Length</th><td>12. 00</td></tr><tr><th>Stroke Length</th><td>300</td></tr><tr><th>Operation Temperature Range</th><td>-20°F to +150°F (-40°F to +176°F available)</td></tr><tr><th>Operation Temperature Range</th><td>-29°C to +65°C (-40°C to +80°C available)</td></tr><tr><th>Static Load Capacity</th><td>3, 000</td></tr><tr><th>Static Load Capacity</th><td>13, 345</td></tr><tr><th>A Dimension(English)</th><td>18. 32</td></tr><tr><th>A Dimension</th><td>465. 30</td></tr><tr><th>Normal Operating Voltage</th><td>10-16 VDC (Ratings are at 12 VDC Normal)</td></tr><tr><th>Control Model</th><td>Adjustable Limit Switches</td></tr><tr><th>Gear Ratio</th><td>5 / 1</td></tr><tr><th>Motor Type</th><td>Standard</td></tr><tr><th>Nut Type</th><td>Bronze Nut</td></tr><tr><th>Base Fitting Alignment</th><td>Standard</td></tr><tr><th>IP-Rating</th><td>IP69K Static (IP65 capable)</td></tr></table>"
5015261,"<p>The K2 incorporates a patented in-line load transfer design which provides high load capability for rugged-duty use, efficient power use, compact package size, excellent corrosion and washdown protection, and high performance synthetic lubrication for life. This model has a gear ratio of 5: 1, 12 DC motor voltage, and stroke length of 6 in. (150 mm). It is outfitted with a Bronze Nut and rolled Hybrid Acme screw, yielding high impact capability and long life. </p><table class=""description-table""><tr><th>UPC</th><td>884107301228</td></tr><tr><th>Altra Master No. </th><td>20039665</td></tr><tr><th>Family Name</th><td>B-Track K2</td></tr><tr><th>Model No. </th><td>K2</td></tr><tr><th>Motor Voltage</th><td>12</td></tr><tr><th>Load Capacity</th><td>300</td></tr><tr><th>Load Capacity</th><td>1, 335</td></tr><tr><th>Screw Type</th><td>Hybrid Acme</td></tr><tr><th>Stroke Length</th><td>6. 00</td></tr><tr><th>Stroke Length</th><td>150</td></tr><tr><th>Operation Temperature Range</th><td>-20°F to +150°F (-40°F to +176°F available)</td></tr><tr><th>Operation Temperature Range</th><td>-29°C to +65°C (-40°C to +80°C available)</td></tr><tr><th>Static Load Capacity</th><td>3, 000</td></tr><tr><th>Static Load Capacity</th><td>13, 345</td></tr><tr><th>A Dimension(English)</th><td>12. 32</td></tr><tr><th>A Dimension</th><td>312. 90</td></tr><tr><th>Normal Operating Voltage</th><td>10-16 VDC (Ratings are at 12 VDC Normal)</td></tr><tr><th>Control Model</th><td>Adjustable Limit Switches</td></tr><tr><th>Gear Ratio</th><td>5 / 1</td></tr><tr><th>Motor Type</th><td>Standard</td></tr><tr><th>Nut Type</th><td>Bronze Nut</td></tr><tr><th>Base Fitting Alignment</th><td>Standard</td></tr><tr><th>IP-Rating</th><td>IP69K Static (IP65 capable)</td></tr></table>"
5014653,"<p>S-Track electric actuators are designed for better control and quieter operation in general duty applications including medical, industrial, turf & garden and recreational vehicles. This S1 model has a gear ratio of 7: 1, 12 VDC standard motor, and a load capacity of 125 lb (556 N). The S-Track series has stroke lengths ranging from 4 to 12 in (100 to 300 mm), with this specific unit having a 10 in (250 mm) stroke length. This unit allows for S-Track basic control with Potentiometer Output and Limit Switches, which turns power off to the motor automatically when the internal end limits are reached. </p><table class=""description-table""><tr><th>UPC</th><td>883680404012</td></tr><tr><th>Altra Master No. </th><td>20043899</td></tr><tr><th>Family Name</th><td>S-Track</td></tr><tr><th>Model No. </th><td>S1</td></tr><tr><th>Motor Voltage</th><td>12</td></tr><tr><th>Load Capacity</th><td>125</td></tr><tr><th>Load Capacity</th><td>556</td></tr><tr><th>Stroke Length</th><td>10. 00</td></tr><tr><th>Stroke Length</th><td>250</td></tr><tr><th>Limit Switch</th><td>S-Track Basic Control, POT Output and Limit Switches</td></tr><tr><th>Potentiometer</th><td>Optional Potentiometer Available</td></tr><tr><th>Clevis Ends (diameter)</th><td>0. 375</td></tr><tr><th>Clevis Ends (diameter)</th><td>9. 5</td></tr><tr><th>Duty Cycle</th><td>0. 25</td></tr><tr><th>Operation Temperature Range</th><td>-20°F to +150°F (-40°F to +185°F available)</td></tr><tr><th>Operation Temperature Range</th><td>-29°C to +65°C (-40°C to +80°C available)</td></tr><tr><th>Static Load Capacity</th><td>700</td></tr><tr><th>Static Load Capacity</th><td>315</td></tr><tr><th>Speed at Full Load</th><td>1. 00</td></tr><tr><th>Speed at Full Load</th><td>25</td></tr><tr><th>A Dimension(English)</th><td>15. 32</td></tr><tr><th>A Dimension</th><td>389. 12</td></tr><tr><th>Gear Ratio</th><td>7 / 1</td></tr><tr><th>Motor Type</th><td>Standard</td></tr><tr><th>Nut Type</th><td>Standard</td></tr><tr><th>Base Fitting Alignment</th><td>Standard</td></tr><tr><th>IP-Rating</th><td>IP50 Standard</td></tr></table>"
5014604,"<p>S-Track electric actuators are designed for better control and quieter operation in general duty applications including medical, industrial, turf & garden and recreational vehicles. This S1 model has a gear ratio of 7: 1, 12 VDC standard motor, and a load capacity of 125 lb (556 N). The S-Track series has stroke lengths ranging from 4 to 12 in (100 to 300 mm), with this specific unit having a 12 in (300 mm) stroke length. This unit allows for S-Track basic control with Potentiometer Output and Limit Switches, which turns power off to the motor automatically when the internal end limits are reached. </p><table class=""description-table""><tr><th>UPC</th><td>883680363067</td></tr><tr><th>Altra Master No. </th><td>20042992</td></tr><tr><th>Family Name</th><td>S-Track</td></tr><tr><th>Model No. </th><td>S1</td></tr><tr><th>Motor Voltage</th><td>12</td></tr><tr><th>Load Capacity</th><td>125</td></tr><tr><th>Load Capacity</th><td>556</td></tr><tr><th>Stroke Length</th><td>12. 00</td></tr><tr><th>Stroke Length</th><td>300</td></tr><tr><th>Limit Switch</th><td>S-Track Basic Control, POT Output and Limit Switches</td></tr><tr><th>Potentiometer</th><td>Optional Potentiometer Available</td></tr><tr><th>Clevis Ends (diameter)</th><td>0. 375</td></tr><tr><th>Clevis Ends (diameter)</th><td>9. 5</td></tr><tr><th>Duty Cycle</th><td>0. 25</td></tr><tr><th>Operation Temperature Range</th><td>-20°F to +150°F (-40°F to +185°F available)</td></tr><tr><th>Operation Temperature Range</th><td>-29°C to +65°C (-40°C to +80°C available)</td></tr><tr><th>Static Load Capacity</th><td>700</td></tr><tr><th>Static Load Capacity</th><td>315</td></tr><tr><th>Speed at Full Load</th><td>1. 00</td></tr><tr><th>Speed at Full Load</th><td>25</td></tr><tr><th>A Dimension(English)</th><td>17. 32</td></tr><tr><th>A Dimension</th><td>439. 92</td></tr><tr><th>Gear Ratio</th><td>7 / 1</td></tr><tr><th>Motor Type</th><td>Standard</td></tr><tr><th>Nut Type</th><td>Standard</td></tr><tr><th>Base Fitting Alignment</th><td>Standard</td></tr><tr><th>IP-Rating</th><td>IP50 Standard</td></tr></table>"
5015370,"<p>The K2vL uses a flange bronze bearing configuration for internal load transfer, offering the lowest cost while maintaining the rugged-duty performance capabilities of the B-track family. This unit has a gear ratio of 5: 1, stroke length of 2 in (50 mm), and a standard base alignment. With a load capacity of 200 lbs (890 N), this unit is well suited for tough applications not needing the full load capacity of standard K2 models. K2vL units are weatherproofed with Nitrotec corrosion protection and high performance powder coat paint. </p><table class=""description-table""><tr><th>UPC</th><td>884107339757</td></tr><tr><th>Altra Master No. </th><td>20040319</td></tr><tr><th>Family Name</th><td>B-Track</td></tr><tr><th>Model No. </th><td>K2vL</td></tr><tr><th>Motor Voltage</th><td>12</td></tr><tr><th>Load Capacity</th><td>200</td></tr><tr><th>Load Capacity</th><td>890</td></tr><tr><th>Stroke Length</th><td>2. 00</td></tr><tr><th>Stroke Length</th><td>50</td></tr><tr><th>Limit Switch</th><td>No Limit Switch</td></tr><tr><th>Potentiometer</th><td>No Potentiometer</td></tr><tr><th>Clevis Ends (diameter)</th><td>0. 500</td></tr><tr><th>Clevis Ends (diameter)</th><td>12. 7</td></tr><tr><th>Duty Cycle</th><td>25% max. </td></tr><tr><th>Operation Temperature Range</th><td>-20°F to +150°F</td></tr><tr><th>Operation Temperature Range</th><td>-29°C to +65°C</td></tr><tr><th>Static Load Capacity</th><td>3, 000</td></tr><tr><th>Static Load Capacity</th><td>13, 345</td></tr><tr><th>A Dimension(English)</th><td>8. 32</td></tr><tr><th>A Dimension</th><td>211. 32</td></tr><tr><th>Control Model</th><td>Customer Supplied Control</td></tr><tr><th>Gear Ratio</th><td>5 / 1</td></tr><tr><th>Motor Type</th><td>Standard</td></tr><tr><th>Nut Type</th><td>Bronze Nut</td></tr><tr><th>Base Fitting Alignment</th><td>Standard</td></tr><tr><th>IP-Rating</th><td>IP69K Static (IP65 capable)</td></tr></table>"
5014924,"<p>S-Track electric actuators are designed for better control and quieter operation in general duty applications including medical, industrial, turf & garden and recreational vehicles. This S1 model has a gear ratio of 7: 1, 12 VDC standard motor, and a load capacity of 125 lb (556 N). The S-Track series has stroke lengths ranging from 4 to 12 in (100 to 300 mm), with this specific unit having a 4 in (100 mm) stroke length. This unit allows for keypad adjusted control, with the main benefit being able to change the end limit stop locations and two additional stops if needed. </p><table class=""description-table""><tr><th>UPC</th><td>883680677294</td></tr><tr><th>Altra Master No. </th><td>20049113</td></tr><tr><th>Family Name</th><td>S-Track</td></tr><tr><th>Model No. </th><td>S1</td></tr><tr><th>Motor Voltage</th><td>12</td></tr><tr><th>Load Capacity</th><td>125</td></tr><tr><th>Load Capacity</th><td>556</td></tr><tr><th>Stroke Length</th><td>4. 00</td></tr><tr><th>Stroke Length</th><td>100</td></tr><tr><th>Limit Switch</th><td>Key Pad Control</td></tr><tr><th>Clevis Ends (diameter)</th><td>0. 375</td></tr><tr><th>Clevis Ends (diameter)</th><td>9. 5</td></tr><tr><th>Duty Cycle</th><td>0. 25</td></tr><tr><th>Operation Temperature Range</th><td>-20°F to +150°F (-40°F to +185°F available)</td></tr><tr><th>Operation Temperature Range</th><td>-29°C to +65°C (-40°C to +80°C available)</td></tr><tr><th>Static Load Capacity</th><td>700</td></tr><tr><th>Static Load Capacity</th><td>315</td></tr><tr><th>Speed at Full Load</th><td>1. 00</td></tr><tr><th>Speed at Full Load</th><td>25</td></tr><tr><th>A Dimension(English)</th><td>9. 32</td></tr><tr><th>A Dimension</th><td>236. 72</td></tr><tr><th>Gear Ratio</th><td>7 / 1</td></tr><tr><th>Motor Type</th><td>Standard</td></tr><tr><th>Nut Type</th><td>Standard</td></tr><tr><th>Base Fitting Alignment</th><td>Standard</td></tr><tr><th>IP-Rating</th><td>IP50 Standard</td></tr></table>"
