id,additional_description
100487,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
100593,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
100838,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
101364,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
101748,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
100891,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
101794,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
100672,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
100965,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
101663,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
1234550,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
100736,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
100755,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
101705,"<p>Standard for all sizes of roller chain, these links are furnished as complete assemblies. The bushings are press fit into each of the linkplates.</p><ul><li>Engineered material minimizes impurities, which maximizes tensile and fatigue strength.</li><li>Diamond Chain Company’s proprietary carbon content and special alloy chemistries maximize the effectiveness of the heat treatment process.</li><li>Proprietary heat-treating process ensures consistent case hardening depth, which results in maximized wear life, less downtime, and lower costs.</li></ul>"
