id,additional_description
5020887,<p> Catalog ID: RCODP </p>
5020893,<p> Catalog ID: RCS2BK </p><p>With Pilot Light</p>
5020890,<p> Catalog ID: RCS1I </p><p>With Pilot Light</p>
5020898,<p> Catalog ID: RCS3BK </p><p>With Pilot Light</p>
5020885,<p> Catalog ID: RCDISP </p>
5020886,<p> Catalog ID: RCDP </p>
5020880,"<p> Catalog ID: RAFB4SPDUPLEX </p> <p>Floor and Wall Boxes, Sub-Plate for RAFB Boxes, Duplex Opening</p>"
5020881,"<p> Catalog ID: RAFB4SPORT </p> <p>Floor and Wall Boxes, Sub-Plate for RAFB Boxes, Ortronics Bezel</p>"
5020884,<p> Catalog ID: RCBTM </p>
5020883,"<p> Catalog ID: RAFB4SPTL16 </p> <p>Floor and Wall Boxes, Sub-Plate for RAFB Boxes, 1. 60"" Receptacle Opening</p>"
5020878,"<p> Catalog ID: RAFB4SPBLANK </p> <p>Floor and Wall Boxes, Sub-Plate for RAFB Boxes, Blank</p>"
5020856,"<p> Catalog ID: PWFBMPCR15GRY </p> <p>Pre-Wired Floor Boxes, 6-Gang, With Plate, CR15GRY, Stranded Wire</p>"
5020857,"<p> Catalog ID: PWFBMPCR15GRYTR </p> <p>CR15GRYTRP2 W/ PLATE, 2/4/6G, STRANDED</p>"
5020839,<p> Catalog ID: PT206208 </p>
5020829,<p> Catalog ID: PT206108 </p>
5020803,"<p> Catalog ID: PT156112U </p> <p>6 Foot Non-Metallic PlugTrak, 15 A, Single Circuit</p>"
5020787,"<p> Catalog ID: PT153112UP </p> <p>3 Foot Portable PlugTrak, 15 A</p>"
5020744,<p> Catalog ID: PROTRK1225BK </p>
5020748,<p> Catalog ID: PROTRK1ASPK </p>
5020745,<p> Catalog ID: PROTRK1225Y </p>
5020750,<p> Catalog ID: PROTRK3ASPK </p>
5020743,<p> Catalog ID: PROTRK115Y </p>
5020742,<p> Catalog ID: PROTRK115BK </p>
5020879,"<p> Catalog ID: RAFB4SPDECO </p> <p>Floor and Wall Boxes, Sub-Plate for RAFB Boxes, Decorator Opening</p>"
5020882,"<p> Catalog ID: RAFB4SPTL14 </p> <p>Floor and Wall Boxes, Sub-Plate for RAFB Boxes, 1. 40"" Receptacle Opening</p>"
5020876,"<p> Catalog ID: RAFB4SP3MAAP </p> <p>Floor and Wall Boxes, Sub-Plate for RAFB Boxes, 3) Extron MAAP</p>"
5020877,"<p> Catalog ID: RAFB4SP3UIS </p> <p>Floor Boxes, RAFB 4-Gang, Subplate, 3- Unit iStstion</p>"
5020871,"<p> Catalog ID: RAFB4BLK </p> <p>Floor and Wall Boxes, Round AFB Box, 4- Gang, 6. 5"" Depth, Black Cover</p>"
5020872,"<p> Catalog ID: RAFB4BRS </p> <p>Floor and Wall Boxes, Round AFB Box, 4- Gang, 6. 5"" Depth, Brass Cover</p>"
5020865,<p> Catalog ID: R202HN </p>
5020867,<p> Catalog ID: R31LX </p>
5020874,"<p> Catalog ID: RAFB4NKL </p> <p>Floor and Wall Boxes, Round AFB Box, 4- Gang, 6. 5"" Depth, Nickel Cover</p>"
5020875,"<p> Catalog ID: RAFB4SP2AAP </p> <p>Floor and Wall Boxes, Sub-Plate for RAFB Boxes, 2) Extron AAP</p>"
5020873,"<p> Catalog ID: RAFB4BRZ </p> <p>Floor and Wall Boxes, Round AFB Box, 4- Gang, 6. 5"" Depth, Bronze Cover</p>"
5020869,"<p> Catalog ID: RAFB4ALU </p> <p>Floor and Wall Boxes, Round AFB Box, 4- Gang, 6. 5"" Depth, Aluminum Cover</p>"
5020866,<p> Catalog ID: R21HN </p>
5020858,"<p> Catalog ID: PWFBMPCR20GRY </p> <p>Pre-Wired Floor Boxes, 6-Gang, With Plate, CR20GRY, Stranded Wire</p>"
5020859,"<p> Catalog ID: PWFBMPCR20GRYTR </p> <p>CR20GRYTRP2 W/ PLATE, 2/4/6G, STRANDED</p>"
5020860,"<p> Catalog ID: PWFBMPDR15GRY </p> <p>Pre-Wired Floor Boxes, 6-Gang, With Plate, DR15GRY, Stranded Wire</p>"
5020862,"<p> Catalog ID: PWFBMPDR20GRY </p> <p>Pre-Wired Floor Boxes, 6-Gang, With Plate, CR15GRY, Stranded Wire</p>"
5020864,<p> Catalog ID: R202HC </p>
5020861,"<p> Catalog ID: PWFBMPDR15GRYTR </p> <p>DR15GRYTRP2 W/ PLATE, 2/4/6G, STRANDED</p>"
5020863,"<p> Catalog ID: PWFBMPDR20GRYTR </p> <p>DR20GRYTRP2 W/ PLATE, 2/4/6G, STRANDED</p>"
5020870,"<p> Catalog ID: RAFB4BASE </p> <p>Floor and Wall Boxes, Round AFB Box, 4- Gang, 6. 5"" Depth, Temporary Cover</p>"
5020896,<p> Catalog ID: RCS2LA </p><p>With Pilot Light</p>
5020897,<p> Catalog ID: RCS2W </p><p>With Pilot Light</p>
5020900,<p> Catalog ID: RCS3I </p><p>With Pilot Light</p>
5020899,<p> Catalog ID: RCS3GY </p><p>With Pilot Light</p>
5020902,<p> Catalog ID: RCS3W </p><p>With Pilot Light</p>
5020895,<p> Catalog ID: RCS2I </p><p>With Pilot Light</p>
5020901,<p> Catalog ID: RCS3LA </p><p>With Pilot Light</p>
5020889,<p> Catalog ID: RCS1GY </p><p>With Pilot Light</p>
5020892,<p> Catalog ID: RCS1W </p><p>With Pilot Light</p>
5020891,<p> Catalog ID: RCS1LA </p><p>With Pilot Light</p>
5020888,<p> Catalog ID: RCS1BK </p><p>With Pilot Light</p>
5020894,<p> Catalog ID: RCS2GY </p><p>With Pilot Light</p>
5020605,<p> Catalog ID: NSC5EGY05 </p>
5020604,<p> Catalog ID: NSC5EGY03 </p>
5020598,<p> Catalog ID: NSC5EBK03 </p>
5020599,<p> Catalog ID: NSC5EBK05 </p>
5020597,<p> Catalog ID: NSC5EBK01 </p>
5020602,<p> Catalog ID: NSC5EBK15 </p>
5020603,<p> Catalog ID: NSC5EGY01 </p>
5020600,<p> Catalog ID: NSC5EBK07 </p>
5020601,<p> Catalog ID: NSC5EBK10 </p>
5020596,<p> Catalog ID: NSC5EB15 </p>
5020594,<p> Catalog ID: NSC5EB07 </p>
5020592,<p> Catalog ID: NSC5EB03 </p>
5020595,<p> Catalog ID: NSC5EB10 </p>
5022196,"<p> Catalog ID: ZB332C3W1PIN </p> <p>Connexions System, Connection Unit, 1 Whip, 3-Circuit, Pig Tails In</p>"
5022198,"<p> Catalog ID: ZB332C3W2TC </p> <p>Connexions System, Connection Unit, 2 Whip, 3-Circuit, Common Terminal</p>"
5022199,"<p> Catalog ID: ZB332C3W4TC </p> <p>Connexions System, Connection Unit, 4 Whip, 3-Circuit, Common Terminals</p>"
5022197,<p> Catalog ID: ZB332C3W1POUT </p>
5022195,"<p> Catalog ID: ZB332C12W4TM </p> <p>Connexions System, Connection Unit, 4 Whip, 12-Circuit, Multi Terminals</p>"
5022194,"<p> Catalog ID: ZB332C12W4P </p> <p>Connexions System, Connection Unit, 4 Whip, 12-Circuit, Pig Tails</p>"
5022192,"<p> Catalog ID: ZB111C8W8P </p> <p>Connexions System, Connection Unit, 8 Whip, 8-Circuit, Pig Tails</p>"
5022191,"<p> Catalog ID: ZB111C6W6TM </p> <p>Connexions System, Connection Unit, 6 Whip, 6-Circuit, Multi Terminals</p>"
5022193,"<p> Catalog ID: ZB111C8W8TM </p> <p>Connexions System, Connection Unit, 8 Whip, 8-Circuit, Multi Terminals</p>"
5022186,"<p> Catalog ID: ZB111C2W2P </p> <p>Connexions System, Connection Unit, 2 Whip, 2-Circuit, Pigtails</p>"
5020593,<p> Catalog ID: NSC5EB05 </p>
5020589,"<p> Catalog ID: NSAV6BW </p> <p>Wiring Device Kellems, NetSelect, Block Wall Bracket, FPTV, Metal, White</p> <ul><li>Trim Ring Covers Rough-In</li><li>Easily Mounts to Studs or Sheetrock</li><li>Sheet Metal Base With White Powder Coat Finish</li></ul>"
5020590,"<p> Catalog ID: NSAV6NW </p> <p>Flat Panel TV Box, Bracket, New Work, Metal</p> <ul><li>Trim Ring Covers Rough-In</li><li>Easily Mounts to Studs or Sheetrock</li><li>Sheet Metal Base With White Powder Coat Finish</li></ul>"
5020591,<p> Catalog ID: NSC5EB01 </p>
5020584,<p> Catalog ID: NSAV12C </p>
5020583,<p> Catalog ID: NSAV124M </p>
5020576,<p> Catalog ID: NPS8W </p>
5020575,<p> Catalog ID: NPS8LA </p>
5020574,<p> Catalog ID: NPS8I </p>
5020562,<p> Catalog ID: NPS3I </p>
5020564,<p> Catalog ID: NPS3W </p>
5020563,<p> Catalog ID: NPS3LA </p>
5057924,"<p> Catalog ID: HBL5226 </p> <p>Weatherproof Covers, 1-Gang, Decorator Opening, FS/FD Box Mounting, Vertical, Gray</p> <ul><li>Weatherproof for outdoor use</li><li>Rated for use in damp and wet locations with cover closed</li><li>Vertical 4 screw box mount</li><li>Marine Drip Proof</li></ul><p>Standard Product</p>"
5022213,<p> Catalog ID: ZB422S3C4W1POUT </p>
5022216,"<p> Catalog ID: ZB422S3C8W2P </p> <p>Connexions System, Connection Unit, 2 Whip, 8-Circuit, Pigtails, 3+1</p>"
5022214,"<p> Catalog ID: ZB422S3C4W2TC </p> <p>Connexions System, Connection Unit, 2 Whip, 4-Circuit, Common Terminals, 3+1</p>"
5022215,"<p> Catalog ID: ZB422S3C4W4TC </p> <p>Connexions System, Connection Unit, 4 Whip, 4-Circuit, Common Terminals, 3+1</p>"
5022212,"<p> Catalog ID: ZB422S3C4W1PIN </p> <p>HBL ZB422, 4CKT 1 WHIP, PIG TAILS IN 3+1</p>"
5022211,"<p> Catalog ID: ZB422S3C16W4TM </p> <p>HBL ZB422, 16CKT 4 WHIP, MULTI TERM 3+1</p>"
5022217,"<p> Catalog ID: ZB422S3C8W2TM </p> <p>Connexions System, Connection Unit, 2 Whip, 8-Circuit, Multi Terminals, 3+1</p>"
5022209,"<p> Catalog ID: ZB422S2C8W2TM </p> <p>Connexions System, Connection Unit, 2 Whip, 8-Circuit, Multo Terminals, 2+2</p>"
5022210,"<p> Catalog ID: ZB422S3C16W4P </p> <p>Connexions System, Connection Unit, 4 Whip, 16-Circuit, Pigtails, 3+1</p>"
5022207,"<p> Catalog ID: ZB422S2C4W4TC </p> <p>Connexions System, Connection Unit, 4 Whip, 4 Circuit, Common Terminals, 2+2</p>"
5022208,"<p> Catalog ID: ZB422S2C8W2P </p> <p>Connexions System, Connection Unit, 2 Whip, 8-Circuit, Pigtails, 2+2</p>"
5022204,"<p> Catalog ID: ZB422S2C4W1PIN </p> <p>HBL ZB422, 4CKT 1 WHIP, PIG TAILS IN 2+2</p>"
5022200,"<p> Catalog ID: ZB332C6W2P </p> <p>Connexions System, Connection Unit, 2 Whip, 6-Circuit, Pigtails</p>"
5022205,<p> Catalog ID: ZB422S2C4W1POUT </p>
5022202,"<p> Catalog ID: ZB422S2C16W4P </p> <p>Connexions System, Connection Unit, 4 Whip, 16 Circuit, Pigtails, 2+2</p>"
5022206,"<p> Catalog ID: ZB422S2C4W2TC </p> <p>Connexions System, Connection Unit, 2 Whip, 4-Circuit, Common Terminals, 2+2</p>"
5022203,"<p> Catalog ID: ZB422S2C16W4TM </p> <p>HBL ZB422, 16CKT 4 WHIP, MULTI TERM 2+2</p>"
5022201,"<p> Catalog ID: ZB332C6W2TM </p> <p>Connexions System, Connection Unit, 2 Whip, 6-Circuit, Multi Terminals</p>"
5020747,<p> Catalog ID: PROTRK140Y </p>
5020746,<p> Catalog ID: PROTRK140BK </p>
5020749,<p> Catalog ID: PROTRK2ASPK </p>
5020676,<p> Catalog ID: PFBSTAND </p>
5020643,<p> Catalog ID: NSPJ24 </p>
5020644,<p> Catalog ID: NSPJ48 </p>
5020635,<p> Catalog ID: NSC6W05 </p>
5020637,<p> Catalog ID: NSC6W10 </p>
5020636,<p> Catalog ID: NSC6W07 </p>
5020634,<p> Catalog ID: NSC6W03 </p>
5020632,<p> Catalog ID: NSC6GY15 </p>
5020633,<p> Catalog ID: NSC6W01 </p>
5020631,<p> Catalog ID: NSC6GY10 </p>
5020638,<p> Catalog ID: NSC6W15 </p>
5020630,<p> Catalog ID: NSC6GY07 </p>
5020629,<p> Catalog ID: NSC6GY05 </p>
5020627,<p> Catalog ID: NSC6GY01 </p>
5020626,<p> Catalog ID: NSC6BK15 </p>
5020628,<p> Catalog ID: NSC6GY03 </p>
5020622,<p> Catalog ID: NSC6BK03 </p>
5020625,<p> Catalog ID: NSC6BK10 </p>
5020624,<p> Catalog ID: NSC6BK07 </p>
5020623,<p> Catalog ID: NSC6BK05 </p>
5020618,<p> Catalog ID: NSC6B07 </p>
5020621,<p> Catalog ID: NSC6BK01 </p>
5020619,<p> Catalog ID: NSC6B10 </p>
5020616,<p> Catalog ID: NSC6B03 </p>
5020620,<p> Catalog ID: NSC6B15 </p>
5020617,<p> Catalog ID: NSC6B05 </p>
5020611,<p> Catalog ID: NSC5EW05 </p>
5020609,<p> Catalog ID: NSC5EW01 </p>
5020612,<p> Catalog ID: NSC5EW07 </p>
5020613,<p> Catalog ID: NSC5EW10 </p>
5020614,<p> Catalog ID: NSC5EW15 </p>
5020610,<p> Catalog ID: NSC5EW03 </p>
