ID,ADDITIONAL_DESCRIPTION
2242731,"<table class=""description-table""><tr><th>Belt Series</th><td>B</td></tr><tr><th>Number of Bands</th><td>1</td></tr><tr><th>Belt Pitch Length (In)</th><td>0</td></tr><tr><th>Length (In)</th><td>149</td></tr><tr><th>Dual-Sided</th><td>No</td></tr><tr><th>Height (In)</th><td>No</td></tr><tr><th>Intended Pulley Angle</th><td>0.44</td></tr><tr><th>Upper Width (Per Section - in)</th><td>0.66</td></tr></table>"
2744520,"<ul><li>Cold weather insulated for warmth.</li> <li>Padded synthetic palm material is soft and comfortable to wear.</li> <li>Open cuff design with textured pull-on tab for easy-on, easy-off.</li> <li>Textured fingertip pads provide added abrasion resistance.</li> <li>Padded knuckles for protection against bumps.</li> <li>Stretch spandex back for flexibility and fit.</li></ul>"
2740986,"<ul><li>Cold weather insulated for warmth.</li> <li>Padded synthetic palm material is soft and comfortable to wear.</li> <li>Open cuff design with textured pull-on tab for easy-on, easy-off.</li> <li>Textured fingertip pads provide added abrasion resistance.</li> <li>Padded knuckles for protection against bumps.</li> <li>Stretch spandex back for flexibility and fit.</li></ul>"
2422527,"<table class=""description-table""><tr><th>Length</th><td>100 Feet</td></tr><tr><th>Material</th><td>Carbon Steel</td></tr><tr><th>Pin Diameter</th><td>0.376 Inch</td></tr><tr><th>Pin Length L Max</th><td>1.330 Inch</td></tr><tr><th>Pitch Size</th><td>1.000 Inch</td></tr><tr><th>Plate Depth</th><td>0.951 Inch</td></tr><tr><th>Plate Lacing</th><td>3 x 4</td></tr><tr><th>Plate Thickness</th><td>0.161 Inch</td></tr><tr><th>Weight Per Foot</th><td>2.55 lb</td></tr></table> <p>All of our chain products have gone through stringent process measures for Best Quality! This includes heat treatment, which ensuring the optimum ware life and toughness for all component parts. Solid hardened and shot peened precision rollers are standard on most of our chains. The bushings provide a smooth roller bearing effect reducing the impact load as the chain engages the sprockets tooth. During chain assembly, all chain components are oriented to ensure pins, bushings and side plates are correctly positioned for optimum chain strength and long life. Assembled chains are then dipped in a hot lubricant. This lubrication and the process in which it is applied greatly improve the ware life capacity of the chain and further protect it from the effects of the environment. All of our chains are factory preload. They are pretested to support and maintain the expected load the chain will see when in use. This helps align the chain parts which will minimize the initial elongation. This will drastically increase the life of the chain.</p>"
2422526,"<table class=""description-table""><tr><th>Chain Pitch [Nom]</th><td>0.750 in</td></tr><tr><th>Lacing</th><td>3 x 4 in</td></tr><tr><th>Overall Width</th><td>1.043 in</td></tr><tr><th>Pin Diameter</th><td>0.312 in</td></tr><tr><th>Sidebar Thickness</th><td>0.122 in</td></tr><tr><th>Weight</th><td>5.51 LB</td></tr></table>"
2422525,"<p>BL534 Leaf Chain 250 Feet For Forklift masts, Lifts, Hoisting 25 Connecting Link Jeremywell Leaf Chain, ANSI BL534, 250ft with 25 connecting links. Commonly used in applications such as; Forklift masts, Lifts, Hoisting and compensating devices, For attaching counter machines, and Oven doors. Tested and proven to have the highest average tensile strength (The maximum stress it withstands before failing) Satisfaction Guaranteed. The pictures above are taken from our BL634 Chain, which represents all of our Leaf Chain Products. Pitch (P)Plate LacingPlate Depth (h2)Plate Thickness (T)Pin Diameter (d2) 0.625inch 3x4 0.594inch 0.096 inch 0.235 inch Pin Length (L) Ultimate Tensile Strength Weight Per Foot 0.800inch 11114 lbf 1.008 lb/ft The manufacturing of our roller chain *Images for illustration purpose only, Actual product may vary.</p>"
1258980,"<p>80FHMCL Senqcia Maxco Hi-Max Brand Flat Side Bar Roller Chain 80F Connecting Link Spring Clip Type 1 inch pitch</p><table class=""description-table""><tr><th>Pitch</th><td>1</td></tr><tr><th>Size</th><td>80</td></tr><tr><th>Strands</th><td>1</td></tr><tr><th>Type</th><td>Connecting Link</td></tr><tr><th>Unit of Measure</th><td>EA</td></tr><tr><th>MPN</th><td>80FHMCL</td></tr></table>"
667132,"<p>Maxco Inspire Series SBR Cottered Connecting Link, Trade Size: C2060H ASME/ANSI, 1-1/2 Inch Pitch, 2.17 Inch Length, 1.22 Inch Width, Steel, Finish: Stainless Steel, 0.67 Inch Height, For Use With: Double Pitch Roller Chain</p><table class=""description-table""><tr><th>Length</th><td>2.17 Inch</td></tr><tr><th>Type</th><td>Cottered</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Finish</th><td>Stainless Steel</td></tr><tr><th>Pitch</th><td>1-1/2 Inch</td></tr><tr><th>Trade Size</th><td>C2060H ASME/ANSI</td></tr><tr><th>Sub Brand</th><td>Inspire Series SBR</td></tr><tr><th>Item</th><td>Connecting Link</td></tr><tr><th>Height</th><td>0.67 Inch</td></tr><tr><th>For Use With</th><td>Double Pitch Roller Chain</td></tr><tr><th>Width</th><td>1.22 Inch</td></tr></table>"
1853618,"<h5>IDC 6900 2RS</h5><p>6900 (61900) Series Radial Ball Bearing</p><p>Sealed Thin Section – Metric</p><h5>Features</h5><ul><li>Sealed for Life</li><li>PolyRex EM Lubricant</li><li>C3 Radial Internal Clearance</li><li>ABEC 1 Precision</li></ul><table class=""description-table""><tbody><tr><th>Bore d (mm)</th><td>10</td></tr><tr><th>Outside Diameter D (mm)</th><td>22</td></tr><tr><th>Width B (mm)</th><td>6</td></tr><tr><th>Basic Dynamic Load Rating (lb)</th><td>610</td></tr><tr><th>Basic Static Load Rating (lb)</th><td>290</td></tr><tr><th>Speed Rating Grease RPM</th><td>28000</td></tr><tr><th>Speed Rating Oil RPM</th><td>N/A</td></tr><tr><th>Weight (lb)</th><td>0.02</td></tr><tr><th>Closure</th><td>2 Rubber Seals</td></tr><tr><th>Lubricant</th><td>Mobil Polyrex EM</td></tr><tr><th>Material</th><td>SAE-52100 Chromium Steel</td></tr></tbody></table>"
2982962,"<p>6-inch portable desk fan. Powered by USB (universal serial bus) cord or (4) AA batteries, not included. Provides easy mobility and convenience. Ideal for use in offices and work areas.</p>"
