id,additional_description
2893759,"<p>Master Trax is a heavy-duty entrance mat designed specifically for oversized entrances and foyers where one piece of matting is required versus multiple individual mats. With a robust 52 ounces of needle-punch yarn per square yard, Master Trax can withstand high traffic areas such as entrances to stores/shopping malls, hospitals, schools, and office buildings. The berber style top surface comes in a variety of colors to match any decor and beveled edge borders are available for a more gradual transition. A heavy-duty rubber backing with a textured underside helps minimize mat movement. </p><h5>Features &amp; Benefits</h5> <ul><li>Oversized product for high traffic entrances &amp; foyers</li> <li>52 ounces of needle punch yarn per square yard</li> <li>100% solution dyed UV stabilized polypropylene fibers</li> <li>Berber design carpet surface</li> <li>Heat-sealed borders are standard - Optional beveled edge borders are available for a more gradual transition</li> <li>Available in a wide variety of classic and aesthetically pleasing colors to match any decor</li> <li>Non-skid rubber backing to help minimize mat movement</li> <li>Can be used for recessed areas</li></ul><p>Available Colors: Burgundy, Hunter Green, Charcoal, Navy, Light Brown, Dark Brown, Gray, Red/Black*Note: Additional colors available upon request</p> <h5>Specifications</h5><table class=""description-table""><tr><th>Overall Thickness</th><td>7/16""</td></tr></table><p>Sales Tip: Recommend for any oversized entrance where multiple mats are not desirable. <br>Where to Specify: Heavy traffic entrances: Retail, shopping malls, schools, hospitals, airports, and office buildings. <br>Shipping Location: Superior Manufacturing Group - Calhoun, GA 30701<br></p>"
2893758,"<p>Master Trax is a heavy-duty entrance mat designed specifically for oversized entrances and foyers where one piece of matting is required versus multiple individual mats. With a robust 52 ounces of needle-punch yarn per square yard, Master Trax can withstand high traffic areas such as entrances to stores/shopping malls, hospitals, schools, and office buildings. The berber style top surface comes in a variety of colors to match any decor and beveled edge borders are available for a more gradual transition. A heavy-duty rubber backing with a textured underside helps minimize mat movement. </p><h5>Features &amp; Benefits</h5> <ul><li>Oversized product for high traffic entrances &amp; foyers</li> <li>52 ounces of needle punch yarn per square yard</li> <li>100% solution dyed UV stabilized polypropylene fibers</li> <li>Berber design carpet surface</li> <li>Heat-sealed borders are standard - Optional beveled edge borders are available for a more gradual transition</li> <li>Available in a wide variety of classic and aesthetically pleasing colors to match any decor</li> <li>Non-skid rubber backing to help minimize mat movement</li> <li>Can be used for recessed areas</li></ul><p>Available Colors: Burgundy, Hunter Green, Charcoal, Navy, Light Brown, Dark Brown, Gray, Red/Black*Note: Additional colors available upon request</p> <h5>Specifications</h5><table class=""description-table""><tr><th>Overall Thickness</th><td>7/16""</td></tr></table><p>Sales Tip: Recommend for any oversized entrance where multiple mats are not desirable. <br>Where to Specify: Heavy traffic entrances: Retail, shopping malls, schools, hospitals, airports, and office buildings. <br>Shipping Location: Superior Manufacturing Group - Calhoun, GA 30701<br></p>"
2893768,"<p>This nitrile ramp is designed for use with the Skymaster HD o-Curve family of floor mats and provides a beveled edge for easy access onto or off of the work platform. Made from a 100% nitrile base rubber compound these ramps are made for heavy duty dry industrial environments.  All ramp lengths fit the male interlocking system of the mats. </p> <h5>Features &amp; Benefits</h5> <ul><li>100% nitrile rubber</li> <li>Bevelled edges prevent tripping. </li> <li>Available in black and yellow. </li> <li>For smart safety beveling solutions to minimize risk of tripping</li></ul><p>Available Colors: Black, Yellow</p> <h5>Specifications</h5><table class=""description-table""><tr><th>Overall Thickness</th><td>5/8""</td></tr></table><p>Sales Tip: All ramp lengths are beveled and molded with mitered corners and a protruding tab. The tab locks together the two adjoining ramps for a secure, professional corner. <br>Where to Specify: With all Skystep HD o-Curve family matting products where a beveled edge to reduce trip hazards is necessary. <br></p>"
2893767,"<p>This nitrile ramp is designed for use with the Skymaster HD o-Curve family of floor mats and provides a beveled edge for easy access onto or off of the work platform. Made from a 100% nitrile base rubber compound these ramps are made for heavy duty dry industrial environments.  All ramp lengths fit the male interlocking system of the mats. </p> <h5>Features &amp; Benefits</h5> <ul><li>100% nitrile rubber</li> <li>Bevelled edges prevent tripping. </li> <li>Available in black and yellow. </li> <li>For smart safety beveling solutions to minimize risk of tripping</li></ul><p>Available Colors: Black, Yellow</p> <h5>Specifications</h5><table class=""description-table""><tr><th>Overall Thickness</th><td>5/8""</td></tr></table><p>Sales Tip: All ramp lengths are beveled and molded with mitered corners and a protruding tab. The tab locks together the two adjoining ramps for a secure, professional corner. <br>Where to Specify: With all Skystep HD o-Curve family matting products where a beveled edge to reduce trip hazards is necessary. <br></p>"
2893766,"<p>This nitrile ramp is designed for use with the Skymaster HD o-Curve family of floor mats and provides a beveled edge for easy access onto or off of the work platform. Made from a 100% nitrile base rubber compound these ramps are made for heavy duty dry industrial environments.  All ramp lengths fit the male interlocking system of the mats. </p> <h5>Features &amp; Benefits</h5> <ul><li>100% nitrile rubber</li> <li>Bevelled edges prevent tripping. </li> <li>Available in black and yellow. </li> <li>For smart safety beveling solutions to minimize risk of tripping</li></ul><p>Available Colors: Black, Yellow</p> <h5>Specifications</h5><table class=""description-table""><tr><th>Overall Thickness</th><td>5/8""</td></tr></table><p>Sales Tip: All ramp lengths are beveled and molded with mitered corners and a protruding tab. The tab locks together the two adjoining ramps for a secure, professional corner. <br>Where to Specify: With all Skystep HD o-Curve family matting products where a beveled edge to reduce trip hazards is necessary. <br></p>"
2893765,"<p>This nitrile ramp is designed for use with the Skymaster HD o-Curve family of floor mats and provides a beveled edge for easy access onto or off of the work platform. Made from a 100% nitrile base rubber compound these ramps are made for heavy duty dry industrial environments.  All ramp lengths fit the male interlocking system of the mats. </p> <h5>Features &amp; Benefits</h5> <ul><li>100% nitrile rubber</li> <li>Bevelled edges prevent tripping. </li> <li>Available in black and yellow. </li> <li>For smart safety beveling solutions to minimize risk of tripping</li></ul><p>Available Colors: Black, Yellow</p> <h5>Specifications</h5><table class=""description-table""><tr><th>Overall Thickness</th><td>5/8""</td></tr></table><p>Sales Tip: All ramp lengths are beveled and molded with mitered corners and a protruding tab. The tab locks together the two adjoining ramps for a secure, professional corner. <br>Where to Specify: With all Skystep HD o-Curve family matting products where a beveled edge to reduce trip hazards is necessary. <br></p>"
2893764,"<p>The unique design and craftsmanship make the mat easy to handle and install. Made from a heavy duty rubber compound, this product is best suited for dry industrial applications. Snap together, 22. 5-degree wedges can be easily assembled into unique configurations such as S-curves, half-moons and complete circles. The o-Curve connects seamless to the SkymasterHD  i-Curve to create even larger corners with a 6ft wide radius or complete circles with a 12ft diameter.  The SkymasterHD Curve is compatible with the SkymasterHD series for coverage of large areas or individual work stations. A 5/8"" thick worker platform with ergonomic bubble pattern creates maximum comfort. </p> <h5>Features &amp; Benefits</h5> <ul><li>22. 5 degree curve</li> <li>5/8"" thick</li> <li>Interlocking modular mats</li> <li>Compatible with Skymaster HD series</li> <li>Made of 100% heavy duty natural rubber compound. </li> <li>For general purpose applications</li> <li>Attachable round beveled edges prevent tripping</li></ul> <p> </p><p>Available Colors: Black/Yellow Black/Black </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Overall Thickness</th><td>5/8""</td></tr></table><p>Where to Specify: Dry industrial environments <br></p>"
2893763,"<p>Master Guard is the ultimate heavy-duty indoor/outdoor logo mat. With 52 ounces of needle-punch yarn per square yard and a stylish berber carpet surface, Master Guard promotes your brand or message in the heaviest traffic areas. An all-weather non-skid backing, and UV stable polypropylene fibers allow for use outdoors, and high profile vinyl edging is available to reduce trip hazards. </p> <h5>Features &amp; Benefits</h5> <ul><li>All-weather indoor/outdoor mat with a non-skid backing</li> <li>Designed for use in large format/high traffic entrances</li> <li>52 ounces of needle punch yarn per square yard</li> <li>100% solution dyed UV stabilized polypropylene fibers</li> <li>Berber design carpet surface</li> <li>Heavy-duty edging reduces trip hazards and keeps mat flat and in position</li></ul> <p>Available Colors: 36 Base and inlay colors</p> <h5>Specifications</h5><table class=""description-table""><tr><th>Overall Thickness</th><td>1/2""</td></tr><tr><th>Stock Sizes</th><td>18""x24"", 2'x3', 3'x4', 3'x5', 3'x6', 3'x8', 3'x10', 3'x12', 4'x6', 4'x8', 4'x10', 4'x12', 6'x6', 6'x8', 6'x10', 6'x12', 6'x20', 8'x20', 12'x12'</td></tr><tr><th>Custom Size</th><td>Max Length: 75'Max Width: 13'-2""</td></tr></table><p>Sales Tip: Solid color mats also available to compliment logo mats in a facility. <br>Where to Specify: Heavy traffic entrances where a long-lasting image is critical: Retail, restaurants, hotels, corporate offices, schools. <br>Shipping Location: Superior Manufacturing Group - Calhoun, GA 30701<br></p>"
2893762,"<p>Master Trax Tiles are heavy-duty carpet tiles designed for use in large areas and custom flooring applications where individual carpet mats are not enough. With 52 ounces of needle-punch yarn per square yard and a berber style carpet surface, Master Trax Tiles can stand up to the heaviest traffic areas such as hospitals, schools, airports, and office buildings. Tiles come in a wide variety of classic fashionable colors. </p><h5>Features &amp; Benefits</h5><table class=""description-table""><tr><th>Individual tile size</th><td>19. 69"" x 19. 69""</td></tr><tr><th>Designed for use in large format areas and custom flooring applications</li> <li>52 ounces of needle punch yarn per square yard</li> <li>100% solution dyed UV stabilized polypropylene fibers</li> <li>Berber design carpet surface</li> <li>Available in a wide variety of classic and aesthetically pleasing colors to match any decor</li> <li>Carton size</th><td>12 tiles / 32. 5 sq. ft. </td></tr></table><p>Available Colors: Cardinal Red, Garnet, Beige, Zinc, Coir, Taupe, Azure, Steel Blue, Midnight Blue, Prism, Verde Green, Hunter Green, Autumn, Loden, Rosewood, Chocolate, Walnut, Teak, Sterling, Black Shadow, Gris/Charcoal</p> <h5>Specifications</h5><table class=""description-table""><tr><th>Overall Thickness</th><td>1/2""</td></tr><tr><th>Stock Sizes</th><td>19. 69""x19. 69"" Tiles</td></tr></table><p>Sales Tip: Heavy-duty carpet tiles designed for use in large areas and custom flooring applications where individual carpet mats are not enough. <br>Where to Specify: Heavy traffic entrances and flooring applications: Retail, shopping malls, schools, hospitals, airports, and office buildings. <br>Shipping Location: Superior Manufacturing Group - Calhoun, GA 30701<br></p>"
2893761,"<p>Master Trax is a heavy-duty entrance mat designed specifically for oversized entrances and foyers where one piece of matting is required versus multiple individual mats. With a robust 52 ounces of needle-punch yarn per square yard, Master Trax can withstand high traffic areas such as entrances to stores/shopping malls, hospitals, schools, and office buildings. The berber style top surface comes in a variety of colors to match any decor and beveled edge borders are available for a more gradual transition. A heavy-duty rubber backing with a textured underside helps minimize mat movement. </p><h5>Features &amp; Benefits</h5> <ul><li>Oversized product for high traffic entrances &amp; foyers</li> <li>52 ounces of needle punch yarn per square yard</li> <li>100% solution dyed UV stabilized polypropylene fibers</li> <li>Berber design carpet surface</li> <li>Heat-sealed borders are standard - Optional beveled edge borders are available for a more gradual transition</li> <li>Available in a wide variety of classic and aesthetically pleasing colors to match any decor</li> <li>Non-skid rubber backing to help minimize mat movement</li> <li>Can be used for recessed areas</li></ul><p>Available Colors: Burgundy, Hunter Green, Charcoal, Navy, Light Brown, Dark Brown, Gray, Red/Black*Note: Additional colors available upon request</p> <h5>Specifications</h5><table class=""description-table""><tr><th>Overall Thickness</th><td>7/16""</td></tr></table><p>Sales Tip: Recommend for any oversized entrance where multiple mats are not desirable. <br>Where to Specify: Heavy traffic entrances: Retail, shopping malls, schools, hospitals, airports, and office buildings. <br>Shipping Location: Superior Manufacturing Group - Calhoun, GA 30701<br></p>"
