ID,ADDITIONAL_DESCRIPTION
1764185,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Three-bolt extension flange (standard)</td></tr><tr><th>Housing</th><td>EDT ""KG"" cast polymer housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td>QuiKlean</td></tr><tr><th>Group size</th><td>1. 850""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>3/4""</td></tr></table>"
1764184,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Three-bolt extension flange (standard)</td></tr><tr><th>Housing</th><td>EDT ""KG"" cast polymer housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td></td></tr><tr><th>Group size</th><td>1. 575""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td></td></tr></table>"
1764183,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Three-bolt extension flange (standard)</td></tr><tr><th>Housing</th><td>Stainless housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td></td></tr><tr><th>Group size</th><td>3. 937""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>2""</td></tr></table>"
1764182,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Three-bolt extension flange (standard)</td></tr><tr><th>Housing</th><td>Stainless housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td></td></tr><tr><th>Group size</th><td>3. 346""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>1-11/16""</td></tr></table>"
1764181,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Three-bolt extension flange (standard)</td></tr><tr><th>Housing</th><td>Stainless housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td></td></tr><tr><th>Group size</th><td>2. 441""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>1""</td></tr></table>"
1764180,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Three-bolt extension flange (standard)</td></tr><tr><th>Housing</th><td>Stainless housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td>Housing modification</td></tr><tr><th>Group size</th><td>1. 850""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td></td></tr></table>"
1764179,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Three-bolt extension flange (standard)</td></tr><tr><th>Housing</th><td>Stainless housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td></td></tr><tr><th>Group size</th><td>1. 575""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>1/2""</td></tr></table>"
1764178,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Two-bolt flange, standard bolt centers</td></tr><tr><th>Housing</th><td>EDT ""KG"" cast polymer housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td></td></tr><tr><th>Group size</th><td>3. 937""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>2-1/4""</td></tr></table>"
1764218,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Four-bolt flange</td></tr><tr><th>Housing</th><td>EDT ""KG"" cast polymer housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td></td></tr><tr><th>Group size</th><td>2. 835""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>1-5/16""</td></tr></table>"
1764217,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Four-bolt flange</td></tr><tr><th>Housing</th><td>EDT ""KG"" cast polymer housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td>QuiKlean</td></tr><tr><th>Group size</th><td>2. 441""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>1-1/4""</td></tr></table>"
1764216,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Four-bolt flange</td></tr><tr><th>Housing</th><td>EDT ""KG"" cast polymer housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td>Housing modification</td></tr><tr><th>Group size</th><td>2. 441""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>1-3/16""</td></tr></table>"
1764215,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Four-bolt flange</td></tr><tr><th>Housing</th><td>EDT ""KG"" cast polymer housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td>Housing modification</td></tr><tr><th>Group size</th><td>2. 441""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>1-1/4""</td></tr></table>"
1764214,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Four-bolt flange</td></tr><tr><th>Housing</th><td>EDT ""KG"" cast polymer housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td></td></tr><tr><th>Group size</th><td>2. 047""</td></tr><tr><th>Modifier</th><td></td></tr><tr><th>Shaft</th><td></td></tr></table>"
1764213,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Four-bolt flange</td></tr><tr><th>Housing</th><td>EDT ""KG"" cast polymer housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td>QuiKlean</td></tr><tr><th>Group size</th><td>1. 850""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>3/4""</td></tr></table>"
1764212,"<table class=""description-table""><tr><th>Material</th><td>metal</td></tr><tr><th>Shape or series</th><td>Four-bolt flange</td></tr><tr><th>Housing</th><td>Stainless housing (spherical ID)</td></tr><tr><th>Housing modifier</th><td></td></tr><tr><th>Group size</th><td>5. 128""</td></tr><tr><th>Modifier</th><td>Ball bearing in housing</td></tr><tr><th>Shaft</th><td>3""</td></tr></table>"
