id,additional_description
5759317,"<p>Directly connect to a compressor and split to three separate connections with the Flexeel Pigtail Manifold. These manifolds feature a short length of Flexeel Polyurethane Hose with a flat hex manifold and multiple high quality couplers. </p> <ul><li>Constructed of Polyurethane Flexeel</li> <li>Features Reusable Brass Fittings</li> <li>Contains High Quality Couplers &amp; Connectos</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Pigtail Manifold. 3/8"" x 48"", 3/8 Industrial Interchange, Trans Blue</td></tr><tr><th>Color</th><td>Transparent Blue</td></tr><tr><th>Interchange</th><td>Industrial</td></tr><tr><th>Interchange Size</th><td>3/8""</td></tr><tr><th>Length</th><td>48""</td></tr><tr><th>UPC ID</th><td>029292532921</td></tr></tbody></table>"
5759318,"<p>Directly connect to a compressor and split to three separate connections with the Flexeel Pigtail Manifold. These manifolds feature a short length of Flexeel Polyurethane Hose with a flat hex manifold and multiple high quality couplers. </p> <ul><li>Constructed of Polyurethane Flexeel</li> <li>Features Reusable Brass Fittings</li> <li>Contains High Quality Couplers &amp; Connectos</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Pigtail Manifold. 3/8"" x 48"", 3/8 Automotive Interchange, Trans Blue</td></tr><tr><th>Color</th><td>Transparent Blue</td></tr><tr><th>Interchange</th><td>Automotive</td></tr><tr><th>Interchange Size</th><td>3/8""</td></tr><tr><th>Length</th><td>48""</td></tr><tr><th>UPC ID</th><td>029292532891</td></tr></tbody></table>"
5759381,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>GilaFlex PVC Hose 3/8 x 100 x 1/4 MPT, Orange</td></tr><tr><th>Color</th><td>Orange</td></tr><tr><th>Fittings</th><td>1/4"" MPT Rigid</td></tr><tr><th>Inside Diameter</th><td>3/8""</td></tr><tr><th>Length</th><td>100'</td></tr><tr><th>UPC ID</th><td>029292106795</td></tr></tbody></table>"
5759406,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>General Purpose Hose, 1/2"" ID x 50', 1/2"" MPT</td></tr><tr><th>Color</th><td>Red</td></tr><tr><th>Fittings</th><td>1/2"" MPT Rigid</td></tr><tr><th>Inside Diameter</th><td>1/2""</td></tr><tr><th>Length</th><td>50'</td></tr><tr><th>UPC ID</th><td>029292299121</td></tr></tbody></table>"
5759412,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>General Purpose Hose, 1/4"" ID x 100', 1/4"" MPT</td></tr><tr><th>Color</th><td>Red</td></tr><tr><th>Fittings</th><td>1/4"" MPT Rigid</td></tr><tr><th>Inside Diameter</th><td>1/4""</td></tr><tr><th>Length</th><td>100'</td></tr><tr><th>UPC ID</th><td>029292298919</td></tr></tbody></table>"
5758162,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Heavy Duty Series Regulator, 3/4""</td></tr><tr><th>Gauge</th><td>No</td></tr><tr><th>Max Pressure</th><td>250 psi</td></tr><tr><th>Packaging</th><td>Box</td></tr><tr><th>Port Size</th><td>3/4""</td></tr><tr><th>Pressure Range</th><td>0-125 psi</td></tr><tr><th>UPC ID</th><td>029292153652</td></tr></tbody></table>"
5758163,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Heavy Duty Series Regulator, 3/4"", Gauge</td></tr><tr><th>Gauge</th><td>Yes</td></tr><tr><th>Max Pressure</th><td>250 psi</td></tr><tr><th>Packaging</th><td>Box</td></tr><tr><th>Port Size</th><td>3/4""</td></tr><tr><th>Pressure Range</th><td>0-125 psi</td></tr><tr><th>UPC ID</th><td>029292153683</td></tr></tbody></table>"
5758164,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Heavy Duty Series Regulator, 3/4"", Gauge, 0-200 psi</td></tr><tr><th>Gauge</th><td>Yes</td></tr><tr><th>Max Pressure</th><td>250 psi</td></tr><tr><th>Packaging</th><td>Box</td></tr><tr><th>Port Size</th><td>3/4""</td></tr><tr><th>Pressure Range</th><td>0-200 psi</td></tr><tr><th>UPC ID</th><td>029292884808</td></tr></tbody></table>"
5758165,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Heavy Duty Series Regulator, 3/4"", Gauge, Tamper Proof</td></tr><tr><th>Gauge</th><td>Yes</td></tr><tr><th>Max Pressure</th><td>250 psi</td></tr><tr><th>Packaging</th><td>Box</td></tr><tr><th>Port Size</th><td>3/4""</td></tr><tr><th>Pressure Range</th><td>0-125 psi</td></tr><tr><th>UPC ID</th><td>029292105613</td></tr></tbody></table>"
5758166,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Heavy Duty Series Regulator, 3/4"", Gauge, 0-60 psi</td></tr><tr><th>Gauge</th><td>Yes</td></tr><tr><th>Max Pressure</th><td>250 psi</td></tr><tr><th>Packaging</th><td>Box</td></tr><tr><th>Port Size</th><td>3/4""</td></tr><tr><th>Pressure Range</th><td>0-60 psi</td></tr><tr><th>UPC ID</th><td>029292884815</td></tr></tbody></table>"
