id,additional_description,,,,,,,,,,,,,,,,
1750175,"<p> Description </p> <p>Quarrow CR2032 3V Lithium Button Cell Batteries are used in most all of the Quarrow Cap-Lights. Quartz wrist watches (digital and analog, ) calculators, hearing aids, some remote controls, keyless entry remotes, battery power for computer real-time clocks, small PDA devices, various electronic toys, LED flashlights, battery operated children&rsquo;s books and glucometers are some of the more common applications for this size battery. </p>",,,,,,,,,,,,,,,,
1750211,"<p> Specifications </p> <p> Rod </p> <ul> <li>9'0"" 5wt. 4 piece high modulus graphite fly rod</li> <li>Maple wood reel seat with aluminum ring</li> <li>Premium natural cork handle</li> <li>Hard chrome snake guide</li> </ul> <p> Reel </p> <ul> <li>Diecast / machined aluminum frame and spool</li> <li>V-cut large arbor spool design</li> <li>Smooth Rulon drag</li> <li>Easily converts from right to left hand retrieve</li> </ul> <p> Lines </p> <ul> <li>Weight forward floating line</li> <li>20 lbs. backing line</li> <li>Tapered leader</li> </ul> <p> Case </p> <ul> <li>Cordura tube case with zipper reel pocket and shoulder strap</li> </ul>",,,,,,,,,,,,,,,,
1750213,"<p> Specifications </p> <p>Height - 9. 5""<br /> Width - 3""<br /> Weight - 0. 3 lbs. </p> <p> Description </p> <p>The Quarrow Hook Remover is yet another essential for your tackle box. The ergonomic handle ensures a good grip and is designed for easy one-handed operation. The hook remover extends to reach even the deepest hooks and the slim design allows for the small-mouthed catches as well. The lightweight aluminum body is also rust-resistant for use in fresh or salt water. </p> <p> Features </p> <ul> <li>Lightweight aluminum body designed for easy use</li> <li>Rust-resistant</li> <li>The long-reach hook remover is ideal for releasing larger species</li> <li>Ergonomic handles ensures a good grip</li> <li>Easily removes hook and secures it for quick, clean removal</li> <li>Extends to reach deep hooks</li> <li>9"" length</li> </ul>",,,,,,,,,,,,,,,,
1750214,"<p> Specifications </p> <p>Length - 10. 75"" / Extends to 23. 6""<br /> Weight - 0. 34 lbs. </p> <p> Description </p> <p>The Quarrow Telescopic Fishing Gaff features high-grade stainless steel gaffs that are corrosion-resistant. A protective rubber cover is attached to the shaft of the gaff that keeps the hook tip covered when not in use. The gaff is also outfitted with an ergonomic PVC grip for a comfortable non-slip grip. The telescoping feature gives over an extra foot of reach, extending to 23. 6"" overall. </p> <p> Features </p> <ul> <li>High quality Stainless Steel hook with protective rubber hook cover</li> <li>2 Piece high quality aluminum alloy collapsible frame/handle</li> <li>Non-slip comfortable PVC grip handle</li> <li>Wrist strap included</li> <li>Compact design</li> <li>Gaff extends to 23. 6 inches</li> </ul>",,,,,,,,,,,,,,,,
1750220,"<p> Specifications </p> <p>Length - 6. 25""<br /> Height - 4""<br /> Width - 1. 125""<br /> Weight - 0. 3 lbs. <br /> Batteries - One CR2032 battery (included)</p> <p> Description </p> <p>The Quarrow Pistol Grip Digital Scale weighs catches up to 55 lbs. (25kg. ) The ergonomic pistol grip design allows you to hold and weigh fish with one hand. The back-lit LCD display will give weight readouts in pounds, kilograms and Jin. Weighing a live catch can be difficult. The non-slip rubber trigger grip ensures a solid grip and the indicator light illuminates when the scale has calculated the exact weight. The pistol grip scale is water-resistant and features stainless steel jaws making it ideal for fresh or saltwater use. A durable nylon pouch and a coil lanyard with carabiner ring are included to keep this scale handy. Quarrow Pistol Grip Digital Scale&hellip;ideal for serious anglers. </p> <p> Features </p> <ul> <li>Weighs up to 55 lbs. or 25 Kg. </li> <li>Back-lit LCD display</li> <li>Measures in Kg, Lbs and Jin</li> <li>Ergonomically designed pistol grip</li> <li>Indicator light signals exact weight</li> <li>Non-slip rubber trigger grip</li> <li>Stainless steel jaws</li> <li>Coil lanyard with carabiner ring</li> <li>Water-resistant</li> </ul>",,,,,,,,,,,,,,,,
1750325,"<p> Specifications </p> <p>Length - Coiled - 17. 71"" (450 mm)<br /> Extended - 39. 37"" (1, 000 mm)<br /> Weight - 0. 15 lbs. </p> <p> Description </p> <p>You asked; we delivered. You wanted a pressure switch that you could use with your existing NEBO/iPROTEC products. Here it is. The Dual Mode Pressure Switch by iPROTEC is just over 17"" in its recoiled position, but can extend to over 3&rsquo; to suit your specific needs. The most important feature is the dual mode. The dual mode feature is two buttons in one switch so that you can independently control your lights functions by choosing momentary or steady on. The steady switch uses hard/soft touch technology allowing settings to be changed in two different ways. <br /> Hard touch: Simply click through the functions (light will turn off in between settings. )<br /> NOTE: Some lights will reset to first setting (100% ON) after being off for 10 seconds. <br /> Soft touch: Press button halfway with no click. This allows the user to cycle through&nbsp;the settings quickly without the light turning off between settings. <br /> The momentary switch activates the light only while pressure is being applied to the button. (Light will change settings with each use. *NOTE: Some lights will reset to first setting (100% ON) after being off for 10 seconds. ) PROTEC Dual Mode Pressure Switch is the accessory to have, especially if you already have NEBO or iPROTEC flashlight. </p> <p> Features </p> <ul> <li>Dual switch incorporates two buttons inside the switch, one for momentary operation and the other for steady on. </li> <li>Specifically designed to be used with the following products: <ul> <li>#5557, #5581, #5599 &amp; #5610 NEBO REDLINE</li> <li>#5565 PROTEC Laser / Flashlight Combo</li> <li>#5566 PROTEC Elite Laser / Flashlight Combo</li> <li>#5586 U. S. Army TAC-110Z</li> <li>#5463, #5564 NEBO CHAMELEON</li> <li>#5624 NEBO REDLINE 220 Lumen Bright Light</li> <li>#5630 PROTEC REDLINE</li> <li>#5631 PROTEC GREENLIGHT</li> <li>#5632 PROTEC REDLIGHT</li> <li>#5929 PROTEC PRO-220 Light</li> </ul> </li> </ul>",,,,,,,,,,,,,,,,
1750219,"<p> Specifications </p> <p>Weight - 0. 75 lbs. </p> <p> Description </p> <p>The Quarrow interchangeable 3 Blade Fillet Knife features an 8"" fillet blade, 6"" fillet blade and a 4"" serrated blade. Each blade is constructed of high quality 420 stainless steel for maximum performance and corrosion resistance. The ergonomic plastic handle is rubber coated to improve grip and durability. The blade lock makes for quick and easy blade changing no tools required. All items are conveniently stored in a compact durable Cordura shealth. </p> <p> Features </p> <ul> <li>3 interchangeable blades: 8"" fillet, 6"" fillet and 4"" serrated</li> <li>Blades constructed of titanium coated 420 stainless steel</li> <li>Non-slip handle</li> <li>Blade lock</li> <li>Cordura carrying sheath</li> </ul>",,,,,,,,,,,,,,,,
1750216,"<p> Specifications </p> <ul> <li>FR Matched Rod: <ul> <li>9' 3"" Piece 5/6 Weight Rod</li> <li>Natural Cork Handle</li> </ul> </li> <li>FR56 Reel: <ul> <li>Diecast, Rim-Controlled Graphite Spool and Frame</li> <li>Convert to Right or Left Hand Retrieve</li> <li>Fully Loaded Size 5/6 Reel (50 Yards of 20# Deacron Backing, WF5F, Tapered Leader)</li> </ul> </li> <li>Fly Box: <ul> <li>7 Piece Custom Fly Assortment with Plastic Case Included</li> </ul> </li> </ul>",,,,,,,,,,,,,,,,
1750215,"<p> Specifications </p> <ul> <li>FR Matched Rod: <ul> <li>9' 3"" Piece 5/6 Weight Rod</li> <li>Natural Cork Handle</li> </ul> </li> <li>FR56 Reel: <ul> <li>Diecast, Rim-Controlled Graphite Spool and Frame</li> <li>Convert to Right or Left Hand Retrieve</li> <li>Fully Loaded Size 5/6 Reel (50 Yards of 20# Deacron Backing, WF5F, Tapered Leader)</li> </ul> </li> <li>Fly Box: <ul> <li>7 Piece Custom Fly Assortment with Plastic Case Included</li> </ul> </li> </ul>",,,,,,,,,,,,,,,,
1750217,"<p> Specifications Length - 6"" Width - 2. 25"" Weight - 0. 4 lbs. </p> <p> Description The Quarrow Braided Line Cutting Pliers easily and safely cut braided fishing lines. Stainless steel blades resist water corrosion. This is a great addition to any tackle box. Compact enough to fit into your pocket, these pliers have 7 tools essential to any fisherman or woman. The Braided Line Cutting Pliers are a compact, innovative 7-in1 tool featuring: split ring pliers, braided line cutters, wire cutters, wire crimper, knife blade, file and a flat-head screwdriver. &nbsp;Perfectly convenient, the Braided Line Cutting Pliers can easily go with you wherever you go. Locking split nose for gripping split rings, crimping, punching and mono filament / braided line cutting. Long, narrow serrated jaws hold and cut new generation braided fishing lines, even in tight places. Spring-loaded action with lock for added versatility, this tool is made of the finest 420 stainless steel. Quarrow Braided Line Cutting Pliers designed for every angler. </p> <p> Features </p> <ul> <li>7 tools in 1: <ul> <li>Bent Nose Split Ring Pliers</li> <li>Braided Line Cutters</li> <li>Wire Cutters</li> <li>Wire Crimper</li> <li>Knife Blade</li> <li>File</li> <li>Flat-Head Screwdriver</li> </ul> </li> <li>Spring-loaded actions with lock for added versatility. </li> </ul>",,,,,,,,,,,,,,,,
