id,additional_description
155935,"<h5>Specifications</h5><table class=""description-table""><tr><th>Hook Size</th><td>4-1/2-3</td></tr><tr><th>Hook Style</th><td>Carded</td></tr><tr><th>Belt Thickness (in. )</th><td>3/16-7/32</td></tr><tr><th>Minimum Pulley Diameter (in. )</th><td>4</td></tr><tr><th>Wire Diameter (in. )</th><td>. 054</td></tr><tr><th>Required Pin Diameter (in. )</th><td>. 125</td></tr><tr><th>Fastener Material</th><td>High Tensile</td></tr><tr><th>Strip Length (in. )</th><td>12</td></tr><tr><th>Hooks Per Card or Strip</th><td>84</td></tr><tr><th>Hinge Pin Included</th><td>No</td></tr><tr><th>Cards or Strips per Box</th><td>12</td></tr><tr><th>Lacing Inches/Box</th><td>144</td></tr><tr><th>Weight (lbs)</th><td>1. 4</td></tr></table>"
155582,"<h5>Specifications</h5><table class=""description-table""><tr><th>For Use With</th><td>Slotted nuts only</td></tr><tr><th>Fastener Size</th><td>Flexco Bolt Hinged: 375X/550 Flexco Bolt Solid: 1, 140, 190 &amp; RP1</td></tr><tr><th>Bolt Hole Diameter (in. )</th><td>1/4</td></tr><tr><th>Weight (lbs)</th><td>0. 2</td></tr></table>"
155934,"<h5>Specifications</h5><table class=""description-table""><tr><th>Hook Size</th><td>4-1/2</td></tr><tr><th>Hook Style</th><td>Carded</td></tr><tr><th>Belt Thickness (in. )</th><td>1/4-9/32</td></tr><tr><th>Minimum Pulley Diameter (in. )</th><td>4</td></tr><tr><th>Wire Diameter (in. )</th><td>. 054</td></tr><tr><th>Required Pin Diameter (in. )</th><td>. 125</td></tr><tr><th>Fastener Material</th><td>Monel</td></tr><tr><th>Strip Length (in. )</th><td>12</td></tr><tr><th>Hooks Per Card or Strip</th><td>84</td></tr><tr><th>Hinge Pin Included</th><td>No</td></tr><tr><th>Cards or Strips per Box</th><td>12</td></tr><tr><th>Lacing Inches/Box</th><td>144</td></tr><tr><th>Weight (lbs)</th><td>1. 5</td></tr></table>"
156715,"<h5>Specifications</h5><table class=""description-table""><tr><th>Belt Width (in. )</th><td>36</td></tr><tr><th>Fastener Size</th><td>190</td></tr><tr><th>Weight (lbs)</th><td>4. 5</td></tr></table>"
155325,"<h5>Specifications</h5><table class=""description-table""><tr><th>Hinge Pin Material</th><td>Notched Steel</td></tr><tr><th>HINGE PINS IN COILS</th><td>25 feet minimum</td></tr><tr><th>Hinge Pin Diameter (in. )</th><td>. 093</td></tr></table>"
783160,"<h5>Specifications</h5><table class=""description-table""><tr><th>For Use With</th><td>Air Powered Rivet Driver</td></tr><tr><th>Weight (lbs)</th><td>0. 3</td></tr></table>"
783159,"<h5>Specifications</h5><table class=""description-table""><tr><th>For Use With</th><td>Air Powered Rivet Driver</td></tr><tr><th>Weight (lbs)</th><td>0. 1</td></tr></table>"
783158,"<h5>Specifications</h5><table class=""description-table""><tr><th>Weight (lbs)</th><td>5. 0</td></tr></table>"
783157,"<h5>Specifications</h5><table class=""description-table""><tr><th>Weight (lbs)</th><td>4. 5</td></tr></table>"
155360,"<h5>Specifications</h5><table class=""description-table""><tr><th>Belt Width (in. )</th><td>38</td></tr></table>"
157624,"<h5>Specifications</h5><table class=""description-table""><tr><th>Coil Length (ft)</th><td>100</td></tr><tr><th>Hinge Pin Material</th><td>Nylon</td></tr><tr><th>Hinge Pin Diameter (in. )</th><td>. 096</td></tr><tr><th>Weight (lbs)</th><td>2. 20</td></tr></table>"
155764,"<h5>Specifications</h5><table class=""description-table""><tr><th>Coil Length (ft)</th><td>10</td></tr><tr><th>Hinge Pin Material</th><td>Nylon</td></tr><tr><th>Hinge Pin Diameter (in. )</th><td>. 096</td></tr><tr><th>Weight (lbs)</th><td>0. 22</td></tr></table>"
