ID,ADDITIONAL_DESCRIPTION
5739114,"<table class=""description-table""><tbody><tr><td align='left' valign='top'>Category </td><td align='left' valign='top'>Wet Location Emergency Light</td></tr><tr><td align='left' valign='top'></td><td align='left' valign='top'></td></tr><tr><td colspan='5' align='left' valign='top'>Features: </td></tr><tr><td colspan='5' valign='top'><ul><li>Dual-Voltage Input 120/277VAC Operation</li><li>UL Listed for Wet Location</li><li>Suitable for cold weather</li><li>Two fully adjustable ultra-bright LED Lamp Heads</li><li>90 Minutes Minimum Emergency Operation</li><li>Injection Molded, 5VA Flame Retardant, High Impact, Thermoplastic</li><li>Fully Gasketed Corrosion-Resistant Enclosure</li><li>Surface wall mount only, brackets included</li><li>Sealed Push to Test Switch</li><li>Maintenance free 9.6V NiCd Battery</li><li>Fully automatic operation</li></ul></td></tr><tr><td colspan='5' valign='top'></td></tr></table>"
5739110,"<table class=""description-table""><tbody><tr><td align='left' valign='top'>Category </td><td align='left' valign='top'>Emergency Lights</td></tr><tr><td align='left' valign='top'></td><td align='left' valign='top'></td></tr><tr><td colspan='6' align='left' valign='top'>Features: </td></tr><tr><td colspan='6' valign='top'><ul><li>Dual-Voltage Input 120/277VAC Operation</li><li>UL Listed for Damp Location</li><li>Long-lasting, Energy Saving ultra-brightLED Lamps (1W per lamp head)</li><li>90 Minutes Minimum Emergency Operation</li><li>Injection Molded, 5VA Flame Retardant, High Impact, Thermoplastic</li><li>Fully adjustable, glare-free Lamp Heads</li><li>Universal Mounting Plate with Quick-Connect</li><li>Conduit Mount Knockout on top of housing</li><li>Suitable for wall and ceiling mounting</li><li>High Performance Chrome Plated Reflector</li><li>Push to Test Switch</li><li>Maintenance free 3.6V NiCd Battery</li><li>Fully automatic operation</li><li>Remote Capable for up to 2 additional Lamp Heads (HO Only)</li></ul></td></tr><tr><td colspan='6' valign='top'></td></tr></tbody> </table>"
1415236,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td align='left'>Landscape Lighting</td></tr><tr><td align='left'>Barcode</td><td align='left'>6-15624-26864-6</td></tr><tr><td colspan='2' align='left'>Features:</td></tr><tr><td colspan='2' align='left'>10' Heavy-Duty PVC Spike<br>1/2' Thread</td></tr><tr><td colspan='2' align='left'></td></tr><tr><td colspan='2' align='left'>Specifications: </td></tr><tr><td align='left'>Color</td><td align='left'>Bronze</td></tr><tr><td colspan='2' align='left'>Packaging Info: </td></tr><tr><td align='left'>Std Pkg</td><td align='left'>1</td></tr><tr><td align='left'>Weight</td><td align='left'></td></tr></tbody> </table>"
1415166,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td align='left'>Landscape Lighting</td></tr><tr><td align='left'>Barcode</td><td align='left'>6-15624-26381-8</td></tr><tr><td colspan='2' align='left'>Description:</td></tr><tr><td colspan='2' align='left'>PAR36, 8 Narrow Spot</td></tr><tr><td colspan='2' align='left'></td></tr><tr><td colspan='2' align='left'>Specifications: </td></tr><tr><td align='left'>Voltage</td><td align='left'>12V</td></tr><tr><td align='left'>Wattage</td><td align='left'>50W</td></tr><tr><td align='left'>Base</td><td align='left'>Screw Terminals</td></tr><tr><td align='left'>Life hours</td><td align='left'>3500</td></tr><tr><td colspan='2' align='left'>Packaging Info: </td></tr><tr><td align='left'>Std Pkg</td><td align='left'>10</td></tr><tr><td align='left'>Weight</td><td align='left'></td></tr><tr><td colspan='2' align='left'></td></tr></tbody> </table>"
1415363,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td align='left'>Landscape Lighting</td></tr><tr><td align='left'>Barcode</td><td align='left'>6-15624-26298-9</td></tr><tr><td colspan='2' align='left'>Description:</td></tr><tr><td colspan='2' align='left'>12V Snap Connector for LVC <br>Main 10/2, 12/2, or 14/2 to 16/2, 18/2</td></tr><tr><td colspan='2' align='left'>Specification:</td></tr><tr><td align='left'>Colors Available</td><td align='left'>Black</td></tr><tr><td colspan='2' align='left'></td></tr><tr><td colspan='2' align='left'>Packaging Info: </td></tr><tr><td align='left'>Std Pkg</td><td align='left'>10</td></tr><tr><td align='left'>Weight</td><td align='left'></td></tr><tr><td colspan='2' align='left'></td></tr></tbody> </table>"
1415318,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td align='left'>Landscape Lighting</td></tr><tr><td align='left'>Barcode</td><td align='left'>6-15624-26350-4</td></tr><tr><td colspan='2' align='left'>Features:</td></tr><tr><td colspan='2' align='left'>8-12' Professional PVC Spike<br>1/2' Thread</td></tr><tr><td colspan='2' align='left'></td></tr><tr><td colspan='2' align='left'>Specifications: </td></tr><tr><td align='left'>Color</td><td align='left'>Bronze</td></tr><tr><td colspan='2' align='left'>Packaging Info: </td></tr><tr><td align='left'>Std Pkg</td><td align='left'>1</td></tr><tr><td align='left'>Weight</td><td align='left'></td></tr></tbody> </table>"
1415288,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td align='left'>WEATHERPROOF</td></tr><tr><td align='left'>Barcode</td><td align='left'>6-15624-37415-6</td></tr><tr><td colspan='2' align='left'>Description: </td></tr><tr><td colspan='2' align='left'>Tree-Hugger Canopy, Low-Voltage</td></tr><tr><td colspan='2' align='left'></td></tr><tr><td colspan='2' align='left'>Features:</td></tr><tr><td colspan='2' align='left'><ul><li>Cast Aluminum</li><li> White color</li></ul></td></tr><tr><td colspan='2' align='left'>Packaging Info: </td></tr><tr><td align='left'>Std Pkg</td><td align='left'>1</td></tr><tr><td align='left'>Weight</td><td align='left'>0.17 lbs</td></tr><tr><td colspan='2' align='left'></td></tr></tbody> </table>"
1415287,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td align='left'>WEATHERPROOF</td></tr><tr><td align='left'>Barcode</td><td align='left'>6-15624-37414-9</td></tr><tr><td colspan='2' align='left'>Description: </td></tr><tr><td colspan='2' align='left'>Tree-Hugger Canopy, Low-Voltage</td></tr><tr><td colspan='2' align='left'></td></tr><tr><td colspan='2' align='left'>Features:</td></tr><tr><td colspan='2' align='left'><ul><li>Cast Aluminum</li><li> Verde Green color</li></ul></td></tr><tr><td colspan='2' align='left'>Packaging Info: </td></tr><tr><td align='left'>Std Pkg</td><td align='left'>1</td></tr><tr><td align='left'>Weight</td><td align='left'>0.17 lbs</td></tr><tr><td colspan='2' align='left'></td></tr></tbody> </table>"
1415286,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td align='left'>WEATHERPROOF</td></tr><tr><td align='left'>Barcode</td><td align='left'>6-15624-37413-2</td></tr><tr><td colspan='2' align='left'>Description: </td></tr><tr><td colspan='2' align='left'>Tree-Hugger Canopy, Low-Voltage</td></tr><tr><td colspan='2' align='left'></td></tr><tr><td colspan='2' align='left'>Features:</td></tr><tr><td colspan='2' align='left'><ul><li>Cast Aluminum</li><li> Green color</li></ul></td></tr><tr><td colspan='2' align='left'>Packaging Info: </td></tr><tr><td align='left'>Std Pkg</td><td align='left'>1</td></tr><tr><td align='left'>Weight</td><td align='left'>0.17 lbs</td></tr><tr><td colspan='2' align='left'></td></tr></tbody> </table>"
1415285,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td align='left'>WEATHERPROOF</td></tr><tr><td align='left'>Barcode</td><td align='left'>6-15624-37412-5</td></tr><tr><td colspan='2' align='left'>Description: </td></tr><tr><td colspan='2' align='left'>Tree-Hugger Canopy, Low-Voltage</td></tr><tr><td colspan='2' align='left'></td></tr><tr><td colspan='2' align='left'>Features:</td></tr><tr><td colspan='2' align='left'><ul><li>Cast Aluminum</li><li> Bronze color</li></ul></td></tr><tr><td colspan='2' align='left'>Packaging Info: </td></tr><tr><td align='left'>Std Pkg</td><td align='left'>1</td></tr><tr><td align='left'>Weight</td><td align='left'>0.17 lbs</td></tr><tr><td colspan='2' align='left'></td></tr></tbody> </table>"
1415284,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td align='left'>WEATHERPROOF</td></tr><tr><td align='left'>Barcode</td><td align='left'>6-15624-26342-9</td></tr><tr><td colspan='2' align='left'>Description: </td></tr><tr><td colspan='2' align='left'>Tree-Hugger Canopy, Low-Voltage</td></tr><tr><td colspan='2' align='left'></td></tr><tr><td colspan='2' align='left'>Features:</td></tr><tr><td colspan='2' align='left'><ul><li>Cast Aluminum</li><li> Black color</li></ul></td></tr><tr><td colspan='2' align='left'>Packaging Info: </td></tr><tr><td align='left'>Std Pkg</td><td align='left'>1</td></tr><tr><td align='left'>Weight</td><td align='left'>0.17 lbs</td></tr><tr><td colspan='2' align='left'></td></tr></tbody> </table>"
1414833,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td>CONDUIT BODY</td><td></td></tr><tr><td align='left' valign='top'>Barcode</td><td>8-35243-00209-8</td><td></td></tr><tr><td colspan='3' align='left' valign='top'>Features:</td></tr><tr><td colspan='3' valign='top'>- Die Cast Copper-Free Aluminum</td></tr><tr><td colspan='3' valign='top'></td></tr><tr><td colspan='3' align='left'>Dimension: </td></tr><tr><th>Dim A</th><td>3 - 3/16'</td><td rowspan='6'></td></tr><tr><th>Dim B</th><td>9 - 1/2'</td></tr><tr><th>Dim C</th><td>3 - 3/8'</td></tr><tr><th>Dim D</th><td>10 - 9/16'</td></tr><tr><th>Dim E</th><td>4 - 9/32'</td></tr><tr><th></th><td></td></tr><tr><td colspan='3' align='left'>Specifications:</td></tr><tr><th>Color</th><td>Gray</td><td></td></tr><tr><th>Trade Size</th><td>2'</td><td></td></tr><tr><td colspan='3' align='left'>Packaging Info: </td></tr><tr><th>Std Pkg</th><td>1</td><td></td></tr></tbody> </table>"
1414734,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td align='left'>Landscape Lighting</td></tr><tr><td align='left'></td><td align='left'></td></tr><tr><td colspan='2' align='left'>Feature: </td></tr><tr><td align='left'>Optional Louver for <a href='/5300s.html'>5300S</a></td><td align='left'></td></tr><tr><td align='left'></td><td align='left'></td></tr></tbody> </table>"
1414083,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td>PIPE FITTING</td></tr><tr><td align='left' valign='top'>Barcode</td><td>8-35243-05403-5</td></tr><tr><td colspan='2' align='left' valign='top'></td></tr><tr><td colspan='2' align='left' valign='top'>Features:</td></tr><tr><td colspan='2' valign='top'><ul><li>150C rated Throat Insulator</li><li>Malleable iron</li><li>Full machine-cut internal threads</li><li>Meets Federal Spec. A-A-50553</li><li>Lug Range: #6 -250MCM</li></ul></td></tr><tr><td colspan='2' align='left'></td></tr><tr><td align='left'>Trade Size</td><td>6'</td></tr><tr><td colspan='2' align='left'></td></tr><tr><td colspan='2' align='left'>Packaging Info:</td></tr><tr><th>Std Pkg</th><td>-</td></tr><tr><th>Master CTN</th><td>5</td></tr><tr><td colspan='2'></td></tr><tr><td colspan='2'>Certifications:</td></tr></tbody> </table>"
1414059,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td>CONDUIT BODY</td><td></td></tr><tr><td align='left' valign='top'>Barcode</td><td>8-35243-00208-1</td><td></td></tr><tr><td colspan='3' align='left' valign='top'>Features:</td></tr><tr><td colspan='3' valign='top'>- Die Cast Copper-Free Aluminum</td></tr><tr><td colspan='3' valign='top'></td></tr><tr><td colspan='3' align='left'>Dimension: </td></tr><tr><th>Dim A</th><td>2 - 1/2'</td><td rowspan='6'></td></tr><tr><th>Dim B</th><td>7 - 5/16'</td></tr><tr><th>Dim C</th><td>2 - 1/2'</td></tr><tr><th>Dim D</th><td>8 - 3/8'</td></tr><tr><th>Dim E</th><td>3 - 1/2'</td></tr><tr><th></th><td></td></tr><tr><td colspan='3' align='left'>Specifications:</td></tr><tr><th>Color</th><td>Gray</td><td></td></tr><tr><th>Trade Size</th><td>1-1/2'</td><td></td></tr><tr><td colspan='3' align='left'>Packaging Info: </td></tr><tr><th>Std Pkg</th><td>2</td><td></td></tr><tr><th>Master Ctn</th><td>8</td><td></td></tr></tbody> </table>"
1414040,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td>CONDUIT BODY</td><td></td></tr><tr><td align='left' valign='top'>Barcode</td><td>8-35243-00207-4</td><td></td></tr><tr><td colspan='3' align='left' valign='top'>Features:</td></tr><tr><td colspan='3' valign='top'>- Die Cast Copper-Free Aluminum</td></tr><tr><td colspan='3' valign='top'></td></tr><tr><td colspan='3' align='left'>Dimension: </td></tr><tr><th>Dim A</th><td>2 - 1/2'</td><td rowspan='6'></td></tr><tr><th>Dim B</th><td>7 - 5/16'</td></tr><tr><th>Dim C</th><td>2 - 1/2'</td></tr><tr><th>Dim D</th><td>8 - 3/8'</td></tr><tr><th>Dim E</th><td>3 - 1/2'</td></tr><tr><th></th><td></td></tr><tr><td colspan='3' align='left'>Specifications:</td></tr><tr><th>Color</th><td>Gray</td><td></td></tr><tr><th>Trade Size</th><td>1-1/4'</td><td></td></tr><tr><td colspan='3' align='left'>Packaging Info: </td></tr><tr><th>Std Pkg</th><td>2</td><td></td></tr><tr><th>Master Ctn</th><td>8</td><td></td></tr></tbody> </table>"
1413885,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td>CONDUIT BODY</td><td></td></tr><tr><td align='left' valign='top'>Barcode</td><td>8-35243-00205-0</td><td></td></tr><tr><td colspan='3' align='left' valign='top'>Features:</td></tr><tr><td colspan='3' valign='top'>- Die Cast Copper-Free Aluminum</td></tr><tr><td colspan='3' valign='top'></td></tr><tr><td colspan='3' align='left'>Dimension: </td></tr><tr><th>Dim A</th><td>1 - 13/16'</td><td rowspan='6'></td></tr><tr><th>Dim B</th><td>5 - 3/8'</td></tr><tr><th>Dim C</th><td>1 - 7/8'</td></tr><tr><th>Dim D</th><td>6 - 7/16'</td></tr><tr><th>Dim E</th><td>2 - 11/16'</td></tr><tr><th></th><td></td></tr><tr><td colspan='3' align='left'>Specifications:</td></tr><tr><th>Color</th><td>Gray</td><td></td></tr><tr><th>Trade Size</th><td>1'</td><td></td></tr><tr><td colspan='3' align='left'>Packaging Info: </td></tr><tr><th>Std Pkg</th><td>5</td><td></td></tr><tr><th>Master Ctn</th><td>20</td><td></td></tr></tbody> </table>"
1413796,"<table class=""description-table""><tbody><tr><td align='left'>Category</td><td>EXIT &amp; EMERGENCY</td></tr><tr><td align='left' valign='top'>Barcode</td><td>6-15624-87227-0</td></tr><tr><td colspan='2' align='left' valign='top'></td></tr><tr><td colspan='2' align='left' valign='top'>Features:</td></tr><tr><td colspan='2' valign='top'>4.8V, 650-700mAh Ni-Cad Replacement Battery<br>For use with All Orbit Exit Signs Excluding Combination Units</td></tr><tr><td colspan='2' valign='top'></td></tr><tr><td colspan='2' align='left'>Packaging Info: </td></tr><tr><td align='left'>Std Pkg</td><td>1</td></tr><tr><td align='left'>Weight</td><td>0.9</td></tr><tr><td colspan='2' align='left'>Documents:</td></tr><tr><td colspan='2'></td></tr></tbody> </table>"
