"ID","ADDITIONAL_DESCRIPTION"
"39009","<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Altra Master No</th><td>30225860</td></tr><tr><th>UPC</th><td>781711334225</td></tr><tr><th>Inside Diameter Fra In</th><td>4.500000</td></tr><tr><th>Outside Diameter Fra In</th><td>7.0000</td></tr><tr><th>Description</th><td>Bear-N-Bronz is Boston Gear's general purpose, cast, solid bronze bearing material. It is a high grade, leaded tin bronze, having good hardness, strength, wear-resistance and exceptional anti-friction qualities. It is particularly suited for moderate to heavy loads at normal to relatively high speeds. All parts are rigidly inspected to assure freedom from porosity and conformance to dimensional tolerances. In addition, our standard product offering, the Bear-N-Bronz material can be provided in different sizes, bar lengths (up to 105""), and with oil grooves.</td></tr><tr><th>Family Name</th><td>Bear-N-Bronz</td></tr><tr><th>Length Fra In</th><td>13.000000</td></tr><tr><th>Max Pv Value</th><td>75,000</td></tr><tr><th>Max P Value Psi</th><td>3,000</td></tr><tr><th>Max V Value Fpm</th><td>750</td></tr><tr><th>Product Description</th><td>Bearing, Bar, Cored, 660 Cast Bronze</td></tr><tr><th>Weight Lbs</th><td>97</td></tr><tr><th>Family Id</th><td>30,071</td></tr><tr><th>Unit Of Measure</th><td>English</td></tr><tr><th>california provision</th><td>WARNING: This product contains lead, known to the State of California to cause cancer and birth defects or other reproductive harm.</td></tr></tbody></table>"
"38933","<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Altra Master No</th><td>30225757</td></tr><tr><th>UPC</th><td>781711332085</td></tr><tr><th>Inside Diameter Fra In</th><td>1.625000</td></tr><tr><th>Outside Diameter Fra In</th><td>2.3750</td></tr><tr><th>Description</th><td>Bear-N-Bronz is Boston Gear's general purpose, cast, solid bronze bearing material. It is a high grade, leaded tin bronze, having good hardness, strength, wear-resistance and exceptional anti-friction qualities. It is particularly suited for moderate to heavy loads at normal to relatively high speeds. All parts are rigidly inspected to assure freedom from porosity and conformance to dimensional tolerances. In addition, our standard product offering, the Bear-N-Bronz material can be provided in different sizes, bar lengths (up to 105""), and with oil grooves.</td></tr><tr><th>Family Name</th><td>Bear-N-Bronz</td></tr><tr><th>Length Fra In</th><td>13.000000</td></tr><tr><th>Max Pv Value</th><td>75,000</td></tr><tr><th>Max P Value Psi</th><td>3,000</td></tr><tr><th>Max V Value Fpm</th><td>750</td></tr><tr><th>Product Description</th><td>Bearing, Bar, Cored, 660 Cast Bronze</td></tr><tr><th>Weight Lbs</th><td>10-1/2</td></tr><tr><th>Family Id</th><td>30,071</td></tr><tr><th>Unit Of Measure</th><td>English</td></tr><tr><th>california provision</th><td>WARNING: This product contains lead, known to the State of California to cause cancer and birth defects or other reproductive harm.</td></tr></tbody></table>"
"32178","<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Altra Master No</th><td>30214740</td></tr><tr><th>UPC</th><td>781711084427</td></tr><tr><th>Overall Length Fra In</th><td>5.000000</td></tr><tr><th>Material</th><td>Alloy Steel</td></tr><tr><th>Hub Diameter Fra In</th><td>1.750000</td></tr><tr><th>Description</th><td>Boston Gear's precision-machined J and JS Series universal joints, commonly referred to as ""pin and block"" type, are designed for connecting shafts at angles up to 30° for speeds up to 2000 RPM. All 14 sizes are stocked in solid, plain, and finished bores in both steel (J) and stainless steel (JS). And all are available through Boston Gear's Guaranteed Same Day Shipment Program for the timeliest delivery possible.</td></tr><tr><th>Family Name</th><td>J/JS Series Universal Joints</td></tr><tr><th>Product Description</th><td>Universal Joint, J/Series, Pin & Block Type, Alloy Steel</td></tr><tr><th>Weight Lbs</th><td>2.401</td></tr><tr><th>Bore Length In</th><td>1-19/32""</td></tr><tr><th>Family Id</th><td>30,026</td></tr><tr><th>Unit Of Measure</th><td>English</td></tr><tr><th>bore diameter both ends</th><td>7/8""</td></tr><tr><th>bore diameter both ends order</th><td>7/8 (in)</td></tr></tbody></table>"
"39405","<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>UPC</th><td>781711575161</td></tr><tr><th>Inside Diameter Fra In</th><td>1.000000</td></tr><tr><th>Outside Diameter Fra In</th><td>3.7500</td></tr><tr><th>Material</th><td>Delrin</td></tr><tr><th>Description</th><td>Boston Gear’s roller, BOStonE</td></tr><tr><th>Family Name</th><td>BOStonE</td></tr><tr><th>Assembly Types</th><td>30238116</td></tr><tr><th>Length Fra In</th><td>2.000000</td></tr><tr><th>Max Pv Value</th><td>3,000</td></tr><tr><th>Max P Value Psi</th><td>480</td></tr><tr><th>Max V Value Fpm</th><td>300</td></tr><tr><th>Product Description</th><td>Bearing, BOStonE, roller, Delrin, 1"" ID</td></tr><tr><th>Weight Lbs</th><td>0.511</td></tr><tr><th>Family Id</th><td>30,072</td></tr><tr><th>Unit Of Measure</th><td>English</td></tr><tr><th>product note</th><td>BOStonE F-1 bearings may be green, white or any other color.</td></tr></tbody></table>"
"39568","<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Horse Power</th><td>3</td></tr><tr><th>horse power order</th><td>3</td></tr><tr><th>Voltage Phase Hz</th><td>230/460-3-60</td></tr><tr><th>Bore Code</th><td>B9</td></tr><tr><th>Nema Mtg</th><td>182TC/184TC</td></tr><tr><th>nema mtg order</th><td>182TC/184TC</td></tr><tr><th>Full Load Amps</th><td>8.8/4.4</td></tr><tr><th>Description</th><td>Boston Gear’s open drip proof NEMA c-face AC motors are offered in ratings from ¼ to 5 horsepower; 115, 230, and 460 volt models; single and three phase. And don’t forget Boston Gear’s Guaranteed Same Day Shipment program – revolutionary premium free guaranteed same day shipment for in-stock items.</td></tr><tr><th>Family Name</th><td>AC Motors</td></tr><tr><th>Locked Rotor Lb Ft</th><td>26.28</td></tr><tr><th>Motor Type</th><td>AC Motor, ODP, C-Face</td></tr><tr><th>Full Load Eff Percent</th><td>84</td></tr><tr><th>Service Factor</th><td>1.15</td></tr><tr><th>Product Description</th><td>3 HP, 230/460-3-60, 182TC, Less Base</td></tr><tr><th>Weight Lbs</th><td>65</td></tr><tr><th>Family Id</th><td>30,025</td></tr><tr><th>Unit Of Measure</th><td>English</td></tr></tbody></table>"
"39004","<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Altra Master No</th><td>30225855</td></tr><tr><th>UPC</th><td>781711334126</td></tr><tr><th>Inside Diameter Fra In</th><td>4.000000</td></tr><tr><th>Outside Diameter Fra In</th><td>5.5000</td></tr><tr><th>Description</th><td>Bear-N-Bronz is Boston Gear's general purpose, cast, solid bronze bearing material. It is a high grade, leaded tin bronze, having good hardness, strength, wear-resistance and exceptional anti-friction qualities. It is particularly suited for moderate to heavy loads at normal to relatively high speeds. All parts are rigidly inspected to assure freedom from porosity and conformance to dimensional tolerances. In addition, our standard product offering, the Bear-N-Bronz material can be provided in different sizes, bar lengths (up to 105""), and with oil grooves.</td></tr><tr><th>Family Name</th><td>Bear-N-Bronz</td></tr><tr><th>Length Fra In</th><td>13.000000</td></tr><tr><th>Max Pv Value</th><td>75,000</td></tr><tr><th>Max P Value Psi</th><td>3,000</td></tr><tr><th>Max V Value Fpm</th><td>750</td></tr><tr><th>Product Description</th><td>Bearing, Bar, Cored, 660 Cast Bronze</td></tr><tr><th>Weight Lbs</th><td>49</td></tr><tr><th>Family Id</th><td>30,071</td></tr><tr><th>Unit Of Measure</th><td>English</td></tr><tr><th>california provision</th><td>WARNING: This product contains lead, known to the State of California to cause cancer and birth defects or other reproductive harm.</td></tr></tbody></table>"
"39227","<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Altra Master No</th><td>30230791</td></tr><tr><th>UPC</th><td>781711476697</td></tr><tr><th>Inside Diameter Fra In</th><td>4.000000</td></tr><tr><th>Outside Diameter Fra In</th><td>5.0000</td></tr><tr><th>Description</th><td>Bear-N-Bronz is Boston Gear's general purpose, cast, solid bronze bearing material. It is a high grade, leaded tin bronze, having good hardness, strength, wear-resistance and exceptional anti-friction qualities. It is particularly suited for moderate to heavy loads at normal to relatively high speeds. All parts are rigidly inspected to assure freedom from porosity and conformance to dimensional tolerances. In addition, our standard product offering, the Bear-N-Bronz material can be provided in different sizes, bar lengths (up to 105""), and with oil grooves.</td></tr><tr><th>Family Name</th><td>Bear-N-Bronz</td></tr><tr><th>Length Fra In</th><td>13.000000</td></tr><tr><th>Max Pv Value</th><td>75,000</td></tr><tr><th>Max P Value Psi</th><td>3,000</td></tr><tr><th>Max V Value Fpm</th><td>750</td></tr><tr><th>Product Description</th><td>Bearing, Bar, Cored, 660 Cast Bronze</td></tr><tr><th>Weight Lbs</th><td>32-1/4</td></tr><tr><th>Family Id</th><td>30,071</td></tr><tr><th>Unit Of Measure</th><td>English</td></tr><tr><th>california provision</th><td>WARNING: This product contains lead, known to the State of California to cause cancer and birth defects or other reproductive harm.</td></tr></tbody></table>"
"39404","<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>UPC</th><td>781711575154</td></tr><tr><th>Inside Diameter Fra In</th><td>0.750000</td></tr><tr><th>Outside Diameter Fra In</th><td>3.0000</td></tr><tr><th>Material</th><td>Nylatron GS</td></tr><tr><th>Description</th><td>Boston Gear’s roller, BOStonE</td></tr><tr><th>Family Name</th><td>BOStonE</td></tr><tr><th>Assembly Types</th><td>30238115</td></tr><tr><th>Length Fra In</th><td>1.250000</td></tr><tr><th>Max Pv Value</th><td>4,000</td></tr><tr><th>Max P Value Psi</th><td>500</td></tr><tr><th>Max V Value Fpm</th><td>300</td></tr><tr><th>Product Description</th><td>Bearing, BOStonE, roller, Nylatron GS, 3/4"" ID</td></tr><tr><th>Weight Lbs</th><td>0.196</td></tr><tr><th>Family Id</th><td>30,072</td></tr><tr><th>Unit Of Measure</th><td>English</td></tr><tr><th>product note</th><td>BOStonE F-1 bearings may be green, white or any other color.</td></tr></tbody></table>"
"40161","<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Altra Master No</th><td>30241001</td></tr><tr><th>UPC</th><td>781711647370</td></tr><tr><th>Duty</th><td>Standard</td></tr><tr><th>Bearing Type</th><td>Extended Inner Race w/ Setscrew Locking</td></tr><tr><th>Number Of Bolts</th><td>4 Bolts</td></tr><tr><th>Max Height Fra In</th><td>2.875000</td></tr><tr><th>Max Width Fra In</th><td>2.875000</td></tr><tr><th>Bore Size Fra In</th><td>0.625000</td></tr><tr><th>Description</th><td>Boston Gear's comprehensive selection of flanged bearings includes non-metallic inserts in a non-metallic base for washdown service, spherical bearings with extended inner races featuring setscrews, or eccentric locking collars in stamped steel, ductile iron, or cast iron housings. Positive locking by setscrews or an eccentric locking collar ensures smooth operation and a synthetic lip-type seal with steel flingers offer enhanced efficiency. Commonly used in material handling, packaging machinery, shrink wrap machinery, and printing press applications.</td></tr><tr><th>Family Name</th><td>Flange Mounted</td></tr><tr><th>Max Thru Bore Height Fra In</th><td>1.265625</td></tr><tr><th>Product Description</th><td>Flanged Units, Standard Duty, Extended Inner Race, SS Lock, SF Series</td></tr><tr><th>Weight Lbs</th><td>0.931</td></tr><tr><th>Family Id</th><td>30,093</td></tr><tr><th>Unit Of Measure</th><td>English</td></tr></tbody></table>"
"39051","<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Altra Master No</th><td>30225907</td></tr><tr><th>UPC</th><td>781711335185</td></tr><tr><th>Inside Diameter Fra In</th><td>5.000000</td></tr><tr><th>Outside Diameter Fra In</th><td>8.0000</td></tr><tr><th>Description</th><td>Bear-N-Bronz is Boston Gear's general purpose, cast, solid bronze bearing material. It is a high grade, leaded tin bronze, having good hardness, strength, wear-resistance and exceptional anti-friction qualities. It is particularly suited for moderate to heavy loads at normal to relatively high speeds. All parts are rigidly inspected to assure freedom from porosity and conformance to dimensional tolerances. In addition, our standard product offering, the Bear-N-Bronz material can be provided in different sizes, bar lengths (up to 105""), and with oil grooves.</td></tr><tr><th>Family Name</th><td>Bear-N-Bronz</td></tr><tr><th>Length Fra In</th><td>13.000000</td></tr><tr><th>Max Pv Value</th><td>75,000</td></tr><tr><th>Max P Value Psi</th><td>3,000</td></tr><tr><th>Max V Value Fpm</th><td>750</td></tr><tr><th>Product Description</th><td>Bearing, Bar, Cored, 660 Cast Bronze</td></tr><tr><th>Weight Lbs</th><td>130</td></tr><tr><th>Family Id</th><td>30,071</td></tr><tr><th>Unit Of Measure</th><td>English</td></tr><tr><th>california provision</th><td>WARNING: This product contains lead, known to the State of California to cause cancer and birth defects or other reproductive harm.</td></tr></tbody></table>"
