ID,ADDITIONAL_DESCRIPTION
528704,"<table class=""description-table""><tr><th>Input Frame Size:</th><td>160M</td></tr><tr><th>Bore Style:</th><td>Straight Shaft/Shaft</td></tr><tr><th>Max Rpm:</th><td>1500</td></tr><tr><th>Input Shaft Diameter:</th><td>42 mm</td></tr><tr><th>Output Shaft Diameter:</th><td>42 mm</td></tr><tr><th>Ratings:</th><td>""CE, And RoHS""</td></tr><tr><th>Finish:</th><td>Nickel Plated</td></tr><tr><th>Weight:</th><td>13.0LB</td></tr></table>"
693889,"<table class=""description-table""><tr><th>Manufacturer:</th><td>THK</td></tr><tr><th>Series:</th><td>SR</td></tr><tr><th>Features:</th><td>""High Holding Force, Low Backlash, Zero Maintenance, User Servicable Facings""</td></tr><tr><th>Comments:</th><td>Can Be Used For Infrequent Emergency Stops</td></tr><tr><th>Holding Force:</th><td>400 N</td></tr><tr><th>Size:</th><td>15</td></tr><tr><th>Actuator Cycle Life:</th><td>""More Than 1,000,000 Static Holding Cycles""</td></tr><tr><th>Open Or Enclosed Design:</th><td>Open</td></tr><tr><th>Length:</th><td>67.0 mm</td></tr><tr><th>Width:</th><td>54.5 mm</td></tr><tr><th>Height:</th><td>21.0 mm</td></tr><tr><th>Backlash:</th><td>Less Than 0.20 mm</td></tr><tr><th>Actuation/Return:</th><td>Spring/Air</td></tr><tr><th>Port Size:</th><td>4 mm Plastic Tubing Fitting Screwed Into A M3 Port</td></tr><tr><th>Maximum Pressure:</th><td>6.9 bar</td></tr><tr><th>Minimum Release Pressure:</th><td>5.5 bar</td></tr><tr><th>Temperature Range:</th><td>""33 - 150 F Continuous, Up To 212 F Intermittent""</td></tr><tr><th>Approximate Engagement Response Time:</th><td>49 ms</td></tr><tr><th>Air Chamber Volume:</th><td>2.600 cm</td></tr><tr><th>Ratings:</th><td>""CE, And RoHS""</td></tr><tr><th>Mass:</th><td>0.41 kg</td></tr><tr><th>Finish:</th><td>Black Oxide</td></tr><tr><th>Restrictions:</th><td>""Suitable For Infrequent E-Stops, Not For Use In Cyclic Dynamic Braking Applications""</td></tr><tr><th>-nn-:</th><td>For Other Guide Rail Manufacturers Or Guide Rail Series Contact Nexen</td></tr><tr><th>Weight:</th><td>2.0LB</td></tr></table>"
693761,"<table class=""description-table""><tr><th>Features:</th><td>""Spring Engaged, Manual Release, Low Backlash, IP67 Rated, No Rod Displacement On Engagement, Compact""</td></tr><tr><th>Comments:</th><td>""Includes Sleeve Nut Cylinder Mounting Bolts, Longer Cylinder Rod Required""</td></tr><tr><th>Comments:</th><td>Multiple Springs For More Reliable Holding Performance</td></tr><tr><th>Comments:</th><td>Optional Locking Mode Sensor For Control System Feedback</td></tr><tr><th>Holding Force:</th><td>1256 lbs</td></tr><tr><th>Cylinder Size:</th><td>4.000 in.</td></tr><tr><th>Rod Size:</th><td>1.000 in.</td></tr><tr><th>Rod Requirements:</th><td>""HRC60 Or Hard Chrome Plated Minimum Of 20 Microns, h8 Tolerance, Roughness 1.6 Microns""</td></tr><tr><th>Actuator Cycle Life:</th><td>""More Than 1,000,000 Static Holding Cycles And 500 Manual Releases""</td></tr><tr><th>Open Or Enclosed Design:</th><td>Enclosed</td></tr><tr><th>Length:</th><td>5.38 in.</td></tr><tr><th>Width:</th><td>4.50 in. X2</td></tr><tr><th>Backlash:</th><td>Less Than 0.008 in.</td></tr><tr><th>Mounting Style:</th><td>Pneumatic Cylinder Mount</td></tr><tr><th>Actuation/Return:</th><td>Spring/Air</td></tr><tr><th>Port Size:</th><td>0.250 NPT</td></tr><tr><th>Maximum Pressure:</th><td>120 psi</td></tr><tr><th>Minimum Release Pressure:</th><td>60 psi</td></tr><tr><th>Temperature Range:</th><td>""33 - 150 F Continuous, Up To 212 F Intermittent""</td></tr><tr><th>Approximate Engagement Response Time:</th><td>100 ms</td></tr><tr><th>Air Chamber Volume:</th><td>6.730 in</td></tr><tr><th>Ratings:</th><td>""ISO 6431, IP67, Exceeds NEMA 4X, CE, And RoHS""</td></tr><tr><th>Manual Release Feature:</th><td>Yes</td></tr><tr><th>Manual Release Actuation Torque:</th><td>""45 ftlbs 1/4 Turn, Auto Reset""</td></tr><tr><th>Finish:</th><td>Black Anodized</td></tr><tr><th>Restrictions:</th><td>""Not For Use In Cyclic Dynamic Stopping Applications, Rod Rotation Not Allowed When Locked, Consult Nexen For Use In Wash-Down Or Humid Applications""</td></tr><tr><th>-nn-:</th><td>Can Be Used For Infrequent Dynamic E-Stops. Multiple Rod Locks Can Be Stacked For Higher Holding Forces.</td></tr><tr><th>Weight:</th><td>12.1LB</td></tr></table>"
529022,"<table class=""description-table""><tr><th>-nn-:</th><td>""Nexen Offers A Rebuilding Service For Most Products, Contact Us For More Information""</td></tr><tr><th>Features:</th><td>Order Facings Separately</td></tr><tr><th>Ratings:</th><td>""CE, And RoHS""</td></tr><tr><th>Weight:</th><td>1.1LB</td></tr></table>"
529353,"<table class=""description-table""><tr><th>-nn-:</th><td>""Nexen Offers A Rebuilding Service For Most Products, Contact Us For More Information""</td></tr><tr><th>Features:</th><td>""Bearings Are Not Included, See Brake Parts List""</td></tr><tr><th>Ratings:</th><td>""CE, And RoHS""</td></tr><tr><th>Weight:</th><td>.5LB</td></tr></table>"
528611,"<table class=""description-table""><tr><th>Ratings:</th><td>""CE, And RoHS""</td></tr><tr><th>Weight:</th><td>2.5LB</td></tr></table>"
528807,"<table class=""description-table""><tr><th>Features:</th><td>Allows Horizontal Or Vertical Mounting Of The TCD600</td></tr><tr><th>Weight:</th><td>1.5LB</td></tr></table>"
534812,"<table class=""description-table""><tr><th>Features:</th><td>Now Improved With Turck Proximity Sensor</td></tr><tr><th>Comments:</th><td>This Unit Comes Unassembled For Hub Machining</td></tr><tr><th>Comments:</th><td>Positional Reengagement Torque Is Approximately 10% Of Clutch Torque Being Generated Based On Applied Air Pressure</td></tr><tr><th>Comments:</th><td>""Nexen Does Not Offer Couplings For Metric TL's, See Inch TL's With A Metric Bore""</td></tr><tr><th>Open Or Enclosed Design:</th><td>Open</td></tr><tr><th>Drive Arrangement:</th><td>Pilot Mount</td></tr><tr><th>Bore Size:</th><td>12.7 mm</td></tr><tr><th>Bore Style:</th><td>Unfinished Pilot Bore</td></tr><tr><th>Maximum Static Clutch Torque:</th><td>100 Nm</td></tr><tr><th>Minimum Static Clutch Torque:</th><td>24 Nm</td></tr><tr><th>Backlash:</th><td>0.38</td></tr><tr><th>Number Of Engagement Positions:</th><td>1 @ 360</td></tr><tr><th>Minimum Sprocket Size:</th><td>""35/40T, 40/30T, 50/24T, 60/21T""</td></tr><tr><th>Drive Inertia:</th><td>39.62 kgcm</td></tr><tr><th>Shaft Inertia:</th><td>17.71 kgcm</td></tr><tr><th>Max Rpm:</th><td>1800</td></tr><tr><th>Sensor Type:</th><td>Proximity Sensor</td></tr><tr><th>Actuation/Return:</th><td>Air/Spring</td></tr><tr><th>Port Size:</th><td>0.125 NPT</td></tr><tr><th>Maximum Pressure:</th><td>6.0 bar</td></tr><tr><th>Minimum Engagement Pressure:</th><td>1.0 bar</td></tr><tr><th>Temperature Range:</th><td>0 - 66 C</td></tr><tr><th>Clutch Air Chamber Volume When New:</th><td>12.782 cm</td></tr><tr><th>Cable Length:</th><td>2.0 M</td></tr><tr><th>Ratings:</th><td>""CE, And RoHS""</td></tr><tr><th>Finish:</th><td>""Bare Machined Aluminum Air Chamber, Black Oxide Pilot""</td></tr><tr><th>Restrictions:</th><td>Consult Nexen For Engagement at Differential Speeds</td></tr><tr><th>Weight:</th><td>17.0LB</td></tr></table>"
528502,"<table class=""description-table""><tr><th>Bore Size:</th><td>1.000 in.</td></tr><tr><th>Bore Style:</th><td>""Straight, No Keyway""</td></tr><tr><th>Brake Heat Sink Capacity:</th><td>70000 ftlb</td></tr><tr><th>Shaft Inertia:</th><td>9.79 lbin</td></tr><tr><th>Max Rpm:</th><td>5500</td></tr><tr><th>Ratings:</th><td>""CE, And RoHS""</td></tr><tr><th>Finish:</th><td>Bare Cast Iron</td></tr><tr><th>Weight:</th><td>6.0LB</td></tr></table>"
1367608,"<table class=""description-table""><tr><th>Manufacturer:</th><td>Nook</td></tr><tr><th>Series:</th><td>NH</td></tr><tr><th>Features:</th><td>""High Holding Force, Low Backlash, Zero Maintenance, User Servicable Facings""</td></tr><tr><th>Comments:</th><td>Can Be Used For Infrequent Emergency Stops</td></tr><tr><th>Holding Force:</th><td>1600 N</td></tr><tr><th>Size:</th><td>35</td></tr><tr><th>Actuator Cycle Life:</th><td>""More Than 1,000,000 Static Holding Cycles""</td></tr><tr><th>Open Or Enclosed Design:</th><td>Open</td></tr><tr><th>Length:</th><td>106.0 mm</td></tr><tr><th>Width:</th><td>99.5 mm</td></tr><tr><th>Height:</th><td>40.0 mm</td></tr><tr><th>Backlash:</th><td>Less Than 0.20 mm</td></tr><tr><th>Actuation/Return:</th><td>Spring/Air</td></tr><tr><th>Port Size:</th><td>4 mm Plastic Tubing Fitting Screwed Into A M6 Port</td></tr><tr><th>Maximum Pressure:</th><td>6.9 bar</td></tr><tr><th>Minimum Release Pressure:</th><td>5.5 bar</td></tr><tr><th>Temperature Range:</th><td>""33 - 150 F Continuous, Up To 212 F Intermittent""</td></tr><tr><th>Approximate Engagement Response Time:</th><td>70 ms</td></tr><tr><th>Air Chamber Volume:</th><td>16.600 cm</td></tr><tr><th>Ratings:</th><td>""CE, And RoHS""</td></tr><tr><th>Mass:</th><td>2.04 kg</td></tr><tr><th>Finish:</th><td>Black Oxide</td></tr><tr><th>Restrictions:</th><td>""Suitable For Infrequent E-Stops, Not For Use In Cyclic Dynamic Braking Applications""</td></tr><tr><th>-nn-:</th><td>For Other Guide Rail Manufacturers Or Guide Rail Series Contact Nexen</td></tr><tr><th>Weight:</th><td>5.5LB</td></tr></table>"
