"ID","ADDITIONAL_DESCRIPTION"
"2924243","<p>DRY AREA | BEST</p> The patented nitrile rubber construction of a Para-Mount mat resists water, oil, and solvents while reducing environmental noise. Tough enough to withstand an industrial laundry system and built to handle on-the- spot cleaning with pressure hoses. <p>FEATURES</p> <ul><li> thick, providing greater support for those applications that require even more time spent standing in place</li> <li>Anti-fatigue mat reduces strains, pains, and claims caused by prolonged standing</li> <li>Anti-microbial properties help it prevent mold, mildew and bacterial growth</li> <li>Closed cell construction helps eliminate absorption of liquids and fluids</li> <li>Light-weight and easy to clean</li></ul> <p>APPLICATIONS</p> <ul><li>Cashier Station, Hotel Front Desk and Pharmacy, Retail Work Counter</li></ul> <h5>Technical Data</h5><table<thead><tr><th>Base Material:</th><td>Zedlan Foam</td></tr><tr><th>Compression:</th><td>.28 @ 7psi per ASTM D-1667</td></tr><tr><th>Tabor Abrasion:</th><td>.5 grams max per ASTM D-4060</td></tr><tr><th>Flammability:</th><td>D.O.C.- F.F.-1-70 (Pill Test)</td></tr><tr><th>Resiliency:</th><td>30 min per ASTM D-2362</td></tr><tr><th>Electrical Properties:</th><td>(10 9 ohms per sq.) ASTM D-257</td></tr><tr><th>Weight:</th><td>13.3 lbs per sq. yd.</td></tr></thead></table>"
"2924242","<p>DRY AREA | BEST</p> The patented nitrile rubber construction of a Para-Mount mat resists water, oil, and solvents while reducing environmental noise. Tough enough to withstand an industrial laundry system and built to handle on-the- spot cleaning with pressure hoses. <p>FEATURES</p> <ul><li> thick, providing greater support for those applications that require even more time spent standing in place</li> <li>Anti-fatigue mat reduces strains, pains, and claims caused by prolonged standing</li> <li>Anti-microbial properties help it prevent mold, mildew and bacterial growth</li> <li>Closed cell construction helps eliminate absorption of liquids and fluids</li> <li>Light-weight and easy to clean</li></ul> <p>APPLICATIONS</p> <ul><li>Cashier Station, Hotel Front Desk and Pharmacy, Retail Work Counter</li></ul> <h5>Technical Data</h5><table<thead><tr><th>Base Material:</th><td>Zedlan Foam</td></tr><tr><th>Compression:</th><td>.28 @ 7psi per ASTM D-1667</td></tr><tr><th>Tabor Abrasion:</th><td>.5 grams max per ASTM D-4060</td></tr><tr><th>Flammability:</th><td>D.O.C.- F.F.-1-70 (Pill Test)</td></tr><tr><th>Resiliency:</th><td>30 min per ASTM D-2362</td></tr><tr><th>Electrical Properties:</th><td>(10 9 ohms per sq.) ASTM D-257</td></tr><tr><th>Weight:</th><td>13.3 lbs per sq. yd.</td></tr></thead></table>"
"2924235","<p>SCRAPER | HEAVY TRAFFIC</p> <p>The Cambridge Mat is your heavy traffic solution for outdoor matting. Made with Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers, this rugged outdoor mat offers an unmatched scraping ability with an attractive appearance.</p> <p>FEATURES</p> <ul><li>Innovated Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers provide one of the most aggressive scraping technologies in the industry, trapping dirt before it infiltrates the building</li> <li>Nitrile rubber gripped backing provides increased durability in mild to server environments</li></ul> <p>APPLICATIONS</p> <p>For exterior areas with heavy traffic: University, Airport, Hospital, Large retail store, Shopping mall, School</p> <h5>Technical Data</h5><table<thead><tr><th>Fiber:</th><td>Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers</td></tr><tr><th>Pile weight:</th><td>814 gms/m2</td></tr><tr><th>Backing:</th><td>High quality nitrile rubber Gripper backing</td></tr><tr><th>Flammability:</th><td>D.O.C. FF-1-70 (Pill Test)</td></tr></thead></table>"
"2924234","<p>SCRAPER | HEAVY TRAFFIC</p> <p>The Cambridge Mat is your heavy traffic solution for outdoor matting. Made with Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers, this rugged outdoor mat offers an unmatched scraping ability with an attractive appearance.</p> <p>FEATURES</p> <ul><li>Innovated Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers provide one of the most aggressive scraping technologies in the industry, trapping dirt before it infiltrates the building</li> <li>Nitrile rubber gripped backing provides increased durability in mild to server environments</li></ul> <p>APPLICATIONS</p> <p>For exterior areas with heavy traffic: University, Airport, Hospital, Large retail store, Shopping mall, School</p> <h5>Technical Data</h5><table<thead><tr><th>Fiber:</th><td>Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers</td></tr><tr><th>Pile weight:</th><td>814 gms/m2</td></tr><tr><th>Backing:</th><td>High quality nitrile rubber Gripper backing</td></tr><tr><th>Flammability:</th><td>D.O.C. FF-1-70 (Pill Test)</td></tr></thead></table>"
"2924241","<p>SCRAPER | HEAVY TRAFFIC</p> <p>The Cambridge Mat is your heavy traffic solution for outdoor matting. Made with Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers, this rugged outdoor mat offers an unmatched scraping ability with an attractive appearance.</p> <p>FEATURES</p> <ul><li>Innovated Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers provide one of the most aggressive scraping technologies in the industry, trapping dirt before it infiltrates the building</li> <li>Nitrile rubber gripped backing provides increased durability in mild to server environments</li></ul> <p>APPLICATIONS</p> <p>For exterior areas with heavy traffic: University, Airport, Hospital, Large retail store, Shopping mall, School</p> <h5>Technical Data</h5><table<thead><tr><th>Fiber:</th><td>Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers</td></tr><tr><th>Pile weight:</th><td>814 gms/m2</td></tr><tr><th>Backing:</th><td>High quality nitrile rubber Gripper backing</td></tr><tr><th>Flammability:</th><td>D.O.C. FF-1-70 (Pill Test)</td></tr></thead></table>"
"2924240","<p>SCRAPER | HEAVY TRAFFIC</p> <p>The Cambridge Mat is your heavy traffic solution for outdoor matting. Made with Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers, this rugged outdoor mat offers an unmatched scraping ability with an attractive appearance.</p> <p>FEATURES</p> <ul><li>Innovated Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers provide one of the most aggressive scraping technologies in the industry, trapping dirt before it infiltrates the building</li> <li>Nitrile rubber gripped backing provides increased durability in mild to server environments</li></ul> <p>APPLICATIONS</p> <p>For exterior areas with heavy traffic: University, Airport, Hospital, Large retail store, Shopping mall, School</p> <h5>Technical Data</h5><table<thead><tr><th>Fiber:</th><td>Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers</td></tr><tr><th>Pile weight:</th><td>814 gms/m2</td></tr><tr><th>Backing:</th><td>High quality nitrile rubber Gripper backing</td></tr><tr><th>Flammability:</th><td>D.O.C. FF-1-70 (Pill Test)</td></tr></thead></table>"
"2924239","<p>SCRAPER | HEAVY TRAFFIC</p> <p>The Cambridge Mat is your heavy traffic solution for outdoor matting. Made with Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers, this rugged outdoor mat offers an unmatched scraping ability with an attractive appearance.</p> <p>FEATURES</p> <ul><li>Innovated Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers provide one of the most aggressive scraping technologies in the industry, trapping dirt before it infiltrates the building</li> <li>Nitrile rubber gripped backing provides increased durability in mild to server environments</li></ul> <p>APPLICATIONS</p> <p>For exterior areas with heavy traffic: University, Airport, Hospital, Large retail store, Shopping mall, School</p> <h5>Technical Data</h5><table<thead><tr><th>Fiber:</th><td>Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers</td></tr><tr><th>Pile weight:</th><td>814 gms/m2</td></tr><tr><th>Backing:</th><td>High quality nitrile rubber Gripper backing</td></tr><tr><th>Flammability:</th><td>D.O.C. FF-1-70 (Pill Test)</td></tr></thead></table>"
"2924238","<p>SCRAPER | HEAVY TRAFFIC</p> <p>The Cambridge Mat is your heavy traffic solution for outdoor matting. Made with Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers, this rugged outdoor mat offers an unmatched scraping ability with an attractive appearance.</p> <p>FEATURES</p> <ul><li>Innovated Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers provide one of the most aggressive scraping technologies in the industry, trapping dirt before it infiltrates the building</li> <li>Nitrile rubber gripped backing provides increased durability in mild to server environments</li></ul> <p>APPLICATIONS</p> <p>For exterior areas with heavy traffic: University, Airport, Hospital, Large retail store, Shopping mall, School</p> <h5>Technical Data</h5><table<thead><tr><th>Fiber:</th><td>Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers</td></tr><tr><th>Pile weight:</th><td>814 gms/m2</td></tr><tr><th>Backing:</th><td>High quality nitrile rubber Gripper backing</td></tr><tr><th>Flammability:</th><td>D.O.C. FF-1-70 (Pill Test)</td></tr></thead></table>"
"2924237","<p>SCRAPER | HEAVY TRAFFIC</p> <p>The Cambridge Mat is your heavy traffic solution for outdoor matting. Made with Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers, this rugged outdoor mat offers an unmatched scraping ability with an attractive appearance.</p> <p>FEATURES</p> <ul><li>Innovated Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers provide one of the most aggressive scraping technologies in the industry, trapping dirt before it infiltrates the building</li> <li>Nitrile rubber gripped backing provides increased durability in mild to server environments</li></ul> <p>APPLICATIONS</p> <p>For exterior areas with heavy traffic: University, Airport, Hospital, Large retail store, Shopping mall, School</p> <h5>Technical Data</h5><table<thead><tr><th>Fiber:</th><td>Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers</td></tr><tr><th>Pile weight:</th><td>814 gms/m2</td></tr><tr><th>Backing:</th><td>High quality nitrile rubber Gripper backing</td></tr><tr><th>Flammability:</th><td>D.O.C. FF-1-70 (Pill Test)</td></tr></thead></table>"
"2924236","<p>SCRAPER | HEAVY TRAFFIC</p> <p>The Cambridge Mat is your heavy traffic solution for outdoor matting. Made with Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers, this rugged outdoor mat offers an unmatched scraping ability with an attractive appearance.</p> <p>FEATURES</p> <ul><li>Innovated Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers provide one of the most aggressive scraping technologies in the industry, trapping dirt before it infiltrates the building</li> <li>Nitrile rubber gripped backing provides increased durability in mild to server environments</li></ul> <p>APPLICATIONS</p> <p>For exterior areas with heavy traffic: University, Airport, Hospital, Large retail store, Shopping mall, School</p> <h5>Technical Data</h5><table<thead><tr><th>Fiber:</th><td>Polyamide Nylon 6 monofilament &amp; Nylon 6,6 fibers</td></tr><tr><th>Pile weight:</th><td>814 gms/m2</td></tr><tr><th>Backing:</th><td>High quality nitrile rubber Gripper backing</td></tr><tr><th>Flammability:</th><td>D.O.C. FF-1-70 (Pill Test)</td></tr></thead></table>"
