"ID","ADDITIONAL_DESCRIPTION"
"2518553","<p>Coxreels 1125PCL Series professional-grade hand crank and motorized cord reels feature the industry preferred design including a drum-located, easy to access slip ring assembly for simple routine maintenance and a sturdy all-welded ""A"" frame built to efficiently handle the most demanding of tasks. The unique permanently lubricated and self-aligning pillow block bearings at each end of the drum allow smooth rotation and are specifically designed for rough, heavy-duty applications.</p> <h5>Swivel</h5> <ul><li>Drum-located slip ring assembly with easy to access cover for simple routine maintenance</li> <li>Available with 30 Amps or 45 Amps, 600 Volt rated slip ring assembly (see chart)</li></ul> <h5>Design & Structure</h5> <ul><li>All welded steel ""A"" frame construction to strengthen the reel structure</li> <li>Narrow width for convenient installation in restricted spaces</li> <li>Permanently lubricated self-aligning pillow block bearings for trouble-free & smooth rotation</li> <li>""Cable Keeper"" to prevent the lead cable from whipping or twisting</li> <li>Adjustable tension brake to prevent ""free-wheeling"" during operation</li> <li>Long-handled locking pin to secure reel from rotation during transport or storage</li></ul> <h5>Retraction</h5> <ul><li>Reliable direct gear drive - No chain</li> <li>See Motor Options below</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants & Facilities</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Mining, Construction & Railroad Operations</li></ul> <h5>Specifications</h5><table class=""description-table""><thead><tr><th>REEL</th><th></th><th colspan=""4"">SPECS</th><th rowspan=""3""></th><th colspan=""3"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">CORD</th><th rowspan=""2"">VOLTS</th><th rowspan=""2"">10GA</th><th rowspan=""2"">12GA</th><th rowspan=""2"">AMPS</th><th>W</th><th>H</th><th>L</th></tr><tr><th colspan=""3"">Overall Dimensions</th></tr></thead><tbody><tr><td>1125PCL-8-E</td><td>48</td><td>N</td><td>600</td><td>200</td><td>250</td><td>30</td><td>21-5/8""</td><td>19-1/8""</td><td>17-1/2""</td></tr></tbody></table>"
"2518555","<p>Coxreels 1125PCL Series professional-grade hand crank and motorized cord reels feature the industry preferred design including a drum-located, easy to access slip ring assembly for simple routine maintenance and a sturdy all-welded ""A"" frame built to efficiently handle the most demanding of tasks. The unique permanently lubricated and self-aligning pillow block bearings at each end of the drum allow smooth rotation and are specifically designed for rough, heavy-duty applications.</p> <h5>Swivel</h5> <ul><li>Drum-located slip ring assembly with easy to access cover for simple routine maintenance</li> <li>Available with 30 Amps or 45 Amps, 600 Volt rated slip ring assembly (see chart)</li></ul> <h5>Design & Structure</h5> <ul><li>All welded steel ""A"" frame construction to strengthen the reel structure</li> <li>Narrow width for convenient installation in restricted spaces</li> <li>Permanently lubricated self-aligning pillow block bearings for trouble-free & smooth rotation</li> <li>""Cable Keeper"" to prevent the lead cable from whipping or twisting</li> <li>Adjustable tension brake to prevent ""free-wheeling"" during operation</li> <li>Long-handled locking pin to secure reel from rotation during transport or storage</li></ul> <h5>Retraction</h5> <ul><li>Reliable direct gear drive - No chain</li> <li>See Motor Options below</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants & Facilities</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Mining, Construction & Railroad Operations</li></ul> <h5>Specifications</h5><table class=""description-table""><thead><tr><th>REEL</th><th></th><th colspan=""4"">SPECS</th><th rowspan=""3""></th><th colspan=""3"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">CORD</th><th rowspan=""2"">VOLTS</th><th rowspan=""2"">10GA</th><th rowspan=""2"">12GA</th><th rowspan=""2"">AMPS</th><th>W</th><th>H</th><th>L</th></tr><tr><th colspan=""3"">Overall Dimensions</th></tr></thead><tbody><tr><td>1125PCL-8-EA</td><td>61</td><td>N</td><td>600</td><td>200</td><td>250</td><td>60</td><td>21-5/8""</td><td>19-1/8""</td><td>17-1/2""</td></tr></tbody></table>"
"2518557","<p>Coxreels 1125PCL Series professional-grade hand crank and motorized cord reels feature the industry preferred design including a drum-located, easy to access slip ring assembly for simple routine maintenance and a sturdy all-welded ""A"" frame built to efficiently handle the most demanding of tasks. The unique permanently lubricated and self-aligning pillow block bearings at each end of the drum allow smooth rotation and are specifically designed for rough, heavy-duty applications.</p> <h5>Swivel</h5> <ul><li>Drum-located slip ring assembly with easy to access cover for simple routine maintenance</li> <li>Available with 30 Amps or 45 Amps, 600 Volt rated slip ring assembly (see chart)</li></ul> <h5>Design & Structure</h5> <ul><li>All welded steel ""A"" frame construction to strengthen the reel structure</li> <li>Narrow width for convenient installation in restricted spaces</li> <li>Permanently lubricated self-aligning pillow block bearings for trouble-free & smooth rotation</li> <li>""Cable Keeper"" to prevent the lead cable from whipping or twisting</li> <li>Adjustable tension brake to prevent ""free-wheeling"" during operation</li> <li>Long-handled locking pin to secure reel from rotation during transport or storage</li></ul> <h5>Retraction</h5> <ul><li>Reliable direct gear drive - No chain</li> <li>See Motor Options below</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants & Facilities</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Mining, Construction & Railroad Operations</li></ul> <h5>Specifications</h5><table class=""description-table""><thead><tr><th>REEL</th><th></th><th colspan=""4"">SPECS</th><th rowspan=""3""></th><th colspan=""3"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">CORD</th><th rowspan=""2"">VOLTS</th><th rowspan=""2"">10GA</th><th rowspan=""2"">12GA</th><th rowspan=""2"">AMPS</th><th>W</th><th>H</th><th>L</th></tr><tr><th colspan=""3"">Overall Dimensions</th></tr></thead><tbody><tr><td>1125PCL-8-EB</td><td>61</td><td>N</td><td>600</td><td>200</td><td>250</td><td>30</td><td>21-5/8""</td><td>19-1/8""</td><td>17-1/2""</td></tr></tbody></table>"
"2518559","<p>Coxreels 1125PCL Series professional-grade hand crank and motorized cord reels feature the industry preferred design including a drum-located, easy to access slip ring assembly for simple routine maintenance and a sturdy all-welded ""A"" frame built to efficiently handle the most demanding of tasks. The unique permanently lubricated and self-aligning pillow block bearings at each end of the drum allow smooth rotation and are specifically designed for rough, heavy-duty applications.</p> <h5>Swivel</h5> <ul><li>Drum-located slip ring assembly with easy to access cover for simple routine maintenance</li> <li>Available with 30 Amps or 45 Amps, 600 Volt rated slip ring assembly (see chart)</li></ul> <h5>Design & Structure</h5> <ul><li>All welded steel ""A"" frame construction to strengthen the reel structure</li> <li>Narrow width for convenient installation in restricted spaces</li> <li>Permanently lubricated self-aligning pillow block bearings for trouble-free & smooth rotation</li> <li>""Cable Keeper"" to prevent the lead cable from whipping or twisting</li> <li>Adjustable tension brake to prevent ""free-wheeling"" during operation</li> <li>Long-handled locking pin to secure reel from rotation during transport or storage</li></ul> <h5>Retraction</h5> <ul><li>Reliable direct gear drive - No chain</li> <li>See Motor Options below</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants & Facilities</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Mining, Construction & Railroad Operations</li></ul> <h5>Specifications</h5><table class=""description-table""><thead><tr><th>REEL</th><th></th><th colspan=""4"">SPECS</th><th rowspan=""3""></th><th colspan=""3"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">CORD</th><th rowspan=""2"">VOLTS</th><th rowspan=""2"">10GA</th><th rowspan=""2"">12GA</th><th rowspan=""2"">AMPS</th><th>W</th><th>H</th><th>L</th></tr><tr><th colspan=""3"">Overall Dimensions</th></tr></thead><tbody><tr><td>1125PCL-8-ED</td><td>61</td><td>N</td><td>600</td><td>200</td><td>250</td><td>60</td><td>21-5/8""</td><td>19-1/8""</td><td>17-1/2""</td></tr></tbody></table>"
"2518561","<p>Coxreels 1125PCL Series professional-grade hand crank and motorized cord reels feature the industry preferred design including a drum-located, easy to access slip ring assembly for simple routine maintenance and a sturdy all-welded ""A"" frame built to efficiently handle the most demanding of tasks. The unique permanently lubricated and self-aligning pillow block bearings at each end of the drum allow smooth rotation and are specifically designed for rough, heavy-duty applications.</p> <h5>Swivel</h5> <ul><li>Drum-located slip ring assembly with easy to access cover for simple routine maintenance</li> <li>Available with 30 Amps or 45 Amps, 600 Volt rated slip ring assembly (see chart)</li></ul> <h5>Design & Structure</h5> <ul><li>All welded steel ""A"" frame construction to strengthen the reel structure</li> <li>Narrow width for convenient installation in restricted spaces</li> <li>Permanently lubricated self-aligning pillow block bearings for trouble-free & smooth rotation</li> <li>""Cable Keeper"" to prevent the lead cable from whipping or twisting</li> <li>Adjustable tension brake to prevent ""free-wheeling"" during operation</li> <li>Long-handled locking pin to secure reel from rotation during transport or storage</li></ul> <h5>Retraction</h5> <ul><li>Reliable direct gear drive - No chain</li> <li>See Motor Options below</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants & Facilities</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Mining, Construction & Railroad Operations</li></ul> <h5>Specifications</h5><table class=""description-table""><thead><tr><th>REEL</th><th></th><th colspan=""4"">SPECS</th><th rowspan=""3""></th><th colspan=""3"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">CORD</th><th rowspan=""2"">VOLTS</th><th rowspan=""2"">10GA</th><th rowspan=""2"">12GA</th><th rowspan=""2"">AMPS</th><th>W</th><th>H</th><th>L</th></tr><tr><th colspan=""3"">Overall Dimensions</th></tr></thead><tbody><tr><td>1125PCL-8-EF</td><td>48</td><td>N</td><td>600</td><td></td><td></td><td>30</td><td>21-5/8""</td><td>19-1/8""</td><td>17-1/2""</td></tr></tbody></table>"
"2518554","<p>Coxreels 1125PCL Series professional-grade hand crank and motorized cord reels feature the industry preferred design including a drum-located, easy to access slip ring assembly for simple routine maintenance and a sturdy all-welded ""A"" frame built to efficiently handle the most demanding of tasks. The unique permanently lubricated and self-aligning pillow block bearings at each end of the drum allow smooth rotation and are specifically designed for rough, heavy-duty applications.</p> <h5>Swivel</h5> <ul><li>Drum-located slip ring assembly with easy to access cover for simple routine maintenance</li> <li>Available with 30 Amps or 45 Amps, 600 Volt rated slip ring assembly (see chart)</li></ul> <h5>Design & Structure</h5> <ul><li>All welded steel ""A"" frame construction to strengthen the reel structure</li> <li>Narrow width for convenient installation in restricted spaces</li> <li>Permanently lubricated self-aligning pillow block bearings for trouble-free & smooth rotation</li> <li>""Cable Keeper"" to prevent the lead cable from whipping or twisting</li> <li>Adjustable tension brake to prevent ""free-wheeling"" during operation</li> <li>Long-handled locking pin to secure reel from rotation during transport or storage</li></ul> <h5>Retraction</h5> <ul><li>Reliable direct gear drive - No chain</li> <li>See Motor Options below</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants & Facilities</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Mining, Construction & Railroad Operations</li></ul> <h5>Specifications</h5><table class=""description-table""><thead><tr><th>REEL</th><th></th><th colspan=""4"">SPECS</th><th rowspan=""3""></th><th colspan=""3"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">CORD</th><th rowspan=""2"">VOLTS</th><th rowspan=""2"">10GA</th><th rowspan=""2"">12GA</th><th rowspan=""2"">AMPS</th><th>W</th><th>H</th><th>L</th></tr><tr><th colspan=""3"">Overall Dimensions</th></tr></thead><tbody><tr><td>1125PCL-8M-E</td><td>48</td><td>N</td><td>600</td><td>200</td><td>250</td><td>45</td><td>21-5/8""</td><td>19-1/8""</td><td>17-1/2""</td></tr></tbody></table>"
"2518556","<p>Coxreels 1125PCL Series professional-grade hand crank and motorized cord reels feature the industry preferred design including a drum-located, easy to access slip ring assembly for simple routine maintenance and a sturdy all-welded ""A"" frame built to efficiently handle the most demanding of tasks. The unique permanently lubricated and self-aligning pillow block bearings at each end of the drum allow smooth rotation and are specifically designed for rough, heavy-duty applications.</p> <h5>Swivel</h5> <ul><li>Drum-located slip ring assembly with easy to access cover for simple routine maintenance</li> <li>Available with 30 Amps or 45 Amps, 600 Volt rated slip ring assembly (see chart)</li></ul> <h5>Design & Structure</h5> <ul><li>All welded steel ""A"" frame construction to strengthen the reel structure</li> <li>Narrow width for convenient installation in restricted spaces</li> <li>Permanently lubricated self-aligning pillow block bearings for trouble-free & smooth rotation</li> <li>""Cable Keeper"" to prevent the lead cable from whipping or twisting</li> <li>Adjustable tension brake to prevent ""free-wheeling"" during operation</li> <li>Long-handled locking pin to secure reel from rotation during transport or storage</li></ul> <h5>Retraction</h5> <ul><li>Reliable direct gear drive - No chain</li> <li>See Motor Options below</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants & Facilities</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Mining, Construction & Railroad Operations</li></ul> <h5>Specifications</h5><table class=""description-table""><thead><tr><th>REEL</th><th></th><th colspan=""4"">SPECS</th><th rowspan=""3""></th><th colspan=""3"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">CORD</th><th rowspan=""2"">VOLTS</th><th rowspan=""2"">10GA</th><th rowspan=""2"">12GA</th><th rowspan=""2"">AMPS</th><th>W</th><th>H</th><th>L</th></tr><tr><th colspan=""3"">Overall Dimensions</th></tr></thead><tbody><tr><td>1125PCL-8M-EA</td><td>61</td><td>N</td><td>600</td><td>200</td><td>250</td><td>45</td><td>21-5/8""</td><td>19-1/8""</td><td>17-1/2""</td></tr></tbody></table>"
"2518560","<p>Coxreels 1125PCL Series professional-grade hand crank and motorized cord reels feature the industry preferred design including a drum-located, easy to access slip ring assembly for simple routine maintenance and a sturdy all-welded ""A"" frame built to efficiently handle the most demanding of tasks. The unique permanently lubricated and self-aligning pillow block bearings at each end of the drum allow smooth rotation and are specifically designed for rough, heavy-duty applications.</p> <h5>Swivel</h5> <ul><li>Drum-located slip ring assembly with easy to access cover for simple routine maintenance</li> <li>Available with 30 Amps or 45 Amps, 600 Volt rated slip ring assembly (see chart)</li></ul> <h5>Design & Structure</h5> <ul><li>All welded steel ""A"" frame construction to strengthen the reel structure</li> <li>Narrow width for convenient installation in restricted spaces</li> <li>Permanently lubricated self-aligning pillow block bearings for trouble-free & smooth rotation</li> <li>""Cable Keeper"" to prevent the lead cable from whipping or twisting</li> <li>Adjustable tension brake to prevent ""free-wheeling"" during operation</li> <li>Long-handled locking pin to secure reel from rotation during transport or storage</li></ul> <h5>Retraction</h5> <ul><li>Reliable direct gear drive - No chain</li> <li>See Motor Options below</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants & Facilities</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Mining, Construction & Railroad Operations</li></ul> <h5>Specifications</h5><table class=""description-table""><thead><tr><th>REEL</th><th></th><th colspan=""4"">SPECS</th><th rowspan=""3""></th><th colspan=""3"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">CORD</th><th rowspan=""2"">VOLTS</th><th rowspan=""2"">10GA</th><th rowspan=""2"">12GA</th><th rowspan=""2"">AMPS</th><th>W</th><th>H</th><th>L</th></tr><tr><th colspan=""3"">Overall Dimensions</th></tr></thead><tbody><tr><td>1125PCL-8M-ED</td><td>61</td><td>N</td><td>600</td><td>200</td><td>250</td><td>45</td><td>21-5/8""</td><td>19-1/8""</td><td>17-1/2""</td></tr></tbody></table>"
"2518562","<p>Coxreels 1125PCL Series professional-grade hand crank and motorized cord reels feature the industry preferred design including a drum-located, easy to access slip ring assembly for simple routine maintenance and a sturdy all-welded ""A"" frame built to efficiently handle the most demanding of tasks. The unique permanently lubricated and self-aligning pillow block bearings at each end of the drum allow smooth rotation and are specifically designed for rough, heavy-duty applications.</p> <h5>Swivel</h5> <ul><li>Drum-located slip ring assembly with easy to access cover for simple routine maintenance</li> <li>Available with 30 Amps or 45 Amps, 600 Volt rated slip ring assembly (see chart)</li></ul> <h5>Design & Structure</h5> <ul><li>All welded steel ""A"" frame construction to strengthen the reel structure</li> <li>Narrow width for convenient installation in restricted spaces</li> <li>Permanently lubricated self-aligning pillow block bearings for trouble-free & smooth rotation</li> <li>""Cable Keeper"" to prevent the lead cable from whipping or twisting</li> <li>Adjustable tension brake to prevent ""free-wheeling"" during operation</li> <li>Long-handled locking pin to secure reel from rotation during transport or storage</li></ul> <h5>Retraction</h5> <ul><li>Reliable direct gear drive - No chain</li> <li>See Motor Options below</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants & Facilities</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Mining, Construction & Railroad Operations</li></ul> <h5>Specifications</h5><table class=""description-table""><thead><tr><th>REEL</th><th></th><th colspan=""4"">SPECS</th><th rowspan=""3""></th><th colspan=""3"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">CORD</th><th rowspan=""2"">VOLTS</th><th rowspan=""2"">10GA</th><th rowspan=""2"">12GA</th><th rowspan=""2"">AMPS</th><th>W</th><th>H</th><th>L</th></tr><tr><th colspan=""3"">Overall Dimensions</th></tr></thead><tbody><tr><td>1125PCL-8M-EF</td><td>48</td><td>N</td><td>600</td><td>200</td><td>250</td><td>45</td><td>21-5/8""</td><td>19-1/8""</td><td>17-1/2""</td></tr></tbody></table>"
"2518564","<p>Coxreels 1125PCL Series professional-grade hand crank and motorized cord reels feature the industry preferred design including a drum-located, easy to access slip ring assembly for simple routine maintenance and a sturdy all-welded ""A"" frame built to efficiently handle the most demanding of tasks. The unique permanently lubricated and self-aligning pillow block bearings at each end of the drum allow smooth rotation and are specifically designed for rough, heavy-duty applications.</p> <h5>Swivel</h5> <ul><li>Drum-located slip ring assembly with easy to access cover for simple routine maintenance</li> <li>Available with 30 Amps or 45 Amps, 600 Volt rated slip ring assembly (see chart)</li></ul> <h5>Design & Structure</h5> <ul><li>All welded steel ""A"" frame construction to strengthen the reel structure</li> <li>Narrow width for convenient installation in restricted spaces</li> <li>Permanently lubricated self-aligning pillow block bearings for trouble-free & smooth rotation</li> <li>""Cable Keeper"" to prevent the lead cable from whipping or twisting</li> <li>Adjustable tension brake to prevent ""free-wheeling"" during operation</li> <li>Long-handled locking pin to secure reel from rotation during transport or storage</li></ul> <h5>Retraction</h5> <ul><li>Reliable direct gear drive - No chain</li> <li>See Motor Options below</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants & Facilities</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Mining, Construction & Railroad Operations</li></ul> <h5>Specifications</h5><table class=""description-table""><thead><tr><th>REEL</th><th></th><th colspan=""4"">SPECS</th><th rowspan=""3""></th><th colspan=""3"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">CORD</th><th rowspan=""2"">VOLTS</th><th rowspan=""2"">10GA</th><th rowspan=""2"">12GA</th><th rowspan=""2"">AMPS</th><th>W</th><th>H</th><th>L</th></tr><tr><th colspan=""3"">Overall Dimensions</th></tr></thead><tbody><tr><td>1125PCL-8M-H</td><td>41</td><td>N</td><td>600</td><td>200</td><td>250</td><td>45</td><td>18-7/8""</td><td>19-1/8""</td><td>17-1/2""</td></tr></tbody></table>"
