ID,ADDITIONAL_DESCRIPTION
5821881,<p>For best results these Ferrules should only be used with PM or SE Sanitary Bodies (internal sanitary expansion).</p><br/><br/>Custom design supplied upon request.<br/><br/>304 Stainless Steel is the standard material.<br/><br/>Please call for special quote in 316 Stainless Steel.<br/><br/>Made in the U.S.A.
5819629,"<p>8, 10 and 12 inch couplers are 4-cam designs with the STA LOK positive loking feature.</p><br/><br/>HBS cam arms are made of 300 series Stainless Steel.<br/><br/>HB cam arms are made of Brass.<br/><br/>All standard components are 300 series Stainless Steel.<br/><br/>Please call for special quote on complete cam arm assembly and components in 316 Stainless Steel.<br/><br/>Standard Cam assemblies in HB and HBS may be used on all STA LOK parts.<br/><br/>Made in the U.S.A."
5820900,"<p>Ball bearing swivel action standard U-cup Viton, Buna is also available.</p><br/><br/>Made in the U.S.A.<br/><br/>Also available in Hard Coat Aluminum"
5820798,<p>Stainless Steel and Carbon Steel Flanges are raised face.</p><br/><br/>Pipe Flange bolt pattern conforms to ANSI B16.5 Class 150.<br/><br/>Made in the U.S.A.
5819252,"<p>For best results use Punch-Lok center punch hose clamps with PT Coupling's machined hose shanks.</p><br/><br/>PT hose shanks are the most versatile for attaching to hose. The specially designed multi-barbed shank allows for attachment via original Punch-Lok center punch clamps or by an interlocked ProGrip C-50 ferrule or sleeve.<br/><br/>All Stainless Steel castings are 316.<br/><br/>All 1-1/2"" to 6"" Aluminum or Hard Coat Aluminum castings are available with Undersized shank. To order add the letters ""US"" after the existing item numbers.<br/><br/>Couplings not interchangeable in the industry are sizes 8"" through 12"".<br/><br/>Made in the U.S.A."
5820185,<p>Available with STA-LOK II cam arms</p><br/><br/>HBS cam arms are made of 300 series Stainless Steel.<br/><br/>HB cam arms are made of Brass.<br/><br/>Please call for special quote on complete cam arm assembly and components in 316 Stainless Steel.<br/><br/>This part is produced as a welded fabrication.<br/><br/>Made in the U.S.A.
5821423,<p>Made in the U.S.A.</p><br/><br/>All registered trademarks are the property of their respective owners
5818906,"<p>HBS cam arms are made of 300 series Stainless Steel.</p><br/><br/>HB cam arms are made of Brass.<br/><br/>All Stainless Steel castings are 316 and all components are 300 series Stainless Steel.<br/><br/>Please call for special quote on complete cam arm assembly and components in 316 Stainless Steel.<br/><br/>8, 10 and 12 inch couplers are 4-cam designs with the STA-LOK positive locking feature.<br/><br/>Couplings not interchangeable in the industry are sizes 8"" through 12"".<br/><br/>Made in the U.S.A."
5821062,<p>Made in the U.S.A.</p><br/><br/>All registered trademarks are the property of their respective owners
5820771,<p>Stainless Steel and Carbon Steel Flanges are raised face.</p><br/><br/>Pipe Flange bolt pattern conforms to ANSI B16.5 Class 150.<br/><br/>Made in the U.S.A.
5819104,"<p>PT hose shanks are the most versatile for attaching to hose. The specially designed multi-barbed shank allows for attachment via original Punch-Lok center punch clamps or by an interlocked ProGrip C-50 ferrule or sleeve.</p><br/><br/>HBS cam arms are made of 300 series Stainless Steel.<br/><br/>HB cam arms are made of Brass<br/><br/>All Stainless Steel castings are 316 and all standard components are 300 series Stainless Steel.<br/><br/>Please call for special quote on complete cam arm assembly and components in 316 Stainless Steel.<br/><br/>8, 10 and 12 inch couplers are 4-cam designs with the STA-LOK positive locking feature.<br/><br/>All 1-1/2"" to 6"" Aluminum or Hard Coat Aluminum castings are available with Undersized shank. To order add the letters ""US"" after the existing item numbers listed above.<br/><br/>Couplings not interchangeable in the industry are sizes 8"" through 12"".<br/><br/>Made in the U.S.A."
5820723,"<p>Other alloys and sizes are available via special quote.</p><br/><br/> Ordering Information: <ul><li>Coupler Size</li><li>Material</li><li>Pipe Size & Schedule Number or Tube O.D.</li><li>Wall Thickness</li><li>Available with STA-LOK II hardware</li><li>Butt or Socket Weld</li></ul><h5> Example:</h5><table class=""description-table""><tr><th>Coupler Size</th><td>3""</td></tr><tr><th>Material</th><td>Aluminum</td></tr><tr><th>Pipe Size</th><td>3""</td></tr><tr><th>Schedule Number</th><td>Sch. 40</td></tr><li>Socket Weld</li></ul>Also available in Hastelloy<br/><br/>Made in the U.S.A.<br/><br/>All registered trademarks are the property of their respective owners"
5820362,<p>These corrosion resistant cam & groove couplings are designed for acid applications in highly corrosive media including hydrochloric acid and sulfuric acid.</p><br/><br/>Made in the U.S.A.<br/><br/>All registered trademarks are the property of their respective owners
5820876,"<p>Ball bearing swivel action standard U-cup Viton, Buna is also available.</p><br/><br/>Made in the U.S.A."
5821421,<p>Made in the U.S.A.</p><br/><br/>All registered trademarks are the property of their respective owners
5820001,"<p>1 Cam arm, pin, pull ring and lock plate</p><br/><br/>Made in the U.S.A."
5821450,<p>Polypropylene Y-Strainer Replacement Part</p>
5820097,<p>All Stainless Steel castings are 316 and all components are 300 series Stainless Steel.</p><br/><br/>Please call for special quote on complete cam arm assembly and components in 316 Stainless Steel.<br/><br/>HBS cam arms are made of 300 series Stainless Steel.<br/><br/>HB cam arms are made of Brass.<br/><br/>Made in the U.S.A.
5821727,"<p>Custom design supplied upon request.</p><br/><br/>304 Stainless Steel is standard material, also available in 316 Stainless, Aluminum, Anodized Aluminum & private label by quote.<br/><br/>Made in the U.S.A."
5819102,"<p>PT hose shanks are the most versatile for attaching to hose. The specially designed multi-barbed shank allows for attachment via original Punch-Lok center punch clamps or by an interlocked ProGrip C-50 ferrule or sleeve.</p><br/><br/>HBS cam arms are made of 300 series Stainless Steel.<br/><br/>HB cam arms are made of Brass<br/><br/>All Stainless Steel castings are 316 and all standard components are 300 series Stainless Steel.<br/><br/>Please call for special quote on complete cam arm assembly and components in 316 Stainless Steel.<br/><br/>8, 10 and 12 inch couplers are 4-cam designs with the STA-LOK positive locking feature.<br/><br/>All 1-1/2"" to 6"" Aluminum or Hard Coat Aluminum castings are available with Undersized shank. To order add the letters ""US"" after the existing item numbers listed above.<br/><br/>Couplings not interchangeable in the industry are sizes 8"" through 12"".<br/><br/>Made in the U.S.A."
