"ID","ADDITIONAL_DESCRIPTION"
"1860379","<table class=""description-table"">Specifications<tr><th>Housing Number</th><td>LF207</td></tr><tr><th>Bearing Number</th><td>SB207-23</td></tr><tr><th>Shaft Size</th><td>1 3/8 in</td></tr><tr><th>Bolt Size</th><td>M10 3/8 in</td></tr><tr><th>Weight</th><td>0.77 kg 1.70 lb</td></tr><tr><th>Locking Style</th><td>Set Screw Locking</td></tr></table><table class=""description-table"">Dimensions<tr><th>H</th><td>122 mm 4-13/16 in</td></tr><tr><th>L</th><td>89 mm 3-1/2 in</td></tr><tr><th>A</th><td>24 mm 15/16 in</td></tr><tr><th>J</th><td>100 mm 3-15/16 in</td></tr><tr><th>N</th><td>12 mm 15/32 in</td></tr><tr><th>A1</th><td>13 mm 1/2 in</td></tr><tr><th>A2</th><td>13 mm 33/64 in</td></tr><tr><th>A0</th><td>36.5 mm 1-7/16 in</td></tr><tr><th>B</th><td>32 mm 1.260 in</td></tr><tr><th>S</th><td>8.5 mm 0.335 in</td></tr></table><table class=""description-table"">Basic Load Rating<tr><th>Cr</th><td>25.7 kN 5778 lbf</td></tr><tr><th>Cor</th><td>15.4 kN 3462 lbf</td></tr><tr><th>Factor fo</th><td>13.9</td></tr></table>"
"1860380","<table class=""description-table"">Specifications<tr><th>Housing Number</th><td>LF207</td></tr><tr><th>Bearing Number</th><td>SB207-23</td></tr><tr><th>Shaft Size</th><td>1 3/8 in</td></tr><tr><th>Bolt Size</th><td>M10 3/8 in</td></tr><tr><th>Weight</th><td>0.77 kg 1.70 lb</td></tr><tr><th>Locking Style</th><td>Set Screw Locking</td></tr></table><table class=""description-table"">Dimensions<tr><th>H</th><td>122 mm 4-13/16 in</td></tr><tr><th>L</th><td>89 mm 3-1/2 in</td></tr><tr><th>A</th><td>24 mm 15/16 in</td></tr><tr><th>J</th><td>100 mm 3-15/16 in</td></tr><tr><th>N</th><td>12 mm 15/32 in</td></tr><tr><th>A1</th><td>13 mm 1/2 in</td></tr><tr><th>A2</th><td>13 mm 33/64 in</td></tr><tr><th>A0</th><td>36.5 mm 1-7/16 in</td></tr><tr><th>B</th><td>32 mm 1.260 in</td></tr><tr><th>S</th><td>8.5 mm 0.335 in</td></tr></table><table class=""description-table"">Basic Load Rating<tr><th>Cr</th><td>25.7 kN 5778 lbf</td></tr><tr><th>Cor</th><td>15.4 kN 3462 lbf</td></tr><tr><th>Factor fo</th><td>13.9</td></tr></table>"
"1860381","<table class=""description-table"">Specifications<tr><th>Housing Number</th><td>LF207</td></tr><tr><th>Bearing Number</th><td>SB207-23</td></tr><tr><th>Shaft Size</th><td>1 7/16 in</td></tr><tr><th>Bolt Size</th><td>M10 3/8 in</td></tr><tr><th>Weight</th><td>0.77 kg 1.70 lb</td></tr><tr><th>Locking Style</th><td>Set Screw Locking</td></tr></table><table class=""description-table"">Dimensions<tr><th>H</th><td>122 mm 4-13/16 in</td></tr><tr><th>L</th><td>89 mm 3-1/2 in</td></tr><tr><th>A</th><td>24 mm 15/16 in</td></tr><tr><th>J</th><td>100 mm 3-15/16 in</td></tr><tr><th>N</th><td>12 mm 15/32 in</td></tr><tr><th>A1</th><td>13 mm 1/2 in</td></tr><tr><th>A2</th><td>13 mm 33/64 in</td></tr><tr><th>A0</th><td>36.5 mm 1-7/16 in</td></tr><tr><th>B</th><td>32 mm 1.260 in</td></tr><tr><th>S</th><td>8.5 mm 0.335 in</td></tr></table><table class=""description-table"">Basic Load Rating<tr><th>Cr</th><td>25.7 kN 5778 lbf</td></tr><tr><th>Cor</th><td>15.4 kN 3462 lbf</td></tr><tr><th>Factor fo</th><td>13.9</td></tr></table>"
"1860359","<table class=""description-table"">Specifications<tr><th>Housing Number</th><td>LF205</td></tr><tr><th>Bearing Number</th><td>SB205-16</td></tr><tr><th>Shaft Size</th><td>7/8 in</td></tr><tr><th>Bolt Size</th><td>M8 5/16 in</td></tr><tr><th>Weight</th><td>0.38 kg 0.84 lb</td></tr><tr><th>Locking Style</th><td>Set Screw Locking</td></tr></table><table class=""description-table"">Dimensions<tr><th>H</th><td>95 mm 3-3/4 in</td></tr><tr><th>L</th><td>64 mm 2-17/32 in</td></tr><tr><th>A</th><td>20 mm 25/32 in</td></tr><tr><th>J</th><td>76 mm 2-63/64 in</td></tr><tr><th>N</th><td>10 mm 25/64 in</td></tr><tr><th>A1</th><td>11 mm 7/16 in</td></tr><tr><th>A2</th><td>11 mm 7/16 in</td></tr><tr><th>A0</th><td>30.5 mm 1-3/16 in</td></tr><tr><th>B</th><td>27 mm 1.063 in</td></tr><tr><th>S</th><td>7.5 mm 0.295 in</td></tr></table><table class=""description-table"">Basic Load Rating<tr><th>Cr</th><td>14.0 kN 3147 lbf</td></tr><tr><th>Cor</th><td>7.85 kN 1765 lbf</td></tr><tr><th>Factor fo</th><td>13.9</td></tr></table>"
"1860360","<table class=""description-table"">Specifications<tr><th>Housing Number</th><td>LF205</td></tr><tr><th>Bearing Number</th><td>SB205-16</td></tr><tr><th>Shaft Size</th><td>7/8 in</td></tr><tr><th>Bolt Size</th><td>M8 5/16 in</td></tr><tr><th>Weight</th><td>0.38 kg 0.84 lb</td></tr><tr><th>Locking Style</th><td>Set Screw Locking</td></tr></table><table class=""description-table"">Dimensions<tr><th>H</th><td>95 mm 3-3/4 in</td></tr><tr><th>L</th><td>64 mm 2-17/32 in</td></tr><tr><th>A</th><td>20 mm 25/32 in</td></tr><tr><th>J</th><td>76 mm 2-63/64 in</td></tr><tr><th>N</th><td>10 mm 25/64 in</td></tr><tr><th>A1</th><td>11 mm 7/16 in</td></tr><tr><th>A2</th><td>11 mm 7/16 in</td></tr><tr><th>A0</th><td>30.5 mm 1-3/16 in</td></tr><tr><th>B</th><td>27 mm 1.063 in</td></tr><tr><th>S</th><td>7.5 mm 0.295 in</td></tr></table><table class=""description-table"">Basic Load Rating<tr><th>Cr</th><td>14.0 kN 3147 lbf</td></tr><tr><th>Cor</th><td>7.85 kN 1765 lbf</td></tr><tr><th>Factor fo</th><td>13.9</td></tr></table>"
"1860361","<table class=""description-table"">Specifications<tr><th>Housing Number</th><td>LF205</td></tr><tr><th>Bearing Number</th><td>SB205-16</td></tr><tr><th>Shaft Size</th><td>15/16 in</td></tr><tr><th>Bolt Size</th><td>M8 5/16 in</td></tr><tr><th>Weight</th><td>0.38 kg 0.84 lb</td></tr><tr><th>Locking Style</th><td>Set Screw Locking</td></tr></table><table class=""description-table"">Dimensions<tr><th>H</th><td>95 mm 3-3/4 in</td></tr><tr><th>L</th><td>64 mm 2-17/32 in</td></tr><tr><th>A</th><td>20 mm 25/32 in</td></tr><tr><th>J</th><td>76 mm 2-63/64 in</td></tr><tr><th>N</th><td>10 mm 25/64 in</td></tr><tr><th>A1</th><td>11 mm 7/16 in</td></tr><tr><th>A2</th><td>11 mm 7/16 in</td></tr><tr><th>A0</th><td>30.5 mm 1-3/16 in</td></tr><tr><th>B</th><td>27 mm 1.063 in</td></tr><tr><th>S</th><td>7.5 mm 0.295 in</td></tr></table><table class=""description-table"">Basic Load Rating<tr><th>Cr</th><td>14.0 kN 3147 lbf</td></tr><tr><th>Cor</th><td>7.85 kN 1765 lbf</td></tr><tr><th>Factor fo</th><td>13.9</td></tr></table>"
"1860362","<table class=""description-table"">Specifications<tr><th>Housing Number</th><td>LF205</td></tr><tr><th>Bearing Number</th><td>SB205-16</td></tr><tr><th>Shaft Size</th><td>15/16 in</td></tr><tr><th>Bolt Size</th><td>M8 5/16 in</td></tr><tr><th>Weight</th><td>0.38 kg 0.84 lb</td></tr><tr><th>Locking Style</th><td>Set Screw Locking</td></tr></table><table class=""description-table"">Dimensions<tr><th>H</th><td>95 mm 3-3/4 in</td></tr><tr><th>L</th><td>64 mm 2-17/32 in</td></tr><tr><th>A</th><td>20 mm 25/32 in</td></tr><tr><th>J</th><td>76 mm 2-63/64 in</td></tr><tr><th>N</th><td>10 mm 25/64 in</td></tr><tr><th>A1</th><td>11 mm 7/16 in</td></tr><tr><th>A2</th><td>11 mm 7/16 in</td></tr><tr><th>A0</th><td>30.5 mm 1-3/16 in</td></tr><tr><th>B</th><td>27 mm 1.063 in</td></tr><tr><th>S</th><td>7.5 mm 0.295 in</td></tr></table><table class=""description-table"">Basic Load Rating<tr><th>Cr</th><td>14.0 kN 3147 lbf</td></tr><tr><th>Cor</th><td>7.85 kN 1765 lbf</td></tr><tr><th>Factor fo</th><td>13.9</td></tr></table>"
"1860368","<table class=""description-table"">Specifications<tr><th>Housing Number</th><td>LF206</td></tr><tr><th>Bearing Number</th><td>SB206-20</td></tr><tr><th>Shaft Size</th><td>1 1/8 in</td></tr><tr><th>Bolt Size</th><td>M10 3/8 in</td></tr><tr><th>Weight</th><td>0.57 kg 1.26 lb</td></tr><tr><th>Locking Style</th><td>Set Screw Locking</td></tr></table><table class=""description-table"">Dimensions<tr><th>H</th><td>113 mm 4-7/16 in</td></tr><tr><th>L</th><td>76 mm 3 in</td></tr><tr><th>A</th><td>22.5 mm 7/8 in</td></tr><tr><th>J</th><td>90.5 mm 3-9/16 in</td></tr><tr><th>N</th><td>12 mm 15/32 in</td></tr><tr><th>A1</th><td>12 mm 15/32 in</td></tr><tr><th>A2</th><td>12 mm 15/32 in</td></tr><tr><th>A0</th><td>34 mm 1-11/32 in</td></tr><tr><th>B</th><td>30 mm 1.181 in</td></tr><tr><th>S</th><td>8 mm 0.315 in</td></tr></table><table class=""description-table"">Basic Load Rating<tr><th>Cr</th><td>19.5 kN 4384 lbf</td></tr><tr><th>Cor</th><td>11.3 kN 2540 lbf</td></tr><tr><th>Factor fo</th><td>13.9</td></tr></table>"
"1860369","<table class=""description-table"">Specifications<tr><th>Housing Number</th><td>LF206</td></tr><tr><th>Bearing Number</th><td>SB206-20</td></tr><tr><th>Shaft Size</th><td>1 1/8 in</td></tr><tr><th>Bolt Size</th><td>M10 3/8 in</td></tr><tr><th>Weight</th><td>0.57 kg 1.26 lb</td></tr><tr><th>Locking Style</th><td>Set Screw Locking</td></tr></table><table class=""description-table"">Dimensions<tr><th>H</th><td>113 mm 4-7/16 in</td></tr><tr><th>L</th><td>76 mm 3 in</td></tr><tr><th>A</th><td>22.5 mm 7/8 in</td></tr><tr><th>J</th><td>90.5 mm 3-9/16 in</td></tr><tr><th>N</th><td>12 mm 15/32 in</td></tr><tr><th>A1</th><td>12 mm 15/32 in</td></tr><tr><th>A2</th><td>12 mm 15/32 in</td></tr><tr><th>A0</th><td>34 mm 1-11/32 in</td></tr><tr><th>B</th><td>30 mm 1.181 in</td></tr><tr><th>S</th><td>8 mm 0.315 in</td></tr></table><table class=""description-table"">Basic Load Rating<tr><th>Cr</th><td>19.5 kN 4384 lbf</td></tr><tr><th>Cor</th><td>11.3 kN 2540 lbf</td></tr><tr><th>Factor fo</th><td>13.9</td></tr></table>"
"1860370","<table class=""description-table"">Specifications<tr><th>Housing Number</th><td>LF206</td></tr><tr><th>Bearing Number</th><td>SB206-20</td></tr><tr><th>Shaft Size</th><td>1 3/16 in</td></tr><tr><th>Bolt Size</th><td>M10 3/8 in</td></tr><tr><th>Weight</th><td>0.57 kg 1.26 lb</td></tr><tr><th>Locking Style</th><td>Set Screw Locking</td></tr></table><table class=""description-table"">Dimensions<tr><th>H</th><td>113 mm 4-7/16 in</td></tr><tr><th>L</th><td>76 mm 3 in</td></tr><tr><th>A</th><td>22.5 mm 7/8 in</td></tr><tr><th>J</th><td>90.5 mm 3-9/16 in</td></tr><tr><th>N</th><td>12 mm 15/32 in</td></tr><tr><th>A1</th><td>12 mm 15/32 in</td></tr><tr><th>A2</th><td>12 mm 15/32 in</td></tr><tr><th>A0</th><td>34 mm 1-11/32 in</td></tr><tr><th>B</th><td>30 mm 1.181 in</td></tr><tr><th>S</th><td>8 mm 0.315 in</td></tr></table><table class=""description-table"">Basic Load Rating<tr><th>Cr</th><td>19.5 kN 4384 lbf</td></tr><tr><th>Cor</th><td>11.3 kN 2540 lbf</td></tr><tr><th>Factor fo</th><td>13.9</td></tr></table>"
