"ID","ADDITIONAL_DESCRIPTION"
"1470614","<p>Extruded O-Ring Cord, 3/8 in Dia, 75A Durometer, Round Cross Section, -15 to 200 deg C, FKM, Black, Domestic</p></br></br>O-rings are endless, ring shaped sealing elements with a circular cross section that are manufactured from elastomer materials or PTFE. The designation of an O-ring is derived from the dimensions of its inner diameter and cord width in millimeters, along with the name of the material and its shore a hardness."
"1470615","<p>Extruded Cord, 3/8 in Dia, 75A Durometer, Square Cross Section, FKM, Black, Domestic</p></br></br>Square rings can be either molded or lathe cut. The lathe cut parts are often less expensive than comparably sized O-rings, especially for larger ID's. DICHTOMATIK can offer both molded and lathe cut square rings in most sizes and materials."
"1470616","<p>Extruded O-Ring Cord, 3/8 in Dia, 75A Durometer, Round Cross Section, -15 to 200 deg C, FKM, Brown, Domestic</p></br></br>O-rings are endless, ring shaped sealing elements with a circular cross section that are manufactured from elastomer materials or PTFE. The designation of an O-ring is derived from the dimensions of its inner diameter and cord width in millimeters, along with the name of the material and its shore a hardness."
"1470617","<p>Extruded O-Ring Cord, 3/8 in Dia, 90A Durometer, Round Cross Section, -15 to 200 deg C, FKM, Black, Domestic</p></br></br>O-rings are endless, ring shaped sealing elements with a circular cross section that are manufactured from elastomer materials or PTFE. The designation of an O-ring is derived from the dimensions of its inner diameter and cord width in millimeters, along with the name of the material and its shore a hardness."
"1470620","<p>Extruded O-Ring Cord, 0.394 in Dia, 75 Durometer, Round Cross Section, Aflas, Domestic</p></br></br>O-rings are endless, ring shaped sealing elements with a circular cross section that are manufactured from elastomer materials or PTFE. The designation of an O-ring is derived from the dimensions of its inner diameter and cord width in millimeters, along with the name of the material and its shore a hardness."
"1470621","<p>Extruded O-Ring Cord, 0.394 in Dia, 70 Durometer, Round Cross Section, Neoprene, Import</p></br></br>O-rings are endless, ring shaped sealing elements with a circular cross section that are manufactured from elastomer materials or PTFE. The designation of an O-ring is derived from the dimensions of its inner diameter and cord width in millimeters, along with the name of the material and its shore a hardness."
"1470622","<p>Extruded O-Ring Cord, 0.394 in Dia, 70A Durometer, Round Cross Section, -50 to 150 deg C, EPDM, Black, Domestic</p></br></br>O-rings are endless, ring shaped sealing elements with a circular cross section that are manufactured from elastomer materials or PTFE. The designation of an O-ring is derived from the dimensions of its inner diameter and cord width in millimeters, along with the name of the material and its shore a hardness."
"1470624","<p>Extruded O-Ring Cord, 0.394 in Dia, 70A Durometer, Round Cross Section, -30 to 100 deg C, Nitrile, Black, Domestic</p></br></br>O-rings are endless, ring shaped sealing elements with a circular cross section that are manufactured from elastomer materials or PTFE. The designation of an O-ring is derived from the dimensions of its inner diameter and cord width in millimeters, along with the name of the material and its shore a hardness."
"1306294","<p>Oil Seal, TC, 5.512 in Inside Dia, 6.693 in Outside Dia, 80 Durometer, 0.472 in Width, -20 to 400 deg F, Fluorocarbon Lip, Import</p></br></br>"
"1469990","<p>Wiper Ring, J-Style/Single-Acting, 1/2 in Inside Dia, 1 in Outside Dia, 95 Durometer, 1/4 in Width, -40 to 100 deg C, Thermoplastic Polyurethane, Blue, Import</p></br></br>"
