"ID","ADDITIONAL_DESCRIPTION"
"5773438","<p>Inductive sensor</p><p>With increased switching distance</p><table class=""description-table""><ul><li>Threaded barrel, M30 x 1.5</li><li>Chrome-plated brass</li></ul><ul><li>Large sensing range</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, PNP output</li><li>M12 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101103205</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>CN</td></tr><tr><th>Weight</th><td>111 g</td></tr></tbody></table>"
"5773436","<p>Inductive sensor</p><table class=""description-table""><ul><li>Rectangular, height 8 mm</li><li>Active face on top</li><li>Metal, GD-Zn</li><li>Connector with snap-lock</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, NPN output</li><li>Flange connector, Ø 8 mm</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101146134</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>CH</td></tr><tr><th>Weight</th><td>18 g</td></tr></tbody></table>"
"5773435","<p>Inductive sensor</p><p>With increased switching distance</p><table class=""description-table""><ul><li>M12 × 1 threaded barrel</li><li>Chrome-plated brass</li></ul><ul><li>Large sensing range</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, NPN output</li><li>Cable connection</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101098747</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>CN</td></tr><tr><th>Weight</th><td>109 g</td></tr></tbody></table>"
"5773428","<p>Capacitive sensor</p><table class=""description-table""><ul><li>M18 × 1 threaded barrel</li><li>Plastic, PA12‐GF30</li></ul><ul><li>Fine adjustment via potentiometer</li></ul><ul><li>DC 3-wire, 10…65 VDC</li><li>NO contact, PNP output</li><li>Cable connection</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101088939</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270102 -/- Capacitive proximity switch</td></tr><tr><th>Country of origin</th><td>DE</td></tr><tr><th>Weight</th><td>110 g</td></tr></tbody></table>"
"5773427","<p>I/O Module for DeviceNet</p><p>16 digital pnp inputs</p><table class=""description-table""><ul><li>16 digital pnp inputs </li></ul><ul><li>Short-circuit monitoring</li><li>Module-related diagnostics </li><li>Two channels per connector</li></ul><ul><li>Fiber-glass reinforced PA6 housing</li><li>Vibration and shock-resistant </li><li>Encapsulated module electronics</li><li>Metal connectors</li><li>Degree of protection IP67</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101032277</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27250302 -/- Digital I/O module (periphery)</td></tr><tr><th>Country of origin</th><td>US</td></tr><tr><th>Weight</th><td>608 g</td></tr></tbody></table>"
"5818218","<p>A Certificate of Origin (or Nafta) certifies the country where the goods originated. Certificate of Origin is one of the required documents for import customs clearance in most of the importing countries.</p>"
"5818006","<p>Certificate of Conformance (or Conformity or Compliance) is document given to exporters or importers to show that the good or services bought or supplied meet the required standards. The document is usually required during customs clearance of goods to some countries. COC is a document certified by a competent authority that required information of the supplied good or service has been complied with the required specifications.</p>"
"5773521","<p>Inductive sensor</p><table class=""description-table""><ul><li>M12 × 1 threaded barrel</li><li>Chrome-plated brass</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, NPN output</li><li>M12 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101140972</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>CN</td></tr><tr><th>Weight</th><td>30 g</td></tr></tbody></table>"
"5773520","<p>Inductive sensor</p><table class=""description-table""><ul><li>Threaded barrel, M30 x 1.5</li><li>Plastic, PA12‐GF30</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, NPN output</li><li>Cable connection</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101102314</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>DE</td></tr><tr><th>Weight</th><td>137 g</td></tr></tbody></table>"
"5773519","<p>Inductive sensor</p><p>With Extended Switching Distance</p><table class=""description-table""><ul><li>Rectangular, height 14 mm</li><li>Active face on top</li><li>Plastic, PBT‐GF30‐V0</li></ul><ul><li>Factor 1 for all metals</li><li>Resistant to magnetic fields</li><li>Extended temperature range</li><li>High switching frequency</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, PNP output</li><li>M8 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101077865</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>DE</td></tr><tr><th>Weight</th><td>44 g</td></tr></tbody></table>"
"5773514","<p>Inductive Sensor</p><table class=""description-table""><ul><li>M30 × 1.5 threaded barrel</li><li>Chrome-plated brass</li></ul></table>"
"5773510","<p>Inductive sensor</p><p>With weldguard coating</p><table class=""description-table""><ul><li>M8 × 1 threaded barrel</li><li>Stainless steel, 1.4427 SO</li></ul><ul><li>Large sensing range</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, PNP output</li><li>M12 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101346237</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>US</td></tr><tr><th>Weight</th><td>18 g</td></tr></tbody></table>"
"5773504","<p>Inductive sensor</p><p>With increased switching distance</p><table class=""description-table""><ul><li>Rectangular, height 40 mm</li><li>Active face on top</li><li>Plastic, PBT‐GF30‐V0</li></ul><ul><li>Large sensing range</li></ul><ul><li>AC 2-wire, 20…250 VDC</li><li>DC 2-wire, 10…300 VDC</li><li>NO contact</li><li>7/8"" male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101092394</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>DE</td></tr><tr><th>Weight</th><td>491 g</td></tr></tbody></table>"
"5773500","<p>Inductive sensor</p><p>With increased switching distance</p><table class=""description-table""><ul><li>Threaded barrel, M30 x 1.5</li><li>Chrome-plated brass</li></ul><ul><li>Large sensing range</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, NPN output</li><li>M12 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101100327</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>DE</td></tr><tr><th>Weight</th><td>113 g</td></tr></tbody></table>"
"5773499","<p>Temperature measuring amplifier</p><p>1-channel</p><table class=""description-table""><table class=""description-table""><tr><th>Input for Pt100/ Ni100 resistors, thermocouples and millivolt signals in 2, 3 or 4-wire technology</li><li>Output circuit</th><td>0/4…20 mA</td></tr><li>Upper and lower limit adjustable via rotary coding switch</li></ul><ul><li>Complete galvanic isolation</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101117387</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27200206 -/- Transducer (temperature)</td></tr><tr><th>Country of origin</th><td>DE</td></tr><tr><th>Weight</th><td>150 g</td></tr></tbody></table>"
"5773497","<p>Inductive sensor</p><table class=""description-table""><ul><li>Threaded barrel, M30 x 1.5</li><li>Plastic, PA12‐GF30</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, PNP output</li><li>Cable connection</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101102321</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>DE</td></tr><tr><th>Weight</th><td>148 g</td></tr></tbody></table>"
"5773492","<p>Inductive sensor</p><p>With increased switching distance</p><table class=""description-table""><ul><li>Smooth barrel, Ø 6.5 mm</li><li>Stainless steel, 1.4404</li></ul><ul><li>Large sensing range</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, PNP output</li><li>M8 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101155600</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>CH</td></tr><tr><th>Weight</th><td>9 g</td></tr></tbody></table>"
"5773485","<p>Inductive sensor</p><p>With increased switching distance</p><table class=""description-table""><ul><li>Threaded barrel, M8 x 1</li><li>Stainless steel, 1.4427 SO</li></ul><ul><li>Large sensing range</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, NPN output</li><li>Cable connection</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101159158</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>CH</td></tr><tr><th>Weight</th><td>56 g</td></tr></tbody></table>"
"5773480","<p>Inductive sensor</p><table class=""description-table""><ul><li>Threaded barrel, M8 x 1</li><li>Stainless steel, 1.4427 SO</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, NPN output</li><li>TTL compatible</li><li>M12 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101159394</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>CH</td></tr><tr><th>Weight</th><td>0 g</td></tr></tbody></table>"
"5773476","<p>Inductive sensor</p><table class=""description-table""><ul><li>2 cable entries (axial, radial)</li><li>Threaded barrel, Pg36</li><li>Chrome-plated brass</li></ul><ul><li>AC 2-wire, 20…250 VDC</li><li>DC 2-wire, 10…300 VDC</li><li>NC/NO programmable</li><li>Terminal chamber</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101066968</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>DE</td></tr><tr><th>Weight</th><td>284 g</td></tr></tbody></table>"
"5773469","<p>Inductive sensor</p><table class=""description-table""><ul><li>Threaded barrel, M8 x 1</li><li>Stainless steel, 1.4427 SO</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, PNP output</li><li>M12 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101158823</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>CH</td></tr><tr><th>Weight</th><td>17 g</td></tr></tbody></table>"
"5773468","<p>Inductive sensor</p><table class=""description-table""><ul><li>M12 × 1 threaded barrel</li><li>Chrome-plated brass</li></ul><ul><li>DC 2-wire, 10…65 VDC</li><li>NO contact</li><li>M12 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101139907</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>CN</td></tr><tr><th>Weight</th><td>32 g</td></tr></tbody></table>"
"5773464","<p>Inductive sensor</p><table class=""description-table""><ul><li>Threaded barrel, M30 x 1.5</li><li>Chrome-plated brass</li></ul><ul><li>DC 2-wire, 10…65 VDC</li><li>NO contact</li><li>M12 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101140446</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>CN</td></tr><tr><th>Weight</th><td>110 g</td></tr></tbody></table>"
"5773460","<p>Inductive sensor</p><table class=""description-table""><ul><li>Threaded barrel, M18 x 1</li><li>Chrome-plated brass</li></ul></table>"
"5773457","<p>Inductive sensor</p><table class=""description-table""><ul><li>Threaded barrel, M8 x 1</li><li>Stainless steel, 1.4404</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, PNP output</li><li>M12 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101153590</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>CH</td></tr><tr><th>Weight</th><td>24 g</td></tr></tbody></table>"
"5773455","<p>Inductive sensor</p><table class=""description-table""><ul><li>Threaded barrel, M30 x 1.5</li><li>Plastic, PBT-GF30</li></ul><ul><li>Factor 1 for all metals</li><li>Protection class IP68</li><li>Resistant to magnetic fields</li><li>Extended temperature range</li><li>High switching frequency</li><li>Auto-compensation protects against pre-attenuation</li></ul><ul><li>DC 3-wire, 10…30 VDC</li><li>NO contact, NPN output</li><li>M12 x 1 male connector</li></ul></table><table class=""description-table""><tbody><tr><th>EAN</th><td>4047101135558</td></tr><tr><th>eCl@ss-Code (V5.1.4):</th><td>27270101 -/- Inductive proximity switch</td></tr><tr><th>Country of origin</th><td>DE</td></tr><tr><th>Weight</th><td>46 g</td></tr></tbody></table>"
