id,additional_description
5792835,"<p>Powers 8 circuits of your home with the 50-amp, NEMA 1 (indoor rated only) lightweight transfer switch.</p> <p>3 Year Limited Warranty for automatic standby generators.</p> <p>True Power Technology delivers best-in-class power quality with less than 5 percent total harmonic distortion for clean, smooth operation of sensitive electronics and appliances.</p> <p>Generac generators and engines are engineered and built in the USA*.</p> <p>*Assembled in the USA using domestic and foreign parts</p> <p>Generac OHV engine is designed for reliability and long-life operation.</p> <p>Durable powder-coat finish helps make the sturdy, galvanneal steel enclosure perfect for all weather conditions.</p>"
5792831,"<p>Mobile Link Remote Monitoring FREE with every Guardian Series Home standby generator Allows you to monitor the status of your generator from anywhere in the world using a smartphone, tablet, or PC. Easily access information, such as the current operating status and maintenance alerts. Connect your account to your authorized service dealer for fast, friendly and proactive service. With Mobile Link, you are taken care of before the next power outage.</p> <p>Up to whole house protection with the 200-amp, NEMA 3R (aluminum outdoor enclosure) smart switch.</p> <p>5 Year Limited Warranty for automatic standby generators.</p> <p>True Power Technology delivers best-in-class power quality with less than 5 percent total harmonic distortion for clean, smooth operation of sensitive electronics and appliances.</p> <p>Generac generators and engines are engineered and assembled in the USA*.</p> <p>*Assembled in the USA using domestic and foreign parts</p> <p>Generac's G-Force Engine is a purpose-built, pressure-lubricated engine capable of handling the rigors of generator use, resulting in power that’s more reliable and requires less routine maintenance than any competitive engine.</p> <p>Quiet-Test Self-Test Mode runs at a lower RPM for a five or twelve minute test, making generators significantly quieter than other brands while consuming less fuel.</p> <p>Our RhinoCoat powder-coated finish helps make corrosion-resistant aluminum perfect for all weather conditions.</p> <p>Generac’s Evolution Controller features a multilingual LCD display that allows users to monitor battery status and track maintenance intervals to ensure your generator is always in top operating condition.</p>"
5792825,"<p>Powers 8 circuits of your home with the 50-amp, NEMA 1 (indoor rated only) lightweight transfer switch.</p> <p>3 Year Limited Warranty for automatic standby generators.</p> <p>True Power Technology delivers best-in-class power quality with less than 5 percent total harmonic distortion for clean, smooth operation of sensitive electronics and appliances.</p> <p>Generac generators and engines are engineered and built in the USA*.</p> <p>*Assembled in the USA using domestic and foreign parts</p> <p>Generac OHV engine is designed for reliability and long-life operation.</p> <p>Durable powder-coat finish helps make the sturdy, galvanneal steel enclosure perfect for all weather conditions.</p>"
5792856,"<p>Mobile Link Remote Monitoring FREE with every Guardian Series Home standby generator Allows you to monitor the status of your generator from anywhere in the world using a smartphone, tablet, or PC. Easily access information, such as the current operating status and maintenance alerts. Connect your account to your authorized service dealer for fast, friendly and proactive service. With Mobile Link, you are taken care of before the next power outage.</p> <p>5 Year Limited Warranty for automatic standby generators.</p> <p>True Power Technology delivers best-in-class power quality with less than 5 percent total harmonic distortion for clean, smooth operation of sensitive electronics and appliances.</p> <p>Generac generators and engines are engineered and built in the USA*.</p> <p>*Assembled in the USA using domestic and foreign parts</p> <p>Generac's G-Force Engine are purpose built, pressure-lubricated engine capable of handling the rigors of generator use, resulting in power that's more reliable and requires less routine maintenance than any other competitor.</p> <p>Durable powder-coat finish helps make the sturdy, galvanneal steel enclosure perfect for all weather conditions</p> <p>Smart, User-Friendly Controls Generac’s Evolution Controller features a dual-line, multilingual LCD display allowing for easy monitoring of history, maintenance logs making it easier to manage your generator.</p>"
5792855,"<p>Mobile Link Remote Monitoring FREE with every Guardian Series Home standby generator Allows you to monitor the status of your generator from anywhere in the world using a smartphone, tablet, or PC. Easily access information, such as the current operating status and maintenance alerts. Connect your account to your authorized service dealer for fast, friendly and proactive service. With Mobile Link, you are taken care of before the next power outage.</p> <p>5 Year Limited Warranty for automatic standby generators.</p> <p>True Power Technology delivers best-in-class power quality with less than 5 percent total harmonic distortion for clean, smooth operation of sensitive electronics and appliances.</p> <p>Generac generators and engines are engineered and assembled in the USA*.</p> <p>*Assembled in the USA using domestic and foreign parts</p> <p>Quiet-Test Self-Test Mode runs at a lower RPM for a five or twelve minute test, making generators significantly quieter than other brands while consuming less fuel.</p> <p>Generac's G-Force Engine is a purpose-built, pressure-lubricated engine capable of handling the rigors of generator use, resulting in power that’s more reliable and requires less routine maintenance than any competitive engine.</p> <p>Our RhinoCoat powder-coated finish helps make corrosion-resistant aluminum perfect for all weather conditions.</p> <p>Generac’s Evolution Controller features a multilingual LCD display that allows users to monitor battery status and track maintenance intervals to ensure your generator is always in top operating condition.</p>"
5792854,"<p>Mobile Link Remote Monitoring FREE with every Guardian Series Home standby generator Allows you to monitor the status of your generator from anywhere in the world using a smartphone, tablet, or PC. Easily access information, such as the current operating status and maintenance alerts. Connect your account to your authorized service dealer for fast, friendly and proactive service. With Mobile Link, you are taken care of before the next power outage.</p> <p>5 Year Limited Warranty for automatic standby generators.</p> <p>True Power Technology delivers best-in-class power quality with less than 5 percent total harmonic distortion for clean, smooth operation of sensitive electronics and appliances.</p> <p>Generac generators and engines are engineered and assembled in the USA*.</p> <p>*Assembled in the USA using domestic and foreign parts</p> <p>Quiet-Test Self-Test Mode runs at a lower RPM for a five or twelve minute test, making generators significantly quieter than other brands while consuming less fuel.</p> <p>Generac's G-Force Engine is a purpose-built, pressure-lubricated engine capable of handling the rigors of generator use, resulting in power that’s more reliable and requires less routine maintenance than any competitive engine.</p> <p>Our RhinoCoat powder-coated finish helps make corrosion-resistant aluminum perfect for all weather conditions.</p> <p>Generac’s Evolution Controller features a multilingual LCD display that allows users to monitor battery status and track maintenance intervals to ensure your generator is always in top operating condition.</p>"
5792850,"<p>Mobile Link Remote Monitoring FREE with every Guardian Series Home standby generator Allows you to monitor the status of your generator from anywhere in the world using a smartphone, tablet, or PC. Easily access information, such as the current operating status and maintenance alerts. Connect your account to your authorized service dealer for fast, friendly and proactive service. With Mobile Link, you are taken care of before the next power outage.</p> <p>5 Year Limited Warranty for automatic standby generators.</p> <p>True Power Technology delivers best-in-class power quality with less than 5 percent total harmonic distortion for clean, smooth operation of sensitive electronics and appliances.</p> <p>Generac generators and engines are engineered and built in the USA*.</p> <p>*Assembled in the USA using domestic and foreign parts</p> <p>Generac's G-Force Engine are purpose built, pressure-lubricated engine capable of handling the rigors of generator use, resulting in power that's more reliable and requires less routine maintenance than any other competitor.</p> <p>Durable powder-coat finish helps make the sturdy, galvanneal steel enclosure perfect for all weather conditions</p> <p>Smart, User-Friendly Controls Generac’s Evolution Controller features a dual-line, multilingual LCD display allowing for easy monitoring of history, maintenance logs making it easier to manage your generator.</p>"
5792849,"<p>Mobile Link Remote Monitoring FREE with every Guardian Series Home standby generator Allows you to monitor the status of your generator from anywhere in the world using a smartphone, tablet, or PC. Easily access information, such as the current operating status and maintenance alerts. Connect your account to your authorized service dealer for fast, friendly and proactive service. With Mobile Link, you are taken care of before the next power outage.</p> <p>5 Year Limited Warranty for automatic standby generators.</p> <p>True Power Technology delivers best-in-class power quality with less than 5 percent total harmonic distortion for clean, smooth operation of sensitive electronics and appliances.</p> <p>Generac generators and engines are engineered and assembled in the USA*.</p> <p>*Assembled in the USA using domestic and foreign parts</p> <p>Quiet-Test Self-Test Mode runs at a lower RPM for a five or twelve minute test, making generators significantly quieter than other brands while consuming less fuel.</p> <p>Generac's G-Force Engine is a purpose-built, pressure-lubricated engine capable of handling the rigors of generator use, resulting in power that’s more reliable and requires less routine maintenance than any competitive engine.</p> <p>Our RhinoCoat powder-coated finish helps make corrosion-resistant aluminum perfect for all weather conditions.</p> <p>Generac’s Evolution Controller features a multilingual LCD display that allows users to monitor battery status and track maintenance intervals to ensure your generator is always in top operating condition.</p>"
5792848,"<p>Mobile Link Remote Monitoring FREE with every Guardian Series Home standby generator Allows you to monitor the status of your generator from anywhere in the world using a smartphone, tablet, or PC. Easily access information, such as the current operating status and maintenance alerts. Connect your account to your authorized service dealer for fast, friendly and proactive service. With Mobile Link, you are taken care of before the next power outage.</p> <p>5 Year Limited Warranty for automatic standby generators.</p> <p>True Power Technology delivers best-in-class power quality with less than 5 percent total harmonic distortion for clean, smooth operation of sensitive electronics and appliances.</p> <p>Generac generators and engines are engineered and assembled in the USA*.</p> <p>*Assembled in the USA using domestic and foreign parts</p> <p>Quiet-Test Self-Test Mode runs at a lower RPM for a five or twelve minute test, making generators significantly quieter than other brands while consuming less fuel.</p> <p>Generac's G-Force Engine is a purpose-built, pressure-lubricated engine capable of handling the rigors of generator use, resulting in power that’s more reliable and requires less routine maintenance than any competitive engine.</p> <p>Our RhinoCoat powder-coated finish helps make corrosion-resistant aluminum perfect for all weather conditions.</p> <p>Generac’s Evolution Controller features a multilingual LCD display that allows users to monitor battery status and track maintenance intervals to ensure your generator is always in top operating condition.</p>"
5792842,"<p>Mobile Link Remote Monitoring FREE with every Guardian Series Home standby generator Allows you to monitor the status of your generator from anywhere in the world using a smartphone, tablet, or PC. Easily access information, such as the current operating status and maintenance alerts. Connect your account to your authorized service dealer for fast, friendly and proactive service. With Mobile Link, you are taken care of before the next power outage.</p> <p>Up to whole house protection with the 200-amp, NEMA 3R (aluminum outdoor enclosure) smart switch.</p> <p>5 Year Limited Warranty for automatic standby generators.</p> <p>True Power Technology delivers best-in-class power quality with less than 5 percent total harmonic distortion for clean, smooth operation of sensitive electronics and appliances.</p> <p>Generac generators and engines are engineered and assembled in the USA*.</p> <p>*Assembled in the USA using domestic and foreign parts</p> <p>Generac's G-Force Engine is a purpose-built, pressure-lubricated engine capable of handling the rigors of generator use, resulting in power that’s more reliable and requires less routine maintenance than any competitive engine.</p> <p>Quiet-Test Self-Test Mode runs at a lower RPM for a five or twelve minute test, making generators significantly quieter than other brands while consuming less fuel.</p> <p>Our RhinoCoat powder-coated finish helps make corrosion-resistant aluminum perfect for all weather conditions.</p> <p>Generac’s Evolution Controller features a multilingual LCD display that allows users to monitor battery status and track maintenance intervals to ensure your generator is always in top operating condition.</p>"
