ID,ADDITIONAL_DESCRIPTION
5834071,"<ul><li>Series : EBE</li><li>Product Lines : Industrial Tools</li><li>Your fast, safe and simple solution for cutting metal bar</li><li>The versatile EBE-Series Electric Bar Cutters quickly cut through heavy duty bar up to 1.02 inches in diameter without the need for an external hydraulic pump</li><li>Their compact size and low weight enable them to be easily transported and used wherever an external power source is available</li><li>The EBE-Series Cylinder is driven by a radial pump powered by an electric motor</li><li>Highly durable, long-lasting blades outlast angle grinder or saw blades</li><li>Controlled cutting process enhances user safety compared with use of cut-off blades</li><li>Minimal spark risk compared to torching, grinding and sawing methods</li><li>Cutters produce minimal vibration, helping prevent HAVS (Hand Arm Vibration Syndrome)</li><li>Safety guard helps protect hands from injury.</li><li>Piston-release mechanism allows blade to be reset, reducing jamming and providing a controlled cutting process</li><li>ETL certification applies to 120 Volt tools only</li> </ul> <h5>Specifications</h5> <table class=""description-table""> <tbody> <tr><th>Capacity (imperial tons)</th><td>25.1</td> </tr><tr><th>Maximum Material Hardness</th><td>HRc 43</td> </tr><tr><th>Pump Power Source</th><td>Eletric Motor</td> </tr><tr><th>Cutter Power Source</th><td>Electric</td> </tr><tr><th>Power Specifications (volt plug)</th><td>with American-style NEMA 6-15 plug</td> </tr><tr><th>Power Specifications (amps)</th><td>11</td> </tr><tr><th>Power Specifications (volt)</th><td>120</td> </tr><tr><th>Power Specifications (watts)</th><td>1300</td> </tr><tr><th>Cord Length (ft)</th><td>6</td> </tr><tr><th>Maximum Material Diameter (in)</th><td>0.87</td> </tr><tr><th>Maximum Material Tensile Strength (psi)</th><td>94,275</td> </tr><tr><th>Weight (lbs)</th><td>29</td> </tr> <tbody> </table> <h5>Dimensions</h5> <table class=""description-table""> <tbody> <tr><th>Dimension A (in)</th><td>18.1</td> </tr><tr><th>Dimension B (in)</th><td>5.5</td> </tr><tr><th>Dimension C (in)</th><td>9.8</td> </tr> <tbody> </table>"
5834072,"<ul><li>Series : EBE</li><li>Product Lines : Industrial Tools</li><li>Your fast, safe and simple solution for cutting metal bar</li><li>The versatile EBE-Series Electric Bar Cutters quickly cut through heavy duty bar up to 1.02 inches in diameter without the need for an external hydraulic pump</li><li>Their compact size and low weight enable them to be easily transported and used wherever an external power source is available</li><li>The EBE-Series Cylinder is driven by a radial pump powered by an electric motor</li><li>Highly durable, long-lasting blades outlast angle grinder or saw blades</li><li>Controlled cutting process enhances user safety compared with use of cut-off blades</li><li>Minimal spark risk compared to torching, grinding and sawing methods</li><li>Cutters produce minimal vibration, helping prevent HAVS (Hand Arm Vibration Syndrome)</li><li>Safety guard helps protect hands from injury.</li><li>Piston-release mechanism allows blade to be reset, reducing jamming and providing a controlled cutting process</li><li>ETL certification applies to 120 Volt tools only</li> </ul> <h5>Specifications</h5> <table class=""description-table""> <tbody> <tr><th>Capacity (imperial tons)</th><td>25.1</td> </tr><tr><th>Maximum Material Hardness</th><td>HRc 43</td> </tr><tr><th>Pump Power Source</th><td>Eletric Motor</td> </tr><tr><th>Cutter Power Source</th><td>Electric</td> </tr><tr><th>Power Specifications (volt plug)</th><td>with European-style SCHUKO plug</td> </tr><tr><th>Power Specifications (amps)</th><td>6.8</td> </tr><tr><th>Power Specifications (volt)</th><td>230</td> </tr><tr><th>Power Specifications (watts)</th><td>1400</td> </tr><tr><th>Cord Length (ft)</th><td>10</td> </tr><tr><th>Maximum Material Diameter (in)</th><td>0.87</td> </tr><tr><th>Maximum Material Tensile Strength (psi)</th><td>94,275</td> </tr><tr><th>Weight (lbs)</th><td>29</td> </tr> <tbody> </table> <h5>Dimensions</h5> <table class=""description-table""> <tbody> <tr><th>Dimension A (in)</th><td>18.1</td> </tr><tr><th>Dimension B (in)</th><td>5.5</td> </tr><tr><th>Dimension C (in)</th><td>9.8</td> </tr> <tbody> </table> "
5834073,"<ul><li>Series : EBE</li><li>Product Lines : Industrial Tools</li><li>Your fast, safe and simple solution for cutting metal bar</li><li>The versatile EBE-Series Electric Bar Cutters quickly cut through heavy duty bar up to 1.02 inches in diameter without the need for an external hydraulic pump</li><li>Their compact size and low weight enable them to be easily transported and used wherever an external power source is available</li><li>The EBE-Series Cylinder is driven by a radial pump powered by an electric motor</li><li>Highly durable, long-lasting blades outlast angle grinder or saw blades</li><li>Controlled cutting process enhances user safety compared with use of cut-off blades</li><li>Minimal spark risk compared to torching, grinding and sawing methods</li><li>Cutters produce minimal vibration, helping prevent HAVS (Hand Arm Vibration Syndrome)</li><li>Safety guard helps protect hands from injury.</li><li>Piston-release mechanism allows blade to be reset, reducing jamming and providing a controlled cutting process</li><li>ETL certification applies to 120 Volt tools only</li> </ul> <h5>Specifications</h5> <table class=""description-table""> <tbody> <tr><th>Capacity (imperial tons)</th><td>37.0</td> </tr><tr><th>Maximum Material Hardness</th><td>HRc 43</td> </tr><tr><th>Pump Power Source</th><td>Eletric Motor</td> </tr><tr><th>Cutter Power Source</th><td>Electric</td> </tr><tr><th>Power Specifications (volt plug)</th><td>with American-style NEMA 6-15 plug</td> </tr><tr><th>Power Specifications (amps)</th><td>11</td> </tr><tr><th>Power Specifications (volt)</th><td>120</td> </tr><tr><th>Power Specifications (watts)</th><td>1300</td> </tr><tr><th>Cord Length (ft)</th><td>6</td> </tr><tr><th>Maximum Material Diameter (in)</th><td>1.02</td> </tr><tr><th>Maximum Material Tensile Strength (psi)</th><td>94,275</td> </tr><tr><th>Weight (lbs)</th><td>35</td> </tr> <tbody> </table> <h5>Dimensions</h5> <table class=""description-table""> <tbody> <tr><th>Dimension A (in)</th><td>18.4</td> </tr><tr><th>Dimension B (in)</th><td>5.5</td> </tr><tr><th>Dimension C (in)</th><td>10.2</td> </tr> <tbody> </table> "
5834074,"<ul><li>Series : EBE</li><li>Product Lines : Industrial Tools</li><li>Your fast, safe and simple solution for cutting metal bar</li><li>The versatile EBE-Series Electric Bar Cutters quickly cut through heavy duty bar up to 1.02 inches in diameter without the need for an external hydraulic pump</li><li>Their compact size and low weight enable them to be easily transported and used wherever an external power source is available</li><li>The EBE-Series Cylinder is driven by a radial pump powered by an electric motor</li><li>Highly durable, long-lasting blades outlast angle grinder or saw blades</li><li>Controlled cutting process enhances user safety compared with use of cut-off blades</li><li>Minimal spark risk compared to torching, grinding and sawing methods</li><li>Cutters produce minimal vibration, helping prevent HAVS (Hand Arm Vibration Syndrome)</li><li>Safety guard helps protect hands from injury.</li><li>Piston-release mechanism allows blade to be reset, reducing jamming and providing a controlled cutting process</li><li>ETL certification applies to 120 Volt tools only</li> </ul> <h5>Specifications</h5> <table class=""description-table""> <tbody> <tr><th>Capacity (imperial tons)</th><td>37.0</td> </tr><tr><th>Maximum Material Hardness</th><td>HRc 43</td> </tr><tr><th>Pump Power Source</th><td>Eletric Motor</td> </tr><tr><th>Cutter Power Source</th><td>Electric</td> </tr><tr><th>Power Specifications (volt plug)</th><td>with European-style SCHUKO plug</td> </tr><tr><th>Power Specifications (amps)</th><td>6.8</td> </tr><tr><th>Power Specifications (volt)</th><td>230</td> </tr><tr><th>Power Specifications (watts)</th><td>1400</td> </tr><tr><th>Cord Length (ft)</th><td>10</td> </tr><tr><th>Maximum Material Diameter (in)</th><td>1.02</td> </tr><tr><th>Maximum Material Tensile Strength (psi)</th><td>94,275</td> </tr><tr><th>Weight (lbs)</th><td>35</td> </tr> <tbody> </table> <h5>Dimensions</h5> <table class=""description-table""> <tbody> <tr><th>Dimension A (in)</th><td>18.4</td> </tr><tr><th>Dimension B (in)</th><td>5.5</td> </tr><tr><th>Dimension C (in)</th><td>10.2</td> </tr> <tbody> </table> "
5834075,"<ul><li>Series : EBH</li><li>Product Lines : Industrial Tools</li><li>Your fast, safe and simple solution for cutting metal bar</li><li>The EBH-Series Hydraulic Bar Cutters are driven by a specialized external hydraulic pump for optimal power and a higher duty cycle compared with other cutter types. These cutters are ideal for use in production or manufacturing facilities with demanding, high-volume cutting applications.</li><li>The EBH-Series Hydraulic Cutters are designed to work with ZE6410X-Series electric pumps. Pump models vary by voltage type.</li><li>Highly durable, long-lasting blades outlast angle grinder or saw blades</li><li>Controlled cutting process enhances user safety compared with use of cut-off blades</li><li>Minimal spark risk compared to torching, grinding and sawing methods</li><li>Cutters produce minimal vibration, helping prevent HAVS (Hand Arm Vibration Syndrome)</li><li>Safety guard helps protect hands from injury.</li><li>Double-acting cylinder with advance and retract buttons improves control and reduces jamming</li><li>External hydraulic pump helps keep the tool cool, improving operational time (pump and hose sold separately).</li> </ul> <h5>Specifications</h5> <table class=""description-table""> <tbody> <tr><th>Maximum Operating Pressure (psi)</th><td>10,000</td> </tr><tr><th>Capacity (imperial tons)</th><td>50</td> </tr><tr><th>Maximum Material Hardness</th><td>HRc 43</td> </tr><tr><th>Pump Power Source</th><td>Electric Pump</td> </tr><tr><th>Cutter Power Source</th><td>Electric</td> </tr><tr><th>Maximum Material Diameter (in)</th><td>1.18</td> </tr><tr><th>Maximum Material Tensile Strength (psi)</th><td>87,000</td> </tr><tr><th>Weight (lbs)</th><td>46</td> </tr> <tbody> </table> <h5>Dimensions</h5> <table class=""description-table""> <tbody> <tr><th>Dimension A (in)</th><td>18.9</td> </tr><tr><th>Dimension B (in)</th><td>7.2</td> </tr><tr><th>Dimension C (in)</th><td>8.7</td> </tr> <tbody> </table> "
5834076,"<ul><li>Series : EBH</li><li>Product Lines : Industrial Tools</li><li>Your fast, safe and simple solution for cutting metal bar</li><li>The EBH-Series Hydraulic Bar Cutters are driven by a specialized external hydraulic pump for optimal power and a higher duty cycle compared with other cutter types. These cutters are ideal for use in production or manufacturing facilities with demanding, high-volume cutting applications.</li><li>The EBH-Series Hydraulic Cutters are designed to work with ZE6410X-Series electric pumps. Pump models vary by voltage type.</li><li>Highly durable, long-lasting blades outlast angle grinder or saw blades</li><li>Controlled cutting process enhances user safety compared with use of cut-off blades</li><li>Minimal spark risk compared to torching, grinding and sawing methods</li><li>Cutters produce minimal vibration, helping prevent HAVS (Hand Arm Vibration Syndrome)</li><li>Safety guard helps protect hands from injury.</li><li>Double-acting cylinder with advance and retract buttons improves control and reduces jamming</li><li>External hydraulic pump helps keep the tool cool, improving operational time (pump and hose sold separately).</li> </ul> <h5>Specifications</h5> <table class=""description-table""> <tbody> <tr><th>Maximum Operating Pressure (psi)</th><td>10,000</td> </tr><tr><th>Capacity (imperial tons)</th><td>68</td> </tr><tr><th>Maximum Material Hardness</th><td>HRc 43</td> </tr><tr><th>Pump Power Source</th><td>Electric Pump</td> </tr><tr><th>Cutter Power Source</th><td>Electric</td> </tr><tr><th>Maximum Material Diameter (in)</th><td>1.38</td> </tr><tr><th>Maximum Material Tensile Strength (psi)</th><td>89,900</td> </tr><tr><th>Weight (lbs)</th><td>106</td> </tr> <tbody> </table> <h5>Dimensions</h5> <table class=""description-table""> <tbody> <tr><th>Dimension A (in)</th><td>22.3</td> </tr><tr><th>Dimension B (in)</th><td>8.4</td> </tr><tr><th>Dimension C (in)</th><td>10.2</td> </tr> <tbody> </table> "
5834077,"<ul><li>Series : EBH</li><li>Product Lines : Industrial Tools</li><li>Your fast, safe and simple solution for cutting metal bar</li><li>The EBH-Series Hydraulic Bar Cutters are driven by a specialized external hydraulic pump for optimal power and a higher duty cycle compared with other cutter types. These cutters are ideal for use in production or manufacturing facilities with demanding, high-volume cutting applications.</li><li>The EBH-Series Hydraulic Cutters are designed to work with ZE6410X-Series electric pumps. Pump models vary by voltage type.</li><li>Highly durable, long-lasting blades outlast angle grinder or saw blades</li><li>Controlled cutting process enhances user safety compared with use of cut-off blades</li><li>Minimal spark risk compared to torching, grinding and sawing methods</li><li>Cutters produce minimal vibration, helping prevent HAVS (Hand Arm Vibration Syndrome)</li><li>Safety guard helps protect hands from injury.</li><li>Double-acting cylinder with advance and retract buttons improves control and reduces jamming</li><li>External hydraulic pump helps keep the tool cool, improving operational time (pump and hose sold separately).</li> </ul> <h5>Specifications</h5> <table class=""description-table""> <tbody> <tr><th>Maximum Operating Pressure (psi)</th><td>10,000</td> </tr><tr><th>Capacity (imperial tons)</th><td>121</td> </tr><tr><th>Maximum Material Hardness</th><td>HRc 43</td> </tr><tr><th>Pump Power Source</th><td>Electric Pump</td> </tr><tr><th>Cutter Power Source</th><td>Electric</td> </tr><tr><th>Maximum Material Diameter (in)</th><td>2.04</td> </tr><tr><th>Maximum Material Tensile Strength (psi)</th><td>72,500</td> </tr><tr><th>Weight (lbs)</th><td>257</td> </tr> <tbody> </table> <h5>Dimensions</h5> <table class=""description-table""> <tbody> <tr><th>Dimension A (in)</th><td>30.1</td> </tr><tr><th>Dimension B (in)</th><td>9.7</td> </tr><tr><th>Dimension C (in)</th><td>12.0</td> </tr> <tbody> </table> "
5834078,"<ul><li>Series : ECCE</li><li>Product Lines : Industrial Tools</li><li>Your simple solution for cutting high-strength industrial chain</li><li>ECCE-Series Electric Chain Cutters are ideal for applications where safety is paramount. Unlike other cutting methods, Enerpac’s chain cutters cut chain links behind an enclosed, transparent safety guard, protecting the operator’s hands from potential injury while allowing the operator to monitor the cutting process.</li><li>Their compact size and low weight enable them to be easily transported and used wherever an external power source is available</li><li>The ECCE-Series Cylinder is driven by a radial pump powered by an electric motor</li><li>Quickly cut through heavy-duty chain links with minimal effort</li><li>Highly durable blades outlast angle grinder or saw blades</li><li>Controlled cutting process behind a protective shield enhances safety</li><li>Minimal spark risk compared to torching, grinding and sawing methods</li><li>Cutters produce minimal vibration, helping prevent HAVS (Hand Arm Vibration Syndrome)</li><li>Transparent safety guard protects hands and allows continuous monitoring for better management of cutting process.</li><li>Double-acting cylinder improves control and reduces jamming (ECCE32 models only)</li><li>ETL certification applies to 120 Volt tools only</li> </ul> <h5>Specifications</h5> <table class=""description-table""> <tbody> <tr><th>Capacity (imperial tons)</th><td>52.9</td> </tr><tr><th>Maximum Material Hardness</th><td>HRc 46</td> </tr><tr><th>Pump Power Source</th><td>Eletric Motor</td> </tr><tr><th>Cutter Power Source</th><td>Electric</td> </tr><tr><th>Power Specifications (volt plug)</th><td>with American-style NEMA 6-15 plug</td> </tr><tr><th>CPower Specifications (amps)</th><td>11</td> </tr><tr><th>Power Specifications (volt)</th><td>120</td> </tr><tr><th>Power Specifications (watts)</th><td>1300</td> </tr><tr><th>Cord Length (ft)</th><td>6</td> </tr><tr><th>Maximum Material Diameter (in)</th><td>1.25</td> </tr><tr><th>Maximum Material Diameter Grade 40 (in)</th><td>1.25</td> </tr><tr><th>Maximum Material Diameter Grade 40 (in)</th><td>1.25</td> </tr><tr><th>Maximum Material Diameter Grade 80 (in)</th><td>1</td> </tr><tr><th>Weight (lbs)</th><td>106</td> </tr> <tbody> </table> <h5>Dimensions</h5> <table class=""description-table""> <tbody> <tr><th>Dimension A (in)</th><td>27.5</td> </tr><tr><th>Dimension B (in)</th><td>7.5</td> </tr><tr><th>Dimension C (in)</th><td>12.6</td> </tr> <tbody> </table> "
5834079,"<ul><li>Series : ECCE</li><li>Product Lines : Industrial Tools</li><li>Your simple solution for cutting high-strength industrial chain</li><li>ECCE-Series Electric Chain Cutters are ideal for applications where safety is paramount. Unlike other cutting methods, Enerpac’s chain cutters cut chain links behind an enclosed, transparent safety guard, protecting the operator’s hands from potential injury while allowing the operator to monitor the cutting process.</li><li>Their compact size and low weight enable them to be easily transported and used wherever an external power source is available</li><li>The ECCE-Series Cylinder is driven by a radial pump powered by an electric motor</li><li>Quickly cut through heavy-duty chain links with minimal effort</li><li>Highly durable blades outlast angle grinder or saw blades</li><li>Controlled cutting process behind a protective shield enhances safety</li><li>Minimal spark risk compared to torching, grinding and sawing methods</li><li>Cutters produce minimal vibration, helping prevent HAVS (Hand Arm Vibration Syndrome)</li><li>Transparent safety guard protects hands and allows continuous monitoring for better management of cutting process.</li><li>Double-acting cylinder improves control and reduces jamming (ECCE32 models only)</li><li>ETL certification applies to 120 Volt tools only</li> </ul> <h5>Specifications</h5> <table class=""description-table""> <tbody> <tr><th>Capacity (imperial tons)</th><td>52.9</td> </tr><tr><th>Maximum Material Hardness</th><td>HRc 46</td> </tr><tr><th>Pump Power Source</th><td>Eletric Motor</td> </tr><tr><th>Cutter Power Source</th><td>Electric</td> </tr><tr><th>Power Specifications (volt plug)</th><td>with European-style SCHUKO plug</td> </tr><tr><th>Power Specifications (amps)</th><td>6.8</td> </tr><tr><th>Power Specifications (volt)</th><td>230</td> </tr><tr><th>Power Specifications (watts)</th><td>1400</td> </tr><tr><th>Cord Length (ft)</th><td>10</td> </tr><tr><th>Maximum Material Diameter (in)</th><td>1.25</td> </tr><tr><th>Maximum Material Diameter Grade 40 (in)</th><td>1.25</td> </tr><tr><th>Maximum Material Diameter Grade 80 (in)</th><td>1</td> </tr><tr><th>Weight (lbs)</th><td>106</td> </tr> <tbody> </table> <h5>Dimensions</h5> <table class=""description-table""> <tbody> <tr><th>Dimension A (in)</th><td>27.5</td> </tr><tr><th>Dimension B (in)</th><td>7.5</td> </tr><tr><th>Dimension C (in)</th><td>12.6</td> </tr> <tbody> </table> "
5834080,"<ul><li>Series : EDCH</li><li>Product Lines : Industrial Tools</li><li>Powerful jaws and an exceptionally large blade aperture enable use on a large variety of applications including metal tubes, cables, profiles and similar materials</li><li>Shear-style blades make quick cuts</li><li>Minimal spark risk compared with torching, grinding and sawing methods</li><li>Cutters produce minimal vibration, helping prevent HAVS (Hand Arm Vibration Syndrome)</li><li>The EDCH-Series Hydraulic Cutters are designed to work with ZE6410M-Series electric pumps. Pump models vary by voltage type. Pump, hose and pump coupler set are all sold separately, and all are required for the system to function.</li><li>Durable blades maintain efficiency throughout rigorous use</li><li>Double-acting cylinder improves control and reduces jamming</li><li>Control knob immediately stops the tool when released, improving operator safety.</li><li>External hydraulic pump helps keep tool cooler and working longer (pump and hose sold separately).</li> </ul> <h5>Specifications</h5> <table class=""description-table""> <tbody> <tr><th>Maximum Operating Pressure (psi)</th><td>10,000</td> </tr><tr><th>Maximum Material Hardness</th><td>HRc 41</td> </tr><tr><th>Pump Power Source</th><td>Electric Pump</td> </tr><tr><th>Cutter Power Source</th><td>Electric</td> </tr><tr><th>Maximum Material Diameter (in)</th><td>5.12</td> </tr><tr><th>Maximum Material Tensile Strength (psi)</th><td>94,275</td> </tr><tr><th>Weight (lbs)</th><td>25.4</td> </tr> <tbody> </table> <h5>Dimensions</h5> <table class=""description-table""> <tbody> <tr><th>Dimension A (in)</th><td>23.2</td> </tr><tr><th>Dimension B (in)</th><td>6.7</td> </tr><tr><th>Dimension C (in)</th><td>9.2</td> </tr><tr><th>Dimension D (in)</th><td>5.1</td> </tr> <tbody> </table> "
