id,additional_description,ga_attributes
5783333,"<p>Martin Blue-Flex Grid Couplings handle high torque levels and high RPM applications in a small package. Unlike other metallic couplings, Martin Blue-Flex Grid Couplings have the ability to reduce vibration and cushion shockloads to driven and driving power transmitting equipment components. Martin Blue-Flex Couplings are available in sizes 1020-1170 in vertical and horizontal configurations with a rough stock bore. Same day/next day rebores are available upon request</p>",purchase-dimension7:new-additional-description-dima-April2020
5783334,"<p>Martin Blue-Flex Grid Couplings handle high torque levels and high RPM applications in a small package. Unlike other metallic couplings, Martin Blue-Flex Grid Couplings have the ability to reduce vibration and cushion shockloads to driven and driving power transmitting equipment components. Martin Blue-Flex Couplings are available in sizes 1020-1170 in vertical and horizontal configurations with a rough stock bore. Same day/next day rebores are available upon request</p>",purchase-dimension7:new-additional-description-dima-April2020
5783335,"<p>Martin Blue-Flex Grid Couplings handle high torque levels and high RPM applications in a small package. Unlike other metallic couplings, Martin Blue-Flex Grid Couplings have the ability to reduce vibration and cushion shockloads to driven and driving power transmitting equipment components. Martin Blue-Flex Couplings are available in sizes 1020-1170 in vertical and horizontal configurations with a rough stock bore. Same day/next day rebores are available upon request</p>",purchase-dimension7:new-additional-description-dima-April2020
5783336,"<p>Martin Blue-Flex Grid Couplings handle high torque levels and high RPM applications in a small package. Unlike other metallic couplings, Martin Blue-Flex Grid Couplings have the ability to reduce vibration and cushion shockloads to driven and driving power transmitting equipment components. Martin Blue-Flex Couplings are available in sizes 1020-1170 in vertical and horizontal configurations with a rough stock bore. Same day/next day rebores are available upon request</p>",purchase-dimension7:new-additional-description-dima-April2020
5783337,"<p>Martin Blue-Flex Grid Couplings handle high torque levels and high RPM applications in a small package. Unlike other metallic couplings, Martin Blue-Flex Grid Couplings have the ability to reduce vibration and cushion shockloads to driven and driving power transmitting equipment components. Martin Blue-Flex Couplings are available in sizes 1020-1170 in vertical and horizontal configurations with a rough stock bore. Same day/next day rebores are available upon request</p>",purchase-dimension7:new-additional-description-dima-April2020
5783338,"<p>Martin Blue-Flex Grid Couplings handle high torque levels and high RPM applications in a small package. Unlike other metallic couplings, Martin Blue-Flex Grid Couplings have the ability to reduce vibration and cushion shockloads to driven and driving power transmitting equipment components. Martin Blue-Flex Couplings are available in sizes 1020-1170 in vertical and horizontal configurations with a rough stock bore. Same day/next day rebores are available upon request</p>",purchase-dimension7:new-additional-description-dima-April2020
5783339,"<p>Martin Blue-Flex Grid Couplings handle high torque levels and high RPM applications in a small package. Unlike other metallic couplings, Martin Blue-Flex Grid Couplings have the ability to reduce vibration and cushion shockloads to driven and driving power transmitting equipment components. Martin Blue-Flex Couplings are available in sizes 1020-1170 in vertical and horizontal configurations with a rough stock bore. Same day/next day rebores are available upon request</p>",purchase-dimension7:new-additional-description-dima-April2020
5783340,"<p>Martin Blue-Flex Grid Couplings handle high torque levels and high RPM applications in a small package. Unlike other metallic couplings, Martin Blue-Flex Grid Couplings have the ability to reduce vibration and cushion shockloads to driven and driving power transmitting equipment components. Martin Blue-Flex Couplings are available in sizes 1020-1170 in vertical and horizontal configurations with a rough stock bore. Same day/next day rebores are available upon request</p>",purchase-dimension7:new-additional-description-dima-April2020
5783331,"<p>Martin Blue-Flex Grid Couplings handle high torque levels and high RPM applications in a small package. Unlike other metallic couplings, Martin Blue-Flex Grid Couplings have the ability to reduce vibration and cushion shockloads to driven and driving power transmitting equipment components. Martin Blue-Flex Couplings are available in sizes 1020-1170 in vertical and horizontal configurations with a rough stock bore. Same day/next day rebores are available upon request</p>",purchase-dimension7:new-additional-description-dima-April2020
5783332,"<p>Martin Blue-Flex Grid Couplings handle high torque levels and high RPM applications in a small package. Unlike other metallic couplings, Martin Blue-Flex Grid Couplings have the ability to reduce vibration and cushion shockloads to driven and driving power transmitting equipment components. Martin Blue-Flex Couplings are available in sizes 1020-1170 in vertical and horizontal configurations with a rough stock bore. Same day/next day rebores are available upon request</p>",purchase-dimension7:new-additional-description-dima-April2020
