id,additional_description,GA_ATTRIBUTES
208855,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208541,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208849,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208526,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208864,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208548,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208953,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208644,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
5744487,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208969,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208668,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208977,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208674,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
209094,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208812,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
209102,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208819,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
209167,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208889,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
209174,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
208894,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
209067,<p>Seal is integrated into a ball screw support bearing with great axial rigidity.</p><p>Maintenance free because high performance grease is pre-filled</p><p>(Prevents entry of foreign substance from outside.)</p><p>Preset preload for easy installation onto the machine.</p><p>Contact and non-contact seals are available.</p><p>Universal flush ground bearings are also available.</p>,purchase-dimension7:new-additional-description-dima-March2020
209148,"<p>Replaces previous TAD design with a more compact design.</p><p>TAH design has a 30° contact angle, while TBH design provides a 40° contact angle. The smaller contact angles allow better high speed performance.</p><p>Mounted in pairs or triples (DB, DF, FFB)</p>",purchase-dimension7:new-additional-description-dima-March2020
209227,"<p>Replaces previous TAD design with a more compact design.</p><p>TAH design has a 30° contact angle, while TBH design provides a 40° contact angle. The smaller contact angles allow better high speed performance.</p><p>Mounted in pairs or triples (DB, DF, FFB)</p>",purchase-dimension7:new-additional-description-dima-March2020
5744977,<p>Small Ball Angular Contact Bearing</p><p>Smaller machine steel balls result in higher speeds and lower temperatures than standard size balls.</p><p>Interchangeable with 7000 series.</p><p>Used for main spindle of high speed machining centers.</p><p>15° contact angle.</p>,purchase-dimension7:new-additional-description-dima-March2020
5744978,<p>Small Ball Angular Contact Bearing</p><p>Smaller machine steel balls result in higher speeds and lower temperatures than standard size balls.</p><p>Interchangeable with 7000 series.</p><p>Used for main spindle of high speed machining centers.</p><p>15° contact angle.</p>,purchase-dimension7:new-additional-description-dima-March2020
5744979,<p>Small Ball Angular Contact Bearing</p><p>Smaller machine steel balls result in higher speeds and lower temperatures than standard size balls.</p><p>Interchangeable with 7000 series.</p><p>Used for main spindle of high speed machining centers.</p><p>15° contact angle.</p>,purchase-dimension7:new-additional-description-dima-March2020
