ID,ADDITIONAL_DESCRIPTION
5933045,"<p>Introducing a newly designed ethylene elastomer high-torque synchronous belt.</p><p>Engineered with the latest in advanced technology and materials science expertise, Gates PowerGrip GT4 delivers the highest power-carrying capacity of any belt in its class. In addition, Gates designed a belt with increased chemical resistance and larger temperature range capability. Gates Powergrip GT4 belt delivers improved performance over a wide range of industrial applications. The 8MGT and 14MGT pitches are the optimum choice for high performance drives in the machine tool, paper and textile industries where durability and low maintenance are required. From resource processing to heavy manufacturing, automated production to custom assembly — Gates Powergrip GT4 solutions improve uptime, efficiency, productivity, reliability and safety for industries around the world.</p><h5>Specifications</h5><ul><li>Higher, class-leading power-carrying capacity giving you the option to use a narrow belt</li><li>No lubrication and no re-tensioning needed, eliminating maintenance costs throughout the life of the belt</li><li>Improves ergonomics — less weight reduces fatigue and strain during installation</li></ul>"
5933046,"<p>Introducing a newly designed ethylene elastomer high-torque synchronous belt.</p><p>Engineered with the latest in advanced technology and materials science expertise, Gates PowerGrip GT4 delivers the highest power-carrying capacity of any belt in its class. In addition, Gates designed a belt with increased chemical resistance and larger temperature range capability. Gates Powergrip GT4 belt delivers improved performance over a wide range of industrial applications. The 8MGT and 14MGT pitches are the optimum choice for high performance drives in the machine tool, paper and textile industries where durability and low maintenance are required. From resource processing to heavy manufacturing, automated production to custom assembly — Gates Powergrip GT4 solutions improve uptime, efficiency, productivity, reliability and safety for industries around the world.</p><h5>Specifications</h5><ul><li>Higher, class-leading power-carrying capacity giving you the option to use a narrow belt</li><li>No lubrication and no re-tensioning needed, eliminating maintenance costs throughout the life of the belt</li><li>Improves ergonomics — less weight reduces fatigue and strain during installation</li></ul>"
5933047,"<p>Introducing a newly designed ethylene elastomer high-torque synchronous belt.</p><p>Engineered with the latest in advanced technology and materials science expertise, Gates PowerGrip GT4 delivers the highest power-carrying capacity of any belt in its class. In addition, Gates designed a belt with increased chemical resistance and larger temperature range capability. Gates Powergrip GT4 belt delivers improved performance over a wide range of industrial applications. The 8MGT and 14MGT pitches are the optimum choice for high performance drives in the machine tool, paper and textile industries where durability and low maintenance are required. From resource processing to heavy manufacturing, automated production to custom assembly — Gates Powergrip GT4 solutions improve uptime, efficiency, productivity, reliability and safety for industries around the world.</p><h5>Specifications</h5><ul><li>Higher, class-leading power-carrying capacity giving you the option to use a narrow belt</li><li>No lubrication and no re-tensioning needed, eliminating maintenance costs throughout the life of the belt</li><li>Improves ergonomics — less weight reduces fatigue and strain during installation</li></ul>"
5933048,"<p>Introducing a newly designed ethylene elastomer high-torque synchronous belt.</p><p>Engineered with the latest in advanced technology and materials science expertise, Gates PowerGrip GT4 delivers the highest power-carrying capacity of any belt in its class. In addition, Gates designed a belt with increased chemical resistance and larger temperature range capability. Gates Powergrip GT4 belt delivers improved performance over a wide range of industrial applications. The 8MGT and 14MGT pitches are the optimum choice for high performance drives in the machine tool, paper and textile industries where durability and low maintenance are required. From resource processing to heavy manufacturing, automated production to custom assembly — Gates Powergrip GT4 solutions improve uptime, efficiency, productivity, reliability and safety for industries around the world.</p><h5>Specifications</h5><ul><li>Higher, class-leading power-carrying capacity giving you the option to use a narrow belt</li><li>No lubrication and no re-tensioning needed, eliminating maintenance costs throughout the life of the belt</li><li>Improves ergonomics — less weight reduces fatigue and strain during installation</li></ul>"
5933049,"<p>Introducing a newly designed ethylene elastomer high-torque synchronous belt.</p><p>Engineered with the latest in advanced technology and materials science expertise, Gates PowerGrip GT4 delivers the highest power-carrying capacity of any belt in its class. In addition, Gates designed a belt with increased chemical resistance and larger temperature range capability. Gates Powergrip GT4 belt delivers improved performance over a wide range of industrial applications. The 8MGT and 14MGT pitches are the optimum choice for high performance drives in the machine tool, paper and textile industries where durability and low maintenance are required. From resource processing to heavy manufacturing, automated production to custom assembly — Gates Powergrip GT4 solutions improve uptime, efficiency, productivity, reliability and safety for industries around the world.</p><h5>Specifications</h5><ul><li>Higher, class-leading power-carrying capacity giving you the option to use a narrow belt</li><li>No lubrication and no re-tensioning needed, eliminating maintenance costs throughout the life of the belt</li><li>Improves ergonomics — less weight reduces fatigue and strain during installation</li></ul>"
5933050,"<p>Introducing a newly designed ethylene elastomer high-torque synchronous belt.</p><p>Engineered with the latest in advanced technology and materials science expertise, Gates PowerGrip GT4 delivers the highest power-carrying capacity of any belt in its class. In addition, Gates designed a belt with increased chemical resistance and larger temperature range capability. Gates Powergrip GT4 belt delivers improved performance over a wide range of industrial applications. The 8MGT and 14MGT pitches are the optimum choice for high performance drives in the machine tool, paper and textile industries where durability and low maintenance are required. From resource processing to heavy manufacturing, automated production to custom assembly — Gates Powergrip GT4 solutions improve uptime, efficiency, productivity, reliability and safety for industries around the world.</p><h5>Specifications</h5><ul><li>Higher, class-leading power-carrying capacity giving you the option to use a narrow belt</li><li>No lubrication and no re-tensioning needed, eliminating maintenance costs throughout the life of the belt</li><li>Improves ergonomics — less weight reduces fatigue and strain during installation</li></ul>"
5933059,"<p>Introducing a newly designed ethylene elastomer high-torque synchronous belt.</p><p>Engineered with the latest in advanced technology and materials science expertise, Gates PowerGrip GT4 delivers the highest power-carrying capacity of any belt in its class. In addition, Gates designed a belt with increased chemical resistance and larger temperature range capability. Gates Powergrip GT4 belt delivers improved performance over a wide range of industrial applications. The 8MGT and 14MGT pitches are the optimum choice for high performance drives in the machine tool, paper and textile industries where durability and low maintenance are required. From resource processing to heavy manufacturing, automated production to custom assembly — Gates Powergrip GT4 solutions improve uptime, efficiency, productivity, reliability and safety for industries around the world.</p><h5>Specifications</h5><ul><li>Higher, class-leading power-carrying capacity giving you the option to use a narrow belt</li><li>No lubrication and no re-tensioning needed, eliminating maintenance costs throughout the life of the belt</li><li>Improves ergonomics — less weight reduces fatigue and strain during installation</li></ul>"
5933060,"<p>Introducing a newly designed ethylene elastomer high-torque synchronous belt.</p><p>Engineered with the latest in advanced technology and materials science expertise, Gates PowerGrip GT4 delivers the highest power-carrying capacity of any belt in its class. In addition, Gates designed a belt with increased chemical resistance and larger temperature range capability. Gates Powergrip GT4 belt delivers improved performance over a wide range of industrial applications. The 8MGT and 14MGT pitches are the optimum choice for high performance drives in the machine tool, paper and textile industries where durability and low maintenance are required. From resource processing to heavy manufacturing, automated production to custom assembly — Gates Powergrip GT4 solutions improve uptime, efficiency, productivity, reliability and safety for industries around the world.</p><h5>Specifications</h5><ul><li>Higher, class-leading power-carrying capacity giving you the option to use a narrow belt</li><li>No lubrication and no re-tensioning needed, eliminating maintenance costs throughout the life of the belt</li><li>Improves ergonomics — less weight reduces fatigue and strain during installation</li></ul>"
5933061,"<p>Introducing a newly designed ethylene elastomer high-torque synchronous belt.</p><p>Engineered with the latest in advanced technology and materials science expertise, Gates PowerGrip GT4 delivers the highest power-carrying capacity of any belt in its class. In addition, Gates designed a belt with increased chemical resistance and larger temperature range capability. Gates Powergrip GT4 belt delivers improved performance over a wide range of industrial applications. The 8MGT and 14MGT pitches are the optimum choice for high performance drives in the machine tool, paper and textile industries where durability and low maintenance are required. From resource processing to heavy manufacturing, automated production to custom assembly — Gates Powergrip GT4 solutions improve uptime, efficiency, productivity, reliability and safety for industries around the world.</p><h5>Specifications</h5><ul><li>Higher, class-leading power-carrying capacity giving you the option to use a narrow belt</li><li>No lubrication and no re-tensioning needed, eliminating maintenance costs throughout the life of the belt</li><li>Improves ergonomics — less weight reduces fatigue and strain during installation</li></ul>"
5933062,"<p>Introducing a newly designed ethylene elastomer high-torque synchronous belt.</p><p>Engineered with the latest in advanced technology and materials science expertise, Gates PowerGrip GT4 delivers the highest power-carrying capacity of any belt in its class. In addition, Gates designed a belt with increased chemical resistance and larger temperature range capability. Gates Powergrip GT4 belt delivers improved performance over a wide range of industrial applications. The 8MGT and 14MGT pitches are the optimum choice for high performance drives in the machine tool, paper and textile industries where durability and low maintenance are required. From resource processing to heavy manufacturing, automated production to custom assembly — Gates Powergrip GT4 solutions improve uptime, efficiency, productivity, reliability and safety for industries around the world.</p><h5>Specifications</h5><ul><li>Higher, class-leading power-carrying capacity giving you the option to use a narrow belt</li><li>No lubrication and no re-tensioning needed, eliminating maintenance costs throughout the life of the belt</li><li>Improves ergonomics — less weight reduces fatigue and strain during installation</li></ul>"
