ID,ADDITIONAL_DESCRIPTION
40942,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>F872 D/R RED, 18 RATIO, QUILL INPUT, BASE MOUNT</td> </tr> <tr> <th>Ratio</th> <td>18</td> </tr> <tr> <th>Input HP</th> <td>5</td> </tr> <tr> <th>Output Torque (LB-IN)</th> <td>3096</td> </tr> <tr> <th>Output RPM @1750</th> <td>97</td> </tr> <tr> <th>Bore Code</th> <td>B9</td> </tr> <tr> <th>Reduction</th> <td>Double</td> </tr> <tr> <th>Style</th> <td>Base Mounted</td> </tr> <tr> <th>Input Style</th> <td>Quill</td> </tr> <tr> <th>NEMA Mounting</th> <td>180TC/210C</td> </tr> <tr> <th>Overhung Load</th> <td>1275</td> </tr> <tr> <th>Oil Capacity</th> <td>2.6</td> </tr> <tr> <th>Weight</th> <td>99</td> </tr> </tbody> </table> "
47200,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>721 S/R RED. 40:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>737</td> </tr> </tbody> </table> "
47201,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>721 S/R RED. 40:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>737</td> </tr> </tbody> </table> "
47202,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>721 S/R RED. 40:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>737</td> </tr> </tbody> </table> "
47203,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>721 S/R RED. 50:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>687</td> </tr> </tbody> </table> "
47204,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>721 S/R RED. 50:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>687</td> </tr> </tbody> </table> "
47205,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>721 S/R RED. 50:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>687</td> </tr> </tbody> </table> "
47206,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>721 S/R RED. 60:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>693</td> </tr> </tbody> </table> "
47207,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>721 S/R RED. 60:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>693</td> </tr> </tbody> </table> "
47208,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>721 S/R RED. 60:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>693</td> </tr> </tbody> </table> "
47209,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>724 S/R RED. 5:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>350</td> </tr> <tr> <th>Ratio</th> <td>5</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>675</td> </tr> </tbody> </table> "
