ID,ADDITIONAL_DESCRIPTION
5908085,"<p>Climax Series C801 Keyless Locking Devices deliver a mechanical interference fit and provides a higher torque capacity over alternative keyed connections. </p><h5> Climax Series C801 Features:</h5><ul><li>Single nut design allows for quick and simple installation</li><li>Lower contact pressure</li><li>Limited axial movement of mounted component during installation</li><li>Zinc plated rings with corrosion resistant nut</li><li>Imperial shaft sizes 5/8"" to 3"" and metric sizes 15mm to 75mm</li><li>Shaft and bore tolerance on all sizes</th><td>±.003</td></tr><li>Available from stock in Mentor, Ohio</li></ul> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Shaft Size</th><td>60 mm</td></tr><tr><th>d</th><td>2.362 in</td></tr><tr><th>D</th><td>86 mm</td></tr><tr><th>L</th><td>57.2 mm</td></tr><tr><th>L1</th><td>98.4 mm</td></tr><tr><th>SW</th><td>75 mm</td></tr><tr><th>SW1</th><td>85.70 mm</td></tr><tr><th>A</th><td>17.5 mm</td></tr><tr><th>A1</th><td>20.7 mm</td></tr><tr><th>M a</th><td>635 Nm</td></tr><tr><th>M t</th><td>1,684 Nm</td></tr><tr><th>F ax</th><td>56 kN</td></tr><tr><th>P s</th><td>6236 psi</td></tr><tr><th>P h</th><td>4351 psi</td></tr><tr><th>Weight</th><td>4.41 lb</td></tr></tbody></table>"
5908084,"<p>Climax Series C801 Keyless Locking Devices deliver a mechanical interference fit and provides a higher torque capacity over alternative keyed connections. </p><br/><br/><h5> Climax Series C801 Features:</h5><table class=""description-table""><tr><th>Single nut design allows for quick and simple installation</li><li>Lower contact pressure</li><li>Limited axial movement of mounted component during installation</li><li>Zinc plated rings with corrosion resistant nut</li><li>Imperial shaft sizes 5/8"" to 3"" and metric sizes 15mm to 75mm</li><li>Shaft and bore tolerance on all sizes</th><td>±.003</td></tr><li>Available from stock in Mentor, Ohio</li></ul> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Shaft Size</th><td>55 mm</td></tr><tr><th>d</th><td>2.165 in</td></tr><tr><th>D</th><td>80 mm</td></tr><tr><th>L</th><td>54 mm</td></tr><tr><th>L1</th><td>95.3 mm</td></tr><tr><th>SW</th><td>69.9 mm</td></tr><tr><th>SW1</th><td>79.40 mm</td></tr><tr><th>A</th><td>15.9 mm</td></tr><tr><th>A1</th><td>19.1 mm</td></tr><tr><th>M a</th><td>600 Nm</td></tr><tr><th>M t</th><td>1,593 Nm</td></tr><tr><th>F ax</th><td>58 kN</td></tr><tr><th>P s</th><td>7542 psi</td></tr><tr><th>P h</th><td>5221 psi</td></tr><tr><th>Weight</th><td>3.97 lb</td></tr></tbody></table>"
5908069,"<p>Climax Series C801 Keyless Locking Devices deliver a mechanical interference fit and provides a higher torque capacity over alternative keyed connections. </p><br/><br/><h5> Climax Series C801 Features:</h5><table class=""description-table""><tr><th>Single nut design allows for quick and simple installation</li><li>Lower contact pressure</li><li>Limited axial movement of mounted component during installation</li><li>Zinc plated rings with corrosion resistant nut</li><li>Imperial shaft sizes 5/8"" to 3"" and metric sizes 15mm to 75mm</li><li>Shaft and bore tolerance on all sizes</th><td>±.003</td></tr><li>Available from stock in Mentor, Ohio</li></ul> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Shaft Size</th><td>2 1/8 in</td></tr><tr><th>d</th><td>2.125 in</td></tr><tr><th>D</th><td>3.125 in</td></tr><tr><th>L</th><td>2.125 in</td></tr><tr><th>L1</th><td>3.750 in</td></tr><tr><th>SW</th><td>2.750 in</td></tr><tr><th>SW1</th><td>3.125 in</td></tr><tr><th>A</th><td>0.625 in</td></tr><tr><th>A1</th><td>0.813 in</td></tr><tr><th>M a</th><td>442 ft-lbs</td></tr><tr><th>M t</th><td>1,152 ft-lbs</td></tr><tr><th>F ax</th><td>13,007 lbs.F</td></tr><tr><th>P s</th><td>7640 psi</td></tr><tr><th>P h</th><td>5195 psi</td></tr><tr><th>Weight</th><td>4.00 lb</td></tr></tbody></table>"
5908068,"<p>Climax Series C801 Keyless Locking Devices deliver a mechanical interference fit and provides a higher torque capacity over alternative keyed connections. </p><br/><br/><h5> Climax Series C801 Features:</h5><table class=""description-table""><tr><th>Single nut design allows for quick and simple installation</li><li>Lower contact pressure</li><li>Limited axial movement of mounted component during installation</li><li>Zinc plated rings with corrosion resistant nut</li><li>Imperial shaft sizes 5/8"" to 3"" and metric sizes 15mm to 75mm</li><li>Shaft and bore tolerance on all sizes</th><td>±.003</td></tr><li>Available from stock in Mentor, Ohio</li></ul> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Shaft Size</th><td>2 1/16 in</td></tr><tr><th>d</th><td>2.063 in</td></tr><tr><th>D</th><td>3.125 in</td></tr><tr><th>L</th><td>2.125 in</td></tr><tr><th>L1</th><td>3.750 in</td></tr><tr><th>SW</th><td>2.750 in</td></tr><tr><th>SW1</th><td>3.125 in</td></tr><tr><th>A</th><td>0.625 in</td></tr><tr><th>A1</th><td>0.813 in</td></tr><tr><th>M a</th><td>442 ft-lbs</td></tr><tr><th>M t</th><td>1,118 ft-lbs</td></tr><tr><th>F ax</th><td>13,007 lbs.F</td></tr><tr><th>P s</th><td>7871 psi</td></tr><tr><th>P h</th><td>5195 psi</td></tr><tr><th>Weight</th><td>3.80 lb</td></tr></tbody></table>"
5908067,"<p>Climax Series C801 Keyless Locking Devices deliver a mechanical interference fit and provides a higher torque capacity over alternative keyed connections. </p><br/><br/><h5> Climax Series C801 Features:</h5><table class=""description-table""><tr><th>Single nut design allows for quick and simple installation</li><li>Lower contact pressure</li><li>Limited axial movement of mounted component during installation</li><li>Zinc plated rings with corrosion resistant nut</li><li>Imperial shaft sizes 5/8"" to 3"" and metric sizes 15mm to 75mm</li><li>Shaft and bore tolerance on all sizes</th><td>±.003</td></tr><li>Available from stock in Mentor, Ohio</li></ul> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Shaft Size</th><td>1 1/8 in</td></tr><tr><th>d</th><td>1.125 in</td></tr><tr><th>D</th><td>2.000 in</td></tr><tr><th>L</th><td>1.000 in</td></tr><tr><th>L1</th><td>2.250 in</td></tr><tr><th>SW</th><td>1.750 in</td></tr><tr><th>SW1</th><td>2.000 in</td></tr><tr><th>A</th><td>0.500 in</td></tr><tr><th>A1</th><td>0.563 in</td></tr><tr><th>M a</th><td>167 ft-lbs</td></tr><tr><th>M t</th><td>366 ft-lbs</td></tr><tr><th>F ax</th><td>7,798 lbs.F</td></tr><tr><th>P s</th><td>18386 psi</td></tr><tr><th>P h</th><td>10342 psi</td></tr><tr><th>Weight</th><td>1.100 lb</td></tr></tbody></table>"
2930450,"<h5> Stainless Steel One-Piece Industry Standard Clamping Coupling with Keyway. High axial load &amp; torque capacity. Does not mar the shaft.</h5><table class=""description-table""><tbody><tr ><td -url=""#""><h5> Bore </h5></td><td>1 15/16 in</td></tr><tr itemscope><td><h5> 2nd Bore </h5></td><td>1 15/16 in</td></tr><tr itemscope><td><h5> OD </h5></td><td>3 3/8 in</td></tr><tr itemscope><td><h5> Length </h5></td><td>4 7/8 in</td></tr><tr itemscope><td><h5> Style </h5></td><td>One-Piece Clamp</td></tr><tr itemscope><td><h5> Keyway Size </h5></td><td>1/2 x 1/4 in</td></tr><tr itemscope><td><h5> Material </h5></td><td>Stainless Steel, ASTM A582</td></tr><tr itemscope><td><h5> Finish </h5></td><td>Plain</td></tr><tr itemscope><td><h5> Clamp Screw </h5></td><td>Hex Socket Cap Screw, 3A Thread, Stainless Steel, ASTM F837: 3/8-24 x 1</td></tr><tr itemscope><td><h5> Recessed Screw  </h5></td><td>No</td></tr><tr itemscope><td><h5> Approximate Weight </h5></td><td>106.00 oz</td></tr><tr itemscope><td><h5> UPC Code </h5></td><td>044861072356</td></tr><tr itemscope><td><h5> Downloads </h5></td><td><br></td></tr></tbody></table>"
2930448,"<h5> Black Oxide Steel One-Piece Industry Standard Clamping Coupling with Keyway. High axial load &amp; torque capacity. Does not mar the shaft.</h5><table class=""description-table""><tbody><tr ><td -url=""#""><h5> Bore </h5></td><td>1 15/16 in</td></tr><tr itemscope><td><h5> 2nd Bore </h5></td><td>1 15/16 in</td></tr><tr itemscope><td><h5> OD </h5></td><td>3 3/8 in</td></tr><tr itemscope><td><h5> Length </h5></td><td>4 7/8 in</td></tr><tr itemscope><td><h5> Style </h5></td><td>One-Piece Clamp</td></tr><tr itemscope><td><h5> Keyway Size </h5></td><td>1/2 x 1/4 in</td></tr><tr itemscope><td><h5> Material </h5></td><td>Steel, ASTM A108</td></tr><tr itemscope><td><h5> Finish </h5></td><td>Black Oxide</td></tr><tr itemscope><td><h5> Clamp Screw </h5></td><td>Hex Socket Cap Screw, 3A Thread, Steel, ASTM A574: 3/8-24 x 1</td></tr><tr itemscope><td><h5> Recessed Screw  </h5></td><td>No</td></tr><tr itemscope><td><h5> Approximate Weight </h5></td><td>106.00 oz</td></tr><tr itemscope><td><h5> UPC Code </h5></td><td>044861072332</td></tr><tr itemscope><td><h5> Downloads </h5></td><td><br></td></tr></tbody></table>"
2930447,"<h5> Black Oxide Steel One-Piece Industry Standard Clamping Coupling. High axial load &amp; torque capacity. Does not mar the shaft.</h5><table class=""description-table""><tbody><tr ><td -url=""#""><h5> Bore </h5></td><td>1 15/16 in</td></tr><tr itemscope><td><h5> 2nd Bore </h5></td><td>1 15/16 in</td></tr><tr itemscope><td><h5> OD </h5></td><td>3 3/8 in</td></tr><tr itemscope><td><h5> Length </h5></td><td>4 7/8 in</td></tr><tr itemscope><td><h5> Style </h5></td><td>One-Piece Clamp</td></tr><tr itemscope><td><h5> Material </h5></td><td>Steel, ASTM A108</td></tr><tr itemscope><td><h5> Finish </h5></td><td>Black Oxide</td></tr><tr itemscope><td><h5> Clamp Screw </h5></td><td>Hex Socket Cap Screw, 3A Thread, Steel, ASTM A574: 3/8-24 x 1</td></tr><tr itemscope><td><h5> Recessed Screw  </h5></td><td>No</td></tr><tr itemscope><td><h5> Approximate Weight </h5></td><td>106.00 oz</td></tr><tr itemscope><td><h5> UPC Code </h5></td><td>044861072325</td></tr><tr itemscope><td><h5> Downloads </h5></td><td><br></td></tr></tbody></table>"
2930446,"<h5> Stainless Steel One-Piece Industry Standard Clamping Coupling with Keyway. High axial load &amp; torque capacity. Does not mar the shaft.</h5><table class=""description-table""><tbody><tr ><td -url=""#""><h5> Bore </h5></td><td>1 7/16 in</td></tr><tr itemscope><td><h5> 2nd Bore </h5></td><td>1 7/16 in</td></tr><tr itemscope><td><h5> OD </h5></td><td>2 5/8 in</td></tr><tr itemscope><td><h5> Length </h5></td><td>3.875 in</td></tr><tr itemscope><td><h5> Style </h5></td><td>One-Piece Clamp</td></tr><tr itemscope><td><h5> Keyway Size </h5></td><td>3/8 x 3/16 in</td></tr><tr itemscope><td><h5> Material </h5></td><td>Stainless Steel, ASTM A582</td></tr><tr itemscope><td><h5> Finish </h5></td><td>Plain</td></tr><tr itemscope><td><h5> Clamp Screw </h5></td><td>Hex Socket Cap Screw, 3A Thread, Stainless Steel, ASTM F837: 5/16-24 x 1</td></tr><tr itemscope><td><h5> Recessed Screw  </h5></td><td>No</td></tr><tr itemscope><td><h5> Approximate Weight </h5></td><td>48.00 oz</td></tr><tr itemscope><td><h5> UPC Code </h5></td><td>044861072295</td></tr><tr itemscope><td><h5> Downloads </h5></td><td><br></td></tr></tbody></table>"
2930444,"<h5> Black Oxide Steel One-Piece Industry Standard Clamping Coupling with Keyway. High axial load &amp; torque capacity. Does not mar the shaft.</h5><table class=""description-table""><tbody><tr ><td -url=""#""><h5> Bore </h5></td><td>1 7/16 in</td></tr><tr itemscope><td><h5> 2nd Bore </h5></td><td>1 7/16 in</td></tr><tr itemscope><td><h5> OD </h5></td><td>2 5/8 in</td></tr><tr itemscope><td><h5> Length </h5></td><td>3.875 in</td></tr><tr itemscope><td><h5> Style </h5></td><td>One-Piece Clamp</td></tr><tr itemscope><td><h5> Keyway Size </h5></td><td>3/8 x 3/16 in</td></tr><tr itemscope><td><h5> Material </h5></td><td>Steel, ASTM A108</td></tr><tr itemscope><td><h5> Finish </h5></td><td>Black Oxide</td></tr><tr itemscope><td><h5> Clamp Screw </h5></td><td>Hex Socket Cap Screw, 3A Thread, Steel, ASTM A574: 5/16-24 x 1</td></tr><tr itemscope><td><h5> Recessed Screw  </h5></td><td>No</td></tr><tr itemscope><td><h5> Approximate Weight </h5></td><td>48.00 oz</td></tr><tr itemscope><td><h5> UPC Code </h5></td><td>044861072271</td></tr><tr itemscope><td><h5> Downloads </h5></td><td><br></td></tr></tbody></table>"
