ID,ADDITIONAL_DESCRIPTION,GA_ATTRIBUTES
5976537,"<p>GN 52.2 retaining magnets are a shielded magnetic assembly.</p>

<p>Mounting options include pressing in, shrinking in, or gluing in.</p>


<p>
Materials of the magnet:
<ul>
<li>AlNiCo Aluminum, nickel, cobalt temperature resistant up to 450° C</li>
<li>NdFeB Neodymium, iron, boron temperature resistant up to 80° C</li>
</ul>
</p>",purchase-dimension7:new-image-additional-description-dima-July2020
5976536,"<p>GN 52.2 retaining magnets are a shielded magnetic assembly.</p>

<p>Mounting options include pressing in, shrinking in, or gluing in.</p>


<p>
Materials of the magnet:
<ul>
<li>AlNiCo Aluminum, nickel, cobalt temperature resistant up to 450° C</li>
<li>NdFeB Neodymium, iron, boron temperature resistant up to 80° C</li>
</ul>
</p>",purchase-dimension7:new-image-additional-description-dima-July2020
5976551,"<p>GN 52.2 retaining magnets are a shielded magnetic assembly.</p>

<p>Mounting options include pressing in, shrinking in, or gluing in.</p>


<p>
Materials of the magnet:
<ul>
<li>AlNiCo Aluminum, nickel, cobalt temperature resistant up to 450° C</li>
<li>NdFeB Neodymium, iron, boron temperature resistant up to 80° C</li>
</ul>
</p>",purchase-dimension7:new-image-additional-description-dima-July2020
5976549,"<p>GN 52.2 retaining magnets are a shielded magnetic assembly.</p>

<p>Mounting options include pressing in, shrinking in, or gluing in.</p>


<p>
Materials of the magnet:
<ul>
<li>AlNiCo Aluminum, nickel, cobalt temperature resistant up to 450° C</li>
<li>NdFeB Neodymium, iron, boron temperature resistant up to 80° C</li>
</ul>
</p>",purchase-dimension7:new-image-additional-description-dima-July2020
5976548,"<p>GN 52.2 retaining magnets are a shielded magnetic assembly.</p>

<p>Mounting options include pressing in, shrinking in, or gluing in.</p>


<p>
Materials of the magnet:
<ul>
<li>AlNiCo Aluminum, nickel, cobalt temperature resistant up to 450° C</li>
<li>NdFeB Neodymium, iron, boron temperature resistant up to 80° C</li>
</ul>
</p>",purchase-dimension7:new-image-additional-description-dima-July2020
5976547,"<p>GN 52.2 retaining magnets are a shielded magnetic assembly.</p>

<p>Mounting options include pressing in, shrinking in, or gluing in.</p>


<p>
Materials of the magnet:
<ul>
<li>AlNiCo Aluminum, nickel, cobalt temperature resistant up to 450° C</li>
<li>NdFeB Neodymium, iron, boron temperature resistant up to 80° C</li>
</ul>
</p>",purchase-dimension7:new-image-additional-description-dima-July2020
5976546,"<p>GN 52.2 retaining magnets are a shielded magnetic assembly.</p>

<p>Mounting options include pressing in, shrinking in, or gluing in.</p>


<p>
Materials of the magnet:
<ul>
<li>AlNiCo Aluminum, nickel, cobalt temperature resistant up to 450° C</li>
<li>NdFeB Neodymium, iron, boron temperature resistant up to 80° C</li>
</ul>
</p>",purchase-dimension7:new-image-additional-description-dima-July2020
5976545,"<p>GN 52.2 retaining magnets are a shielded magnetic assembly.</p>

<p>Mounting options include pressing in, shrinking in, or gluing in.</p>


<p>
Materials of the magnet:
<ul>
<li>AlNiCo Aluminum, nickel, cobalt temperature resistant up to 450° C</li>
<li>NdFeB Neodymium, iron, boron temperature resistant up to 80° C</li>
</ul>
</p>",purchase-dimension7:new-image-additional-description-dima-July2020
5976544,"<p>GN 52.2 retaining magnets are a shielded magnetic assembly.</p>

<p>Mounting options include pressing in, shrinking in, or gluing in.</p>


<p>
Materials of the magnet:
<ul>
<li>AlNiCo Aluminum, nickel, cobalt temperature resistant up to 450° C</li>
<li>NdFeB Neodymium, iron, boron temperature resistant up to 80° C</li>
</ul>
</p>",purchase-dimension7:new-image-additional-description-dima-July2020
5976541,"<p>GN 52.2 retaining magnets are a shielded magnetic assembly.</p>

<p>Mounting options include pressing in, shrinking in, or gluing in.</p>


<p>
Materials of the magnet:
<ul>
<li>AlNiCo Aluminum, nickel, cobalt temperature resistant up to 450° C</li>
<li>NdFeB Neodymium, iron, boron temperature resistant up to 80° C</li>
</ul>
</p>",purchase-dimension7:new-image-additional-description-dima-July2020
