id,additional_description
5969877,<p>Please note this product is NOT RETURNABLE</p><p>We do not ship this product to the HI and AK</p>
5909368,<p>Please note this product is NOT RETURNABLE</p><p>We do not ship this product to the HI and AK</p>
5909371,<p>Please note this product is NOT RETURNABLE</p><p>We do not ship this product to the HI and AK</p>
5918784,<p>Please note this product is NOT RETURNABLE</p><p>We do not ship this product to the HI and AK</p>
5917305,<p>Please note this product is NOT RETURNABLE</p><p>We do not ship this product to the HI and AK</p>
5969885,<p>Please note this product is NOT RETURNABLE</p><p>We do not ship this product to the HI and AK</p>
5909369,<p>Please note this product is NOT RETURNABLE</p><p>We do not ship this product to the HI and AK</p>
5909373,<p>Please note this product is NOT RETURNABLE</p><p>We do not ship this product to the HI and AK</p>
5969882,<p>Please note this product is NOT RETURNABLE</p><p>We do not ship this product to the HI and AK</p>
5917304,<p>Please note this product is NOT RETURNABLE</p><p>We do not ship this product to the HI and AK</p>
