ID,ADDITIONAL_DESCRIPTION
5933172,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">B</span></div> <span data-bind=""html:longDescription""/><ul ><li> Simplex air bags operate on standard shop air up to 116 psi (8 bar)</li><li> All models include 2 ply Kevlar with neoprene.</li><li> Wide variety of safety controllers for single &amp; multiple bag systems.</li><li> Light weight makes the Simplex air bags easy to set up.</li><li> B22A through B74A bags come with side holes for attaching bags together.</li><li> Y Connector allows control of two bags from one single fitting controller.</li><li> Dual Deadmand Controller used for precise inflation and deflation control.</li></ul> </div> </div>"
5933175,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">B</span></div> <span data-bind=""html:longDescription""/><ul ><li> Simplex air bags operate on standard shop air up to 116 psi (8 bar)</li><li> All models include 2 ply Kevlar with neoprene.</li><li> Wide variety of safety controllers for single &amp; multiple bag systems.</li><li> Light weight makes the Simplex air bags easy to set up.</li><li> B22A through B74A bags come with side holes for attaching bags together.</li><li> Y Connector allows control of two bags from one single fitting controller.</li><li> Dual Deadmand Controller used for precise inflation and deflation control.</li></ul> </div> </div>"
5933178,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">BC</span></div> <div><span data-bind=""widgetLocaleText: 'productLineText'"">Product Lines</span> : <span data-bind=""text:ProductLine"">Hydraulic Tools</span></div> <span data-bind=""html:longDescription"">Base Clevis for R10 Series Cylinders</span> </div> </div>"
5933182,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">BC</span></div> <span data-bind=""html:longDescription"">Pressure Regulator Controller is a diaphram type single stage regulator with high pressure air tank compatabibility.</span> </div> </div>"
5933184,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">BC</span></div> <span data-bind=""html:longDescription"">Dual Deadman Controller with pressure gauge and pressure relief valves. Control two bags from one air source. Reliable over extreme temperature range.\</span> </div> </div>"
5933185,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">BC</span></div> <span data-bind=""html:longDescription"">Single Deadman Controller with pressure gauge and pressure relief valves. Reliable over extreme temperature range.</span> </div> </div>"
5933186,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">BC</span></div> <span data-bind=""html:longDescription"">Single Safety Controller with pressure gauge and pressure relief valve. Cost effective and easy to use.</span> </div> </div>"
5933189,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">BC</span></div> <span data-bind=""html:longDescription"">Y Connector allows control of 2 bags from one single fitting controller.</span> </div> </div>"
5933192,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">BCR</span></div> <div><span data-bind=""widgetLocaleText: 'productLineText'"">Product Lines</span> : <span data-bind=""text:ProductLine"">Hydraulic Tools</span></div> <span data-bind=""html:longDescription"">Piston Clevis for R15 Series Cylinders</span> </div> </div>"
5933195,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">BHR</span></div> <span data-bind=""html:longDescription"">Industrial duty, color coded Supply Hoses allows the user to coordinate the lift properly and safely.</span> </div> </div>"
5933198,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">BHR</span></div> <span data-bind=""html:longDescription"">Industrial duty, color coded Supply Hoses allows the user to coordinate the lift properly and safely.</span> </div> </div>"
5933202,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">BR</span></div> <div><span data-bind=""widgetLocaleText: 'productLineText'"">Product Lines</span> : <span data-bind=""text:ProductLine"">Hydraulic Tools</span></div> <span data-bind=""html:longDescription"">Mounting Blocks for R15 Series Cylinders</span> </div> </div>"
5933226,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">CT</span></div> <div><span data-bind=""widgetLocaleText: 'productLineText'"">Product Lines</span> : <span data-bind=""text:ProductLine"">Hydraulic Tools</span></div> <span data-bind=""html:longDescription"">Unique flush face design features push to connect operation with an auto lock sleeve on the CT211, and non-spill “dry” disconnect operation. Easy cleaning minimizes system contamination. This coupler should be used wherever oil spillage constitutes a safety or environmental hazard. Couplers have 1/4” NPTF threads.</span> </div> </div>"
5933205,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">C</span></div> <div><span data-bind=""widgetLocaleText: 'productLineText'"">Product Lines</span> : <span data-bind=""text:ProductLine"">Hydraulic Tools</span></div> <span data-bind=""html:longDescription"">These premium grade couplers provide maximum fluid flow and are plated to resist corrosion. Cylinder Half Couplers have male 3/8” NPTF threads &amp; high strength rubber dust caps; Hose Half Couplers have female 3/8” NPTF threads.</span> </div> </div>"
5933210,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">C</span></div> <div><span data-bind=""widgetLocaleText: 'productLineText'"">Product Lines</span> : <span data-bind=""text:ProductLine"">Hydraulic Tools</span></div> <span data-bind=""html:longDescription"">Unique flush face design features push to connect operation with a sleeve lock, and non-spill “dry” disconnect operation. Easy cleaning minimizes system contamination. This coupler should be used wherever oil spillage constitutes a safety or environmental hazard. Couplers have 3/8” NPTF threads.</span> </div> </div>"
5933212,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">C</span></div> <div><span data-bind=""widgetLocaleText: 'productLineText'"">Product Lines</span> : <span data-bind=""text:ProductLine"">Hydraulic Tools</span></div> <span data-bind=""html:longDescription""/> </div> </div>"
5933221,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">C</span></div> <div><span data-bind=""widgetLocaleText: 'productLineText'"">Product Lines</span> : <span data-bind=""text:ProductLine"">Hydraulic Tools</span></div> <span data-bind=""html:longDescription""/> </div> </div>"
5933224,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">CT</span></div> <div><span data-bind=""widgetLocaleText: 'productLineText'"">Product Lines</span> : <span data-bind=""text:ProductLine"">Hydraulic Tools</span></div> <span data-bind=""html:longDescription"">For use on smaller tools, pumps and any tool with 1/4” threads. These couplers are plated to resist corrosion. Cylinder Half Couplers have male 1/4” NPTF threads; Hose Half Couplers have female 1/4” NPTF threads.</span> </div> </div>"
5933162,"<div id=""collapse1""> <div> <div><span data-bind=""widgetLocaleText: 'seriesText'"">Series</span> : <span data-bind=""text:Series"">ATS</span></div> <div><span data-bind=""widgetLocaleText: 'productLineText'"">Product Lines</span> : <span data-bind=""text:ProductLine"">Hydraulic Tools</span></div> <span data-bind=""html:longDescription"">Cylinder Tilt Saddle for R10 Cylinders</span> </div> </div>"
