"ID","ADDITIONAL_DESCRIPTION"
"5933427","<p>Series: G6 Electric Product Lines: Hydraulic Tools </p><span/><ul><li>A continuous duty 3 hp (cv) electric pump are ideal for medium to large size tools and cylinders. The high flow rate runs multiple cylinders for heavy lifting, high tonnage and large positioning jobs and applications effectively..</li><li>Two-stage pump operation provides fast tool performance.</li><li>Ideal for use with mid to large sized hydraulic cylinders or tools.</li><li>Powered by multi-voltage, 3 phase, 3 hp (cv) AC motor (3450 rpm); low startup voltage draws 9.5 amps (230v) at full load.</li><li>Perfect fit for production and multi-cylinder systems.</li><li>Quiet running, only (80 dba).</li></ul> <br clear=""none""/> * If pump consists of more than 3 options, consult factory.<br clear=""none""/> * Oil filter not available on 2 way manual."
"5933426","<p>Series: G6 Electric Product Lines: Hydraulic Tools </p><span/><ul><li>A continuous duty 3 hp (cv) electric pump are ideal for medium to large size tools and cylinders. The high flow rate runs multiple cylinders for heavy lifting, high tonnage and large positioning jobs and applications effectively..</li><li>Two-stage pump operation provides fast tool performance.</li><li>Ideal for use with mid to large sized hydraulic cylinders or tools.</li><li>Powered by multi-voltage, 3 phase, 3 hp (cv) AC motor (3450 rpm); low startup voltage draws 9.5 amps (230v) at full load.</li><li>Perfect fit for production and multi-cylinder systems.</li><li>Quiet running, only (80 dba).</li></ul> <br clear=""none""/> * If pump consists of more than 3 options, consult factory.<br clear=""none""/> * Oil filter not available on 2 way manual."
"5933424","<p>Series: G6 Electric Product Lines: Hydraulic Tools </p><span/><ul><li>A continuous duty 3 hp (cv) electric pump are ideal for medium to large size tools and cylinders. The high flow rate runs multiple cylinders for heavy lifting, high tonnage and large positioning jobs and applications effectively..</li><li>Two-stage pump operation provides fast tool performance.</li><li>Ideal for use with mid to large sized hydraulic cylinders or tools.</li><li>Powered by multi-voltage, 3 phase, 3 hp (cv) AC motor (3450 rpm); low startup voltage draws 9.5 amps (230v) at full load.</li><li>Perfect fit for production and multi-cylinder systems.</li><li>Quiet running, only (80 dba).</li></ul> <br clear=""none""/> * If pump consists of more than 3 options, consult factory.<br clear=""none""/> * Oil filter not available on 2 way manual."
"5933404","<p>Series: G5 Electric Product Lines: Hydraulic Tools </p><span/><ul><li>A continuous duty 1.5 hp (1,1 kw) electric pump perfect for medium size tools and cylinders.</li><li>Powered by a 115V - 60Hz, 1.5 hp (cv) permanent magnet motor (3,000 rpm).</li><li>Low startup voltage, draws 10 amps at full load.</li><li>High performance two-stage pump provides higher crossover pressure for faster cycle times.</li><li>Ideal for use with mid to large sized hydraulic cylinders or tools.</li><li>Comes standard with 15' (4,57 m) pendant.</li></ul> <br clear=""none""/> * If pump model consists of more than 3 options, contact factory.<br clear=""none""/> * Gauge will not be protected by roll cage when a 5 gallon or larger reservoir is ordered.<br clear=""none""/> * Roll cage not available on 10 &amp; 20 gallon reservoir.<br clear=""none""/> * Caster wheel kit not available on 5,10 &amp; 20 gallon reservoirs.<br clear=""none""/> * Oil filter not available on dump, 2 way dump &amp; 2 way manual.<br clear=""none""/> * Motor pendant is standard on all models"
"5933402","<p>Series: G5 Electric Product Lines: Hydraulic Tools </p><span/><ul><li>A continuous duty 1.5 hp (1,1 kw) electric pump perfect for medium size tools and cylinders.</li><li>Powered by a 115V - 60Hz, 1.5 hp (cv) permanent magnet motor (3,000 rpm).</li><li>Low startup voltage, draws 10 amps at full load.</li><li>High performance two-stage pump provides higher crossover pressure for faster cycle times.</li><li>Ideal for use with mid to large sized hydraulic cylinders or tools.</li><li>Comes standard with 15' (4,57 m) pendant.</li></ul> <br clear=""none""/> * If pump model consists of more than 3 options, contact factory.<br clear=""none""/> * Gauge will not be protected by roll cage when a 5 gallon or larger reservoir is ordered.<br clear=""none""/> * Roll cage not available on 10 &amp; 20 gallon reservoir.<br clear=""none""/> * Caster wheel kit not available on 5,10 &amp; 20 gallon reservoirs.<br clear=""none""/> * Oil filter not available on dump, 2 way dump &amp; 2 way manual.<br clear=""none""/> * Motor pendant is standard on all models"
"5933400","<p>Series: G5 Electric Product Lines: Hydraulic Tools </p><span/><ul><li>A continuous duty 1.5 hp (1,1 kw) electric pump perfect for medium size tools and cylinders.</li><li>Powered by a 115V - 60Hz, 1.5 hp (cv) permanent magnet motor (3,000 rpm).</li><li>Low startup voltage, draws 10 amps at full load.</li><li>High performance two-stage pump provides higher crossover pressure for faster cycle times.</li><li>Ideal for use with mid to large sized hydraulic cylinders or tools.</li><li>Comes standard with 15' (4,57 m) pendant.</li></ul> <br clear=""none""/> * If pump model consists of more than 3 options, contact factory.<br clear=""none""/> * Gauge will not be protected by roll cage when a 5 gallon or larger reservoir is ordered.<br clear=""none""/> * Roll cage not available on 10 &amp; 20 gallon reservoir.<br clear=""none""/> * Caster wheel kit not available on 5,10 &amp; 20 gallon reservoirs.<br clear=""none""/> * Oil filter not available on dump, 2 way dump &amp; 2 way manual.<br clear=""none""/> * Motor pendant is standard on all models"
"5933420","<p>Series: G6 Electric Product Lines: Hydraulic Tools </p><span/><ul><li>A continuous duty 3 hp (cv) electric pump are ideal for medium to large size tools and cylinders. The high flow rate runs multiple cylinders for heavy lifting, high tonnage and large positioning jobs and applications effectively..</li><li>Two-stage pump operation provides fast tool performance.</li><li>Ideal for use with mid to large sized hydraulic cylinders or tools.</li><li>Powered by multi-voltage, 3 phase, 3 hp (cv) AC motor (3450 rpm); low startup voltage draws 9.5 amps (230v) at full load.</li><li>Perfect fit for production and multi-cylinder systems.</li><li>Quiet running, only (80 dba).</li></ul> <br clear=""none""/> * If pump consists of more than 3 options, consult factory.<br clear=""none""/> * Oil filter not available on 2 way manual."
"5933418","<p>Series: G6 Electric Product Lines: Hydraulic Tools </p><span/><ul><li>A continuous duty 3 hp (cv) electric pump are ideal for medium to large size tools and cylinders. The high flow rate runs multiple cylinders for heavy lifting, high tonnage and large positioning jobs and applications effectively..</li><li>Two-stage pump operation provides fast tool performance.</li><li>Ideal for use with mid to large sized hydraulic cylinders or tools.</li><li>Powered by multi-voltage, 3 phase, 3 hp (cv) AC motor (3450 rpm); low startup voltage draws 9.5 amps (230v) at full load.</li><li>Perfect fit for production and multi-cylinder systems.</li><li>Quiet running, only (80 dba).</li></ul> <br clear=""none""/> * If pump consists of more than 3 options, consult factory.<br clear=""none""/> * Oil filter not available on 2 way manual."
"5933414","<p>Series: G5 Air Product Lines: Hydraulic Tools </p><span/><ul><li>A continuous duty 3 hp (cv) air pump perfect for medium size tools and cylinders.</li><li>Powered by a rotary air vane, 3 hp (cv) motor (3,000 rpm).</li><li>Equipped with a filter-lubricator assembly, air muffler and carry handlebar on all models.</li><li>Precision designed valve offers reliability and secure load holding; external adjustable relief standard on all models.</li><li>Ideal for use with mid sized hydraulic cylinders or tools.</li></ul> <br clear=""none""/> * If pump model consists of more than 3 options, contact factory.<br clear=""none""/> * Gauge will not be protected by roll cage when a 5 gallon or larger reservoir is ordered.<br clear=""none""/> * Roll cage not available on 10 &amp; 20 gallon reservoir.<br clear=""none""/> * Caster wheel kit not available on 5,10 &amp; 20 gallon reservoirs.<br clear=""none""/> * Oil filter not available on dump, 2 way dump &amp; 2 way manual."
"5933412","<p>Series: G5 Air Product Lines: Hydraulic Tools </p><span/><ul><li>A continuous duty 3 hp (cv) air pump perfect for medium size tools and cylinders.</li><li>Powered by a rotary air vane, 3 hp (cv) motor (3,000 rpm).</li><li>Equipped with a filter-lubricator assembly, air muffler and carry handlebar on all models.</li><li>Precision designed valve offers reliability and secure load holding; external adjustable relief standard on all models.</li><li>Ideal for use with mid sized hydraulic cylinders or tools.</li></ul> <br clear=""none""/> * If pump model consists of more than 3 options, contact factory.<br clear=""none""/> * Gauge will not be protected by roll cage when a 5 gallon or larger reservoir is ordered.<br clear=""none""/> * Roll cage not available on 10 &amp; 20 gallon reservoir.<br clear=""none""/> * Caster wheel kit not available on 5,10 &amp; 20 gallon reservoirs.<br clear=""none""/> * Oil filter not available on dump, 2 way dump &amp; 2 way manual."
