"ID","ADDITIONAL_DESCRIPTION"
5948641,"<h5> Specifications</h5><table class=""description-table""><tr><th>Ratio</th><td>10:1</td></tr><tr><th>Style</th><td>AR</td></tr><tr><th>Gear Type</th><td>WR</td></tr><tr><th>Frame Size</th><td>213TC</td></tr><tr><th>Output Diameter</th><td>2.000</td></tr><tr><th>Product Type</th><td>Right Angle</td></tr><tr><th>Product Line</th><td>Worm Gear Drive</td></tr><tr><th>Input Type</th><td>MOTOR FRAME</td></tr><tr><th>Input Diameter</th><td>1.375</td></tr><tr><th>Output Type</th><td>SHAFT</td></tr></table><table class=""description-table""><br/> Rating Table (@ 1.00 Service Factor) (AGMA Load Class I)<tr><th>Oil</th><th colspan=""3"" rowspan=""1"">Input</th><th colspan=""3"" rowspan=""1"">Output</th><th colspan=""1"" rowspan=""2"">Efficiency%</th></tr><tr><th>RPM</th><th>HP</th><th>Thermal HP</th><th>RPM</th><th>Torque</th><th>Thermal Torque</th></tr><tr><td>Conventional</td><td>1,750</td><td>25.300</td><td>12.500</td><td>175</td><td>7,991</td><td>3,941</td><td>87.70%</td></tr><tr><td>PAO Synthetic</td><td>1,750</td><td>25.300</td><td>13.800</td><td>175</td><td>8,292</td><td>4,532</td><td>91.00%</td></tr><tr><td>Conventional</td><td>1,150</td><td>21.400</td><td>11.000</td><td>115</td><td>10,156</td><td>5,205</td><td>86.70%</td></tr><tr><td>PAO Synthetic</td><td>1,150</td><td>21.400</td><td>12.100</td><td>115</td><td>10,538</td><td>5,986</td><td>89.90%</td></tr><tr><td>Conventional</td><td>100</td><td>4.120</td><td>4.120</td><td>10</td><td>20,328</td><td>20,328</td><td>78.20%</td></tr><tr><td>PAO Synthetic</td><td>100</td><td>4.120</td><td>4.120</td><td>10</td><td>21,093</td><td>21,093</td><td>81.20%</td></tr></table>"
5948642,"<h5> Specifications</h5><table class=""description-table""><tr><th>Ratio</th><td>60:1</td></tr><tr><th>Style</th><td>L</td></tr><tr><th>Gear Type</th><td>WR</td></tr><tr><th>Frame Size</th><td>182TC</td></tr><tr><th>Output Diameter</th><td>1.625</td></tr><tr><th>Product Type</th><td>Right Angle</td></tr><tr><th>Product Line</th><td>PowerCube Worm Gear Drive</td></tr><tr><th>Input Type</th><td>MOTOR FRAME</td></tr><tr><th>Input Diameter</th><td>1.125</td></tr><tr><th>Output Type</th><td>SHAFT</td></tr></table><table class=""description-table""><br/> Rating Table (@ 1.00 Service Factor) (AGMA Load Class I)<tr><th>Oil</th><th colspan=""3"" rowspan=""1"">Input</th><th colspan=""3"" rowspan=""1"">Output</th><th colspan=""1"" rowspan=""2"">Efficiency%</th></tr><tr><th>RPM</th><th>HP</th><th>Thermal HP</th><th>RPM</th><th>Torque</th><th>Thermal Torque</th></tr><tr><td>Conventional</td><td>1,750</td><td>2.660</td><td>1.740</td><td>29.2</td><td>3,814</td><td>2,493</td><td>66.20%</td></tr><tr><td>PAO Synthetic</td><td>1,750</td><td>2.660</td><td>2.070</td><td>29.2</td><td>4,002</td><td>3,117</td><td>69.50%</td></tr><tr><td>Conventional</td><td>1,150</td><td>2.290</td><td>1.660</td><td>19.2</td><td>4,702</td><td>3,408</td><td>62.40%</td></tr><tr><td>PAO Synthetic</td><td>1,150</td><td>2.290</td><td>1.980</td><td>19.2</td><td>4,935</td><td>4,260</td><td>65.50%</td></tr><tr><td>Conventional</td><td>100</td><td>0.284</td><td>0.284</td><td>1.7</td><td>4,702</td><td>4,702</td><td>43.80%</td></tr><tr><td>PAO Synthetic</td><td>100</td><td>0.284</td><td>0.284</td><td>1.7</td><td>4,935</td><td>4,935</td><td>45.90%</td></tr></table>"
5948643,"<h5> Specifications</h5><table class=""description-table""><tr><th>Ratio</th><td>15:1</td></tr><tr><th>Style</th><td>R</td></tr><tr><th>Gear Type</th><td>WR</td></tr><tr><th>Output Diameter</th><td>1.438</td></tr><tr><th>Product Type</th><td>Right Angle</td></tr><tr><th>Product Line</th><td>PowerCube Worm Gear Drive</td></tr><tr><th>Input Type</th><td>SHAFT</td></tr><tr><th>Input Diameter</th><td>1.00</td></tr><tr><th>Output Type</th><td>HOLLOW BORE</td></tr></table><table class=""description-table""><br/> Rating Table (@ 1.00 Service Factor) (AGMA Load Class I)<tr><th>Oil</th><th colspan=""3"" rowspan=""1"">Input</th><th colspan=""3"" rowspan=""1"">Output</th><th colspan=""1"" rowspan=""2"">Efficiency%</th></tr><tr><th>RPM</th><th>HP</th><th>Thermal HP</th><th>RPM</th><th>Torque</th><th>Thermal Torque</th></tr><tr><td>Conventional</td><td>1,750</td><td>8.530</td><td>4.300</td><td>116.7</td><td>3,839</td><td>1,937</td><td>83.30%</td></tr><tr><td>PAO Synthetic</td><td>1,750</td><td>8.530</td><td>5.180</td><td>116.7</td><td>3,984</td><td>2,422</td><td>86.50%</td></tr><tr><td>Conventional</td><td>1,150</td><td>7.150</td><td>3.910</td><td>76.7</td><td>4,798</td><td>2,622</td><td>81.60%</td></tr><tr><td>PAO Synthetic</td><td>1,150</td><td>7.150</td><td>4.710</td><td>76.7</td><td>4,980</td><td>3,278</td><td>84.70%</td></tr><tr><td>Conventional</td><td>100</td><td>1.430</td><td>1.430</td><td>6.7</td><td>9,412</td><td>9,412</td><td>69.60%</td></tr><tr><td>PAO Synthetic</td><td>100</td><td>1.430</td><td>1.430</td><td>6.7</td><td>9,768</td><td>9,768</td><td>72.20%</td></tr></table>"
2223738,"<h5> Specifications</h5><table class=""description-table""><tr><th>Ratio</th><td>5:1</td></tr><tr><th>Style</th><td>A</td></tr><tr><th>Gear Type</th><td>WR</td></tr><tr><th>Frame Size</th><td>N/A</td></tr><tr><th>Output Diameter</th><td>.750</td></tr><tr><th>Product Type</th><td>RIGHT ANGLE</td></tr><tr><th>Product Line</th><td>POWERCUBEX WORM GEAR DRIVE</td></tr><tr><th>Input Type</th><td>SHAFT</td></tr><tr><th>Input Diameter</th><td>0.625</td></tr><tr><th>Output Type</th><td>SHAFT</td></tr></table><table class=""description-table""><br/> Rating Table (@ 1.00 Service Factor) (AGMA Load Class I)<tr><th>Oil</th><th colspan=""3"" rowspan=""1"">Input</th><th colspan=""3"" rowspan=""1"">Output</th><th colspan=""1"" rowspan=""2"">Efficiency%</th></tr><tr><th>RPM</th><th>HP</th><th>Thermal HP</th><th>RPM</th><th>Torque</th><th>Thermal Torque</th></tr><tr><td>Conventional</td><td>2,500</td><td>2.250</td><td>2.050</td><td>500</td><td>243</td><td>221</td><td>85.60%</td></tr><tr><td>PAO Synthetic</td><td>2,500</td><td>2.250</td><td>2.250</td><td>500</td><td>258</td><td>258</td><td>90.70%</td></tr><tr><td>PAG Synthetic</td><td>2,500</td><td>2.250</td><td>2.250</td><td>500</td><td>266</td><td>266</td><td>93.50%</td></tr><tr><td>Conventional</td><td>1,750</td><td>1.940</td><td>2.000</td><td>350</td><td>296</td><td>305</td><td>84.60%</td></tr><tr><td>PAG Synthetic</td><td>1,750</td><td>1.940</td><td>1.940</td><td>350</td><td>323</td><td>323</td><td>92.40%</td></tr><tr><td>PAO Synthetic</td><td>1,750</td><td>1.940</td><td>1.940</td><td>350</td><td>314</td><td>314</td><td>89.60%</td></tr><tr><td>PAG Synthetic</td><td>1,170</td><td>1.580</td><td>1.580</td><td>234</td><td>388</td><td>388</td><td>91.00%</td></tr><tr><td>PAO Synthetic</td><td>1,170</td><td>1.580</td><td>1.580</td><td>234</td><td>376</td><td>376</td><td>88.30%</td></tr><tr><td>Conventional</td><td>1,170</td><td>1.580</td><td>1.580</td><td>234</td><td>355</td><td>355</td><td>83.30%</td></tr><tr><td>PAO Synthetic</td><td>100</td><td>0.210</td><td>0.210</td><td>20</td><td>527</td><td>527</td><td>80.10%</td></tr><tr><td>Conventional</td><td>100</td><td>0.210</td><td>0.210</td><td>20</td><td>497</td><td>497</td><td>75.50%</td></tr><tr><td>PAG Synthetic</td><td>100</td><td>0.210</td><td>0.210</td><td>20</td><td>543</td><td>543</td><td>82.50%</td></tr></table>"
2223739,"<h5> Specifications</h5><table class=""description-table""><tr><th>Ratio</th><td>7.50:1</td></tr><tr><th>Style</th><td>A</td></tr><tr><th>Gear Type</th><td>WR</td></tr><tr><th>Frame Size</th><td>N/A</td></tr><tr><th>Output Diameter</th><td>.750</td></tr><tr><th>Product Type</th><td>RIGHT ANGLE</td></tr><tr><th>Product Line</th><td>POWERCUBEX WORM GEAR DRIVE</td></tr><tr><th>Input Type</th><td>SHAFT</td></tr><tr><th>Input Diameter</th><td>0.625</td></tr><tr><th>Output Type</th><td>SHAFT</td></tr></table><table class=""description-table""><br/> Rating Table (@ 1.00 Service Factor) (AGMA Load Class I)<tr><th>Oil</th><th colspan=""3"" rowspan=""1"">Input</th><th colspan=""3"" rowspan=""1"">Output</th><th colspan=""1"" rowspan=""2"">Efficiency%</th></tr><tr><th>RPM</th><th>HP</th><th>Thermal HP</th><th>RPM</th><th>Torque</th><th>Thermal Torque</th></tr><tr><td>Conventional</td><td>2,500</td><td>1.660</td><td>1.520</td><td>333</td><td>263</td><td>240</td><td>83.60%</td></tr><tr><td>PAO Synthetic</td><td>2,500</td><td>1.660</td><td>1.660</td><td>333</td><td>279</td><td>279</td><td>88.70%</td></tr><tr><td>PAG Synthetic</td><td>2,500</td><td>1.660</td><td>1.660</td><td>333</td><td>288</td><td>288</td><td>91.40%</td></tr><tr><td>Conventional</td><td>1,750</td><td>1.500</td><td>1.450</td><td>233</td><td>330</td><td>323</td><td>82.30%</td></tr><tr><td>PAG Synthetic</td><td>1,750</td><td>1.500</td><td>1.500</td><td>233</td><td>361</td><td>361</td><td>90.00%</td></tr><tr><td>PAO Synthetic</td><td>1,750</td><td>1.500</td><td>1.500</td><td>233</td><td>350</td><td>350</td><td>87.30%</td></tr><tr><td>PAG Synthetic</td><td>1,170</td><td>1.210</td><td>1.210</td><td>156</td><td>430</td><td>430</td><td>88.20%</td></tr><tr><td>PAO Synthetic</td><td>1,170</td><td>1.210</td><td>1.210</td><td>156</td><td>417</td><td>417</td><td>85.50%</td></tr><tr><td>Conventional</td><td>1,170</td><td>1.210</td><td>1.210</td><td>156</td><td>393</td><td>393</td><td>80.70%</td></tr><tr><td>PAO Synthetic</td><td>100</td><td>0.160</td><td>0.160</td><td>13.3</td><td>576</td><td>576</td><td>75.60%</td></tr><tr><td>Conventional</td><td>100</td><td>0.160</td><td>0.160</td><td>13.3</td><td>543</td><td>543</td><td>71.30%</td></tr><tr><td>PAG Synthetic</td><td>100</td><td>0.160</td><td>0.160</td><td>13.3</td><td>593</td><td>593</td><td>77.90%</td></tr></table>"
2223740,"<h5> Specifications</h5><table class=""description-table""><tr><th>Ratio</th><td>10:1</td></tr><tr><th>Style</th><td>A</td></tr><tr><th>Gear Type</th><td>WR</td></tr><tr><th>Frame Size</th><td>N/A</td></tr><tr><th>Output Diameter</th><td>.750</td></tr><tr><th>Product Type</th><td>RIGHT ANGLE</td></tr><tr><th>Product Line</th><td>POWERCUBEX WORM GEAR DRIVE</td></tr><tr><th>Input Type</th><td>SHAFT</td></tr><tr><th>Input Diameter</th><td>0.625</td></tr><tr><th>Output Type</th><td>SHAFT</td></tr></table><table class=""description-table""><br/> Rating Table (@ 1.00 Service Factor) (AGMA Load Class I)<tr><th>Oil</th><th colspan=""3"" rowspan=""1"">Input</th><th colspan=""3"" rowspan=""1"">Output</th><th colspan=""1"" rowspan=""2"">Efficiency%</th></tr><tr><th>RPM</th><th>HP</th><th>Thermal HP</th><th>RPM</th><th>Torque</th><th>Thermal Torque</th></tr><tr><td>Conventional</td><td>2,500</td><td>1.370</td><td>1.140</td><td>250</td><td>281</td><td>234</td><td>81.50%</td></tr><tr><td>PAO Synthetic</td><td>2,500</td><td>1.370</td><td>1.370</td><td>250</td><td>298</td><td>298</td><td>86.40%</td></tr><tr><td>PAG Synthetic</td><td>2,500</td><td>1.370</td><td>1.370</td><td>250</td><td>307</td><td>307</td><td>89.10%</td></tr><tr><td>Conventional</td><td>1,750</td><td>1.220</td><td>1.100</td><td>175</td><td>351</td><td>317</td><td>79.90%</td></tr><tr><td>PAG Synthetic</td><td>1,750</td><td>1.220</td><td>1.220</td><td>175</td><td>384</td><td>384</td><td>87.30%</td></tr><tr><td>PAO Synthetic</td><td>1,750</td><td>1.220</td><td>1.220</td><td>175</td><td>372</td><td>372</td><td>84.70%</td></tr><tr><td>PAG Synthetic</td><td>1,170</td><td>1.000</td><td>1.000</td><td>117</td><td>456</td><td>456</td><td>85.20%</td></tr><tr><td>PAO Synthetic</td><td>1,170</td><td>1.000</td><td>1.000</td><td>117</td><td>442</td><td>442</td><td>82.60%</td></tr><tr><td>Conventional</td><td>1,170</td><td>1.000</td><td>1.000</td><td>117</td><td>417</td><td>417</td><td>77.90%</td></tr><tr><td>PAO Synthetic</td><td>100</td><td>0.140</td><td>0.140</td><td>10</td><td>608</td><td>608</td><td>70.90%</td></tr><tr><td>Conventional</td><td>100</td><td>0.140</td><td>0.140</td><td>10</td><td>574</td><td>574</td><td>66.90%</td></tr><tr><td>PAG Synthetic</td><td>100</td><td>0.140</td><td>0.140</td><td>10</td><td>627</td><td>627</td><td>73.10%</td></tr></table>"
2223741,"<h5> Specifications</h5><table class=""description-table""><tr><th>Ratio</th><td>20:1</td></tr><tr><th>Style</th><td>A</td></tr><tr><th>Gear Type</th><td>WR</td></tr><tr><th>Frame Size</th><td>N/A</td></tr><tr><th>Output Diameter</th><td>.750</td></tr><tr><th>Product Type</th><td>RIGHT ANGLE</td></tr><tr><th>Product Line</th><td>POWERCUBEX WORM GEAR DRIVE</td></tr><tr><th>Input Type</th><td>SHAFT</td></tr><tr><th>Input Diameter</th><td>0.625</td></tr><tr><th>Output Type</th><td>SHAFT</td></tr></table><table class=""description-table""><br/> Rating Table (@ 1.00 Service Factor) (AGMA Load Class I)<tr><th>Oil</th><th colspan=""3"" rowspan=""1"">Input</th><th colspan=""3"" rowspan=""1"">Output</th><th colspan=""1"" rowspan=""2"">Efficiency%</th></tr><tr><th>RPM</th><th>HP</th><th>Thermal HP</th><th>RPM</th><th>Torque</th><th>Thermal Torque</th></tr><tr><td>Conventional</td><td>2,500</td><td>0.840</td><td>0.760</td><td>125</td><td>313</td><td>283</td><td>74.40%</td></tr><tr><td>PAO Synthetic</td><td>2,500</td><td>0.840</td><td>0.840</td><td>125</td><td>332</td><td>332</td><td>78.80%</td></tr><tr><td>PAG Synthetic</td><td>2,500</td><td>0.840</td><td>0.840</td><td>125</td><td>343</td><td>343</td><td>81.30%</td></tr><tr><td>Conventional</td><td>1,750</td><td>0.750</td><td>0.720</td><td>87.5</td><td>387</td><td>370</td><td>71.80%</td></tr><tr><td>PAG Synthetic</td><td>1,750</td><td>0.750</td><td>0.750</td><td>87.5</td><td>423</td><td>423</td><td>78.50%</td></tr><tr><td>PAO Synthetic</td><td>1,750</td><td>0.750</td><td>0.750</td><td>87.5</td><td>411</td><td>411</td><td>76.20%</td></tr><tr><td>PAG Synthetic</td><td>1,170</td><td>0.610</td><td>0.610</td><td>58.5</td><td>499</td><td>499</td><td>75.30%</td></tr><tr><td>PAO Synthetic</td><td>1,170</td><td>0.610</td><td>0.610</td><td>58.5</td><td>484</td><td>484</td><td>73.00%</td></tr><tr><td>Conventional</td><td>1,170</td><td>0.610</td><td>0.610</td><td>58.5</td><td>456</td><td>456</td><td>68.90%</td></tr><tr><td>PAO Synthetic</td><td>100</td><td>0.090</td><td>0.090</td><td>5</td><td>654</td><td>654</td><td>57.60%</td></tr><tr><td>Conventional</td><td>100</td><td>0.090</td><td>0.090</td><td>5</td><td>617</td><td>617</td><td>54.40%</td></tr><tr><td>PAG Synthetic</td><td>100</td><td>0.090</td><td>0.090</td><td>5</td><td>674</td><td>674</td><td>59.40%</td></tr></table>"
5948634,"<h5> Specifications</h5><table class=""description-table""><tr><th>Ratio</th><td>60:1</td></tr><tr><th>Style</th><td>L</td></tr><tr><th>Gear Type</th><td>WR</td></tr><tr><th>Frame Size</th><td>182TC</td></tr><tr><th>Output Diameter</th><td>1.625</td></tr><tr><th>Product Type</th><td>Right Angle</td></tr><tr><th>Product Line</th><td>PAG Lubed PowerCube Worm Gear Drive</td></tr><tr><th>Input Type</th><td>MOTOR FRAME</td></tr><tr><th>Input Diameter</th><td>1.125</td></tr><tr><th>Output Type</th><td>SHAFT</td></tr></table><table class=""description-table""><br/> Rating Table (@ 1.00 Service Factor) (AGMA Load Class I)<tr><th>Oil</th><th colspan=""3"" rowspan=""1"">Input</th><th colspan=""3"" rowspan=""1"">Output</th><th colspan=""1"" rowspan=""2"">Efficiency%</th></tr><tr><th>RPM</th><th>HP</th><th>Thermal HP</th><th>RPM</th><th>Torque</th><th>Thermal Torque</th></tr><tr><td>PAG Synthetic</td><td>1,750</td><td>2.660</td><td>2.660</td><td>29.2</td><td>C/F</td><td>4,191</td><td>72.80%</td></tr><tr><td>PAG Synthetic</td><td>1,150</td><td>2.290</td><td>2.290</td><td>19.2</td><td>C/F</td><td>5,167</td><td>68.60%</td></tr><tr><td>PAG Synthetic</td><td>100</td><td>0.284</td><td>0.284</td><td>1.7</td><td>C/F</td><td>5,167</td><td>48.10%</td></tr></table>"
5948635,"<h5> Specifications</h5><table class=""description-table""><tr><th>Ratio</th><td>15:1</td></tr><tr><th>Style</th><td>R</td></tr><tr><th>Gear Type</th><td>WR</td></tr><tr><th>Output Diameter</th><td>1.438</td></tr><tr><th>Product Type</th><td>Right Angle</td></tr><tr><th>Product Line</th><td>PAG Lubed PowerCube Worm Gear Drive</td></tr><tr><th>Input Type</th><td>SHAFT</td></tr><tr><th>Input Diameter</th><td>1.00</td></tr><tr><th>Output Type</th><td>HOLLOW BORE</td></tr></table><table class=""description-table""><br/> Rating Table (@ 1.00 Service Factor) (AGMA Load Class I)<tr><th>Oil</th><th colspan=""3"" rowspan=""1"">Input</th><th colspan=""3"" rowspan=""1"">Output</th><th colspan=""1"" rowspan=""2"">Efficiency%</th></tr><tr><th>RPM</th><th>HP</th><th>Thermal HP</th><th>RPM</th><th>Torque</th><th>Thermal Torque</th></tr><tr><td>PAG Synthetic</td><td>1,750</td><td>8.530</td><td>8.530</td><td>116.7</td><td>C/F</td><td>4,151</td><td>90.10%</td></tr><tr><td>PAG Synthetic</td><td>1,150</td><td>7.150</td><td>7.150</td><td>76.7</td><td>C/F</td><td>5,187</td><td>88.20%</td></tr><tr><td>PAG Synthetic</td><td>100</td><td>1.430</td><td>1.430</td><td>6.7</td><td>C/F</td><td>10,175</td><td>75.20%</td></tr></table>"
5949045,"<h5> Specifications</h5><table class=""description-table""><tr><th>Ratio</th><td>1.50:1</td></tr><tr><th>Style</th><td>GG</td></tr><tr><th>Gear Type</th><td>SP</td></tr><tr><th>Output Diameter</th><td>1.750</td></tr><tr><th>Product Type</th><td>Right Angle</td></tr><tr><th>Product Line</th><td>Bevel Gear Drives</td></tr><tr><th>Input Type</th><td>SHAFT</td></tr><tr><th>Input Diameter</th><td>1.750</td></tr><tr><th>Output Type</th><td>SHAFT</td></tr></table><table class=""description-table""><br/> Rating Table (@ 1.00 Service Factor) (AGMA Load Class I)<tr><th>Oil</th><th colspan=""3"" rowspan=""1"">Input</th><th colspan=""3"" rowspan=""1"">Output</th><th colspan=""1"" rowspan=""2"">Efficiency%</th></tr><tr><th>RPM</th><th>HP</th><th>Thermal HP</th><th>RPM</th><th>Torque</th><th>Thermal Torque</th></tr><tr><td>Conventional</td><td>1,750</td><td>69.000</td><td>N/A</td><td>1,166.7</td><td>3,720</td><td>N/A</td><td>97.50%</td></tr><tr><td>Conventional</td><td>1,150</td><td>47.000</td><td>N/A</td><td>766.7</td><td>3,830</td><td>N/A</td><td>97.50%</td></tr><tr><td>Conventional</td><td>850</td><td>35.700</td><td>N/A</td><td>566.7</td><td>3,970</td><td>N/A</td><td>97.50%</td></tr><tr><td>Conventional</td><td>690</td><td>29.500</td><td>N/A</td><td>460</td><td>4,040</td><td>N/A</td><td>97.50%</td></tr><tr><td>Conventional</td><td>400</td><td>17.600</td><td>N/A</td><td>266.7</td><td>4,160</td><td>N/A</td><td>97.50%</td></tr><tr><td>Conventional</td><td>300</td><td>13.500</td><td>N/A</td><td>200</td><td>4,250</td><td>N/A</td><td>97.50%</td></tr><tr><td>Conventional</td><td>100</td><td>4.800</td><td>N/A</td><td>66.7</td><td>4,440</td><td>N/A</td><td>97.50%</td></tr></table>"
