"ID","ADDITIONAL_DESCRIPTION"
"2517269","<p>COXREELS Fuel Dispensing Reels are designed to handle various non-aromatic fuel applications including diesel, kerosene, fuel oil and heating oil. Coxreels professional fuel dispensing supreme-duty dual pedestal (T Series) reels are an essential component found in utility, ground support, and bulk liquid handling transport services mounted on fuel storage & dispensing systems, fuel/lube trucks, aircraft refuelers, and tank trucks. The convenient uncoiling systems with the added hose control allow the operator to efficiently handle fuel transfers.</p>"
"2517268","<p>COXREELS Fuel Dispensing Reels are designed to handle various non-aromatic fuel applications including diesel, kerosene, fuel oil and heating oil. Coxreels professional fuel dispensing supreme-duty dual pedestal (T Series) reels are an essential component found in utility, ground support, and bulk liquid handling transport services mounted on fuel storage & dispensing systems, fuel/lube trucks, aircraft refuelers, and tank trucks. The convenient uncoiling systems with the added hose control allow the operator to efficiently handle fuel transfers.</p>"
"2517267","<p>Coxreels DEF Series are equipped with a stainless steel external full-flow swivel and chemical resistant Viton seals to provide a safe, reliable Diesel Exhaust Fluid (DEF) dispensing solution. The swivel is easy to access for simple seal maintenance and fast DEF dispenser hose installation. Coxreels professional DEF reeling systems are available in heavy-duty single pedestal (SH Series) or supreme-duty dual pedestal (T Series) configurations. Both versatile designs are outfitted with Coxreels' original Super Hub dual axle support systems to increase stability and reduce vibration during operation, making these reels the perfect DEF handling solutions for either stationary or rugged mobile applications.<br><br> Coxreels Fuel Dispensing Reels are designed to handle various non-aromatic fuel applications including diesel, kerosene, fuel oil and heating oil. Coxreels professional fuel dispensing reels are available in heavy-duty single pedestal (SH Series), supreme-duty dual pedestal (T Series) or box-style frame (SP Series) configurations. These fuel reels are an essential component found in utility, ground support, and bulk liquid handling transport services mounted on fuel storage & dispensing systems, fuel/lube trucks, aircraft refuelers, and tank trucks. The convenient uncoiling systems with the added hose control allow the operator to efficiently handle fuel transfers.</p> <h5>Swivel</h5><table class=""description-table""><tr><th>Non-corrosive stainless steel 90° NPT swivel for Diesel Exhaust Fluid (DEF) dispensing applications.</li> <li>Swivel seals</th><td>Viton</td></tr><tr><th>DEF dispensing hose designed to convey the high-purity, aqueous urea solution DEF. Temperature Range</th><td>-40°F to +257°F</td></tr><tr><th>Machined from solid brass 90° full-flow NPT swivel inlet for fuel dispensing applications</li> <li>Electroless nickel plated steel swivel on 1"" models</li> <li>Swivel seals</th><td>Nitrile</td></tr></table><h5>Design & Structure</h5> <ul><li>Sturdy single (SH models) or dual (T Models) pedestal reel features Coxreels' exclusive Super Hub dual axle support system</li> <li>Guide arm adjusts to wall, floor, vehicle & overhead positions</li> <li>Each of these reels is built of their standard series with their own unique features & benefits</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned & matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl and zinc plated ratchet</li> <li>Multi-position non-sparking lock ratchet mechanism secures hose at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Vehicle Refueling</li> <li>Tank Trucks</li> <li>Fuel/Lube Trucks</li> <li>Fuel Storage & Dispensing Systems</li> <li>DEF Storage & Dispensing Systems</li> <li>Aircraft Refueling</li> <li>Marine/Ship Refueling/Offshore</li></ul> <h5>Specifications</h5><h5> table.specification-table, table.specification-table th, table.specification-table td {border: 1px solid black;}</h5><table class=""description-table""><thead><tr><th>REEL</th><th colspan=""4"">SPECS</th><th colspan=""7"">SIZE INDEX</th></tr><tr><th>MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">HOSE</th><th rowspan=""2"">I.D.</th><th rowspan=""2"">O.D.</th><th rowspan=""2"">FT.</th><th rowspan=""2"">PSI</th><th>W</th><th>H</th><th>L</th><th>X</th><th>Y</th><th>M</th><th>N</th></tr><tr><th colspan=""3"">Overall Dimensions</th><th colspan=""2"">Base</th><th colspan=""2"">Mounting Pattern</th></tr></thead><tbody><tr><td>TSHL-N-650-BXN</td><td>77</td><td>N</td><td>1""</td><td>1-1/2""</td><td>50</td><td>300</td><td>12""</td><td>25""</td><td>24""</td><td>8""</td><td>9""</td><td>7""</td><td>8""</td></tr></tbody></table>"
"2517266","<p>Coxreels DEF Series are equipped with a stainless steel external full-flow swivel and chemical resistant Viton seals to provide a safe, reliable Diesel Exhaust Fluid (DEF) dispensing solution. The swivel is easy to access for simple seal maintenance and fast DEF dispenser hose installation. Coxreels professional DEF reeling systems are available in heavy-duty single pedestal (SH Series) or supreme-duty dual pedestal (T Series) configurations. Both versatile designs are outfitted with Coxreels&#39; original Super Hub dual axle support systems to increase stability and reduce vibration during operation, making these reels the perfect DEF handling solutions for either stationary or rugged mobile applications.<br /> <br /> Coxreels Fuel Dispensing Reels are designed to handle various non-aromatic fuel applications including diesel, kerosene, fuel oil and heating oil. Coxreels professional fuel dispensing reels are available in heavy-duty single pedestal (SH Series), supreme-duty dual pedestal (T Series) or box-style frame (SP Series) configurations. These fuel reels are an essential component found in utility, ground support, and bulk liquid handling transport services mounted on fuel storage & dispensing systems, fuel/lube trucks, aircraft refuelers, and tank trucks. The convenient uncoiling systems with the added hose control allow the operator to efficiently handle fuel transfers.</p> <h5>Swivel</h5><table class=""description-table""><tr><th>Non-corrosive stainless steel 90&deg; NPT swivel for Diesel Exhaust Fluid (DEF) dispensing applications.</li> <li>Swivel seals</th><td>Viton</td></tr><tr><th>DEF dispensing hose designed to convey the high-purity, aqueous urea solution DEF. Temperature Range</th><td>-40&deg;F to +257&deg;F</td></tr><tr><th>Machined from solid brass 90&deg; full-flow NPT swivel inlet for fuel dispensing applications</li> <li>Electroless nickel plated steel swivel on 1&quot; models</li> <li>Swivel seals</th><td>Nitrile</td></tr></table><h5>Design & Structure</h5> <ul><li>Sturdy single (SH models) or dual (T Models) pedestal reel features Coxreels&#39; exclusive Super Hub dual axle support system</li> <li>Guide arm adjusts to wall, floor, vehicle & overhead positions</li> <li>Each of these reels is built of their standard series with their own unique features & benefits</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned & matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl and zinc plated ratchet</li> <li>Multi-position non-sparking lock ratchet mechanism secures hose at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer&#39;s limited warranty</li> <li>Made in the U.S.A. &ndash; Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Vehicle Refueling</li> <li>Tank Trucks</li> <li>Fuel/Lube Trucks</li> <li>Fuel Storage & Dispensing Systems</li> <li>DEF Storage & Dispensing Systems</li> <li>Aircraft Refueling</li> <li>Marine/Ship Refueling/Offshore</li></ul> <h5>Specifications</h5><h5> table.specification-table, table.specification-table th, table.specification-table td {border: 1px solid black;}</h5><table class=""description-table""><thead><tr><th>REEL</th><th>&nbsp;</th><th colspan=""4"">SPECS</th><th rowspan=""3"">&nbsp;</th><th colspan=""7"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">HOSE</th><th rowspan=""2"">I.D.</th><th rowspan=""2"">O.D.</th><th rowspan=""2"">FT.</th><th rowspan=""2"">PSI</th><th>W</th><th>H</th><th>L</th><th>X</th><th>Y</th><th>M</th><th>N</th></tr><tr><th colspan=""3"">Overall Dimensions</th><th colspan=""2"">Base</th><th colspan=""2"">Mounting Pattern</th></tr></thead><tbody><tr><td>TSHL-N-635-BXN</td><td>71</td><td>N</td><td>1&quot;</td><td>1-1/2&quot;</td><td>35</td><td>300</td><td>10&quot;</td><td>25-1/2&quot;</td><td>24&quot;</td><td>8&quot;</td><td>9&quot;</td><td>7&quot;</td><td>8&quot;</td></tr></tbody></table>"
"2517265","<p>Coxreels DEF Series are equipped with a stainless steel external full-flow swivel and chemical resistant Viton seals to provide a safe, reliable Diesel Exhaust Fluid (DEF) dispensing solution. The swivel is easy to access for simple seal maintenance and fast DEF dispenser hose installation. Coxreels professional DEF reeling systems are available in heavy-duty single pedestal (SH Series) or supreme-duty dual pedestal (T Series) configurations. Both versatile designs are outfitted with Coxreels&#39; original Super Hub dual axle support systems to increase stability and reduce vibration during operation, making these reels the perfect DEF handling solutions for either stationary or rugged mobile applications.<br /> <br /> Coxreels Fuel Dispensing Reels are designed to handle various non-aromatic fuel applications including diesel, kerosene, fuel oil and heating oil. Coxreels professional fuel dispensing reels are available in heavy-duty single pedestal (SH Series), supreme-duty dual pedestal (T Series) or box-style frame (SP Series) configurations. These fuel reels are an essential component found in utility, ground support, and bulk liquid handling transport services mounted on fuel storage & dispensing systems, fuel/lube trucks, aircraft refuelers, and tank trucks. The convenient uncoiling systems with the added hose control allow the operator to efficiently handle fuel transfers.</p> <h5>Swivel</h5><table class=""description-table""><tr><th>Non-corrosive stainless steel 90&deg; NPT swivel for Diesel Exhaust Fluid (DEF) dispensing applications.</li> <li>Swivel seals</th><td>Viton</td></tr><tr><th>DEF dispensing hose designed to convey the high-purity, aqueous urea solution DEF. Temperature Range</th><td>-40&deg;F to +257&deg;F</td></tr><tr><th>Machined from solid brass 90&deg; full-flow NPT swivel inlet for fuel dispensing applications</li> <li>Electroless nickel plated steel swivel on 1&quot; models</li> <li>Swivel seals</th><td>Nitrile</td></tr></table><h5>Design & Structure</h5> <ul><li>Sturdy single (SH models) or dual (T Models) pedestal reel features Coxreels&#39; exclusive Super Hub dual axle support system</li> <li>Guide arm adjusts to wall, floor, vehicle & overhead positions</li> <li>Each of these reels is built of their standard series with their own unique features & benefits</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned & matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl and zinc plated ratchet</li> <li>Multi-position non-sparking lock ratchet mechanism secures hose at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer&#39;s limited warranty</li> <li>Made in the U.S.A. &ndash; Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Vehicle Refueling</li> <li>Tank Trucks</li> <li>Fuel/Lube Trucks</li> <li>Fuel Storage & Dispensing Systems</li> <li>DEF Storage & Dispensing Systems</li> <li>Aircraft Refueling</li> <li>Marine/Ship Refueling/Offshore</li></ul> <h5>Specifications</h5><h5> table.specification-table, table.specification-table th, table.specification-table td {border: 1px solid black;}</h5><table class=""description-table""><thead><tr><th>REEL</th><th>&nbsp;</th><th colspan=""4"">SPECS</th><th rowspan=""3"">&nbsp;</th><th colspan=""7"">SIZE INDEX</th></tr><tr><th rowspan=""2"">MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">HOSE</th><th rowspan=""2"">I.D.</th><th rowspan=""2"">O.D.</th><th rowspan=""2"">FT.</th><th rowspan=""2"">PSI</th><th>W</th><th>H</th><th>L</th><th>X</th><th>Y</th><th>M</th><th>N</th></tr><tr><th colspan=""3"">Overall Dimensions</th><th colspan=""2"">Base</th><th colspan=""2"">Mounting Pattern</th></tr></thead><tbody><tr><td>TSHL-N-575-BXN</td><td>73</td><td>N</td><td>3/4&quot;</td><td>1-3/16&quot;</td><td>75</td><td>300</td><td>12&quot;</td><td>25-1/2&quot;</td><td>24&quot;</td><td>8&quot;</td><td>9&quot;</td><td>7&quot;</td><td>8&quot;</td></tr></tbody></table>"
"2517264","<p>Coxreels DEF Series are equipped with a stainless steel external full-flow swivel and chemical resistant Viton seals to provide a safe, reliable Diesel Exhaust Fluid (DEF) dispensing solution. The swivel is easy to access for simple seal maintenance and fast DEF dispenser hose installation. Coxreels professional DEF reeling systems are available in heavy-duty single pedestal (SH Series) or supreme-duty dual pedestal (T Series) configurations. Both versatile designs are outfitted with Coxreels' original Super Hub dual axle support systems to increase stability and reduce vibration during operation, making these reels the perfect DEF handling solutions for either stationary or rugged mobile applications.<br><br> Coxreels Fuel Dispensing Reels are designed to handle various non-aromatic fuel applications including diesel, kerosene, fuel oil and heating oil. Coxreels professional fuel dispensing reels are available in heavy-duty single pedestal (SH Series), supreme-duty dual pedestal (T Series) or box-style frame (SP Series) configurations. These fuel reels are an essential component found in utility, ground support, and bulk liquid handling transport services mounted on fuel storage & dispensing systems, fuel/lube trucks, aircraft refuelers, and tank trucks. The convenient uncoiling systems with the added hose control allow the operator to efficiently handle fuel transfers.</p> <h5>Swivel</h5><table class=""description-table""><tr><th>Non-corrosive stainless steel 90° NPT swivel for Diesel Exhaust Fluid (DEF) dispensing applications.</li> <li>Swivel seals</th><td>Viton</td></tr><tr><th>DEF dispensing hose designed to convey the high-purity, aqueous urea solution DEF. Temperature Range</th><td>-40°F to +257°F</td></tr><tr><th>Machined from solid brass 90° full-flow NPT swivel inlet for fuel dispensing applications</li> <li>Electroless nickel plated steel swivel on 1"" models</li> <li>Swivel seals</th><td>Nitrile</td></tr></table><h5>Design & Structure</h5> <ul><li>Sturdy single (SH models) or dual (T Models) pedestal reel features Coxreels' exclusive Super Hub dual axle support system</li> <li>Guide arm adjusts to wall, floor, vehicle & overhead positions</li> <li>Each of these reels is built of their standard series with their own unique features & benefits</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned & matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl and zinc plated ratchet</li> <li>Multi-position non-sparking lock ratchet mechanism secures hose at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Vehicle Refueling</li> <li>Tank Trucks</li> <li>Fuel/Lube Trucks</li> <li>Fuel Storage & Dispensing Systems</li> <li>DEF Storage & Dispensing Systems</li> <li>Aircraft Refueling</li> <li>Marine/Ship Refueling/Offshore</li></ul> <h5>Specifications</h5><h5> table.specification-table, table.specification-table th, table.specification-table td {border: 1px solid black;}</h5><table class=""description-table""><thead><tr><th>REEL</th><th colspan=""4"">SPECS</th><th colspan=""7"">SIZE INDEX</th></tr><tr><th>MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">HOSE</th><th rowspan=""2"">I.D.</th><th rowspan=""2"">O.D.</th><th rowspan=""2"">FT.</th><th rowspan=""2"">PSI</th><th>W</th><th>H</th><th>L</th><th>X</th><th>Y</th><th>M</th><th>N</th></tr><tr><th colspan=""3"">Overall Dimensions</th><th colspan=""2"">Base</th><th colspan=""2"">Mounting Pattern</th></tr></thead><tbody><tr><td>TSHL-N-550-BXN</td><td>70</td><td>N</td><td>3/4""</td><td>1-3/16""</td><td>50</td><td>300</td><td>9-7/8""</td><td>25-1/2""</td><td>24""</td><td>8""</td><td>9""</td><td>7""</td><td>8""</td></tr></tbody></table>"
"2517263","<p>Coxreels DEF Series are equipped with a stainless steel external full-flow swivel and chemical resistant Viton seals to provide a safe, reliable Diesel Exhaust Fluid (DEF) dispensing solution. The swivel is easy to access for simple seal maintenance and fast DEF dispenser hose installation. Coxreels professional DEF reeling systems are available in heavy-duty single pedestal (SH Series) or supreme-duty dual pedestal (T Series) configurations. Both versatile designs are outfitted with Coxreels&#39; original Super Hub dual axle support systems to increase stability and reduce vibration during operation, making these reels the perfect DEF handling solutions for either stationary or rugged mobile applications.<br /> <br /> Coxreels Fuel Dispensing Reels are designed to handle various non-aromatic fuel applications including diesel, kerosene, fuel oil and heating oil. Coxreels professional fuel dispensing reels are available in heavy-duty single pedestal (SH Series), supreme-duty dual pedestal (T Series) or box-style frame (SP Series) configurations. These fuel reels are an essential component found in utility, ground support, and bulk liquid handling transport services mounted on fuel storage & dispensing systems, fuel/lube trucks, aircraft refuelers, and tank trucks. The convenient uncoiling systems with the added hose control allow the operator to efficiently handle fuel transfers.</p> <h5>Swivel</h5><table class=""description-table""><tr><th>Non-corrosive stainless steel 90&deg; NPT swivel for Diesel Exhaust Fluid (DEF) dispensing applications.</li> <li>Swivel seals</th><td>Viton</td></tr><tr><th>DEF dispensing hose designed to convey the high-purity, aqueous urea solution DEF. Temperature Range</th><td>-40&deg;F to +257&deg;F</td></tr><tr><th>Machined from solid brass 90&deg; full-flow NPT swivel inlet for fuel dispensing applications</li> <li>Electroless nickel plated steel swivel on 1&quot; models</li> <li>Swivel seals</th><td>Nitrile</td></tr></table><h5>Design & Structure</h5> <ul><li>Sturdy single (SH models) or dual (T Models) pedestal reel features Coxreels&#39; exclusive Super Hub dual axle support system</li> <li>Guide arm adjusts to wall, floor, vehicle & overhead positions</li> <li>Each of these reels is built of their standard series with their own unique features & benefits</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned & matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl and zinc plated ratchet</li> <li>Multi-position non-sparking lock ratchet mechanism secures hose at desired length</li> <li>Controlled retraction speed up to 80% slower on EZ-Coil Models</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer&#39;s limited warranty</li> <li>Made in the U.S.A. &ndash; Sold & Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Vehicle Refueling</li> <li>Tank Trucks</li> <li>Fuel/Lube Trucks</li> <li>Fuel Storage & Dispensing Systems</li> <li>DEF Storage & Dispensing Systems</li> <li>Aircraft Refueling</li> <li>Marine/Ship Refueling/Offshore</li></ul>"
"2517261","<p>Coxreels DEF Series are equipped with a stainless steel external full-flow swivel and chemical resistant Viton seals to provide a safe, reliable Diesel Exhaust Fluid (DEF) dispensing solution. The swivel is easy to access for simple seal maintenance and fast DEF dispenser hose installation. Coxreels professional DEF reeling systems are available in heavy-duty single pedestal (SH Series) or supreme-duty dual pedestal (T Series) configurations. Both versatile designs are outfitted with Coxreels' original Super Hub dual axle support systems to increase stability and reduce vibration during operation, making these reels the perfect DEF handling solutions for either stationary or rugged mobile applications.<br><br> Coxreels Fuel Dispensing Reels are designed to handle various non-aromatic fuel applications including diesel, kerosene, fuel oil and heating oil. Coxreels professional fuel dispensing reels are available in heavy-duty single pedestal (SH Series), supreme-duty dual pedestal (T Series) or box-style frame (SP Series) configurations. These fuel reels are an essential component found in utility, ground support, and bulk liquid handling transport services mounted on fuel storage &amp; dispensing systems, fuel/lube trucks, aircraft refuelers, and tank trucks. The convenient uncoiling systems with the added hose control allow the operator to efficiently handle fuel transfers.</p> <h5>Swivel</h5><table class=""description-table""><tr><th>Non-corrosive stainless steel 90° NPT swivel for Diesel Exhaust Fluid (DEF) dispensing applications.</li> <li>Swivel seals</th><td>Viton</td></tr><tr><th>DEF dispensing hose designed to convey the high-purity, aqueous urea solution DEF. Temperature Range</th><td>-40°F to +257°F</td></tr><tr><th>Machined from solid brass 90° full-flow NPT swivel inlet for fuel dispensing applications</li> <li>Electroless nickel plated steel swivel on 1"" models</li> <li>Swivel seals</th><td>Nitrile</td></tr><tr><th>Fuel dispensing hose designed to convey non-aromatic fuels including diesel, kerosene, fuel oil &amp; heating oil. Temperature Range</th><td>-20°F to +190°F</td></tr></table><h5>Design &amp; Structure</h5> <ul><li>Sturdy single (SH models) or dual (T Models) pedestal reel features Coxreels' exclusive Super Hub dual axle support system</li> <li>Guide arm adjusts to wall, floor, vehicle &amp; overhead positions</li> <li>Each of these reels is built of their standard series with their own unique features &amp; benefits</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned &amp; matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl and zinc plated ratchet</li> <li>Multi-position non-sparking lock ratchet mechanism secures hose at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Vehicle Refueling</li> <li>Tank Trucks</li> <li>Fuel/Lube Trucks</li> <li>Fuel Storage &amp; Dispensing Systems</li> <li>DEF Storage &amp; Dispensing Systems</li> <li>Aircraft Refueling</li> <li>Marine/Ship Refueling/Offshore</li></ul> <h5>Specifications</h5><h5> table.specification-table, table.specification-table th, table.specification-table td {border: 1px solid black;}</h5><table class=""description-table""><thead><tr><th>REEL</th><th colspan=""4"">SPECS</th><th colspan=""7"">SIZE INDEX</th></tr><tr><th>MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">HOSE</th><th rowspan=""2"">I.D.</th><th rowspan=""2"">O.D.</th><th rowspan=""2"">FT.</th><th rowspan=""2"">PSI</th><th>W</th><th>H</th><th>L</th><th>X</th><th>Y</th><th>M</th><th>N</th></tr><tr><th colspan=""3"">Overall Dimensions</th><th colspan=""2"">Base</th><th colspan=""2"">Mounting Pattern</th></tr></thead><tbody><tr><td>SHL-N-525-BXN</td><td>45</td><td>N</td><td>3/4""</td><td>1-3/16""</td><td>25</td><td>300</td><td>9-3/8""</td><td>25-1/2""</td><td>19-1/2""</td><td>6""</td><td>6""</td><td>4""</td><td>5""</td></tr></tbody></table>"
"2517260","<p>COXREELS Fuel Dispensing Reels are designed to handle various non-aromatic</p>"
"2517259","<p>Coxreels DEF Series are equipped with a stainless steel external full-flow swivel and chemical resistant Viton seals to provide a safe, reliable Diesel Exhaust Fluid (DEF) dispensing solution. The swivel is easy to access for simple seal maintenance and fast DEF dispenser hose installation. Coxreels professional DEF reeling systems are available in heavy-duty single pedestal (SH Series) or supreme-duty dual pedestal (T Series) configurations. Both versatile designs are outfitted with Coxreels' original Super Hub dual axle support systems to increase stability and reduce vibration during operation, making these reels the perfect DEF handling solutions for either stationary or rugged mobile applications.<br><br> Coxreels Fuel Dispensing Reels are designed to handle various non-aromatic fuel applications including diesel, kerosene, fuel oil and heating oil. Coxreels professional fuel dispensing reels are available in heavy-duty single pedestal (SH Series), supreme-duty dual pedestal (T Series) or box-style frame (SP Series) configurations. These fuel reels are an essential component found in utility, ground support, and bulk liquid handling transport services mounted on fuel storage &amp; dispensing systems, fuel/lube trucks, aircraft refuelers, and tank trucks. The convenient uncoiling systems with the added hose control allow the operator to efficiently handle fuel transfers.</p> <h5>Swivel</h5><table class=""description-table""><tr><th>Non-corrosive stainless steel 90° NPT swivel for Diesel Exhaust Fluid (DEF) dispensing applications.</li> <li>Swivel seals</th><td>Viton</td></tr><tr><th>DEF dispensing hose designed to convey the high-purity, aqueous urea solution DEF. Temperature Range</th><td>-40°F to +257°F</td></tr><tr><th>Machined from solid brass 90° full-flow NPT swivel inlet for fuel dispensing applications</li> <li>Electroless nickel plated steel swivel on 1"" models</li> <li>Swivel seals</th><td>Nitrile</td></tr><tr><th>Fuel dispensing hose designed to convey non-aromatic fuels including diesel, kerosene, fuel oil &amp; heating oil. Temperature Range</th><td>-20°F to +190°F</td></tr></table><h5>Design &amp; Structure</h5> <ul><li>Sturdy single (SH models) or dual (T Models) pedestal reel features Coxreels' exclusive Super Hub dual axle support system</li> <li>Guide arm adjusts to wall, floor, vehicle &amp; overhead positions</li> <li>Each of these reels is built of their standard series with their own unique features &amp; benefits</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned &amp; matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl and zinc plated ratchet</li> <li>Multi-position non-sparking lock ratchet mechanism secures hose at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U.S.A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Vehicle Refueling</li> <li>Tank Trucks</li> <li>Fuel/Lube Trucks</li> <li>Fuel Storage &amp; Dispensing Systems</li> <li>DEF Storage &amp; Dispensing Systems</li> <li>Aircraft Refueling</li> <li>Marine/Ship Refueling/Offshore</li></ul> <h5>Specifications</h5><h5> table.specification-table, table.specification-table th, table.specification-table td {border: 1px solid black;}</h5><table class=""description-table""><thead><tr><th>REEL</th><th colspan=""4"">SPECS</th><th colspan=""7"">SIZE INDEX</th></tr><tr><th>MODEL</th><th rowspan=""2"">LBS</th><th rowspan=""2"">HOSE</th><th rowspan=""2"">I.D.</th><th rowspan=""2"">O.D.</th><th rowspan=""2"">FT.</th><th rowspan=""2"">PSI</th><th>W</th><th>H</th><th>L</th><th>X</th><th>Y</th><th>M</th><th>N</th></tr><tr><th colspan=""3"">Overall Dimensions</th><th colspan=""2"">Base</th><th colspan=""2"">Mounting Pattern</th></tr></thead><tbody><tr><td>SLPF-650</td><td>142</td><td>Y</td><td>1""</td><td>1-1/2""</td><td>50</td><td>300</td><td>19-5/8""</td><td>24-1/2""</td><td>26-3/8""</td><td>15-3/8""</td><td>25""</td><td>""</td><td>""</td></tr></tbody></table>"
