"ID","ADDITIONAL_DESCRIPTION"
1814500,"<hr/><ul><li> Ball Grooved for use with Thomson Super Ball bushing </li><li> Available from stock and cut to length in most material types and options. </li><li> Centerless ground for an industry leading cataloged surface finish of 8 Ra max. </li><li> Roundness within .000080"" for Class L, S, D, M and .000050"" for Class N. </li><li> Straight within .001"" per foot cumulative when shipped from the factory. </li><li> Class G shafting is grooved after hardening </li></ul><table class=""description-table""><thead><tr><th>Specifications</th><th>Value</th></tr></thead><tbody><tr><th>Case Depth, Minimum</th><td>0.040 in</td></tr><tr><th>Class</th><td>Class G</td></tr><tr><th>Hardness</th><td>50 Rockwell C Min.</td></tr><tr><th>Material</th><td>Stainless Steel 440C</td></tr><tr><th>Material, Shaft</th><td>Stainless Steel 440C</td></tr><tr><th>Roundness</th><td>0.000080 in</td></tr><tr><th>Straightness</th><td>0.002 in per Foot Cumulative (.002 in TIR)</td></tr><tr><th>Surface Finish</th><td>8 Ra microinch Max</td></tr><tr><th>Taper</th><td>0.0001 in</td></tr><tr><th>UPC Number</th><td>662486934486</td></tr><tr><th>Weight</th><td>0.055 lb/in</td></tr></tbody></table><table class=""description-table""><thead><tr><th>Dimension</th><th>Value</th></tr></thead><tbody><tr><th>[d] Shaft, Nominal Diameter</th><td>0.5 in</td></tr><tr><th>Actual Diameter</th><td>0.4990 / 0.4995 in</td></tr></tbody></table>"
1814512,"<hr/><ul><li> Ball Grooved for use with Thomson Super Ball bushing </li><li> Available from stock and cut to length in most material types and options. </li><li> Centerless ground for an industry leading cataloged surface finish of 8 Ra max. </li><li> Roundness within .000080"" for Class L, S, D, M and .000050"" for Class N. </li><li> Straight within .001"" per foot cumulative when shipped from the factory. </li><li> Class G shafting is grooved after hardening </li></ul><table class=""description-table""><thead><tr><th>Specifications</th><th>Value</th></tr></thead><tbody><tr><th>Case Depth, Minimum</th><td>0.027 in</td></tr><tr><th>Class</th><td>Class G</td></tr><tr><th>Hardness</th><td>60 Rockwell C Min.</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Material, Shaft</th><td>Steel</td></tr><tr><th>Roundness</th><td>0.000080 in</td></tr><tr><th>Straightness</th><td>0.002 in per Foot Cumulative (.002 in TIR)</td></tr><tr><th>Surface Finish</th><td>8 Ra microinch Max</td></tr><tr><th>Taper</th><td>0.0001 in</td></tr><tr><th>UPC Number</th><td>662486934400</td></tr><tr><th>Weight</th><td>0.014 lb/in</td></tr></tbody></table><table class=""description-table""><thead><tr><th>Dimension</th><th>Value</th></tr></thead><tbody><tr><th>[d] Shaft, Nominal Diameter</th><td>0.25 in</td></tr><tr><th>Actual Diameter</th><td>0.2490 / 0.2495 in</td></tr></tbody></table>"
1814484,"<hr/><ul><li> Ball Grooved for use with Thomson Super Ball bushing </li><li> Available from stock and cut to length in most material types and options. </li><li> Centerless ground for an industry leading cataloged surface finish of 8 Ra max. </li><li> Roundness within .000080"" for Class L, S, D, M and .000050"" for Class N. </li><li> Straight within .001"" per foot cumulative when shipped from the factory. </li><li> Class G shafting is grooved after hardening </li></ul><table class=""description-table""><thead><tr><th>Specifications</th><th>Value</th></tr></thead><tbody><tr><th>Case Depth, Minimum</th><td>0.080 in</td></tr><tr><th>Class</th><td>Class G</td></tr><tr><th>Hardness</th><td>60 Rockwell C Min.</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Material, Shaft</th><td>Steel</td></tr><tr><th>Roundness</th><td>0.000080 in</td></tr><tr><th>Straightness</th><td>0.002 in per Foot Cumulative (.002 in TIR)</td></tr><tr><th>Surface Finish</th><td>8 Ra microinch Max</td></tr><tr><th>Taper</th><td>0.0001 in</td></tr><tr><th>UPC Number</th><td>662486934455</td></tr><tr><th>Weight</th><td>0.222 lb/in</td></tr></tbody></table><table class=""description-table""><thead><tr><th>Dimension</th><th>Value</th></tr></thead><tbody><tr><th>[d] Shaft, Nominal Diameter</th><td>1 in</td></tr><tr><th>Actual Diameter</th><td>0.9990 / 0.9995 in</td></tr></tbody></table>"
1814485,"<hr/><ul><li> Ball Grooved for use with Thomson Super Ball bushing </li><li> Available from stock and cut to length in most material types and options. </li><li> Centerless ground for an industry leading cataloged surface finish of 8 Ra max. </li><li> Roundness within .000080"" for Class L, S, D, M and .000050"" for Class N. </li><li> Straight within .001"" per foot cumulative when shipped from the factory. </li><li> Class G shafting is grooved after hardening </li></ul><table class=""description-table""><thead><tr><th>Specifications</th><th>Value</th></tr></thead><tbody><tr><th>Case Depth, Minimum</th><td>0.080 in</td></tr><tr><th>Class</th><td>Class G</td></tr><tr><th>Hardness</th><td>50 Rockwell C Min.</td></tr><tr><th>Material</th><td>Stainless Steel 440C</td></tr><tr><th>Material, Shaft</th><td>Stainless Steel 440C</td></tr><tr><th>Roundness</th><td>0.000080 in</td></tr><tr><th>Straightness</th><td>0.002 in per Foot Cumulative (.002 in TIR)</td></tr><tr><th>Surface Finish</th><td>8 Ra microinch Max</td></tr><tr><th>Taper</th><td>0.0001 in</td></tr><tr><th>UPC Number</th><td>662486934516</td></tr><tr><th>Weight</th><td>0.222 lb/in</td></tr></tbody></table><table class=""description-table""><thead><tr><th>Dimension</th><th>Value</th></tr></thead><tbody><tr><th>[d] Shaft, Nominal Diameter</th><td>1 in</td></tr><tr><th>Actual Diameter</th><td>0.9990 / 0.9995 in</td></tr></tbody></table>"
1814499,"<hr/><ul><li> Ball Grooved for use with Thomson Super Ball bushing </li><li> Available from stock and cut to length in most material types and options. </li><li> Centerless ground for an industry leading cataloged surface finish of 8 Ra max. </li><li> Roundness within .000080"" for Class L, S, D, M and .000050"" for Class N. </li><li> Straight within .001"" per foot cumulative when shipped from the factory. </li><li> Class G shafting is grooved after hardening </li></ul><table class=""description-table""><thead><tr><th>Specifications</th><th>Value</th></tr></thead><tbody><tr><th>Case Depth, Minimum</th><td>0.040 in</td></tr><tr><th>Class</th><td>Class G</td></tr><tr><th>Hardness</th><td>60 Rockwell C Min.</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Material, Shaft</th><td>Steel</td></tr><tr><th>Roundness</th><td>0.000080 in</td></tr><tr><th>Straightness</th><td>0.002 in per Foot Cumulative (.002 in TIR)</td></tr><tr><th>Surface Finish</th><td>8 Ra microinch Max</td></tr><tr><th>Taper</th><td>0.0001 in</td></tr><tr><th>UPC Number</th><td>662486934424</td></tr><tr><th>Weight</th><td>0.055 lb/in</td></tr></tbody></table><table class=""description-table""><thead><tr><th>Dimension</th><th>Value</th></tr></thead><tbody><tr><th>[d] Shaft, Nominal Diameter</th><td>0.5 in</td></tr><tr><th>Actual Diameter</th><td>0.4990 / 0.4995 in</td></tr></tbody></table>"
1814500,"<hr/><ul><li> Ball Grooved for use with Thomson Super Ball bushing </li><li> Available from stock and cut to length in most material types and options. </li><li> Centerless ground for an industry leading cataloged surface finish of 8 Ra max. </li><li> Roundness within .000080"" for Class L, S, D, M and .000050"" for Class N. </li><li> Straight within .001"" per foot cumulative when shipped from the factory. </li><li> Class G shafting is grooved after hardening </li></ul><table class=""description-table""><thead><tr><th>Specifications</th><th>Value</th></tr></thead><tbody><tr><th>Case Depth, Minimum</th><td>0.040 in</td></tr><tr><th>Class</th><td>Class G</td></tr><tr><th>Hardness</th><td>50 Rockwell C Min.</td></tr><tr><th>Material</th><td>Stainless Steel 440C</td></tr><tr><th>Material, Shaft</th><td>Stainless Steel 440C</td></tr><tr><th>Roundness</th><td>0.000080 in</td></tr><tr><th>Straightness</th><td>0.002 in per Foot Cumulative (.002 in TIR)</td></tr><tr><th>Surface Finish</th><td>8 Ra microinch Max</td></tr><tr><th>Taper</th><td>0.0001 in</td></tr><tr><th>UPC Number</th><td>662486934486</td></tr><tr><th>Weight</th><td>0.055 lb/in</td></tr></tbody></table><table class=""description-table""><thead><tr><th>Dimension</th><th>Value</th></tr></thead><tbody><tr><th>[d] Shaft, Nominal Diameter</th><td>0.5 in</td></tr><tr><th>Actual Diameter</th><td>0.4990 / 0.4995 in</td></tr></tbody></table>"
1836400,"<hr/><ul><li>Nut Only</li><li>Dependable Accuracy and Repeatability At An Economical Price</li><li>Quality Tested For Reliable Perfomance</li><li>Superior Performance For Today’s Most Stringent Positioning Requirements</li></ul><table class=""description-table""><thead><tr><th>Specification</th><th>Value</th></tr></thead><tbody><tr><th>Diameter</th><td>25 mm / 1.00 in</td></tr><tr><th>Nominal Diameter</th><td>645 mm / 25.40 in</td></tr><tr><th>Lead</th><td>25 mm / 1.000 in</td></tr><tr><th>Ball Form</th><td>MAR</td></tr><tr><th>Flange</th><td>8110-448-002</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Nut Length</th><td>76.2 mm / 3.000 in</td></tr><tr><th>Nut Type</th><td>Threaded</td></tr><tr><th>Nut Shape</th><td>Round</td></tr><tr><th>Nut Style</th><td>Precision</td></tr><tr><th>Preload</th><td>NP</td></tr><tr><th>Primary Mating Screw</th><td>190-9102</td></tr><tr><th>Return Style</th><td>Pickup Finger</td></tr><tr><th>Thread Direction</th><td>Right Hand</td></tr><tr><th>Weight</th><td>1.300 lb</td></tr><tr><th>Wiper</th><td>8110-101-002</td></tr></tbody></table>"
1836401,"<hr/><ul><li>Nut Only</li><li>Dependable Accuracy and Repeatability At An Economical Price</li><li>Quality Tested For Reliable Perfomance</li><li>Superior Performance For Today’s Most Stringent Positioning Requirements</li></ul><table class=""description-table""><thead><tr><th>Specification</th><th>Value</th></tr></thead><tbody><tr><th>Diameter</th><td>25 mm / 1.00 in</td></tr><tr><th>Nominal Diameter</th><td>645 mm / 25.40 in</td></tr><tr><th>Lead</th><td>13 mm / 0.500 in</td></tr><tr><th>Ball Form</th><td>MAR</td></tr><tr><th>Flange</th><td>8110-448-002</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Nut Length</th><td>79.2 mm / 3.120 in</td></tr><tr><th>Nut Type</th><td>Threaded</td></tr><tr><th>Nut Shape</th><td>Round</td></tr><tr><th>Nut Style</th><td>Precision</td></tr><tr><th>Preload</th><td>NP</td></tr><tr><th>Primary Mating Screw</th><td>190-9103</td></tr><tr><th>Return Style</th><td>Pickup Finger</td></tr><tr><th>Thread Direction</th><td>Right Hand</td></tr><tr><th>Weight</th><td>1.300 lb</td></tr><tr><th>Wiper</th><td>8110-101-002</td></tr></tbody></table>"
1814484,"<hr/><ul><li> Ball Grooved for use with Thomson Super Ball bushing </li><li> Available from stock and cut to length in most material types and options. </li><li> Centerless ground for an industry leading cataloged surface finish of 8 Ra max. </li><li> Roundness within .000080"" for Class L, S, D, M and .000050"" for Class N. </li><li> Straight within .001"" per foot cumulative when shipped from the factory. </li><li> Class G shafting is grooved after hardening </li></ul><table class=""description-table""><thead><tr><th>Specifications</th><th>Value</th></tr></thead><tbody><tr><th>Case Depth, Minimum</th><td>0.080 in</td></tr><tr><th>Class</th><td>Class G</td></tr><tr><th>Hardness</th><td>60 Rockwell C Min.</td></tr><tr><th>Material</th><td>Steel</td></tr><tr><th>Material, Shaft</th><td>Steel</td></tr><tr><th>Roundness</th><td>0.000080 in</td></tr><tr><th>Straightness</th><td>0.002 in per Foot Cumulative (.002 in TIR)</td></tr><tr><th>Surface Finish</th><td>8 Ra microinch Max</td></tr><tr><th>Taper</th><td>0.0001 in</td></tr><tr><th>UPC Number</th><td>662486934455</td></tr><tr><th>Weight</th><td>0.222 lb/in</td></tr></tbody></table><table class=""description-table""><thead><tr><th>Dimension</th><th>Value</th></tr></thead><tbody><tr><th>[d] Shaft, Nominal Diameter</th><td>1 in</td></tr><tr><th>Actual Diameter</th><td>0.9990 / 0.9995 in</td></tr></tbody></table>"
1814485,"<hr/><ul><li> Ball Grooved for use with Thomson Super Ball bushing </li><li> Available from stock and cut to length in most material types and options. </li><li> Centerless ground for an industry leading cataloged surface finish of 8 Ra max. </li><li> Roundness within .000080"" for Class L, S, D, M and .000050"" for Class N. </li><li> Straight within .001"" per foot cumulative when shipped from the factory. </li><li> Class G shafting is grooved after hardening </li></ul><table class=""description-table""><thead><tr><th>Specifications</th><th>Value</th></tr></thead><tbody><tr><th>Case Depth, Minimum</th><td>0.080 in</td></tr><tr><th>Class</th><td>Class G</td></tr><tr><th>Hardness</th><td>50 Rockwell C Min.</td></tr><tr><th>Material</th><td>Stainless Steel 440C</td></tr><tr><th>Material, Shaft</th><td>Stainless Steel 440C</td></tr><tr><th>Roundness</th><td>0.000080 in</td></tr><tr><th>Straightness</th><td>0.002 in per Foot Cumulative (.002 in TIR)</td></tr><tr><th>Surface Finish</th><td>8 Ra microinch Max</td></tr><tr><th>Taper</th><td>0.0001 in</td></tr><tr><th>UPC Number</th><td>662486934516</td></tr><tr><th>Weight</th><td>0.222 lb/in</td></tr></tbody></table><table class=""description-table""><thead><tr><th>Dimension</th><th>Value</th></tr></thead><tbody><tr><th>[d] Shaft, Nominal Diameter</th><td>1 in</td></tr><tr><th>Actual Diameter</th><td>0.9990 / 0.9995 in</td></tr></tbody></table>"
