"ID","ADDITIONAL_DESCRIPTION"
5976685,"<p>ABS swing panel is slightly larger than back panel to fit flush to enclosure sides. Hole placements for screws are same as back panels</p><table class=""description-table""><tr><th>Height (in)</th><td>6</td></tr><tr><th>Width (in)</th><td>6</td></tr><tr><th>Depth (in)</th><td>4</td></tr></table>"
5976673,"<p>ABS swing panel is slightly larger than back panel to fit flush to enclosure sides. Hole placements for screws are same as back panels</p><table class=""description-table""><tr><th>Height (in)</th><td>6</td></tr><tr><th>Width (in)</th><td>6</td></tr><tr><th>Depth (in)</th><td>4</td></tr></table>"
5976728,"<p>Standard Aluminum back panel used for Heartland, Commander, Freedom, and Centurion series</p><table class=""description-table""><tr><th>Height (in)</th><td>12</td></tr><tr><th>Width (in)</th><td>10</td></tr></table>"
5976775,"<p>Standard Carbon Steel back panel used for Heartland, Commander, Freedom, and Centurion series</p><table class=""description-table""><tr><th>Height (in)</th><td>12</td></tr><tr><th>Width (in)</th><td>10</td></tr></table>"
5976729,"<p>Standard Aluminum back panel used for Heartland, Commander, Freedom, and Centurion series</p><table class=""description-table""><tr><th>Height (in)</th><td>14</td></tr><tr><th>Width (in)</th><td>12</td></tr></table>"
5976764,"<p>Standard Aluminum back panel used for Heartland, Commander, Freedom, and Centurion series</p><table class=""description-table""><tr><th>Height (in)</th><td>16</td></tr><tr><th>Width (in)</th><td>14</td></tr></table>"
5976777,"<p>Standard Carbon Steel back panel used for Heartland, Commander, Freedom, and Centurion series</p><table class=""description-table""><tr><th>Height (in)</th><td>16</td></tr><tr><th>Width (in)</th><td>14</td></tr></table>"
5976731,"<p>Standard Aluminum back panel used for Heartland, Commander, Freedom, and Centurion series</p><table class=""description-table""><tr><th>Height (in)</th><td>18</td></tr><tr><th>Width (in)</th><td>16</td></tr></table>"
5976766,"<p>Standard Aluminum back panel used for Heartland, Commander, Freedom, and Centurion series</p><table class=""description-table""><tr><th>Height (in)</th><td>20</td></tr><tr><th>Width (in)</th><td>16</td></tr></table>"
5976779,"<p>Standard Carbon Steel back panel used for Heartland, Commander, Freedom, and Centurion series</p><table class=""description-table""><tr><th>Height (in)</th><td>20</td></tr><tr><th>Width (in)</th><td>16</td></tr></table>"
5976733,"<p>Standard Aluminum back panel used for Heartland, Commander, Freedom, and Centurion series</p><table class=""description-table""><tr><th>Height (in)</th><td>24</td></tr><tr><th>Width (in)</th><td>24</td></tr></table>"
