"ID","ADDITIONAL_DESCRIPTION"
96725,"<table class=""description-table""><tr><th>Monoflow design </li><li> Self-supported rotating union </li><li> Radial housing connection </li><li> Balanced mechanical seals </li><li> Seal combinations</th><td>Carbon Graphite/Hardened Tool Steel or Carbon Graphite/Silicon Carbide</td></tr><li> Felt oiler in seal cavity for air service </li><li> Oiler for relubrication (3 to 5 drops/month) </li><li> Low torque design </li><li> Weight-optimized design </li><li> Aluminum housing; stainless steel or carbon steel rotor, depending on model </li><li> Ball bearings lubricated for life </li></ul> A 3/8""-24 UNF LH B 1/8""-27 NPT C 1.117"" C 28.372 mm D1 2.815"" D1 71.5 mm E 0.878"" E 22.3 mm F 12.7 mm F 0.5"" G 3.2 mm G 0.126"" H 17 mm H 0.669"" J 52.5 mm J 2.067"" P Non-Threaded Media Brake Fluid Rotor Connection 3/8""-24 UNF LH Housing Connection 1/8""-27 NPT Brake Fluid Flow 1.8 GPM Brake Fluid Flow 6.7 l/min Brake Fluid Pressure 69 bar Brake Fluid Pressure 1000 psi Brake Fluid Temperature 121 °C Brake Fluid Temperature 250 °F"
96729,"<table class=""description-table""><tr><th>Monoflow design </li><li> Self-supported rotating union </li><li> Radial housing connection </li><li> Balanced mechanical seals </li><li> Seal combinations</th><td>Carbon Graphite/Hardened Tool Steel or Carbon Graphite/Silicon Carbide</td></tr><li> Felt oiler in seal cavity for air service </li><li> Oiler for relubrication (3 to 5 drops/month) </li><li> Low torque design </li><li> Weight-optimized design </li><li> Aluminum housing; stainless steel or carbon steel rotor, depending on model </li><li> Ball bearings lubricated for life </li></ul> A M10x1 RH B 1/8""-27 NPT C 28.372 mm C 1.117"" D1 71 mm D1 2.795"" E 22 mm E 0.866"" F 14 mm F 0.551"" G 3.2 mm G 0.126"" H 17 mm H 0.669"" I 11 mm I 0.433"" J 1.969"" J 50 mm P Non-Threaded X 0.118"" X 3 mm Media Vacuum, Hydraulic Oil, Air Rotor Connection M10x1 RH, 11 mm pilot Rotor Connection M10x1 RH, 0.433"" pilot Housing Connection 1/8""-27 NPT Air Flow 10 CFM Air Flow 283 l/min Air Pressure 10 bar Air Pressure 150 psi Air Temperature 121 °C Air Temperature 250 °F Hydraulic Oil Flow 1.8 GPM Hydraulic Oil Flow 6.7 l/min Hydraulic Oil Pressure 69 bar Hydraulic Oil Pressure 1000 psi Hydraulic Oil Temperature 121 °C Hydraulic Oil Temperature 250 °F Vacuum Pressure -0.95 bar Vacuum Pressure -13.75 psi Vacuum Temperature 121 °C Vacuum Temperature 250 °F"
96731,"<table class=""description-table""><tr><th>Monoflow design </li><li> Self-supported rotating union </li><li> Radial housing connection </li><li> Balanced mechanical seals </li><li> Seal combinations</th><td>Carbon Graphite/Hardened Tool Steel or Carbon Graphite/Silicon Carbide</td></tr><li> Felt oiler in seal cavity for air service </li><li> Oiler for relubrication (3 to 5 drops/month) </li><li> Low torque design </li><li> Weight-optimized design </li><li> Aluminum housing; stainless steel or carbon steel rotor, depending on model </li><li> Ball bearings lubricated for life </li></ul> A 1/8""-27 Radial Female NPT RH B 0.125"" B 3.18 mm C 1.117"" C 28.372 mm D1 2.913"" D1 74 mm E 1.024"" E 26 mm G 0.126"" G 3.2 mm Media Hydraulic Oil Rotor Connection 1/8""-27 Radial Female NPT RH Housing Connection 0.125 Hydraulic Oil Flow 1.8 GPM Hydraulic Oil Flow 6.7 l/min Hydraulic Oil Pressure 69 bar Hydraulic Oil Pressure 1000 psi Hydraulic Oil Temperature 121 °C Hydraulic Oil Temperature 250 °F"
96732,"<table class=""description-table""><tr><th>Monoflow design </li><li> Self-supported rotating union </li><li> Radial housing connection </li><li> Balanced mechanical seals </li><li> Seal combinations</th><td>Carbon Graphite/Hardened Tool Steel or Carbon Graphite/Silicon Carbide</td></tr><li> Felt oiler in seal cavity for air service </li><li> Oiler for relubrication (3 to 5 drops/month) </li><li> Low torque design </li><li> Weight-optimized design </li><li> Aluminum housing; stainless steel or carbon steel rotor, depending on model </li><li> Ball bearings lubricated for life </li></ul> A G 1/4""-19 RH B 0.125"" B 3.18 mm C 1.117"" C 28.372 mm D1 2.748"" D1 69.8 mm E 22 mm E 0.866"" F 12.7 mm F 0.5"" G 0.126"" G 3.2 mm H 0.669"" H 17 mm J 57.1 mm J 2.248"" Media Hydraulic Oil Rotor Connection G 1/4""-19 RH Housing Connection 0.125 Hydraulic Oil Flow 1.8 GPM Hydraulic Oil Flow 6.7 l/min Hydraulic Oil Pressure 69 bar Hydraulic Oil Pressure 1000 psi Hydraulic Oil Temperature 121 °C Hydraulic Oil Temperature 250 °F"
96733,"<table class=""description-table""><tr><th>Monoflow design </li><li> Self-supported rotating union </li><li> Radial housing connection </li><li> Balanced mechanical seals </li><li> Seal combinations</th><td>Carbon Graphite/Hardened Tool Steel or Carbon Graphite/Silicon Carbide</td></tr><li> Felt oiler in seal cavity for air service </li><li> Oiler for relubrication (3 to 5 drops/month) </li><li> Low torque design </li><li> Weight-optimized design </li><li> Aluminum housing; stainless steel or carbon steel rotor, depending on model </li><li> Ball bearings lubricated for life </li></ul> A 3/8""-24 UNF RH B 1/8""-27 NPT C 28.372 mm C 1.117"" D1 2.756"" D1 70 mm E 21 mm E 0.827"" F 11.1 mm F 0.437"" G 0.118"" G 3 mm H 0.63"" H 16 mm I 14.42 mm I 0.568"" J 2.047"" J 52 mm P Non-Threaded X 0.079"" X 2 mm Media Water Rotor Connection 3/8""-24 UNF RH, 14.42 mm pilot Rotor Connection 3/8""-24 UNF RH, 0.568"" pilot Housing Connection 1/8""-27 NPT Water Flow 1.8 GPM Water Flow 6.7 l/min Water Pressure 51.7 bar Water Pressure 750 psi Water Temperature 121 °C Water Temperature 250 °F"
96091,"<table class=""description-table""><tr><th>Monoflow design </li><li> Self-supported rotating union </li><li> Seal combination</th><td>Tungsten Carbide/Tungsten Carbide</td></tr><li> Double row ball bearing; lubricated for life </li><li> Vent holes </li><li> Nickel-plated steel housing </li><li> Stainless steel end cap and rotor </li><li> All parts in media contact are stainless steel and corrosion resistant </li><li> Designed for high pressure and high speed </li></ul> A G 3/8""-19 RH B G 3/8""-19 C 50 mm C 1.969"" D1 117 mm D1 4.606"" E 0.984"" E 25 mm F 15 mm F 0.591"" G 10 mm G 0.394"" H 1.063"" H 27 mm K 0 L 25 mm L 0.984"" O 0 P Non-Threaded Media Water Rotor Connection G 3/8""-19 RH Housing Connection G 3/8""-19 Water Pressure 400 bar Water Pressure 5800 psi Water Temperature 90 °C Water Temperature 190 °F"
96098,"<table class=""description-table""><tr><th>Monoflow design </li><li> Self-supported rotating union </li><li> Seal combination</th><td>Tungsten Carbide/Tungsten Carbide</td></tr><li> Double row ball bearing; lubricated for life </li><li> Vent holes </li><li> Nickel-plated steel housing </li><li> Stainless steel end cap and rotor </li><li> All parts in media contact are stainless steel and corrosion resistant </li><li> Designed for high pressure and high speed </li></ul> A 1/2""-14 NPT RH B 1/2""-14 NPT C 50 mm C 1.969"" D1 4.803"" D1 122 mm E 30 mm E 1.181"" F 20 mm F 0.787"" G 12 mm G 0.472"" H 1.063"" H 27 mm K 0 L 0.984"" L 25 mm O 0 P Non-Threaded Media Water, Hydraulic Oil Rotor Connection 1/2""-14 NPT RH Housing Connection 1/2""-14 NPT Hydraulic Oil Pressure 400 bar Hydraulic Oil Pressure 5800 psi Hydraulic Oil Temperature 90 °C Hydraulic Oil Temperature 190 °F Water Pressure 400 bar Water Pressure 5800 psi Water Temperature 90 °C Water Temperature 190 °F"
96107,"<ul><li> Monoflow and duoflow design </li><li> Self-supported rotating union </li><li> Seals and bearings made of special Carbon Graphite </li><li> Convex seal ring better suited to handle mechanical and thermal shock </li><li> External mechanism to adjust siphon pipe through end cap </li><li> Nickel-plated front and rear end cap </li><li> Nickel-plated ductile iron housing </li><li> Stainless steel spring </li><li> Heavy duty steel rotor design </li><li> Dual bearings for extended service life </li></ul> A Quick Connect B 1-1/2""-11.5 NPT C 5.354"" C 136 mm D1 340 mm D1 13.386"" E 88 mm E 3.465"" F 0.535"" F 13.59 mm G 47.5 mm G 1.87"" I 1.779"" I 45.18 mm J 7.874"" J 200 mm K 3/4""-14 NPT R 10.276"" R 261 mm S3 Threaded X 0.898"" X 22.8 mm Media Steam Rotor Connection Quick Connect, 45.18 mm pilot Rotor Connection Quick Connect, 1.779"" pilot Housing Connection 1-1/2""-11.5 NPT Steam Pressure 17.2 bar Steam Pressure 250 psi Steam Temperature 232 °C Steam Temperature 450 °F"
96110,"<ul><li> Monoflow and duoflow design </li><li> Self-supported rotating union </li><li> Seals and bearings made of special Carbon Graphite </li><li> Convex seal ring better suited to handle mechanical and thermal shock </li><li> External mechanism to adjust siphon pipe through end cap </li><li> Nickel-plated front and rear end cap </li><li> Nickel-plated ductile iron housing </li><li> Stainless steel spring </li><li> Heavy duty steel rotor design </li><li> Dual bearings for extended service life </li></ul> A Quick Connect B 1-1/2""-11 PT C 136 mm C 5.354"" D1 13.386"" D1 340 mm E 3.465"" E 88 mm F 0.535"" F 13.59 mm G 1.87"" G 47.5 mm I 45.18 mm I 1.779"" J 7.874"" J 200 mm K 3/4""-14 PT R 10.276"" R 261 mm S3 Threaded X 0.898"" X 22.8 mm Media Steam Rotor Connection Quick Connect, 45.18 mm pilot Rotor Connection Quick Connect, 1.779"" pilot Housing Connection 1-1/2""-11 PT Steam Pressure 17.2 bar Steam Pressure 250 psi Steam Temperature 232 °C Steam Temperature 450 °F"
96125,"<ul><li> Monoflow design </li><li> Self-supported rotating union </li><li> For hydraulic oil and water. Can be adapted for other media. </li><li> For swivel applications and high pressure media </li><li> Steel housing and end cap </li><li> Stainless steel rotor </li></ul> A 3/4""-14 NPT RH B 3/4""-14 NPT C 2.441"" C 62 mm D1 90 mm D1 3.543"" E 34 mm E 1.339"" F 20 mm F 0.787"" G 0.709"" G 18 mm H 27 mm H 1.063"" J 3"" J 76.2 mm L 42 mm L 1.654"" Media Water, Hydraulic Oil Rotor Connection 3/4""-14 NPT RH Housing Connection 3/4""-14 NPT Hydraulic Oil Pressure 450 bar Hydraulic Oil Pressure 6530 psi Hydraulic Oil Temperature 121 °C Hydraulic Oil Temperature 250 °F Water Pressure 450 bar Water Pressure 6530 psi Water Temperature 121 °C Water Temperature 250 °F"
