ID,ADDITIONAL_DESCRIPTION
5986252,"<table class=""description-table""><tbody><tr><td> Engineering Group </td><td>Mounted Bearing</td></tr><tr><td> Bearing Number </td><td>22226</td></tr><tr><td> Shaft Size </td><td>4-7/16 in</td></tr><tr><td> Shaft Size Type </td><td>Imperial</td></tr><tr><td> Full Timken Part Number </td><td>QVC26V407SB QVC26V407SC QVC26V407SEB QVC26V407SEC QVC26V407SEM QVC26V407SEN QVC26V407SEO QVC26V407SET QVC26V407SM QVC26V407SN QVC26V407SO QVC26V407ST</td></tr><tr><td> Locking Style </td><td>Single V-Lock</td></tr><tr><td> Weight </td><td>72 lb / 32.7 Kg</td></tr><tr><td> Housing Construction </td><td>Piloted Flange Cartridge</td></tr><tr><td> UPC Code </td><td>0883450039192 0883450288033 0883450288118 0883450289559 0883450289634 0883450291071 0883450291156 0883450292597 0883450292672 0883450294119 0883450294195 0883450295437</td></tr></tbody></table>"
5984098,"<table class=""description-table""><tbody><tr><td> Engineering Group </td><td>Mounted Bearing</td></tr><tr><td> Bearing Number </td><td>22213</td></tr><tr><td> Shaft Size </td><td>3-7/16 in</td></tr><tr><td> Shaft Size Type </td><td>Imperial</td></tr><tr><td> Full Timken Part Number </td><td>QAFL18A307SB QAFL18A307SBT QAFL18A307SC QAFL18A307SEB QAFL18A307SEC QAFL18A307SEM QAFL18A307SEMNP QAFL18A307SEN QAFL18A307SEO QAFL18A307SET QAFL18A307SM QAFL18A307SMNP QAFL18A307SN QAFL18A307SO QAFL18A307ST QAFL18A307STNG</td></tr><tr><td> Locking Style </td><td>Single Concentric</td></tr><tr><td> Weight </td><td>35 lb / 15.90 Kg</td></tr><tr><td> Housing Construction </td><td>Four-Bolt Square Flange</td></tr><tr><td> UPC Code </td><td>0883450040600 0883450040617 0883450040631 0883450040648 0883450040655 0883450040662 0883450040679 0883450040686 0883450191395 0883450191555 0883450268752 0883450268912 0883450459198 0883450492584 0883450492607 0883450959308</td></tr></tbody></table>"
5984098,"<table class=""description-table""><tbody><tr><td> Engineering Group </td><td>Mounted Bearing</td></tr><tr><td> Bearing Number </td><td>22213</td></tr><tr><td> Shaft Size </td><td>3-7/16 in</td></tr><tr><td> Shaft Size Type </td><td>Imperial</td></tr><tr><td> Full Timken Part Number </td><td>QAFL18A307SB QAFL18A307SBT QAFL18A307SC QAFL18A307SEB QAFL18A307SEC QAFL18A307SEM QAFL18A307SEMNP QAFL18A307SEN QAFL18A307SEO QAFL18A307SET QAFL18A307SM QAFL18A307SMNP QAFL18A307SN QAFL18A307SO QAFL18A307ST QAFL18A307STNG</td></tr><tr><td> Locking Style </td><td>Single Concentric</td></tr><tr><td> Weight </td><td>35 lb / 15.90 Kg</td></tr><tr><td> Housing Construction </td><td>Four-Bolt Square Flange</td></tr><tr><td> UPC Code </td><td>0883450040600 0883450040617 0883450040631 0883450040648 0883450040655 0883450040662 0883450040679 0883450040686 0883450191395 0883450191555 0883450268752 0883450268912 0883450459198 0883450492584 0883450492607 0883450959308</td></tr></tbody></table>"
5984099,"<table class=""description-table""><tbody><tr><td> Engineering Group </td><td>Mounted Bearing</td></tr><tr><td> Bearing Number </td><td>22218</td></tr><tr><td> Shaft Size </td><td>3-1/2 in</td></tr><tr><td> Shaft Size Type </td><td>Imperial</td></tr><tr><td> Full Timken Part Number </td><td>QAFL18A308SB QAFL18A308SC QAFL18A308SEB QAFL18A308SEC QAFL18A308SEM QAFL18A308SEN QAFL18A308SEO QAFL18A308SET QAFL18A308SM QAFL18A308SN QAFL18A308SO QAFL18A308ST</td></tr><tr><td> Locking Style </td><td>Single Concentric</td></tr><tr><td> Weight </td><td>35 lb / 15.90 Kg</td></tr><tr><td> Housing Construction </td><td>Four-Bolt Square Flange</td></tr><tr><td> UPC Code </td><td>0883450040709 0883450040716 0883450040730 0883450040747 0883450040754 0883450040761 0883450040778 0883450040785 0883450191401 0883450191562 0883450268769 0883450268929</td></tr></tbody></table>"
5984223,"<table class=""description-table""><tbody><tr><td> Engineering Group </td><td>Mounted Bearing</td></tr><tr><td> Bearing Number </td><td>22210</td></tr><tr><td> Shaft Size </td><td>2 in</td></tr><tr><td> Shaft Size Type </td><td>Imperial</td></tr><tr><td> Full Timken Part Number </td><td>QAFL10A200SB QAFL10A200SC QAFL10A200SEB QAFL10A200SEC QAFL10A200SEM QAFL10A200SEMSLA QAFL10A200SEN QAFL10A200SEO QAFL10A200SET QAFL10A200SM QAFL10A200SN QAFL10A200SO QAFL10A200ST</td></tr><tr><td> Locking Style </td><td>Single Concentric</td></tr><tr><td> Weight </td><td>11.0 lb / 5.0 Kg</td></tr><tr><td> Housing Construction </td><td>Four-Bolt Square Flange</td></tr><tr><td> UPC Code </td><td>0883450039604 0883450039611 0883450039635 0883450039642 0883450039659 0883450039666 0883450039673 0883450039680 0883450191296 0883450191456 0883450268653 0883450268813 0883450952835</td></tr></tbody></table>"
5983571,"<table class=""description-table""><tbody><tr><td> Engineering Group </td><td>Mounted Bearing</td></tr><tr><td> Bearing Number </td><td>22211</td></tr><tr><td> Shaft Size </td><td>2-3/16 in</td></tr><tr><td> Shaft Size Type </td><td>Imperial</td></tr><tr><td> Full Timken Part Number </td><td>QAFL11A203SB QAFL11A203SC QAFL11A203SEB QAFL11A203SEC QAFL11A203SEM QAFL11A203SEN QAFL11A203SEO QAFL11A203SET QAFL11A203SM QAFL11A203SN QAFL11A203SO QAFL11A203ST</td></tr><tr><td> Locking Style </td><td>Single Concentric</td></tr><tr><td> Weight </td><td>14 lb / 6.4 Kg</td></tr><tr><td> Housing Construction </td><td>Four-Bolt Square Flange</td></tr><tr><td> UPC Code </td><td>0883450039703 0883450039710 0883450039734 0883450039741 0883450039758 0883450039765 0883450039772 0883450039789 0883450191319 0883450191470 0883450268677 0883450268837</td></tr></tbody></table>"
5989328,"<table class=""description-table""><tbody><tr><td> Assembly Bolts </td><td>1 1/8 (6)</td></tr><tr><td> Weight </td><td>235.0 lb</td></tr></tbody></table>"
5989336,"<table class=""description-table""><tbody><tr><td> Assembly Bolts </td><td>1 1/8 (6)</td></tr><tr><td> Weight </td><td>187.000 lb</td></tr></tbody></table>"
5988723,"<table class=""description-table""><tbody><tr><td> Assembly Bolts </td><td>1/2 (4)</td></tr><tr><td> Weight </td><td>14.50 lb</td></tr></tbody></table>"
5988724,"<table class=""description-table""><tbody><tr><td> Assembly Bolts </td><td>1/2 (4)</td></tr><tr><td> Weight </td><td>22.00 lb</td></tr></tbody></table>"
5988726,"<table class=""description-table""><tbody><tr><td> Assembly Bolts </td><td>7/8 (6)</td></tr><tr><td> Weight </td><td>104.000 lb</td></tr></tbody></table>"
5989590,"<table class=""description-table""><tbody><tr><td> Assembly Bolts </td><td>1/2 (4)</td></tr><tr><td> Weight </td><td>22.5 lb</td></tr></tbody></table>"
