"ID","ADDITIONAL_DESCRIPTION"
"2268514","<table class=""description-table"">Parameters @ 60 Hertz<tr><th>HP</th><td>10</td><th>Voltage</th><td>200</td></tr><tr><th>kW</th><td>7.50</td><th>FL Amps</th><td>27.6</td></tr><tr><th>RPM</th><td>3600</td><th></th><td></td></tr><tr><th>FL Eff</th><td>89.5 %</td><th>SF</th><td>1.15</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Phase</th><td>3</td><th>Insulation Class</th><td>F</td></tr><tr><th>Frame</th><td>215T</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>TEFC</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>Rigid</td><th>NEMA Design</th><td>B</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>ACROSS THE LINE</td></tr><tr><th>Assembly</th><td>F1 (F2 Modification Available)</td><th>KVA Code</th><td>G</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>43</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th></th><td></td></tr><tr><th>Drive End Bearing Size</th><td>6307</td><th></th><td></td></tr><tr><th>Opposite End Bearing Size</th><td>6206</td><th></th><td></td></tr><tr><th>Weight</th><td>152 LB lbs</td><th></th><td></td></tr><tr><th>CE</th><td>Y</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction</td></tr><tr><th>Thermal Protection</th><td colspan=""3""></td></tr></table>"
"2268522","<table class=""description-table"">Parameters @ 60 Hertz<tr><th>HP</th><td>20</td><th>Voltage</th><td>200</td></tr><tr><th>kW</th><td>14.9</td><th>FL Amps</th><td>58.5</td></tr><tr><th>RPM</th><td>1800</td><th></th><td></td></tr><tr><th>FL Eff</th><td>91 %</td><th>SF</th><td>1.15</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Phase</th><td>3</td><th>Insulation Class</th><td>F</td></tr><tr><th>Frame</th><td>256T</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>TEFC</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>Rigid</td><th>NEMA Design</th><td>B</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>ACROSS THE LINE</td></tr><tr><th>Assembly</th><td>F1 (F2 Modification Available)</td><th>KVA Code</th><td>G</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>43</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th></th><td></td></tr><tr><th>Drive End Bearing Size</th><td>6309</td><th></th><td></td></tr><tr><th>Opposite End Bearing Size</th><td>6207</td><th></th><td></td></tr><tr><th>Weight</th><td>247 LB lbs</td><th></th><td></td></tr><tr><th>CE</th><td>Y</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction</td></tr><tr><th>Thermal Protection</th><td colspan=""3""></td></tr></table>"
"2268012","<table class=""description-table"">Parameters @ 60 Hertz<tr><th>HP</th><td>10</td><th>Voltage</th><td>575</td></tr><tr><th>kW</th><td>7.5</td><th>FL Amps</th><td>9.6</td></tr><tr><th>RPM</th><td>3600</td><th></th><td></td></tr><tr><th>FL Eff</th><td>90.2 %</td><th>SF</th><td>1.15</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Phase</th><td>3</td><th>Insulation Class</th><td>F</td></tr><tr><th>Frame</th><td>215T</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>TEFC</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>Rigid</td><th>NEMA Design</th><td>B</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>ACROSS THE LINE</td></tr><tr><th>Assembly</th><td>F1 (F2 Modification Available)</td><th>KVA Code</th><td>G</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>43</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th></th><td></td></tr><tr><th>Drive End Bearing Size</th><td>6307</td><th></th><td></td></tr><tr><th>Opposite End Bearing Size</th><td>6206</td><th></th><td></td></tr><tr><th>Weight</th><td>184 LB lbs</td><th></th><td></td></tr><tr><th>CE</th><td>Y</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction</td></tr><tr><th>Thermal Protection</th><td colspan=""3""></td></tr></table>"
"2268016","<table class=""description-table"">Parameters @ 60 Hertz<tr><th>HP</th><td>25</td><th>Voltage</th><td>575</td></tr><tr><th>kW</th><td>18.7</td><th>FL Amps</th><td>24</td></tr><tr><th>RPM</th><td>3600</td><th></th><td></td></tr><tr><th>FL Eff</th><td>91 %</td><th>SF</th><td>1.15</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Phase</th><td>3</td><th>Insulation Class</th><td>F</td></tr><tr><th>Frame</th><td>284TS</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>TEFC</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>Rigid</td><th>NEMA Design</th><td>B</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>ACROSS THE LINE</td></tr><tr><th>Assembly</th><td>F1 (F2 Modification Available)</td><th>KVA Code</th><td>G</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>43</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th></th><td></td></tr><tr><th>Drive End Bearing Size</th><td>6311</td><th></th><td></td></tr><tr><th>Opposite End Bearing Size</th><td>6210</td><th></th><td></td></tr><tr><th>Weight</th><td>545 LB lbs</td><th></th><td></td></tr><tr><th>CE</th><td>Y</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction</td></tr><tr><th>Thermal Protection</th><td colspan=""3""></td></tr></table>"
"2268015","<table class=""description-table"">Parameters @ 60 Hertz<tr><th>HP</th><td>25</td><th>Voltage</th><td>200</td></tr><tr><th>kW</th><td>18.7</td><th>FL Amps</th><td>71.5</td></tr><tr><th>RPM</th><td>1800</td><th></th><td></td></tr><tr><th>FL Eff</th><td>92.4 %</td><th>SF</th><td>1.15</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Phase</th><td>3</td><th>Insulation Class</th><td>F</td></tr><tr><th>Frame</th><td>284T</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>TEFC</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>Rigid</td><th>NEMA Design</th><td>B</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>ACROSS THE LINE</td></tr><tr><th>Assembly</th><td>F1 (F2 Modification Available)</td><th>KVA Code</th><td>F</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>43</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th></th><td></td></tr><tr><th>Drive End Bearing Size</th><td>6311</td><th></th><td></td></tr><tr><th>Opposite End Bearing Size</th><td>6210</td><th></th><td></td></tr><tr><th>Weight</th><td>374 LB lbs</td><th></th><td></td></tr><tr><th>CE</th><td>Y</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction</td></tr><tr><th>Thermal Protection</th><td colspan=""3""></td></tr></table>"
"2267658","<table class=""description-table"">Parameters @ 60 Hertz<tr><th>HP</th><td>2</td><th>Voltage</th><td>575</td></tr><tr><th>kW</th><td>1.49</td><th>FL Amps</th><td>2.3</td></tr><tr><th>RPM</th><td>1800</td><th></th><td></td></tr><tr><th>FL Eff</th><td>86.5 %</td><th>SF</th><td>1.15</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Phase</th><td>3</td><th>Insulation Class</th><td>F</td></tr><tr><th>Frame</th><td>145TC</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>TEFC</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>C-Face Rigid</td><th>NEMA Design</th><td>B</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>ACROSS THE LINE</td></tr><tr><th>Assembly</th><td>F1 ONLY</td><th>KVA Code</th><td>L</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>55</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th></th><td></td></tr><tr><th>Drive End Bearing Size</th><td>6205</td><th></th><td></td></tr><tr><th>Opposite End Bearing Size</th><td>6203</td><th></th><td></td></tr><tr><th>Weight</th><td>53 LB lbs</td><th></th><td></td></tr><tr><th>CE</th><td>Y</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction</td></tr><tr><th>Thermal Protection</th><td colspan=""3""></td></tr></table>"
"2270702","<table class=""description-table"">Parameters @ 60 Hertz<tr><th>HP</th><td>1.5</td><th>Voltage</th><td>115/208-230</td></tr><tr><th>kW</th><td>N/A</td><th>FL Amps</th><td>14.5/7.1-7.3</td></tr><tr><th>RPM</th><td>1725</td><th></th><td></td></tr><tr><th>FL Eff</th><td>0 %</td><th>SF</th><td>1.15</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Phase</th><td>1</td><th>Insulation Class</th><td>B</td></tr><tr><th>Frame</th><td>56H</td><th>Duty</th><td>Continuous</td></tr><tr><th>Enclosure</th><td>TEFC</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>WB</td><th>NEMA Design</th><td></td></tr><tr><th>Orientation</th><td>Horizontal or Vertical</td><th>Starting Type</th><td>Switch and Mech</td></tr><tr><th>Assembly</th><td>N/A</td><th>KVA Code</th><td>K</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td></td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th></th><td></td></tr><tr><th>Drive End Bearing Size</th><td>6205</td><th>Rotation</th><td>Select Counter clockwise</td></tr><tr><th>Opposite End Bearing Size</th><td>6203</td><th>Hazardous Location</th><td>N/R</td></tr><tr><th>Weight</th><td>44 LB lbs</td><th></th><td></td></tr><tr><th>CE</th><td>N/A</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Y</td></tr><tr><th>Thermal Protection</th><td colspan=""3"">Automatic</td></tr></table>"
"2270734","<table class=""description-table"">Parameters @ 60 Hertz<tr><th>HP</th><td>2</td><th>Voltage</th><td>115/208-230</td></tr><tr><th>kW</th><td>1.49</td><th>FL Amps</th><td>30/15.5-15</td></tr><tr><th>RPM</th><td>1200</td><th></th><td></td></tr><tr><th>FL Eff</th><td>70 %</td><th>SF</th><td>1.15</td></tr></table><h5>Specifications</h5><table class=""description-table""><tr><th>Phase</th><td>1</td><th>Insulation Class</th><td>F</td></tr><tr><th>Frame</th><td>213T</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>DP</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>Rigid</td><th>NEMA Design</th><td>L</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>CAP START IND RUN</td></tr><tr><th>Assembly</th><td>F1 ONLY</td><th>KVA Code</th><td>J</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>22</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th></th><td></td></tr><tr><th>Drive End Bearing Size</th><td>6307</td><th>Rotation</th><td>SELECTIVE CCW</td></tr><tr><th>Opposite End Bearing Size</th><td>6206</td><th></th><td></td></tr><tr><th>Weight</th><td>138 LB lbs</td><th></th><td></td></tr><tr><th>CE</th><td>Y</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction</td></tr><tr><th>Thermal Protection</th><td colspan=""3""></td></tr></table>"
"5810249",""
"5812176",""
