"ID","ADDITIONAL_DESCRIPTION"
6086692,"<p>500-12 aircraft extension drill bits, manufactured to NAS907 type B standard have a 135 degree split point which reduces the push force needed and is an aid to self-centering.</p><p>The tools have a long overall length (12”) with short flute, recommended for stable drilling in areas which are hard to reach, and come with a steam oxide finish to ensure a clean and accurate result by preventing workpiece material from sticking to the cutting surfaces of the tool.</p><p>500-12 aircraft extension drill bits are available in many fractional sizes from 3/64” to 1/2"" and are manufactured from premium High Speed steel so can be used for drilling a wide range of materials including aluminum, stainless steel and steels.</p>"
6086688,"<p>500-12 aircraft extension drill bits, manufactured to NAS907 type B standard have a 135 degree split point which reduces the push force needed and is an aid to self-centering.</p><p>The tools have a long overall length (12”) with short flute, recommended for stable drilling in areas which are hard to reach, and come with a steam oxide finish to ensure a clean and accurate result by preventing workpiece material from sticking to the cutting surfaces of the tool.</p><p>500-12 aircraft extension drill bits are available in many fractional sizes from 3/64” to 1/2"" and are manufactured from premium High Speed steel so can be used for drilling a wide range of materials including aluminum, stainless steel and steels.</p>"
6086670,"<p>500-12 aircraft extension drill bits, manufactured to NAS907 type B standard have a 135 degree split point which reduces the push force needed and is an aid to self-centering.</p><p>The tools have a long overall length (12”) with short flute, recommended for stable drilling in areas which are hard to reach, and come with a steam oxide finish to ensure a clean and accurate result by preventing workpiece material from sticking to the cutting surfaces of the tool.</p><p>500-12 aircraft extension drill bits are available in many fractional sizes from 3/64” to 1/2"" and are manufactured from premium High Speed steel so can be used for drilling a wide range of materials including aluminum, stainless steel and steels.</p>"
6086682,"<p>500-12 aircraft extension drill bits, manufactured to NAS907 type B standard have a 135 degree split point which reduces the push force needed and is an aid to self-centering.</p><p>The tools have a long overall length (12”) with short flute, recommended for stable drilling in areas which are hard to reach, and come with a steam oxide finish to ensure a clean and accurate result by preventing workpiece material from sticking to the cutting surfaces of the tool.</p><p>500-12 aircraft extension drill bits are available in many fractional sizes from 3/64” to 1/2"" and are manufactured from premium High Speed steel so can be used for drilling a wide range of materials including aluminum, stainless steel and steels.</p>"
6086672,"<p>500-12 aircraft extension drill bits, manufactured to NAS907 type B standard have a 135 degree split point which reduces the push force needed and is an aid to self-centering.</p><p>The tools have a long overall length (12”) with short flute, recommended for stable drilling in areas which are hard to reach, and come with a steam oxide finish to ensure a clean and accurate result by preventing workpiece material from sticking to the cutting surfaces of the tool.</p><p>500-12 aircraft extension drill bits are available in many fractional sizes from 3/64” to 1/2"" and are manufactured from premium High Speed steel so can be used for drilling a wide range of materials including aluminum, stainless steel and steels.</p>"
6086691,"<p>500-12 aircraft extension drill bits, manufactured to NAS907 type B standard have a 135 degree split point which reduces the push force needed and is an aid to self-centering.</p><p>The tools have a long overall length (12”) with short flute, recommended for stable drilling in areas which are hard to reach, and come with a steam oxide finish to ensure a clean and accurate result by preventing workpiece material from sticking to the cutting surfaces of the tool.</p><p>500-12 aircraft extension drill bits are available in many fractional sizes from 3/64” to 1/2"" and are manufactured from premium High Speed steel so can be used for drilling a wide range of materials including aluminum, stainless steel and steels.</p>"
6086674,"<p>500-12 aircraft extension drill bits, manufactured to NAS907 type B standard have a 135 degree split point which reduces the push force needed and is an aid to self-centering.</p><p>The tools have a long overall length (12”) with short flute, recommended for stable drilling in areas which are hard to reach, and come with a steam oxide finish to ensure a clean and accurate result by preventing workpiece material from sticking to the cutting surfaces of the tool.</p><p>500-12 aircraft extension drill bits are available in many fractional sizes from 3/64” to 1/2"" and are manufactured from premium High Speed steel so can be used for drilling a wide range of materials including aluminum, stainless steel and steels.</p>"
6086667,"<p>500-12 aircraft extension drill bits, manufactured to NAS907 type B standard have a 135 degree split point which reduces the push force needed and is an aid to self-centering.</p><p>The tools have a long overall length (12”) with short flute, recommended for stable drilling in areas which are hard to reach, and come with a steam oxide finish to ensure a clean and accurate result by preventing workpiece material from sticking to the cutting surfaces of the tool.</p><p>500-12 aircraft extension drill bits are available in many fractional sizes from 3/64” to 1/2"" and are manufactured from premium High Speed steel so can be used for drilling a wide range of materials including aluminum, stainless steel and steels.</p>"
6086675,"<p>500-12 aircraft extension drill bits, manufactured to NAS907 type B standard have a 135 degree split point which reduces the push force needed and is an aid to self-centering.</p><p>The tools have a long overall length (12”) with short flute, recommended for stable drilling in areas which are hard to reach, and come with a steam oxide finish to ensure a clean and accurate result by preventing workpiece material from sticking to the cutting surfaces of the tool.</p><p>500-12 aircraft extension drill bits are available in many fractional sizes from 3/64” to 1/2"" and are manufactured from premium High Speed steel so can be used for drilling a wide range of materials including aluminum, stainless steel and steels.</p>"
6086668,"<p>500-12 aircraft extension drill bits, manufactured to NAS907 type B standard have a 135 degree split point which reduces the push force needed and is an aid to self-centering.</p><p>The tools have a long overall length (12”) with short flute, recommended for stable drilling in areas which are hard to reach, and come with a steam oxide finish to ensure a clean and accurate result by preventing workpiece material from sticking to the cutting surfaces of the tool.</p><p>500-12 aircraft extension drill bits are available in many fractional sizes from 3/64” to 1/2"" and are manufactured from premium High Speed steel so can be used for drilling a wide range of materials including aluminum, stainless steel and steels.</p>"
