"ID","ADDITIONAL_DESCRIPTION"
2265392,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265393,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265394,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265395,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265396,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265397,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265398,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265399,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265400,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265401,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2969246,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265402,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265403,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265404,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265405,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265406,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265407,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265408,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265409,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2969340,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265410,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265411,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265412,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265413,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265379,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265380,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265381,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2969006,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265382,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265383,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265384,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265385,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
2265386,"<p>HKK British Standard chain is manufactured to the same high quality specifications as our ANSI chain. Solid bushings and solid rollers dramatically increase chain life. Manufactured in accordance with ISO R606, HKK British standard chains are compatible with British standard B.S. 228 and German standard DIN 8187. Chains are supplied in 10-foot lengths. Attachment chains and stainless steel chains are available.</p>"
