id,additional_description
6069117,10mm Allen key -hexagon
6069118,14mm Allen key (hexagon)
6069120,2.5mm Hexagon key
6069119,2mm Allen key (hexagon)
6069122,3.5mm Allen key (hexagon)
6069121,3mm Allen key (hexagon)
6069124,4.5mm Allen key (hexagon)
6069123,4mm Allen key (hexagon)
6069125,5mm Allen key (hexagon)
6069126,6mm Allen key (hexagon)
6069127,8mm Allen key (hexagon)
6069389,Adjustable screw for face milling cutters W90XO12
6069483,Adjusting screw for size 2CT cartridges
6069484,Adjusting screw for size 3CT cartridges
6068896,Allen (hexagon) key for tool size 2020 K13 SVJCR/L and SVVCN and SVXCR/L (item on spare part list; SV22)
6069130,Allen (hexagon) key with T-grip
6068218,Arbor adaptor for modular boring system sizes 300 / 400 and 500 with 50 protrusion length
6068910,Arbor cover plate for face milling cutters S60LN15C o 160mm
6068911,Arbor cover plate for face milling cutters S60LN15C o 200mm
6068912,Arbor cover plate for face milling cutters S60LN15C o 250mm
6068913,Arbor cover plate for face milling cutters S60LN15C o 315mm
6068960,Clamping screw for copy mlling cutters ..SRD12 and ..SCMORD12 carying RD.. 12T3 inserts
6069475,Clamping screw for size 2CT cartridges
6069485,Clamping screw for size 3CT cartridges
6069589,Clamping screw M3.5x7 with TORX PLUS 15 fasterner drive (max. load 3Nm)
6069598,Clamping screw M4.5x10 with TORX PLUS 20 fasterner drive (max. load 5Nm)
6069602,Clamping screw M5x16 with TORX PLUS 20 fasterner drive (max. load 5Nm)
6068997,Differential screw for face milling cutters F60SB22X and F90TB27X
6068998,Differential screw for face milling cutters W60SP25P and W90SP25P
6068999,Differential screw for face milling cutters W90XO12
6069013,Double-end bit with on one side T15 drive
6069014,Double-end bit with on one side T15P drive
6069015,Double-end bit with on one side T20 drive
6069016,Double-end bit with on one side T20P drive
6069017,Double-end bit with on one side T6 drive
6069018,Double-end bit with on one side T6P drive
6069019,Double-end bit with on one side T7 drive
6069020,Double-end bit with on one side T7P drive
6069021,Double-end bit with on one side T8 drive
6069022,Double-end bit with on one side T8P drive
6069023,Double-end bit with on one side T9 drive
6069024,Double-end bit with on one side T9P drive
6069010,Double-end TORX bit T07 and T15
6069011,Double-end TORX-PLUS bit T07P and T09P
6069012,Double-end TORX-PLUS bit T08P and T15P
6062250,"Double-sided milling insert SNHF 1204 with chip-breakers, square for a maximum depth of cut of 6.0mm, with an indexing accuracy according to ISO-tolerance class-H and M geometry with rounded cutting edges and facet, M8330 PVD coated fine grained WC-Co carbide within ISO-grade ranges P20-P40 and K20-K40 for machining of steel and cast-iron"
6062251,"Double-sided milling insert SNHF 1204 with chip-breakers, square for a maximum depth of cut of 6.0mm, with an indexing accuracy according to ISO-tolerance class-H and M geometry with rounded cutting edges and facet, M8340 PVD coated fine grained WC-Co carbide within ISO-grade range P25-P50 for machining of steel"
