ID,ADDITIONAL_DESCRIPTION
6062250,"<p>Double-sided milling insert SNHF 1204 with chip-breakers, square for a maximum depth of cut of 6.0mm, with an indexing accuracy according to ISO-tolerance class-H and M geometry with rounded cutting edges and facet, M8330 PVD coated fine grained WC-Co carbide within ISO-grade ranges P20-P40 and K20-K40 for machining of steel and cast-iron</p>"
6062251,"<p>Double-sided milling insert SNHF 1204 with chip-breakers, square for a maximum depth of cut of 6.0mm, with an indexing accuracy according to ISO-tolerance class-H and M geometry with rounded cutting edges and facet, M8340 PVD coated fine grained WC-Co carbide within ISO-grade range P25-P50 for machining of steel</p>"
6062252,"<p>Double-sided milling insert SNHF 1504 with chip-breakers, square for a maximum depth of cut of 9.0mm, with an indexing accuracy according to ISO-tolerance class-H and M geometry with rounded cutting edges and facet, M8330 PVD coated fine grained WC-Co carbide within ISO-grade ranges P20-P40 and K20-K40 for machining of steel and cast-iron</p>"
6062253,"<p>Double-sided milling insert SNHF 1504 with chip-breakers, square for a maximum depth of cut of 9.0mm, with an indexing accuracy according to ISO-tolerance class-H and M geometry with rounded cutting edges and facet, M8340 PVD coated fine grained WC-Co carbide within ISO-grade range P25-P50 for machining of steel</p>"
6062254,"<p>Double-sided milling insert SNHN 1204 with a plane rake surface, square for a maximum depth of cut of 9.0mm, with an indexing accuracy according to ISO-tolerance class-H with rounded cutting edges, 8215 PVD coated fine grained WC-Co carbide within ISO-grade range K10-K25 for machining of cast-iron</p>"
6062255,"<p>Double-sided milling insert SNHN 1204 with a plane rake surface, square for a maximum depth of cut of 9.0mm, with an indexing accuracy according to ISO-tolerance class-H with rounded cutting edges, M8330 PVD coated fine grained WC-Co carbide within ISO-grade range K20-K40 for machining of cast-iron</p>"
6062256,"<p>Double-sided milling insert SNHN 1204 with a plane rake surface, square for a maximum depth of cut of 9.0mm, with an indexing accuracy according to ISO-tolerance class-H with rounded cutting edges, M8340 PVD coated fine grained WC-Co carbide</p>"
6062257,"<p>Double-sided milling insert SNHN 1204 with a plane rake surface, square for a maximum depth of cut of 9.0mm, with an indexing accuracy according to ISO-tolerance class-H with rounded cutting edges, M9325 MT-CVD coated WC-Co carbide</p>"
6062258,"<p>Double-sided milling insert SNHN 1204 with a plane rake surface, square for a maximum depth of cut of 9.0mm, with an indexing accuracy according to ISO-tolerance class-H with rounded cutting edges, S26 uncoated WC-(Ti, Ta, Nb)C-Co carbide</p>"
6062259,"<p>Double-sided milling insert SNHN 1504 with a plane rake surface, square for a maximum depth of cut of 13.5mm, with an indexing accuracy according to ISO-tolerance class-H with rounded cutting edges, 8215 PVD coated fine grained WC-Co carbide within ISO-grade range K10-K25 for machining of cast-iron</p>"
6062260,"<p>Double-sided milling insert SNHN 1504 with a plane rake surface, square for a maximum depth of cut of 13.5mm, with an indexing accuracy according to ISO-tolerance class-H with rounded cutting edges, M8330 PVD coated fine grained WC-Co carbide within ISO-grade range K20-K40 for machining of cast-iron</p>"
6062261,"<p>Double-sided milling insert SNHN 1504 with a plane rake surface, square for a maximum depth of cut of 13.5mm, with an indexing accuracy according to ISO-tolerance class-H with rounded cutting edges, M8340 PVD coated fine grained WC-Co carbide</p>"
6062262,"<p>Double-sided milling insert SNHN 1504 with a plane rake surface, square for a maximum depth of cut of 13.5mm, with an indexing accuracy according to ISO-tolerance class-H with rounded cutting edges, S26 uncoated WC-(Ti, Ta, Nb)C-Co carbide</p>"
6062263,"<p>Double-sided milling insert SNKX 1204, square for a maximum depth of cut of 9.0mm, with an indexing accuracy according to ISO-tolerance class-K with sharp cutting edges, H10 uncoated WC-Co carbide within ISO-grade range K15-K30 for machining of cast-iron</p>"
6062264,"<p>Double-sided milling insert SNKX 1504, square for a maximum depth of cut of 13.5mm, with an indexing accuracy according to ISO-tolerance class-K with sharp cutting edges, H10 uncoated WC-Co carbide within ISO-grade range K15-K30 for machining of cast-iron</p>"
6062265,"<p>Double-sided milling insert SNUN 1204 with a plane rake surface, square for a maximum depth of cut of 9.0mm, with 0.8mm corner radius, an indexing accuracy according to ISO-tolerance class-U, M8330 PVD coated fine grained WC-Co carbide within ISO-grade range K20-K40 for machining of cast-iron</p>"
6062266,"<p>Double-sided milling insert SNUN 1204 with a plane rake surface, square for a maximum depth of cut of 9.0mm, with 1.2mm corner radius, an indexing accuracy according to ISO-tolerance class-U, M8330 PVD coated fine grained WC-Co carbide within ISO-grade range K20-K40 for machining of cast-iron</p>"
6062267,"<p>Double-sided milling insert SNUN 1204 with a plane rake surface, square for a maximum depth of cut of 9.0mm, with 1.2mm corner radius, an indexing accuracy according to ISO-tolerance class-U, S26 uncoated WC-(Ti, Ta, Nb)C-Co carbide</p>"
6062268,"<p>Double-sided milling insert SNUN 1504 with a plane rake surface, square for a maximum depth of cut of 13.5mm, with 1.2mm corner radius, an indexing accuracy according to ISO-tolerance class-U, M8330 PVD coated fine grained WC-Co carbide within ISO-grade range K20-K40 for machining of cast-iron</p>"
6057157,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.4mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker FF with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine machining of steels and stainless-steels</p>"
6057160,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.4mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker FM with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO range P25-P40, for fine to medium machining of steels</p>"
6057173,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.4mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker NF with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine to medium machining of steels and stainless-steels</p>"
6057180,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.4mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker NM with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine to heavy machining of steels and stainless-steels</p>"
6057189,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.4mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker SF with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine to medium machining of steels and stainless-steels</p>"
6057196,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.4mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker SM with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine to heavy machining of steels and stainless-steels</p>"
6057201,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.8mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker FM with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO range P25-P40, for fine to medium machining of steels</p>"
6057216,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.8mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker NF with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine to medium machining of steels and stainless-steels</p>"
6057223,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.8mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker NM with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine to heavy machining of steels and stainless-steels</p>"
6057228,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.8mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker NMR with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine to heavy machining of steels and stainless-steels</p>"
6057234,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.8mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker SF with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine to medium machining of steels and stainless-steels</p>"
6057240,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  0.8mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker SM with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine to heavy machining of steels and stainless-steels</p>"
6057245,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  1.2mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker FM with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO range P25-P40, for fine to medium machining of steels</p>"
6057251,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick,  1.2mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker NMR with rounded cutting edges, in grade T8430, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine to heavy machining of steels and stainless-steels</p>"
6057154,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick, 0.4mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker FF with rounded cutting edges, in grade T7325, a MT-CVD coated functionally graded WC-Co carbide within ISO range M10-M25, for fine machining of stainless-steels</p>"
6057155,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick, 0.4mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker FF with rounded cutting edges, in grade T8315, a PVD coated fine grained WC-Co carbide within ISO range M05-M20, for fine machining of stainless-steels</p>"
6057156,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick, 0.4mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker FF with rounded cutting edges, in grade T8330, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine machining of steels and stainless-steels</p>"
6057158,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick, 0.4mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker FM with rounded cutting edges, in grade T7325, a MT-CVD coated functionally graded WC-Co carbide within ISO range M10-M25, for fine to medium machining of stainless-steels</p>"
6057159,"<p>Double-sided negative turning insert, 35° rhomboid with inscribed circle diameter of 9.525mm, 4.76mm thick, 0.4mm nose radius, indexing accuracy according to ISO-tolerance class-M, chip-breaker FM with rounded cutting edges, in grade T8330, a PVD coated fine grained WC-Co carbide within ISO ranges P25-P40 and M20-M35, for fine to medium machining of steels and stainless-steels</p>"
