"ID","ADDITIONAL_DESCRIPTION"
101689,"<table class=""description-table""><tr><th>Chain Size &amp; Pitch</th><td colspan=""1"" rowspan=""1"">2050 / 1-1/4 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Type</th><td colspan=""1"" rowspan=""1"">Connecting</td></tr><tr><th colspan=""1"" rowspan=""1"">Attachment Link Number</th><td colspan=""1"" rowspan=""1"">B-1</td></tr><tr><th colspan=""1"" rowspan=""1"">Attachment Link Type</th><td colspan=""1"" rowspan=""1"">Bent - One Side</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Construction</th><td colspan=""1"" rowspan=""1"">Cottered</td></tr><tr><th colspan=""1"" rowspan=""1"">Material</th><td colspan=""1"" rowspan=""1"">Stainless Steel</td></tr><tr><th colspan=""1"" rowspan=""1"">Number of Strands Across</th><td colspan=""1"" rowspan=""1"">1</td></tr><tr><th colspan=""1"" rowspan=""1"">Number of Holes</th><td colspan=""1"" rowspan=""1"">2</td></tr><tr><th colspan=""1"" rowspan=""1"">Finish/Coating</th><td colspan=""1"" rowspan=""1"">Nickel Plated</td></tr><tr><th colspan=""1"" rowspan=""1"">Hole Diameter</th><td colspan=""1"" rowspan=""1"">0.203 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Roller Center to Hole Center</th><td colspan=""1"" rowspan=""1"">5/8 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Pin Center to Attachment End</th><td colspan=""1"" rowspan=""1"">0.453 in</td></tr></table>"
101678,"<table class=""description-table""><tr><th>Chain Size &amp; Pitch</th><td colspan=""1"" rowspan=""1"">2040 / 1 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Type</th><td colspan=""1"" rowspan=""1"">Connecting Link</td></tr><tr><th colspan=""1"" rowspan=""1"">Material</th><td colspan=""1"" rowspan=""1"">Carbon Steel</td></tr><tr><th colspan=""1"" rowspan=""1"">Finish/Coating</th><td colspan=""1"" rowspan=""1"">Nickel Plated</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Type</th><td colspan=""1"" rowspan=""1"">Connecting Link</td></tr></table>"
101678,"<table class=""description-table""><tr><th>Chain Size &amp; Pitch</th><td colspan=""1"" rowspan=""1"">2040 / 1 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Type</th><td colspan=""1"" rowspan=""1"">Connecting Link</td></tr><tr><th colspan=""1"" rowspan=""1"">Material</th><td colspan=""1"" rowspan=""1"">Carbon Steel</td></tr><tr><th colspan=""1"" rowspan=""1"">Finish/Coating</th><td colspan=""1"" rowspan=""1"">Nickel Plated</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Type</th><td colspan=""1"" rowspan=""1"">Connecting Link</td></tr></table>"
101677,"<table class=""description-table""><tr><th>Measurement Standard</th><td colspan=""1"" rowspan=""1"">Imperial</td></tr><tr><th colspan=""1"" rowspan=""1"">Series</th><td colspan=""1"" rowspan=""1"">Double Pitch Standard</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Size &amp; Pitch</th><td colspan=""1"" rowspan=""1"">2040 / 1 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Construction</th><td colspan=""1"" rowspan=""1"">Riveted</td></tr><tr><th colspan=""1"" rowspan=""1"">Number of Strands Across</th><td colspan=""1"" rowspan=""1"">1</td></tr><tr><th colspan=""1"" rowspan=""1"">Material</th><td colspan=""1"" rowspan=""1"">Carbon Steel</td></tr><tr><th colspan=""1"" rowspan=""1"">Overall Length</th><td colspan=""1"" rowspan=""1"">10 ft</td></tr><tr><th colspan=""1"" rowspan=""1"">Finish/Coating</th><td colspan=""1"" rowspan=""1"">Nickel Plated</td></tr><tr><th colspan=""1"" rowspan=""1"">Inside Width</th><td colspan=""1"" rowspan=""1"">1/8 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Plate Thickness</th><td colspan=""1"" rowspan=""1"">0.06 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Pin Diameter</th><td colspan=""1"" rowspan=""1"">0.156 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Overall Width</th><td colspan=""1"" rowspan=""1"">0.76 in</td></tr></table>"
101677,"<table class=""description-table""><tr><th>Measurement Standard</th><td colspan=""1"" rowspan=""1"">Imperial</td></tr><tr><th colspan=""1"" rowspan=""1"">Series</th><td colspan=""1"" rowspan=""1"">Double Pitch Standard</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Size &amp; Pitch</th><td colspan=""1"" rowspan=""1"">2040 / 1 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Construction</th><td colspan=""1"" rowspan=""1"">Riveted</td></tr><tr><th colspan=""1"" rowspan=""1"">Number of Strands Across</th><td colspan=""1"" rowspan=""1"">1</td></tr><tr><th colspan=""1"" rowspan=""1"">Material</th><td colspan=""1"" rowspan=""1"">Carbon Steel</td></tr><tr><th colspan=""1"" rowspan=""1"">Overall Length</th><td colspan=""1"" rowspan=""1"">10 ft</td></tr><tr><th colspan=""1"" rowspan=""1"">Finish/Coating</th><td colspan=""1"" rowspan=""1"">Nickel Plated</td></tr><tr><th colspan=""1"" rowspan=""1"">Inside Width</th><td colspan=""1"" rowspan=""1"">1/8 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Plate Thickness</th><td colspan=""1"" rowspan=""1"">0.06 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Pin Diameter</th><td colspan=""1"" rowspan=""1"">0.156 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Overall Width</th><td colspan=""1"" rowspan=""1"">0.76 in</td></tr></table>"
101674,"<table class=""description-table""><tr><th>Chain Size &amp; Pitch</th><td colspan=""1"" rowspan=""1"">2040 / 1 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Type</th><td colspan=""1"" rowspan=""1"">Connecting Link</td></tr><tr><th colspan=""1"" rowspan=""1"">Material</th><td colspan=""1"" rowspan=""1"">Carbon Steel</td></tr><tr><th colspan=""1"" rowspan=""1"">Number of Strands Across</th><td colspan=""1"" rowspan=""1"">1</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Construction</th><td colspan=""1"" rowspan=""1"">Spring Clip</td></tr><tr><th colspan=""1"" rowspan=""1"">Roller Diameter</th><td colspan=""1"" rowspan=""1"">0.312 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Inside Width</th><td colspan=""1"" rowspan=""1"">0.313 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Finish/Coating</th><td colspan=""1"" rowspan=""1"">Nickel Plated</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Plate Height</th><td colspan=""1"" rowspan=""1"">0.475 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Pin Diameter</th><td colspan=""1"" rowspan=""1"">0.156 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Overall Width</th><td colspan=""1"" rowspan=""1"">0.76 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Resistance &amp; Application Features</th><td colspan=""1"" rowspan=""1"">Corrosion Resistant</td></tr></table>"
101642,"<table class=""description-table""><tr><th>Chain Size &amp; Pitch</th><td colspan=""1"" rowspan=""1"">80 / 1 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Type</th><td colspan=""1"" rowspan=""1"">Connecting Link</td></tr><tr><th colspan=""1"" rowspan=""1"">Material</th><td colspan=""1"" rowspan=""1"">Carbon Steel</td></tr><tr><th colspan=""1"" rowspan=""1"">Number of Strands Across</th><td colspan=""1"" rowspan=""1"">1</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Construction</th><td colspan=""1"" rowspan=""1"">Cottered</td></tr><tr><th colspan=""1"" rowspan=""1"">Roller Diameter</th><td colspan=""1"" rowspan=""1"">1.000 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Inside Width</th><td colspan=""1"" rowspan=""1"">0.625 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Plate Height</th><td colspan=""1"" rowspan=""1"">0.95 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Pin Diameter</th><td colspan=""1"" rowspan=""1"">0.312 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Overall Width</th><td colspan=""1"" rowspan=""1"">1.51 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Resistance &amp; Application Features</th><td colspan=""1"" rowspan=""1"">Food Production, Chemical Resistant, Corrosion Resistant</td></tr><tr><th colspan=""1"" rowspan=""1"">Manufacturer Catalog Number</th><td colspan=""1"" rowspan=""1"">CLO-3334CL-08-P</td></tr></table>"
101642,"<table class=""description-table""><tr><th>Chain Size &amp; Pitch</th><td colspan=""1"" rowspan=""1"">80 / 1 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Type</th><td colspan=""1"" rowspan=""1"">Connecting Link</td></tr><tr><th colspan=""1"" rowspan=""1"">Material</th><td colspan=""1"" rowspan=""1"">Carbon Steel</td></tr><tr><th colspan=""1"" rowspan=""1"">Number of Strands Across</th><td colspan=""1"" rowspan=""1"">1</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Construction</th><td colspan=""1"" rowspan=""1"">Cottered</td></tr><tr><th colspan=""1"" rowspan=""1"">Roller Diameter</th><td colspan=""1"" rowspan=""1"">1.000 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Inside Width</th><td colspan=""1"" rowspan=""1"">0.625 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Plate Height</th><td colspan=""1"" rowspan=""1"">0.95 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Pin Diameter</th><td colspan=""1"" rowspan=""1"">0.312 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Overall Width</th><td colspan=""1"" rowspan=""1"">1.51 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Resistance &amp; Application Features</th><td colspan=""1"" rowspan=""1"">Food Production, Chemical Resistant, Corrosion Resistant</td></tr><tr><th colspan=""1"" rowspan=""1"">Manufacturer Catalog Number</th><td colspan=""1"" rowspan=""1"">CLO-3334CL-08-P</td></tr></table>"
101732,"<table class=""description-table""><tr><th>Chain Size &amp; Pitch</th><td colspan=""1"" rowspan=""1"">2060 / 1-1/2 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Link Type</th><td colspan=""1"" rowspan=""1"">Connecting</td></tr><tr><th colspan=""1"" rowspan=""1"">Attachment Link Number</th><td colspan=""1"" rowspan=""1"">B-1</td></tr><tr><th colspan=""1"" rowspan=""1"">Attachment Link Type</th><td colspan=""1"" rowspan=""1"">Bent - One Side</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Construction</th><td colspan=""1"" rowspan=""1"">Double Pitch</td></tr><tr><th colspan=""1"" rowspan=""1"">Material</th><td colspan=""1"" rowspan=""1"">Stainless Steel</td></tr><tr><th colspan=""1"" rowspan=""1"">Number of Strands Across</th><td colspan=""1"" rowspan=""1"">1</td></tr><tr><th colspan=""1"" rowspan=""1"">Number of Holes</th><td colspan=""1"" rowspan=""1"">2</td></tr><tr><th colspan=""1"" rowspan=""1"">Finish/Coating</th><td colspan=""1"" rowspan=""1"">Nickel Plated</td></tr><tr><th colspan=""1"" rowspan=""1"">Hole Diameter</th><td colspan=""1"" rowspan=""1"">0.203 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Roller Center to Hole Center</th><td colspan=""1"" rowspan=""1"">0.844 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Pin Center to Attachment End</th><td colspan=""1"" rowspan=""1"">0.578 in</td></tr></table>"
101724,"<table class=""description-table""><tr><th>Measurement Standard</th><td colspan=""1"" rowspan=""1"">Imperial</td></tr><tr><th colspan=""1"" rowspan=""1"">Series</th><td colspan=""1"" rowspan=""1"">Double Pitch Standard</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Size &amp; Pitch</th><td colspan=""1"" rowspan=""1"">2052 / 1-1/4 in</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Construction</th><td colspan=""1"" rowspan=""1"">Riveted</td></tr><tr><th colspan=""1"" rowspan=""1"">Overall Length</th><td colspan=""1"" rowspan=""1"">10 ft</td></tr><tr><th colspan=""1"" rowspan=""1"">Weight</th><td colspan=""1"" rowspan=""1"">0.85 lbs</td></tr><tr><th colspan=""1"" rowspan=""1"">Chain Construction</th><td colspan=""1"" rowspan=""1"">Riveted</td></tr></table>"
