id,additional_description
6092742,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092772,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092743,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092773,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092745,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092775,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092751,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092781,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092746,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092776,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092752,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092782,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092747,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092777,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092753,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
6092783,"<p>Invertek Drives is dedicated to the design and manufacture of sophisticated electronic variable speed drives, used to control motors in a wide variety of industrial and energy saving applications.</p><ul><li>Easy to use variable speed drives</li><li>Incredible performance</li><li>Robust & reliable</li><li>Low cost of installation & ownership</li></ul>"
