"ID","ADDITIONAL_DESCRIPTION"
2271264,"<table class=""description-table"">Parameters @ 60 Hertz<tbody><tr><th>HP</th><td>40</td><th>Voltage</th><td>230/460</td></tr><tr><th>kW</th><td>30</td><th>FL Amps</th><td>94/47</td></tr><tr><th>RPM</th><td>3600</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>91.7 %</td><th>SF</th><td>1.15</td></tr></tbody></table><table class=""description-table"">Parameters @ 50 Hertz<tbody><tr><th>HP</th><td>30</td><th>Voltage</th><td>190/380</td></tr><tr><th>kW</th><td>22.4</td><th>FL Amps</th><td>86/43</td></tr><tr><th>RPM</th><td>3000</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>91.7 %</td><th>SF</th><td>1.15</td></tr></tbody></table><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Phase</th><td>3</td><th>Insulation Class</th><td>B</td></tr><tr><th>Frame</th><td>286TS</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>DP</td><th>Ambient</th><td>50</td></tr><tr><th>Mounting</th><td>Rigid</td><th>NEMA Design</th><td>B</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>WYE START DELTA RUN</td></tr><tr><th>Assembly</th><td>F1 (F2 Modification Available)</td><th>KVA Code</th><td>G</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>12</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Drive End Bearing Size</th><td>6311</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Opposite End Bearing Size</th><td>6210</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Weight</th><td>332 LB lbs</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>CE</th><td>Y</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>UL Listed</td></tr><tr><th>Thermal Protection</th><td colspan=""3"">&nbsp;</td></tr></tbody></table>"
2270692,"<table class=""description-table"">Parameters @ 60/50 Hertz<tbody><tr><th>HP</th><td>1/3</td><th>Voltage</th><td>100-120/200-240</td></tr><tr><th>kW</th><td>N/A</td><th>FL Amps</th><td>4.0-3.8/2.0-1.9</td></tr><tr><th>RPM</th><td>1725/1425</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>0 %</td><th>SF</th><td>1.35</td></tr></tbody></table><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Phase</th><td>1</td><th>Insulation Class</th><td>B</td></tr><tr><th>Frame</th><td>56C</td><th>Duty</th><td>Continuous</td></tr><tr><th>Enclosure</th><td>TEFC</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>WB</td><th>NEMA Design</th><td>N/A</td></tr><tr><th>Orientation</th><td>Horizontal or Vertical</td><th>Starting Type</th><td>Switch and Mech</td></tr><tr><th>Assembly</th><td>N/A</td><th>KVA Code</th><td>R</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>N/A</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Drive End Bearing Size</th><td>6203</td><th>Rotation</th><td>Select Counter clockwise</td></tr><tr><th>Opposite End Bearing Size</th><td>6203</td><th>Hazardous Location</th><td>N/R</td></tr><tr><th>Weight</th><td>26 LB lbs</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>CE</th><td>N/A</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Y</td></tr><tr><th>Thermal Protection</th><td colspan=""3"">Manual</td></tr></tbody></table>"
2269612,"<table class=""description-table"">Parameters @ 60 Hertz<tbody><tr><th>HP</th><td>1/2</td><th>Voltage</th><td>115</td></tr><tr><th>kW</th><td>0.37</td><th>FL Amps</th><td>7.2</td></tr><tr><th>RPM</th><td>1800</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>N/A %</td><th>SF</th><td>1.25</td></tr></tbody></table><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Phase</th><td>1</td><th>Insulation Class</th><td>B</td></tr><tr><th>Frame</th><td>56</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>DP</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>Resilient Base</td><th>NEMA Design</th><td>NO DESIGN CODE</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>SPLIT PHASE</td></tr><tr><th>Assembly</th><td>F1 ONLY</td><th>KVA Code</th><td>L</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>22</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Drive End Bearing Size</th><td>6203</td><th>Rotation</th><td>SELECTIVE CCW</td></tr><tr><th>Opposite End Bearing Size</th><td>6203</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Weight</th><td>19 LB lbs</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>CE</th><td>N</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction and Protector</td></tr><tr><th>Thermal Protection</th><td colspan=""3"">Automatic Protector</td></tr></tbody></table>"
2269303,"<table class=""description-table"">Parameters @ 60 Hertz<tbody><tr><th>HP</th><td>200</td><th>Voltage</th><td>575</td></tr><tr><th>kW</th><td>149</td><th>FL Amps</th><td>180</td></tr><tr><th>RPM</th><td>1800</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>95 %</td><th>SF</th><td>1.15</td></tr></tbody></table><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Phase</th><td>3</td><th>Insulation Class</th><td>F</td></tr><tr><th>Frame</th><td>445T</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>EPFC</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>Rigid</td><th>NEMA Design</th><td>B</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>LINE OR INVERTER</td></tr><tr><th>Assembly</th><td>F1 ONLY</td><th>KVA Code</th><td>G</td></tr><tr><th>Drive End Bearing</th><td>ROLLER</td><th>IP Code</th><td>54</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Drive End Bearing Size</th><td>NU318</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Opposite End Bearing Size</th><td>6316</td><th>Hazardous Location</th><td>EXP PROOF CL I GR C&amp;D CL II GR F&amp;G T3B</td></tr><tr><th>Weight</th><td>2384 LB lbs</td><th>Inverter Speed Range</th><td>CONSTANT 2:1</td></tr><tr><th>CE</th><td>N</td><th>CSA</th><td>N</td></tr><tr><th>UL</th><td>UL Listed</td></tr><tr><th>Thermal Protection</th><td colspan=""3"">Thermostats (Normally Closed)</td></tr></tbody></table>"
2269099,"<table class=""description-table"">Parameters @ 60 Hertz<tbody><tr><th>HP</th><td>3/4</td><th>Voltage</th><td>575</td></tr><tr><th>kW</th><td>0.56</td><th>FL Amps</th><td>1.02</td></tr><tr><th>RPM</th><td>1800</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>74 %</td><th>SF</th><td>1.15</td></tr></tbody></table><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Phase</th><td>3</td><th>Insulation Class</th><td>F</td></tr><tr><th>Frame</th><td>80M</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>TEFC</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>B3 Rigid</td><th>NEMA Design</th><td>B</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>LINE OR INVERTER</td></tr><tr><th>Assembly</th><td>F3</td><th>KVA Code</th><td>H</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>43</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Drive End Bearing Size</th><td>NONE</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Opposite End Bearing Size</th><td>NONE</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Weight</th><td>23 LB lbs</td><th>Inverter Speed Range</th><td>CONSTANT 10:1</td></tr><tr><th>CE</th><td>Y</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction</td></tr><tr><th>Thermal Protection</th><td colspan=""3"">&nbsp;</td></tr></tbody></table>"
2268445,"<table class=""description-table"">Parameters @ 60 Hertz<tbody><tr><th>HP</th><td>500</td><th>Voltage</th><td>460</td></tr><tr><th>kW</th><td>370</td><th>FL Amps</th><td>546</td></tr><tr><th>RPM</th><td>3600</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>95.8 %</td><th>SF</th><td>1.15</td></tr></tbody></table><table class=""description-table"">Parameters @ 50 Hertz<tbody><tr><th>HP</th><td>400</td><th>Voltage</th><td>380</td></tr><tr><th>kW</th><td>300</td><th>FL Amps</th><td>525</td></tr><tr><th>RPM</th><td>3000</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>95.4 %</td><th>SF</th><td>1.15</td></tr></tbody></table><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Phase</th><td>3</td><th>Insulation Class</th><td>H</td></tr><tr><th>Frame</th><td>449TS</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>DP</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>Rigid</td><th>NEMA Design</th><td>B</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>PWS &amp; YDRUN</td></tr><tr><th>Assembly</th><td>F1 (F2 Modification Available)</td><th>KVA Code</th><td>G</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>12</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Drive End Bearing Size</th><td>6314</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Opposite End Bearing Size</th><td>6314</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Weight</th><td>2649 LB lbs</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>CE</th><td>Y</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction</td></tr><tr><th>Thermal Protection</th><td colspan=""3"">&nbsp;</td></tr></tbody></table>"
2267943,"<table class=""description-table"">Parameters @ 60 Hertz<tbody><tr><th>HP</th><td>3/4</td><th>Voltage</th><td>115/208-230</td></tr><tr><th>kW</th><td>0.56</td><th>FL Amps</th><td>12/5.8-6</td></tr><tr><th>RPM</th><td>1800</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>66 %</td><th>SF</th><td>1.25</td></tr></tbody></table><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Phase</th><td>1</td><th>Insulation Class</th><td>B</td></tr><tr><th>Frame</th><td>56</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>DP</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>Resilient Base</td><th>NEMA Design</th><td>DEFINITE DUTY</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>CAP START IND RUN</td></tr><tr><th>Assembly</th><td>F1 ONLY</td><th>KVA Code</th><td>K</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>12</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Drive End Bearing Size</th><td>6205</td><th>Rotation</th><td>FIXED CCW</td></tr><tr><th>Opposite End Bearing Size</th><td>6205</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Weight</th><td>29 LB lbs</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>CE</th><td>Y</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction and Protector</td></tr><tr><th>Thermal Protection</th><td colspan=""3"">Automatic Protector</td></tr></tbody></table>"
2267914,"<table class=""description-table"">Parameters @ 60 Hertz<tbody><tr><th>HP</th><td>3/4</td><th>Voltage</th><td>115/230</td></tr><tr><th>kW</th><td>N/A</td><th>FL Amps</th><td>13.2/6.6</td></tr><tr><th>RPM</th><td>1725</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>0 %</td><th>SF</th><td>1.25</td></tr></tbody></table><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Phase</th><td>1</td><th>Insulation Class</th><td>B</td></tr><tr><th>Frame</th><td>56</td><th>Duty</th><td>Continuous</td></tr><tr><th>Enclosure</th><td>DP</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>WB</td><th>NEMA Design</th><td>-</td></tr><tr><th>Orientation</th><td>Horizontal or Vertical</td><th>Starting Type</th><td>Switch and Mech</td></tr><tr><th>Assembly</th><td>N/A</td><th>KVA Code</th><td>M</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>N/A</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Drive End Bearing Size</th><td>6203</td><th>Rotation</th><td>Instant Reversible</td></tr><tr><th>Opposite End Bearing Size</th><td>6203</td><th>Hazardous Location</th><td>N/R</td></tr><tr><th>Weight</th><td>25 LB lbs</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>CE</th><td>N/A</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Y</td></tr><tr><th>Thermal Protection</th><td colspan=""3"">Manual</td></tr></tbody></table>"
2270649,"<table class=""description-table"">Parameters @ 60 Hertz<tbody><tr><th>HP</th><td>2</td><th>Voltage</th><td>115/208-230</td></tr><tr><th>kW</th><td>1.49</td><th>FL Amps</th><td>18.0/10.0-9.0</td></tr><tr><th>RPM</th><td>3600</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>N/A %</td><th>SF</th><td>1.15</td></tr></tbody></table><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Phase</th><td>1</td><th>Insulation Class</th><td>B</td></tr><tr><th>Frame</th><td>56H</td><th>Duty</th><td>CONTINUOUS</td></tr><tr><th>Enclosure</th><td>TEFC</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>Rigid</td><th>NEMA Design</th><td>N</td></tr><tr><th>Orientation</th><td>HORIZONTAL</td><th>Starting Type</th><td>CAP START CAP RUN</td></tr><tr><th>Assembly</th><td>F1 ONLY</td><th>KVA Code</th><td>H</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>43</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Drive End Bearing Size</th><td>6203</td><th>Rotation</th><td>SELECTIVE CCW</td></tr><tr><th>Opposite End Bearing Size</th><td>6203</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Weight</th><td>38 LB lbs</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>CE</th><td>N</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Recognized Construction</td></tr><tr><th>Thermal Protection</th><td colspan=""3"">&nbsp;</td></tr></tbody></table>"
2270506,"<table class=""description-table"">Parameters @ 60 Hertz<tbody><tr><th>HP</th><td>1.5</td><th>Voltage</th><td>115/208-230</td></tr><tr><th>kW</th><td>N/A</td><th>FL Amps</th><td>16.4/8.4-8.2</td></tr><tr><th>RPM</th><td>1725</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>FL Eff</th><td>0 %</td><th>SF</th><td>1.15</td></tr></tbody></table><h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Phase</th><td>1</td><th>Insulation Class</th><td>B</td></tr><tr><th>Frame</th><td>56H</td><th>Duty</th><td>Continuous</td></tr><tr><th>Enclosure</th><td>DP</td><th>Ambient</th><td>40</td></tr><tr><th>Mounting</th><td>RB</td><th>NEMA Design</th><td>&nbsp;</td></tr><tr><th>Orientation</th><td>Horizontal or Vertical</td><th>Starting Type</th><td>Switch and Mech</td></tr><tr><th>Assembly</th><td>N/A</td><th>KVA Code</th><td>J</td></tr><tr><th>Drive End Bearing</th><td>BALL</td><th>IP Code</th><td>&nbsp;</td></tr><tr><th>Opposite End Bearing</th><td>BALL</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>Drive End Bearing Size</th><td>6205</td><th>Rotation</th><td>Counterclockwise</td></tr><tr><th>Opposite End Bearing Size</th><td>6203</td><th>Hazardous Location</th><td>N/R</td></tr><tr><th>Weight</th><td>35 LB lbs</td><th>&nbsp;</th><td>&nbsp;</td></tr><tr><th>CE</th><td>N/A</td><th>CSA</th><td>Y</td></tr><tr><th>UL</th><td>Y</td></tr><tr><th>Thermal Protection</th><td colspan=""3"">Automatic</td></tr></tbody></table>"
