"ID","ADDITIONAL_DESCRIPTION"
6152442,"<p><h5>Specifications:</h5><table class=""description-table""><tr><th>Load Capacity</th><td>13,200 lbs (6 t) /60kN</td></tr><tr><th>Contact surface per cassette and Swivel Plate</th><td>-</td></tr><tr><th>Swivel Plate / Steering Angle</th><td>∅ 6.7"" (170 mm) / ± 90°</td></tr><tr><th>Loading Height</th><td>4.3"" (110 mm)</td></tr><tr><th>Roller amount / Size</th><td>8 / 85x85mm</td></tr><tr><th>Steering Handlebar</th><td>42.5"" (1080 mm)</td></tr><tr><th>Connecting bar, adjustable</th><td>-</td></tr><tr><th>Dimensions LxW</th><td>24 x 20.5"" / 610 x 520 mm</td></tr><tr><th>Weight</th><td>93 lbs (42 kg)</td></tr><tr><th>Total Load Capacity per Set</th><td>-</td></tr></table></p>"
6152440,"<p><h5>Specifications:</h5><table class=""description-table""><tr><th>Load Capacity</th><td>19,800 lbs (9 t) /90kN</td></tr><tr><th>Contact surface per cassette and Swivel Plate</th><td>12.6 x 7.9"" / 320 x 200 mm</td></tr><tr><th>Swivel Plate / Steering Angle</th><td>-</td></tr><tr><th>Loading Height</th><td>4.3"" (110 mm)</td></tr><tr><th>Roller amount / Size</th><td>12 / 85x85mm</td></tr><tr><th>Steering Handlebar</th><td>-</td></tr><tr><th>Connecting bar, adjustable</th><td>33 - 48.4"" / 840 - 1230 mm</td></tr><tr><th>Dimensions LxW</th><td>-</td></tr><tr><th>Weight</th><td>75 lbs (34 kg)</td></tr><tr><th>Total Load Capacity per Set</th><td>F9 + L9: 39,600 lbs (18 tons)</td></tr></table></p>"
6152448,"<p><h5>Specifications:</h5><table class=""description-table""><tr><th>Load Capacity</th><td>19,800 lbs (9 t) /90kN</td></tr><tr><th>Contact surface per cassette and Swivel Plate</th><td>-</td></tr><tr><th>Swivel Plate / Steering Angle</th><td>∅ 6.7"" (170 mm) / ± 90°</td></tr><tr><th>Loading Height</th><td>4.3"" (110 mm)</td></tr><tr><th>Roller amount / Size</th><td>12 / 85x85mm</td></tr><tr><th>Steering Handlebar</th><td>42.5"" (1080 mm)</td></tr><tr><th>Connecting bar, adjustable</th><td>-</td></tr><tr><th>Dimensions LxW</th><td>33.1 x 23"" / 840 x 583 mm</td></tr><tr><th>Weight</th><td>135 lbs (61 kg)</td></tr><tr><th>Total Load Capacity per Set</th><td>-</td></tr></table></p>"
6152445,"<p><h5>Specifications:</h5><table class=""description-table""><tr><th>Load Capacity</th><td>26,400 lbs (12 t) /120kN</td></tr><tr><th>Contact surface per cassette and Swivel Plate</th><td>7.9 x 16"" / 200 x 407 mm</td></tr><tr><th>Swivel Plate / Steering Angle</th><td>-</td></tr><tr><th>Loading Height</th><td>4.3"" (110 mm)</td></tr><tr><th>Roller amount / Size</th><td>16 / 85x85mm</td></tr><tr><th>Steering Handlebar</th><td>39.9 - 56.3"" / 1014 - 1430 mm</td></tr><tr><th>Connecting bar, adjustable</th><td>-</td></tr><tr><th>Dimensions LxW</th><td>-</td></tr><tr><th>Weight</th><td>117 lbs (53 kg)</td></tr><tr><th>Total Load Capacity per Set</th><td>F12 + L12: 52,800 lbs (24 tons)</td></tr></table></p>"
6152452,"<p><h5>Specifications:</h5><table class=""description-table""><tr><th>Load Capacity</th><td>26,400 lbs (12 t) /120kN</td></tr><tr><th>Contact surface per cassette and Swivel Plate</th><td>-</td></tr><tr><th>Swivel Plate / Steering Angle</th><td>∅ 6.7"" (170 mm) / ± 90°</td></tr><tr><th>Loading Height</th><td>4.3"" (110 mm)</td></tr><tr><th>Roller amount / Size</th><td>16 / 85x85mm</td></tr><tr><th>Steering Handlebar</th><td>42.5"" (1080 mm)</td></tr><tr><th>Connecting bar, adjustable</th><td>-</td></tr><tr><th>Dimensions LxW</th><td>40.6 x 24.4"" / 1030 x 620 mm</td></tr><tr><th>Weight</th><td>172 lbs (78 kg)</td></tr><tr><th>Total Load Capacity per Set</th><td>-</td></tr></table></p>"
6152455,"<p><h5>Specifications:</h5><table class=""description-table""><tr><th>Load Capacity</th><td>39,600 lbs (18 t) /180kN</td></tr><tr><th>Contact surface per cassette and Swivel Plate</th><td>7.9 x 16"" / 200 x 407 mm</td></tr><tr><th>Swivel Plate / Steering Angle</th><td>-</td></tr><tr><th>Loading Height</th><td>4.3"" (110 mm)</td></tr><tr><th>Roller amount / Size</th><td>16 / 85x85mm</td></tr><tr><th>Steering Handlebar</th><td>-</td></tr><tr><th>Connecting bar, adjustable</th><td>39.9 - 56.3"" / 1014 - 1430 mm</td></tr><tr><th>Dimensions LxW</th><td>-</td></tr><tr><th>Weight</th><td>121 lbs (55kg)</td></tr><tr><th>Total Load Capacity per Set</th><td>F18 + L18: 79,200 lbs (36 tons)</td></tr></table></p>"
6152462,"<p><h5>Specifications:</h5><table class=""description-table""><tr><th>Load Capacity</th><td>39,600 lbs (18 t) /180kN</td></tr><tr><th>Contact surface per cassette and Swivel Plate</th><td>-</td></tr><tr><th>Swivel Plate / Steering Angle</th><td>∅ 6.7"" (170 mm) / ± 90°</td></tr><tr><th>Loading Height</th><td>4.3"" (110 mm)</td></tr><tr><th>Roller amount / Size</th><td>16 / 85x85mm</td></tr><tr><th>Steering Handlebar</th><td>42.5"" (1080 mm)</td></tr><tr><th>Connecting bar, adjustable</th><td>-</td></tr><tr><th>Dimensions LxW</th><td>40.6 x 24.4"" / 1030 x 620 mm</td></tr><tr><th>Weight</th><td>176 lbs (80 kg)</td></tr><tr><th>Total Load Capacity per Set</th><td>-</td></tr></table></p>"
6152467,"<p><h5>Specifications:</h5><table class=""description-table""><tr><th>Load Capacity</th><td>44,000 lbs (20 t) /200kN</td></tr><tr><th>Contact surface per cassette and Swivel Plate</th><td>11.2 x 8.7"" / 280 x 220 mm</td></tr><tr><th>Swivel Plate / Steering Angle</th><td>-</td></tr><tr><th>Loading Height</th><td>7.1"" (180 mm)</td></tr><tr><th>Roller amount / Size</th><td>8 / 140x85mm</td></tr><tr><th>Steering Handlebar</th><td>-</td></tr><tr><th>Connecting bar, adjustable</th><td>17.3 - 63"" / 440 - 1600 mm</td></tr><tr><th>Dimensions LxW</th><td>-</td></tr><tr><th>Weight</th><td>183 lbs (83 kg)</td></tr><tr><th>Total Load Capacity per Set</th><td>F20 + L20: 88,000 lbs (40 tons)</td></tr></table></p>"
6152473,"<p><h5>Specifications:</h5><table class=""description-table""><tr><th>Load Capacity</th><td>44,000 lbs (20 t) /200kN</td></tr><tr><th>Contact surface per cassette and Swivel Plate</th><td>-</td></tr><tr><th>Swivel Plate / Steering Angle</th><td>∅ 6.7"" (170 mm) / ± 90°</td></tr><tr><th>Loading Height</th><td>7.1"" (180 mm)</td></tr><tr><th>Roller amount / Size</th><td>8 / 140x85mm</td></tr><tr><th>Steering Handlebar</th><td>63.8"" (1620 mm)</td></tr><tr><th>Connecting bar, adjustable</th><td>-</td></tr><tr><th>Dimensions LxW</th><td>29.4 x 28.7"" / 747 x 730 mm</td></tr><tr><th>Weight</th><td>375 lbs (170 kg)</td></tr><tr><th>Total Load Capacity per Set</th><td>-</td></tr></table></p>"
6152472,"<p><h5>Specifications:</h5><table class=""description-table""><tr><th>Load Capacity</th><td>66,000 lbs (30 t) /300kN</td></tr><tr><th>Contact surface per cassette and Swivel Plate</th><td>11.3 x 11.8"" / 288 x 300 mm</td></tr><tr><th>Swivel Plate / Steering Angle</th><td>-</td></tr><tr><th>Loading Height</th><td>7.1"" (180 mm)</td></tr><tr><th>Roller amount / Size</th><td>12 / 140x85mm</td></tr><tr><th>Steering Handlebar</th><td>-</td></tr><tr><th>Connecting bar, adjustable</th><td>25.6 - 72"" / 650 - 1830 mm</td></tr><tr><th>Dimensions LxW</th><td>-</td></tr><tr><th>Weight</th><td>353 lbs (160 kg)</td></tr><tr><th>Total Load Capacity per Set</th><td>F30 + L30: 132,000 lbs (60 tons)</td></tr></table></p>"
