"ID","ADDITIONAL_DESCRIPTION"
6140520,"<p>Limit Switch Head, Actuator Style Rotary, Actuator Location Side, Actuator Length Not Applicable, Contact Form Not Applicable, Amps 10, Voltage Rating Not Applicable, Travel 70 Degrees, Movement Side, Operating Force 1.77 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, NEMA Rating 1, 12, 2, 3, 4, IP Rating Not Rated, For Use With Mfr. No. XCKL, XCKM</p>"
6140514,"<p>Limit Switch Head, Actuator Style Rotary, Actuator Location Side, Actuator Length Not Applicable, Contact Form Not Applicable, Amps Not Applicable, Voltage Rating Not Applicable, Travel 90 Degrees, Movement Left and Right, Operating Force 2.21 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, NEMA Rating Not Rated, IP Rating Not Rated, Standards CCC, CE, CSA, UL, For Use With Mfr. No. XCKJ</p>"
6140515,"<p>Limit Switch Head, Actuator Style Plunger, Actuator Location Top, Actuator Length 0.43 in, Contact Form Not Applicable, Amps Not Applicable, Voltage Rating Not Applicable, Travel 0.24 in, Movement Omnidirectional, Operating Force 4.5 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, NEMA Rating 1, 12, 2, 3, 4, IP Rating Not Rated, Standards CCC, CE, CSA, UL, For Use With Mfr. No. XCKJ</p>"
6140512,"<p>Limit Switch Head, Actuator Style Rotary, Actuator Location Side, Actuator Length Not Applicable, Contact Form Not Applicable, Amps 3A/0.27A, Voltage Rating Not Applicable, Travel 90 Degrees, Movement Left and Right, Operating Force 2.21 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, NEMA Rating 1, 12, 2, 3, 4, IP Rating Not Rated, Standards CCC, CE, CSA, UL, For Use With Mfr. No. XCKJ</p>"
6140509,"<p>Limit Switch Head, Actuator Style Roller Lever, Actuator Location Side, Actuator Length 1.57 in to 3.35 in, Contact Form Not Applicable, Amps Not Applicable, Voltage Rating Not Applicable, Travel 70 Degrees, Movement CW and CCW, Operating Force 1.77 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, NEMA Rating 1, 12, 2, 3, 4, IP Rating Not Rated, Standards CCC, CE, CSA, UL, For Use With Mfr. No. XCKL, XCKM</p>"
6140507,"<p>Limit Switch Head, Actuator Style Roller Lever Plunger, Actuator Location Top, Actuator Length 1.37 in, Contact Form Not Applicable, Amps 3A/0.27A, Voltage Rating Not Applicable, Travel 0.47 in, Movement CW and CCW, Operating Force 1.8 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, NEMA Rating 1, 12, 2, 3, 4, IP Rating Not Rated, Standards CCC, CE, CSA, UL, For Use With Mfr. No. XCKL, XCKM</p>"
6140505,"<p>Limit Switch Head, Actuator Style Roller Lever, Actuator Location Side, Actuator Length 1.36 in, Contact Form Not Applicable, Amps 3A/0.27A, Voltage Rating Not Applicable, Travel 70 Degrees, Movement Left and Right, Operating Force 1.77 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, NEMA Rating 1, 12, 2, 3, 4, IP Rating Not Rated, Standards CCC, CE, CSA, UL, For Use With Mfr. No. XCKL, XCKM</p>"
6140503,"<p>Limit Switch Head, Actuator Style Wobble Stick, Actuator Location Top, Actuator Length 5.06 in, Contact Form Not Applicable, Amps 3A/0.27A, Voltage Rating Not Applicable, Travel 90 Degrees, Movement Omnidirectional, Operating Force 1.15 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, NEMA Rating 1, 12, 2, 3, 4, IP Rating Not Rated, Standards CCC, CE, CSA, UL, For Use With Mfr. No. XCKL, XCKM</p>"
6140500,"<p>Limit Switch Head, Actuator Style Roller Plunger, Actuator Location Top, Actuator Length 1.69 in, Contact Form Not Applicable, Amps 3A/0.27A, Voltage Rating Not Applicable, Travel 0.32 in, Movement Top, Operating Force 2.7 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, NEMA Rating 1, 12, 2, 3, 4, IP Rating Not Rated, Standards CCC, CE, CSA, UL, For Use With Mfr. No. XCKL, XCKM</p>"
6140496,"<p>Limit Switch Head Metal End Plunger, Actuator Style Plunger, Actuator Location Top, Actuator Length 0.39 in, Travel 0.20 in, Movement Omnidirectional, Operating Force 1.9 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, For Use With Mfr. No. XCKD, XCKP, XCKT, XCMD</p>"
6140494,"<p>Limit Switch Head Steel Roller Plunger, Actuator Style Roller Plunger, Actuator Location Top, Actuator Length 0.8 in, Travel 0.16 in, Movement Omnidirectional, Operating Force 2.7 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, For Use With Mfr. No. XCKD, XCKP, XCKT, XCMD</p>"
6140546,"<p>Actuating Key Xck +Options</p>"
6140545,"<p>Actuating Key Xck +Options</p>"
6139761,"<p>Pre Wired Connector M12 Female Elbowed 4</p>"
6140535,"<p>Limit Switch Zckj7</p>"
6140569,"<p>Limit Switch Lever Arm, Actuator Type Standard Roller, For Use With Mfr. No. XCMD, XCKD, XCKP, XCKT, Arm Length 1.35 in, Roller Position Offset, Roller Dia. 0.63 in, Roller Width 0.63 in, Arm Material Steel, Roller Material Thermoplastic, Arm Width 0.08 in, Arm Depth 0.13 in</p>"
6140563,"<p>Miniature Limit Switch Body w/5m Cable, Contact Form 1NO/1NC, For Use With XCMD Series Limit Switches, AC Contact Rating 6A @ 300V AC, NEMA Rating 12, 13, 4X, 6P, Electrical Connection Pre-Wired Cable, IP Rating 66, 67, Operating Temp. -13 Degrees to 158 Degrees F, Standards IEC 60947-5-1</p>"
6140559,"<p>Limit Switch Base w/1m Cable, For Use With XCMD Series Limit Switches</p>"
6140548,"<p>Right Angle Actuating Key, For Use With XCK-J Series Safety Interlock Switches</p>"
6140545,"<p>Straight Locking Actuating Key, For Use With XCK-J Series Safety Interlock Switches</p>"
6140539,"<p>Limit Sw Body Snap Double Brk 1No/Nc 1P</p>"
6140519,"<p>Limit Switch Head, Actuator Style Roller Plunger, Actuator Location Top, Actuator Length 0.88 in, Contact Form Not Applicable, Amps 3A/0.27A, Voltage Rating Not Applicable, Travel 0.13 in, Movement Omnidirectional, Operating Force 3.6 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, NEMA Rating 1, 12, 2, 3, 4, IP Rating Not Rated, For Use With Mfr. No. XCKJ</p>"
6140516,"<p>Limit Switch Head, Actuator Style Roller Plunger, Actuator Location Side, Actuator Length 0.88 in, Contact Form Not Applicable, Amps Not Applicable, Voltage Rating Not Applicable, Travel 0.13 in, Movement CW and CCW, Operating Force 3.6 in-lb, Operating Temp. -25 Degrees to 70 Degrees F, NEMA Rating 1, 12, 2, 3, 4, IP Rating Not Rated, Standards CCC, CE, CSA, UL, For Use With Mfr. No. XCKJ</p>"
6140499,"<p>Limit Switch Head, Actuator Type Roller Plunger, For Use With Mfr. No. XCKD, XCKP, XCKT, XCMD, Arm Length 1.42 in</p>"
6140571,"<p>Limit Switch Lever Arm, Actuator Type Standard Roller, For Use With Mfr. No. XCMD, XCKD, XCKP, XCKT, Arm Length 0.94 in, Roller Position Front, Roller Dia. 0.63 in, Roller Width 0.22 in, Arm Material Thermoplastic, Roller Material Thermoplastic, Arm Depth 0.94 in</p>"
6140512,"<p>Limit Switch Head</p>"
6140567,"<p>Compact Limit Switch Body, Contact Form 1NO/1NC, For Use With XCKP Series Limit Switches, AC Contact Rating 10A @ 240V AC, NEMA Rating 1, 12, 4, Electrical Connection Screw Terminal, IP Rating 65, Operating Temp. -13 Degrees to 158 Degrees F, Standards IEC 60947-5-1</p>"
