ID,additional_description
6042879,"<div class=""product-description"">ICT .350KVA 240X480-120 F0</div><div class=""product-features""> <ul><li>Encapsulated design protects core &amp; coil assembly from potentially damaging contaminants</li><li>Constructed with high quality silicon steel lamination to minimize core losses and increase efficiency</li><li>Integrally molded terminal blocks with isolation barriers to prevent arc over</li><li>Fuse blocks kits available and easily adaptable</li><li>Series-parallel connecting links save wiring and labor costs</li></ul></div>"
6042793,"<div class=""product-description"">ICT .300KVA 240X480-120 F0</div><div class=""product-features""> <ul><li>Encapsulated design protects core &amp; coil assembly from potentially damaging contaminants</li><li>Constructed with high quality silicon steel lamination to minimize core losses and increase efficiency</li><li>Integrally molded terminal blocks with isolation barriers to prevent arc over</li><li>Fuse blocks kits available and easily adaptable</li><li>Series-parallel connecting links save wiring and labor costs</li></ul></div>"
5977309,"<div class=""product-description"">ICT .250KVA 240,480,600 - 100,120</div><div class=""product-features""> <ul><li>Encapsulated design protects core &amp; coil assembly from potentially damaging contaminants</li><li>Constructed with high quality silicon steel lamination to minimize core losses and increase efficiency</li><li>Integrally molded terminal blocks with isolation barriers to prevent arc over</li><li>Fuse blocks kits available and easily adaptable</li><li>Series-parallel connecting links save wiring and labor costs</li></ul></div>"
5977492,"<div class=""product-description"">ICT .100KVA 240X480-120 F0</div><div class=""product-features""> <ul><li>Encapsulated design protects core &amp; coil assembly from potentially damaging contaminants</li><li>Constructed with high quality silicon steel lamination to minimize core losses and increase efficiency</li><li>Integrally molded terminal blocks with isolation barriers to prevent arc over</li><li>Fuse blocks kits available and easily adaptable</li><li>Series-parallel connecting links save wiring and labor costs</li></ul></div>"
5977573,"<div class=""product-description"">ICT .750KVA 240X480-120 F4</div><div class=""product-features""> <ul><li>Encapsulated design protects core &amp; coil assembly from potentially damaging contaminants</li><li>Constructed with high quality silicon steel lamination to minimize core losses and increase efficiency</li><li>Integrally molded terminal blocks with isolation barriers to prevent arc over</li><li>Fuse blocks kits available and easily adaptable</li><li>Series-parallel connecting links save wiring and labor costs</li></ul></div>"
5977140,"<div class=""product-description"">Industrial Control Transformer 380/400/415 Primary Volts -110X220 Secondary Volts</div><div class=""product-features""> <ul><li>Encapsulated design protects core &amp; coil assembly from potentially damaging contaminants</li><li>Constructed with high quality silicon steel lamination to minimize core losses and increase efficiency</li><li>Integrally molded terminal blocks with isolation barriers to prevent arc over</li><li>Fuse blocks kits available and easily adaptable</li><li>Series-parallel connecting links save wiring and labor costs</li><li>Terminal blocks allow full access for ring terminals for easy installation even with solid strand conductors</li><li>Copper windings on all groups</li><li>Heavy gauge steel mounting plate adapts to various mounting dimensions</li><li>Voltage regulation exceeds NEMA requirements</li><li>UL, and cUL Listed</li><li>Meets or exceeds UL, CSA, NEMA, ANSI and OSHA Standards</li><li>Twenty year limited warranty</li></ul></div>"
5977141,"<div class=""product-description"">Industrial Control Transformer 380/400/415 Primary Volts -110X220 Secondary Volts</div><div class=""product-features""> <ul><li>Encapsulated design protects core &amp; coil assembly from potentially damaging contaminants</li><li>Constructed with high quality silicon steel lamination to minimize core losses and increase efficiency</li><li>Integrally molded terminal blocks with isolation barriers to prevent arc over</li><li>Fuse blocks kits available and easily adaptable</li><li>Series-parallel connecting links save wiring and labor costs</li><li>Terminal blocks allow full access for ring terminals for easy installation even with solid strand conductors</li><li>Copper windings on all groups</li><li>Heavy gauge steel mounting plate adapts to various mounting dimensions</li><li>Voltage regulation exceeds NEMA requirements</li><li>UL, and cUL Listed</li><li>Meets or exceeds UL, CSA, NEMA, ANSI and OSHA Standards</li><li>Twenty year limited warranty</li></ul></div>"
5977142,"<div class=""product-description"">Industrial Control Transformer 380/400/415 Primary Volts -110X220 Secondary Volts</div><div class=""product-features""> <ul><li>Encapsulated design protects core &amp; coil assembly from potentially damaging contaminants</li><li>Constructed with high quality silicon steel lamination to minimize core losses and increase efficiency</li><li>Integrally molded terminal blocks with isolation barriers to prevent arc over</li><li>Fuse blocks kits available and easily adaptable</li><li>Series-parallel connecting links save wiring and labor costs</li><li>Terminal blocks allow full access for ring terminals for easy installation even with solid strand conductors</li><li>Copper windings on all groups</li><li>Heavy gauge steel mounting plate adapts to various mounting dimensions</li><li>Voltage regulation exceeds NEMA requirements</li><li>UL, and cUL Listed</li><li>Meets or exceeds UL, CSA, NEMA, ANSI and OSHA Standards</li><li>Twenty year limited warranty</li></ul></div>"
5977143,"<div class=""product-description"">Industrial Control Transformer 550/575/600 Primary Volts -110/115/120 Secondary Volts</div><div class=""product-features""> <ul><li>Encapsulated design protects core &amp; coil assembly from potentially damaging contaminants</li><li>Constructed with high quality silicon steel lamination to minimize core losses and increase efficiency</li><li>Integrally molded terminal blocks with isolation barriers to prevent arc over</li><li>Fuse blocks kits available and easily adaptable</li><li>Series-parallel connecting links save wiring and labor costs</li><li>Terminal blocks allow full access for ring terminals for easy installation even with solid strand conductors</li><li>Copper windings on all groups</li><li>Heavy gauge steel mounting plate adapts to various mounting dimensions</li><li>Voltage regulation exceeds NEMA requirements</li><li>UL, and cUL Listed</li><li>Meets or exceeds UL, CSA, NEMA, ANSI and OSHA Standards</li><li>Twenty year limited warranty</li></ul></div>"
5977144,"<div class=""product-description"">Industrial Control Transformer 550/575/600 Primary Volts -110/115/120 Secondary Volts</div><div class=""product-features""> <ul><li>Encapsulated design protects core &amp; coil assembly from potentially damaging contaminants</li><li>Constructed with high quality silicon steel lamination to minimize core losses and increase efficiency</li><li>Integrally molded terminal blocks with isolation barriers to prevent arc over</li><li>Fuse blocks kits available and easily adaptable</li><li>Series-parallel connecting links save wiring and labor costs</li><li>Terminal blocks allow full access for ring terminals for easy installation even with solid strand conductors</li><li>Copper windings on all groups</li><li>Heavy gauge steel mounting plate adapts to various mounting dimensions</li><li>Voltage regulation exceeds NEMA requirements</li><li>UL, and cUL Listed</li><li>Meets or exceeds UL, CSA, NEMA, ANSI and OSHA Standards</li><li>Twenty year limited warranty</li></ul></div>"
