ID,ADDITIONAL_DESCRIPTION
6100714,<h5>Product Details</h5><ul><li>GPI 90600658 3/4'' NPT Oil Ball Valve w/ 1'' 45 Degree Spout is used for GPI's L series heavy-duty oil transfer pumps. Spout is angled at 45° with a 1 in. opening.</li></ul>
6100850,"<h5>Product Details</h5><h5>M-150 SERIES OVERVIEW</h5><ul><li>The GPI M-150S Fuel Transfer Pump is the best-selling retail fuel transfer pump, providing longer run times and award-winning performance year-over-year. Delivering flow rates up to 15 GPM (57 L/min), available in five pump models, the M-150 Series is the pump of choice for agricultural, automotive, and construction applications dispensing gasoline, diesel fuel, and kerosene. Available in a wide selection of configurations with an automatic or manual nozzle, mechanical meter combination, lockable or standard nozzle holders, and a variety of fuel hose lengths. Whether you are harvesting crops, gearing up for your next race, or refueling your fleet of mowers, our M-150 provides reliable flow rates with minimal downtime.</li></ul><h5>BENEFITS INCLUDE</h5><ul><li>Designed for permanent mounting on vented storage tanks</li><li>A convenient spin collar and factory-installed power cord make installation safe and easy.</li><li>Powder-coated housing is corrosion reistant</li><li>For use with gasoline, diesel fuel, ethanol blends, and kerosene</li><li>Lockable nozzle holder protects your investment and deters theft.</li><li>strainer and poppet access makes maintenance quick and easy.</li><li>UL Listed Motor and CSA Certified</li></ul><h5>ELECTRICAL</h5><ul><li> Input:12V (DC)</li><li>Fuse:25 amps</li><li>Type:Rotary Gear</li><li>Motor:1900, 1/5 hp</li></ul><h5>PERFORMACE</h5><ul><li> Flow Rate:15 GPM (57 L/min)</li><li>Duty Cycle:30 min on/30 min off</li><li>Working Pressure:15 PSI (1.03 bar)</li><li>Max Working Temp:-20° F to 125° F (-29° C to 52° C)</li></ul><h5>MECHANICAL</h5><ul><li> Inlet:1 in. FNPT</li><li>Outlet:3/4 in. FNPT</li><li>Mounting:Spin Collar, 2in. male NPT</li></ul><h5>ACCESSORIES</h5><ul><li> Suction Pipe:Polypropylene, Telescoping 15 to 40in.. x 1in. MNPT</li><li>Power Cord:18 ft. (5.5m), 12/2 AWG, Factory Installed</li><li>Dispensing Hose:12 ft.(3.7m) x 3/4 in.</li><li>Nozzle:3/4 in. FNPT Inlet, Automatic Shut-off, Unleaded</li><li> MATERIALS</li><li> Housing:Powder Coated, Corrosion-Resistant Diecast Aluminum</li></ul><h5>WARRANTY STATEMENT</h5><ul><li> 2-yr pump warranty</li></ul><h5>APPROVALS</h5><ul><li> cULus Motor Listed for Hazardous Locations Class I, Division 2, Group D USA and Canada CE. Complies with the requirements of the EMC Directive 89/336/EEC</li><li> UPC:  031401150612</li></ul>"
6100834,"<h5>Product Details</h5><h5>M-150 SERIES OVERVIEW</h5><ul><li>The GPI M-150S Fuel Transfer Pump is the best-selling retail fuel transfer pump, providing longer run times and award-winning performance year-over-year. Delivering flow rates up to 15 GPM (57 L/min), available in five pump models, the M-150 Series is the pump of choice for agricultural, automotive, and construction applications dispensing gasoline, diesel fuel, and kerosene. Available in a wide selection of configurations with an automatic or manual nozzle, mechanical meter combination, lockable or standard nozzle holders, and a variety of fuel hose lengths. Whether you are harvesting crops, gearing up for your next race, or refueling your fleet of mowers, our M-150 provides reliable flow rates with minimal downtime.</li></ul><h5>BENEFITS INCLUDE</h5><ul><li>Designed for permanent mounting on vented storage tanks</li><li>A convenient spin collar and factory-installed power cord make installation safe and easy.</li><li>Powder-coated housing is corrosion reistant</li><li>For use with gasoline, diesel fuel, ethanol blends, and kerosene</li><li>Lockable nozzle holder protects your investment and deters theft.</li><li>strainer and poppet access makes maintenance quick and easy.</li><li>UL Listed Motor and CSA Certified</li></ul><h5>ELECTRICAL</h5><ul><li> Input:12V (DC)</li><li>Fuse:25 amps</li><li>Type:Rotary Gear</li><li>Motor:1900, 1/5 hp</li></ul><h5>PERFORMACE</h5><ul><li> Flow Rate:15 GPM (57 L/min)</li><li>Duty Cycle:30 min on/30 min off</li><li>Working Pressure:15 PSI (1.03 bar)</li><li>Max Working Temp:-20° F to 125° F (-29° C to 52° C)</li></ul><h5>MECHANICAL</h5><ul><li> Inlet:1 in. FNPT</li><li>Outlet:3/4 in. FNPT</li><li>Mounting:Spin Collar, 2in. male NPT</li></ul><h5>ACCESSORIES</h5><ul><li> Suction Pipe:Polypropylene, Telescoping 15 to 40in.. x 1in. MNPT</li><li>Power Cord:18 ft. (5.5m), 12/2 AWG, Factory Installed</li><li>Dispensing Hose:12 ft.(3.7m) x 3/4 in.</li><li>Nozzle:3/4 in. FNPT Inlet, Automatic Shut-off, Unleaded</li><li> MATERIALS</li><li> Housing:Powder Coated, Corrosion-Resistant Diecast Aluminum</li></ul><h5>WARRANTY STATEMENT</h5><ul><li> 2-yr pump warranty</li></ul><h5>APPROVALS</h5><ul><li> cULus Motor Listed for Hazardous Locations Class I, Division 2, Group D USA and Canada CE. Complies with the requirements of the EMC Directive 89/336/EEC</li><li> UPC:  031401150612</li></ul>"
6100839,"<h5>Product Details</h5><h5>M-150 SERIES OVERVIEW</h5><ul><li>The GPI M-150S Fuel Transfer Pump is the best-selling retail fuel transfer pump, providing longer run times and award-winning performance year-over-year. Delivering flow rates up to 15 GPM (57 L/min), available in five pump models, the M-150 Series is the pump of choice for agricultural, automotive, and construction applications dispensing gasoline, diesel fuel, and kerosene. Available in a wide selection of configurations with an automatic or manual nozzle, mechanical meter combination, lockable or standard nozzle holders, and a variety of fuel hose lengths. Whether you are harvesting crops, gearing up for your next race, or refueling your fleet of mowers, our M-150 provides reliable flow rates with minimal downtime.</li></ul><h5>BENEFITS INCLUDE</h5><ul><li>Designed for permanent mounting on vented storage tanks</li><li>A convenient spin collar and factory-installed power cord make installation safe and easy.</li><li>Powder-coated housing is corrosion reistant</li><li>For use with gasoline, diesel fuel, ethanol blends, and kerosene</li><li>Lockable nozzle holder protects your investment and deters theft.</li><li>strainer and poppet access makes maintenance quick and easy.</li><li>UL Listed Motor and CSA Certified</li></ul><h5>ELECTRICAL</h5><ul><li> Input:12V (DC)</li><li>Fuse:25 amps</li><li>Type:Rotary Gear</li><li>Motor:1900, 1/5 hp</li></ul><h5>PERFORMACE</h5><ul><li> Flow Rate:15 GPM (57 L/min)</li><li>Duty Cycle:30 min on/30 min off</li><li>Working Pressure:15 PSI (1.03 bar)</li><li>Max Working Temp:-20° F to 125° F (-29° C to 52° C)</li></ul><h5>MECHANICAL</h5><ul><li> Inlet:1 in. FNPT</li><li>Outlet:3/4 in. FNPT</li><li>Mounting:Spin Collar, 2in. male NPT</li></ul><h5>ACCESSORIES</h5><ul><li> Suction Pipe:Polypropylene, Telescoping 15 to 40in.. x 1in. MNPT</li><li>Power Cord:18 ft. (5.5m), 12/2 AWG, Factory Installed</li><li>Dispensing Hose:12 ft.(3.7m) x 3/4 in.</li><li>Nozzle:3/4 in. FNPT Inlet, Automatic Shut-off, Unleaded</li><li> MATERIALS</li><li> Housing:Powder Coated, Corrosion-Resistant Diecast Aluminum</li></ul><h5>WARRANTY STATEMENT</h5><ul><li> 2-yr pump warranty</li></ul><h5>APPROVALS</h5><ul><li> cULus Motor Listed for Hazardous Locations Class I, Division 2, Group D USA and Canada CE. Complies with the requirements of the EMC Directive 89/336/EEC</li><li> UPC:  031401150612</li></ul>"
6100833,"<h5>Product Details</h5><h5>M-150 SERIES OVERVIEW</h5><ul><li>The GPI M-150S Fuel Transfer Pump is the best-selling retail fuel transfer pump, providing longer run times and award-winning performance year-over-year. Delivering flow rates up to 15 GPM (57 L/min), available in five pump models, the M-150 Series is the pump of choice for agricultural, automotive, and construction applications dispensing gasoline, diesel fuel, and kerosene. Available in a wide selection of configurations with an automatic or manual nozzle, mechanical meter combination, lockable or standard nozzle holders, and a variety of fuel hose lengths. Whether you are harvesting crops, gearing up for your next race, or refueling your fleet of mowers, our M-150 provides reliable flow rates with minimal downtime.</li></ul><h5>BENEFITS INCLUDE</h5><ul><li>Designed for permanent mounting on vented storage tanks</li><li>A convenient spin collar and factory-installed power cord make installation safe and easy.</li><li>Powder-coated housing is corrosion reistant</li><li>For use with gasoline, diesel fuel, ethanol blends, and kerosene</li><li>Lockable nozzle holder protects your investment and deters theft.</li><li>strainer and poppet access makes maintenance quick and easy.</li><li>UL Listed Motor and CSA Certified</li></ul><h5>ELECTRICAL</h5><ul><li> Input:12V (DC)</li><li>Fuse:25 amps</li><li>Type:Rotary Gear</li><li>Motor:1900, 1/5 hp</li></ul><h5>PERFORMACE</h5><ul><li> Flow Rate:15 GPM (57 L/min)</li><li>Duty Cycle:30 min on/30 min off</li><li>Working Pressure:15 PSI (1.03 bar)</li><li>Max Working Temp:-20° F to 125° F (-29° C to 52° C)</li></ul><h5>MECHANICAL</h5><ul><li> Inlet:1 in. FNPT</li><li>Outlet:3/4 in. FNPT</li><li>Mounting:Spin Collar, 2in. male NPT</li></ul><h5>ACCESSORIES</h5><ul><li> Suction Pipe:Polypropylene, Telescoping 15 to 40in.. x 1in. MNPT</li><li>Power Cord:18 ft. (5.5m), 12/2 AWG, Factory Installed</li><li>Dispensing Hose:12 ft.(3.7m) x 3/4 in.</li><li>Nozzle:3/4 in. FNPT Inlet, Automatic Shut-off, Unleaded</li><li> MATERIALS</li><li> Housing:Powder Coated, Corrosion-Resistant Diecast Aluminum</li></ul><h5>WARRANTY STATEMENT</h5><ul><li> 2-yr pump warranty</li></ul><h5>APPROVALS</h5><ul><li> cULus Motor Listed for Hazardous Locations Class I, Division 2, Group D USA and Canada CE. Complies with the requirements of the EMC Directive 89/336/EEC</li><li> UPC:  031401150612</li></ul>"
6100855,"<h5>Product Details</h5><ul><li>M-240 SERIES OVERVIEW</li><li>The GPI M-240S Fuel Transfer Pump is the 24V DC pump of choice for agricultural, automotive, and construction applications with low viscosity petroleum fuels (gasoline, diesel fuel, and kerosene). Delivering flow rates up to 15 GPM (57 L/min) in two available pump models the M-240S Manual, and the M-240S Pump only. The M-240 Series is durable, manufactured from high-quality die-cast aluminum, easy to use, and engineered to last featuring a self-priming rotary gear design.</li></ul><h5>BENEFITS INCLUDE</h5><ul><li>Rotary gear design reduces wear and high quality 24-VDC motor provide more operating hours for maximum value.</li><li>Convenient spin collar for easy installation and versatile pump mounting.</li><li>Circuit breaker motor protection extends motor life.</li><li>Light-weight aluminum body provides corrosion resistance and reduces tank stress.</li><li>Lockable nozzle holder protects your investment and deters fuel theft.</li><li>Designed for permanent mounting on vented storage tanks.</li><li>UL Listed Motor and CSA Certified</li></ul><h5>ELECTRICAL</h5><ul><li> Input:24V (DC)</li><li>Fuse:15 amps</li><li>Type:Rotary Gear</li><li>Motor:1900, 1/5 hp</li></ul><h5>PERFORMACE</h5><ul><li> Flow Rate:15 GPM (57 L/min)</li><li>Duty Cycle:30 min on/30 min off</li><li>Working Pressure:15 PSI (1.03 bar)</li><li>Max Working Temp:-20° F to 125° F (-29° C to 52° C)</li></ul><h5>MECHANICAL</h5><ul><li> Inlet:1 in. FNPT</li><li>Outlet:1 in. FNPT</li><li>Mounting:Spin Collar, 2in. male NPT</li></ul><h5>ACCESSORIES</h5><ul><li> Suction Pipe:Polypropylene, Telescoping 15 to 40in.. x 1in. MNPT</li><li>Power Cord:18 ft. (5.5m), 12/2 AWG, Factory Installed</li><li>Dispensing Hose:12 ft.(3.7m) x 3/4 in.</li><li>Nozzle:3/4 in. FNPT Inlet, Manual Shut-off, Unleaded</li><li> MATERIALS</li><li> Housing:Powder Coated, Corrosion-Resistant Diecast Aluminum</li></ul><h5>WARRANTY STATEMENT</h5><ul><li> 2-yr pump warranty</li></ul><h5>APPROVALS</h5><ul><li> cULus Motor Listed for Hazardous Locations Class I, Division 2, Group D USA and Canada CE. Complies with the requirements of the EMC Directive 89/336/EEC</li><li> UPC:  031401124521</li></ul>"
6100848,"<h5>Product Details</h5><ul><li>M-1115 SERIES OVERVIEW</li><li>The GPI M-1115 Series Fuel Transfer Pump is the pump of choice for stationary locations in fleet, agriculture, or industrial applications. Install the M-1115S to your on-site fuel tanks for reliable fueling with minimal maintenance. It will be by your side to keep your trucks on the road, your tractor working the fields, or your skid steer loader on the move until the job is finished. The series is ideal for dispensing gasoline, diesel fuel, and kerosene. Delivering flow rates up to 12 GPM (45 L/min), the M-1115 Series features a self-priming rotary gear design, a 115V AC motor, and a lightweight cast aluminum body that resists corrosion. Available in three pump models to fit your needs. All models come with a spin collar mount for easy installation and pump orientation.</li></ul><h5>BENEFITS INCLUDE</h5><ul><li>Designed for stationary locations in fleet, agriculture or industrial applications</li><li>Circuit breaker motor protection extends motor life</li><li>Convenient spin collar for easy installation and versatile pump mounting.</li><li>For use with gasoline, diesel fuel, ethanol blends, and kerosene</li><li>Powder-coated, lightweight aluminum body provides corrosion resistance and reduces tank stress</li><li>Lockable nozzle holder protects your investment and deters theft.</li><li>UL Listed and CSA Certified</li><li>2-year warranty</li><li>SPECIFICATIONS</li><li> M-1115S-PO M-1115S-AU M-1115S-MU</li><li> Housing Material Lightweight, corrosion-resistant, cast aluminum body, convenient union ring for easy installation.</li><li> Pump Rate Up to 12 GPM (45 LPM)</li><li> Duty Cycle Intermittent, 30 minute ON, 30 minute OFF</li><li> Suction Lift Manual Nozzle: Up to 5.5 feet (1.7 m) </li><li> Automatic Nozzle: Up to 4.8 feet (1.5 m)</li><li> Operating Temperature -20 °F to 125 °F (-29 °C to 52 °C)</li><li> Operating Pressure 15 PSI (1.03 bar)</li><li> Input 115-volt AC</li><li> Current Draw 1.8 amps</li><li> Motor 1400 RPM, 1/8 hp</li><li> Motor Approval cULus Listed, Class I Div 1</li><li> Thermal Motor Protection Auxiliary Temperature Limiting Device</li><li> Tank Adapter 2 inch NPT</li><li> Inlet 1 inch NPT</li><li> Outlet 3/4 inch NPT</li><li> Hose Type N/A Buna-N Electrically Conductive </li><li> Discharge Hose with Static Wire</li><li> Hose Size N/A 3/4 inch x 12 feet (3.6 m)</li><li> Nozzle N/A 3/4 inch Automatic </li></ul>"
6100853,"<h5>Product Details</h5><ul><li>M-1115 SERIES OVERVIEW</li><li>The GPI M-1115 Series Fuel Transfer Pump is the pump of choice for stationary locations in fleet, agriculture, or industrial applications. Install the M-1115S to your on-site fuel tanks for reliable fueling with minimal maintenance. It will be by your side to keep your trucks on the road, your tractor working the fields, or your skid steer loader on the move until the job is finished. The series is ideal for dispensing gasoline, diesel fuel, and kerosene. Delivering flow rates up to 12 GPM (45 L/min), the M-1115 Series features a self-priming rotary gear design, a 115V AC motor, and a lightweight cast aluminum body that resists corrosion. Available in three pump models to fit your needs. All models come with a spin collar mount for easy installation and pump orientation.</li></ul><h5>BENEFITS INCLUDE</h5><ul><li>Designed for stationary locations in fleet, agriculture or industrial applications</li><li>Circuit breaker motor protection extends motor life</li><li>Convenient spin collar for easy installation and versatile pump mounting.</li><li>For use with gasoline, diesel fuel, ethanol blends, and kerosene</li><li>Powder-coated, lightweight aluminum body provides corrosion resistance and reduces tank stress</li><li>Lockable nozzle holder protects your investment and deters theft.</li><li>UL Listed and CSA Certified</li><li>2-year warranty</li><li>SPECIFICATIONS</li><li> M-1115S-PO M-1115S-AU M-1115S-MU</li><li> Housing Material Lightweight, corrosion-resistant, cast aluminum body, convenient union ring for easy installation.</li><li> Pump Rate Up to 12 GPM (45 LPM)</li><li> Duty Cycle Intermittent, 30 minute ON, 30 minute OFF</li><li> Suction Lift Manual Nozzle: Up to 5.5 feet (1.7 m) </li><li> Automatic Nozzle: Up to 4.8 feet (1.5 m)</li><li> Operating Temperature -20 °F to 125 °F (-29 °C to 52 °C)</li><li> Operating Pressure 15 PSI (1.03 bar)</li><li> Input 115-volt AC</li><li> Current Draw 1.8 amps</li><li> Motor 1400 RPM, 1/8 hp</li><li> Motor Approval cULus Listed, Class I Div 1</li><li> Thermal Motor Protection Auxiliary Temperature Limiting Device</li><li> Tank Adapter 2 inch NPT</li><li> Inlet 1 inch NPT</li><li> Outlet 3/4 inch NPT</li><li> Hose Type N/A Buna-N Electrically Conductive </li><li> Discharge Hose with Static Wire</li><li> Hose Size N/A 3/4 inch x 12 feet (3.6 m)</li><li> Nozzle N/A 3/4 inch Automatic </li></ul>"
6100841,"<h5>Product Details</h5><ul><li>M-1115 SERIES OVERVIEW</li><li>The GPI M-1115 Series Fuel Transfer Pump is the pump of choice for stationary locations in fleet, agriculture, or industrial applications. Install the M-1115S to your on-site fuel tanks for reliable fueling with minimal maintenance. It will be by your side to keep your trucks on the road, your tractor working the fields, or your skid steer loader on the move until the job is finished. The series is ideal for dispensing gasoline, diesel fuel, and kerosene. Delivering flow rates up to 12 GPM (45 L/min), the M-1115 Series features a self-priming rotary gear design, a 115V AC motor, and a lightweight cast aluminum body that resists corrosion. Available in three pump models to fit your needs. All models come with a spin collar mount for easy installation and pump orientation.</li></ul><h5>BENEFITS INCLUDE</h5><ul><li>Designed for stationary locations in fleet, agriculture or industrial applications</li><li>Circuit breaker motor protection extends motor life</li><li>Convenient spin collar for easy installation and versatile pump mounting.</li><li>For use with gasoline, diesel fuel, ethanol blends, and kerosene</li><li>Powder-coated, lightweight aluminum body provides corrosion resistance and reduces tank stress</li><li>Lockable nozzle holder protects your investment and deters theft.</li><li>UL Listed and CSA Certified</li><li>2-year warranty</li><li>SPECIFICATIONS</li><li> M-1115S-PO M-1115S-AU M-1115S-MU</li><li> Housing Material Lightweight, corrosion-resistant, cast aluminum body, convenient union ring for easy installation.</li><li> Pump Rate Up to 12 GPM (45 LPM)</li><li> Duty Cycle Intermittent, 30 minute ON, 30 minute OFF</li><li> Suction Lift Manual Nozzle: Up to 5.5 feet (1.7 m) </li><li> Automatic Nozzle: Up to 4.8 feet (1.5 m)</li><li> Operating Temperature -20 °F to 125 °F (-29 °C to 52 °C)</li><li> Operating Pressure 15 PSI (1.03 bar)</li><li> Input 115-volt AC</li><li> Current Draw 1.8 amps</li><li> Motor 1400 RPM, 1/8 hp</li><li> Motor Approval cULus Listed, Class I Div 1</li><li> Thermal Motor Protection Auxiliary Temperature Limiting Device</li><li> Tank Adapter 2 inch NPT</li><li> Inlet 1 inch NPT</li><li> Outlet 3/4 inch NPT</li><li> Hose Type N/A Buna-N Electrically Conductive </li><li> Discharge Hose with Static Wire</li><li> Hose Size N/A 3/4 inch x 12 feet (3.6 m)</li><li> Nozzle N/A 3/4 inch Automatic </li></ul>"
6100845,"<h5>Product Details</h5><h5>M-150 SERIES OVERVIEW</h5><ul><li>The GPI M-150S Fuel Transfer Pump is the best-selling retail fuel transfer pump, providing longer run times and award-winning performance year-over-year. Delivering flow rates up to 15 GPM (57 L/min), available in five pump models, the M-150 Series is the pump of choice for agricultural, automotive, and construction applications dispensing gasoline, diesel fuel, and kerosene. Available in a wide selection of configurations with an automatic or manual nozzle, mechanical meter combination, lockable or standard nozzle holders, and a variety of fuel hose lengths. Whether you are harvesting crops, gearing up for your next race, or refueling your fleet of mowers, our M-150 provides reliable flow rates with minimal downtime.</li></ul><h5>BENEFITS INCLUDE</h5><ul><li>Designed for permanent mounting on vented storage tanks.</li><li>Circuit breaker motor protection extends motor life.</li><li>Longer pump life means more operating hours which equals greater value.</li><li>Powder-coated, light-weight aluminum is easy to handle and reduces tank stress.</li><li>Lockable nozzle holder protects your investment and deters theft</li><li>Strainer access for easy maintenance</li><li>UL Listed Motor and CSA Certified</li></ul><h5>ELECTRICAL</h5><ul><li> Input:12V (DC)</li><li>Fuse:25 amps</li><li>Type:Rotary Gear</li><li>Motor:1900, 1/5 hp</li></ul><h5>PERFORMACE</h5><ul><li> Flow Rate:15 GPM (57 L/min)</li><li>Duty Cycle:30 min on/30 min off</li><li>Working Pressure:15 PSI (1.03 bar)</li><li>Max Working Temp:-20° F to 125° F (-29° C to 52° C)</li></ul><h5>MECHANICAL</h5><ul><li> Inlet:1 in. FNPT</li><li>Outlet:3/4 in. FNPT</li><li>Mounting:Spin Collar, 2in. male NPT</li></ul><h5>ACCESSORIES</h5><ul><li> Suction Pipe:Polypropylene, Telescoping 15 to 40in.. x 1in. MNPT</li><li>Power Cord:18 ft. (5.5m), 12/2 AWG, Factory Installed</li><li>Dispensing Hose:12 ft.(3.7m) x 3/4 in.</li><li>Nozzle:3/4 in. FNPT Inlet, Manual Shut-off, Unleaded</li><li> MATERIALS</li><li> Housing:Powder Coated, Corrosion-Resistant Diecast Aluminum</li></ul><h5>WARRANTY STATEMENT</h5><ul><li> 2-yr pump warranty</li></ul><h5>APPROVALS</h5><ul><li> cULus Motor Listed for Hazardous Locations Class I, Division 2, Group D USA and Canada CE. Complies with the requirements of the EMC Directive 89/336/EEC</li><li> UPC:  031401150605</li></ul>"
