"id", "catalog_number", "attributes", "detail_attributes"
"6422020","04326","",""
"6304273","01328","",""
"6055396","02488","",""
"6041672","05491","",""
"5980888","54460","Width (in):72","Belt Thickness (in):1/8-3/16|Fastener Material:Stainless (Type 316)|Mechanical Fastener Rating (P.I.W):160|Belt Thickness (mm):3.2-4.8|Belt Width (in):72|Belt Width (mm):1800|Hinge Pin Material:Stainless Spring Wire|Hinge Pin Included:Yes|Mechanical Fastener Rating (kN/m):28|Minimum Pulley Diameter (in):3|Hinge Pin Diameter (mm):3.6|Weight (kg):5.4|Minimum Pulley Diameter (mm):75|Weight (lbs):11.8|Hinge Pin Diameter (in):0.141"
"5980773","31712","",""
"5980772","31711","",""
"5980771","31710","",""
"5980542","09020","",""
"5980538","09014","","Country:USA|Compatible With:1525, 1835, 2135|Power:3ph 460V"
"5980534","09010","","Country:USA|Compatible With:625, 925, 1225, 1525, 1835, 2135|Power:1ph 230V, 30A"
"5980528","09004","Width (in):72","Weight (kg):143.10|Belt Width (in):72|Weight (lbs):315.48|Belt Width (mm):1835"
"5980527","09001","Width (in):36","Weight (kg):77.71|Belt Width (in):36|Weight (lbs):171.32|Belt Width (mm):925"
"5980478","08788","","Belt Type(s):FMB, FHB|Belt Style:Mini SuperDrive&amp;#8482;|Belt Manufacturer:Volta"
"5980133","01936","",""
"5979183","31704","",""
"5977491","30021","",""
"5908130","05551","",""
"5900430","50437","",""
"5900429","50429 SS1-72","",""
