edit-name,doc-id,product-code,specifications
EN32,13233,SACPL-24/600,Weight (kg):29.7|Weight (lbs):65.4
EN33,13234,SACPL-30/750,Weight (kg):32.2|Weight (lbs):71.2
EN38,13238,41514,Belt Width (in.):18|450:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Belt Thickness (in.):5/16-19/32|8-15:Choose_Belt_Thickness_in|Choose_Belt_Thickness_mm:Belt Thickness (mm)|Fastener Material:Steel|114:Choose_Fastener_Material|Choose_Mechanical_Fastener_Rating_kNm:Mechanical Fastener Rating (kN/m)|Mechanical Fastener Rating (P.I.W.):650|12:Choose_Mechanical_Fastener_Rating_PIW|Choose_Minimum_Pulley_Diameter_in:Minimum Pulley Diameter (in.)|Minimum Pulley Diameter (mm):300|Two Fastener Strips<br /> (Continuous Strip)<br />:Choose_Minimum_Pulley_Diameter_mm|1.77:Package Configuration|3.9:Weight (kg)|Weight (lbs)
EN39,13249,41515,"Belt Width (in.):24|600:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Belt Thickness (in.):5/16-19/32|8-15:Choose_Belt_Thickness_in|Choose_Belt_Thickness_mm:Belt Thickness (mm)|Fastener Material:Steel|114:Choose_Fastener_Material|Choose_Mechanical_Fastener_Rating_kNm:Mechanical Fastener Rating (kN/m)|Mechanical Fastener Rating (P.I.W.):650|12:Choose_Mechanical_Fastener_Rating_PIW|Choose_Minimum_Pulley_Diameter_in:Minimum Pulley Diameter (in.)|Minimum Pulley Diameter (mm):300|Continuous Strip<br />
Two Fastener Strips:Choose_Minimum_Pulley_Diameter_mm|2.27:Package Configuration|5.0:Weight (kg)|Weight (lbs)"
EN12,13251,77128,Belt Width (in.):12 |300:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Blade Width (in.):10|Blade Width (mm):250|Weight (lbs):24.8 
EN11,13252,77127,Belt Width:12 |300:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width|Blade Width (in.):10|Blade Width (mm):250|Weight (lbs):24.8 
EN41,13253,38165,Belt Width (in.):30|750:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Hinge Pin Diameter (in.):3/8|9.53:Choose_Hinge_Pin_Diameter_in|Choose_Hinge_Pin_Diameter_mm:Hinge Pin Diameter (mm)|Hinge Pin Material:Bare Armored Steel Cable|One pin:Choose_Hinge_Pin_Material|.36:Package Configuration|.8:Weight (kg)|Weight (lbs)
EN29,13270,77840,Belt Width (in.):24|600:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Blade Configuration:Single Cartridge|Impact Resistant Tungsten Carbide C-Tips (works with mechanical fasteners):Choose_Blade_Configuration|Choose_Blade_Material:Blade Material|Tips Required:4|CEMA Rating:Class 5|Horizontal Clearance Required (in.):4-1/2|Horizontal Clearance Required (mm):114|Maximum Belt Speed (FPM):1000|5:Choose_Maximum_Belt_Speed_FPM|Choose_Maximum_Belt_Speed_Msec:Maximum Belt Speed (M/sec)|Maximum Conveyor Span (in.):66|Maximum Conveyor Span (mm):1650|Pole Diameter (in.):2-7/8|Pole Diameter (mm):73|Pole Length (in.):78|Pole Length (mm):1950|Temperature Range (C):-35° to 82°|-30° to 180°:Choose_Temperature_Range_C|Choose_Temperature_Range_F:Temperature Range (F)|Tensioner:SST and CST Spring Tensioners|3/8:Choose_Tensioner|9:Usable Blade Wear Length (in.)|11:Usable Blade Wear Length (mm)|279:Vertical Clearance Required (in.)|88.5:Vertical Clearance Required (mm)|195.0:Weight (kg)|Weight (lbs)
EN30,13271,77841,Belt Width (in.):30|750:Choose_Belt_Width_in|Choose_Belt_Width_mm:Belt Width (mm)|Blade Configuration:Single Cartridge|Impact Resistant Tungsten Carbide C-Tips (works with mechanical fasteners):Choose_Blade_Configuration|Choose_Blade_Material:Blade Material|Tips Required:5|CEMA Rating:Class 5|Horizontal Clearance Required (in.):4-1/2|Horizontal Clearance Required (mm):114|Maximum Belt Speed (FPM):1000|5:Choose_Maximum_Belt_Speed_FPM|Choose_Maximum_Belt_Speed_Msec:Maximum Belt Speed (M/sec)|Maximum Conveyor Span (in.):72|Maximum Conveyor Span (mm):1800|Pole Diameter (in.):2-7/8|Pole Diameter (mm):73|Pole Length (in.):84|Pole Length (mm):2100|Temperature Range (C):-35° to 82°|-30° to 180°:Choose_Temperature_Range_C|Choose_Temperature_Range_F:Temperature Range (F)|Tensioner:SST and CST Spring Tensioners|3/8:Choose_Tensioner|9:Usable Blade Wear Length (in.)|11:Usable Blade Wear Length (mm)|279:Vertical Clearance Required (in.)|93.7:Vertical Clearance Required (mm)|206.5:Weight (kg)|Weight (lbs)
EN94,13319,76178,Weight (kg):20.9|Weight (lbs):46.2
EN96,13320,75918,Weight (kg):23.4|Weight (lbs):51.7
EN97,13321,75919,Weight (kg):25.9|Weight (lbs):57.2
EN98,13322,75920,Weight (kg):28.5|Weight (lbs):62.8
EN100,13323,75921,Weight (kg):30.1|Weight (lbs):68.3
EN101,13324,75922,Weight (kg):33.5|Weight (lbs):73.9
EN102,13325,75923,Weight (kg):36.0|Weight (lbs):79.4
EN104,13326,75924,Weight (kg):38.6|Weight (lbs):85.0
EN105,13327,75925,Weight (kg):43.6|Weight (lbs):96.1
EN106,13328,76814,Weight (kg):50.8|Weight (lbs):112.1
EN107,13339,79052,Weight (kg):58.1|Weight (lbs):128.1
EN108,13340,74535,Weight (kg):.3|Weight (lbs):0.7
EN116,13342,77868,Weight (kg):6.8|Weight (lbs):15.0
EN110,13343,75927,Weight (kg):1.9|Weight (lbs):4.2
EN111,13344,76560,Weight (kg):1.9|Weight (lbs):4.2
EN119,13345,77867,Weight (kg):0.5|Weight (lbs):1.1
EN121,13346,76637,Weight (kg):0.05|Weight (lbs):0.1
EN120,13347,76636,Weight (kg):0.05|Weight (lbs):0.1
EN118,13348,79582,Weight (kg):1.6|Weight (lbs):3.5
EN114,13359,75844,Weight (kg):0.5|Weight (lbs):1.0
EN115,13360,78142,Weight (kg):.6|Weight (lbs):1.3
EN112,13362,75846,Weight (kg):0.2|Weight (lbs):0.5
EN109,13363,RSA150,Weight (kg):.6|Weight (lbs):1.3
EN54,13364,41613,Belt Width (in.):12|12:Choose_Belt_Width_in|Belt Width (mm):300|300:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):2.0|Weight (kg):0.91|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Steel|Steel:Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
EN55,13365,41614,Belt Width (in.):18|18:Choose_Belt_Width_in|Belt Width (mm):450|450:Choose_Belt_Width_mm|Package Configuration:Two Fastener Strips<br /> (Continuous Strip)<br />|Weight (lbs):2.6|Weight (kg):1.18|Belt Thickness (in.):1/8-3/8|1/8-3/8:Choose_Belt_Thickness_in|Belt Thickness (mm):3-10|3-10:Choose_Belt_Thickness_mm|Fastener Material:Steel|Steel:Choose_Fastener_Material|Mechanical Fastener Rating (kN/m):60|60:Choose_Mechanical_Fastener_Rating_kNm|Mechanical Fastener Rating (P.I.W.):330|330:Choose_Mechanical_Fastener_Rating_PIW|Minimum Pulley Diameter (in.):5|5:Choose_Minimum_Pulley_Diameter_in|Minimum Pulley Diameter (mm):125|125:Choose_Minimum_Pulley_Diameter_mm
